ig,ip,t1,t2,t3,t4,t5
1,1,1.9870851e-20,2.1853194e-20,2.3145546000000003e-20,2.3755397e-20,2.3782377999999997e-20
1,2,1.9982182000000002e-20,2.1931133e-20,2.3190083e-20,2.3769507000000003e-20,2.3772438e-20
1,3,2.0089464e-20,2.2006537e-20,2.3231478e-20,2.3780205000000003e-20,2.3759557e-20
1,4,2.0195709e-20,2.2080607000000003e-20,2.3271536000000002e-20,2.3789782000000003e-20,2.3745856e-20
1,5,2.0300956e-20,2.2153377e-20,2.3310282000000003e-20,2.3798255e-20,2.3731344e-20
1,6,2.0406113e-20,2.2225467999999998e-20,2.3348048e-20,2.3805696000000003e-20,2.3715895e-20
1,7,2.0506158e-20,2.2293468999999996e-20,2.3383086e-20,2.3811817999999997e-20,2.3700316e-20
1,8,2.0628763e-20,2.2376014999999998e-20,2.3424801e-20,2.3817973e-20,2.3679942999999997e-20
1,9,2.0774485e-20,2.2472960999999998e-20,2.3472577999999996e-20,2.3823304e-20,2.3653842e-20
1,10,2.0975072999999995e-20,2.2604258999999998e-20,2.3534998e-20,2.3826917999999997e-20,2.3614313e-20
1,11,2.1188904999999998e-20,2.2741324e-20,2.3597082e-20,2.3825862e-20,2.3567465e-20
1,12,2.1406009999999998e-20,2.2877221000000002e-20,2.3655119e-20,2.3819278999999998e-20,2.3514583999999998e-20
1,13,2.1620387000000005e-20,2.3007944e-20,2.3707137000000004e-20,2.3806931e-20,2.3456685e-20
1,14,2.1831555e-20,2.3133067000000003e-20,2.3752819000000002e-20,2.3788596e-20,2.3387853e-20
1,15,2.2034479e-20,2.3247995e-20,2.3788118e-20,2.3761437999999997e-20,2.3312418e-20
1,16,2.2227954e-20,2.335109e-20,2.3811088e-20,2.3723679e-20,2.3231902999999998e-20
1,17,2.2414517999999996e-20,2.3446166000000002e-20,2.3826567e-20,2.3679747000000004e-20,2.3146633999999998e-20
1,18,2.2572980999999998e-20,2.3523219e-20,2.3834097999999997e-20,2.3636156e-20,2.3067902999999997e-20
1,19,2.26875e-20,2.3576687000000002e-20,2.383637e-20,2.3601287000000002e-20,2.3007843999999996e-20
1,20,2.2685004e-20,2.3576406000000002e-20,2.3838783999999997e-20,2.3605937999999996e-20,2.3014428e-20
1,21,2.2631733e-20,2.3553001e-20,2.3841747000000004e-20,2.3628467999999997e-20,2.3050892999999995e-20
1,22,2.2524196999999998e-20,2.3503287999999997e-20,2.3842857999999997e-20,2.3667347000000002e-20,2.3116476000000002e-20
1,23,2.2395006e-20,2.3440738999999996e-20,2.3839792999999998e-20,2.3708997000000004e-20,2.319004e-20
1,24,2.2256817999999997e-20,2.3370008999999998e-20,2.3830565e-20,2.3746947e-20,2.3263017e-20
1,25,2.2103932999999998e-20,2.3283134e-20,2.3805532000000003e-20,2.3772328e-20,2.3332834e-20
1,26,2.1957794999999998e-20,2.3195914e-20,2.3775064e-20,2.3789112e-20,2.3383061e-20
1,27,2.1833075000000003e-20,2.3116392999999998e-20,2.3740718999999997e-20,2.3793479e-20,2.3415363999999998e-20
1,28,2.1727696000000002e-20,2.3042519e-20,2.3699862e-20,2.3782039000000002e-20,2.3425721e-20
1,29,2.1656380000000003e-20,2.2980841000000002e-20,2.3650762999999997e-20,2.3746055e-20,2.3400424e-20
1,30,2.1579351000000003e-20,2.2903333e-20,2.3576165e-20,2.3677011e-20,2.3337231e-20
1,31,2.1471189e-20,2.278739e-20,2.3456400000000002e-20,2.3557949e-20,2.3221501e-20
1,32,2.1288187999999996e-20,2.2597173999999998e-20,2.3259692000000002e-20,2.3361307000000002e-20,2.3030276000000002e-20
1,33,2.0989754e-20,2.2293635e-20,2.2951341e-20,2.3057332000000002e-20,2.2738322999999997e-20
1,34,2.0541854e-20,2.1838097e-20,2.2495347e-20,2.2614064e-20,2.2317289000000002e-20
1,35,1.9924226e-20,2.1200981e-20,2.1857127e-20,2.1994876e-20,2.173064e-20
1,36,1.9103809e-20,2.0349703000000002e-20,2.1005856e-20,2.1171686e-20,2.0953479e-20
1,37,1.8058976000000002e-20,1.9266231e-20,1.9925781000000002e-20,2.0130534000000002e-20,1.9973444e-20
1,38,1.6787113e-20,1.7952988e-20,1.8620816e-20,1.8875072e-20,1.8793223e-20
1,39,1.5331416999999997e-20,1.6449101000000003e-20,1.7122846000000003e-20,1.7428511e-20,1.7427637999999997e-20
1,40,1.3782267e-20,1.4832127000000002e-20,1.5494665000000003e-20,1.5837614e-20,1.5908086e-20
1,41,1.2236446999999998e-20,1.3190736000000001e-20,1.381491e-20,1.4168674999999998e-20,1.4287498e-20
1,42,1.0833566999999999e-20,1.1645757e-20,1.218779e-20,1.2508159999999999e-20,1.2634184999999999e-20
1,43,9.527926400000001e-21,1.0186235000000001e-20,1.0631805e-20,1.0899676000000001e-20,1.1011111000000001e-20
1,44,8.265750599999999e-21,8.7893806e-21,9.149276e-21,9.368147000000001e-21,9.462411499999999e-21
1,45,7.081189400000001e-21,7.489598299999999e-21,7.7749432e-21,7.9492174e-21,8.0250739e-21
1,46,6.0035938e-21,6.3171356999999996e-21,6.5353608000000004e-21,6.6670237e-21,6.722943899999999e-21
1,47,5.080389699999999e-21,5.3059897e-21,5.4584385e-21,5.544897700000001e-21,5.5755355e-21
1,48,4.2586708e-21,4.4164772999999995e-21,4.518555599999999e-21,4.5709249e-21,4.5800888000000005e-21
1,49,3.5348151999999996e-21,3.6425164e-21,3.7079798e-21,3.7372153e-21,3.7337555000000004e-21
1,50,2.9069307e-21,2.9812653e-21,3.0234020000000002e-21,3.0383429e-21,3.0295e-21
1,51,2.3706296e-21,2.4240073e-21,2.4528351999999998e-21,2.4600879e-21,2.4600531999999998e-21
1,52,1.9292073e-21,1.9671059e-21,1.9865027e-21,1.9892920999999997e-21,1.9997933e-21
2,1,8.2309014e-22,1.0331006999999999e-21,1.2389320999999998e-21,1.417842e-21,1.5568017000000001e-21
2,2,8.331144700000001e-22,1.0434064e-21,1.2484241e-21,1.4256313e-21,1.5625803999999999e-21
2,3,8.4319739e-22,1.0537847999999999e-21,1.2579065e-21,1.4333475e-21,1.5682747e-21
2,4,8.5341671e-22,1.0642412e-21,1.2674122e-21,1.4410549000000001e-21,1.5739524e-21
2,5,8.6379366e-22,1.0747958000000002e-21,1.2769609e-21,1.4487726999999999e-21,1.5796316e-21
2,6,8.7443822e-22,1.0855581e-21,1.2866528e-21,1.4565848000000002e-21,1.5853770999999997e-21
2,7,8.8488678e-22,1.0960588e-21,1.2960718e-21,1.4641663000000001e-21,1.5909616000000002e-21
2,8,8.9793255e-22,1.1090959e-21,1.3077004e-21,1.4734803e-21,1.5977951000000002e-21
2,9,9.1382329e-22,1.1248656000000001e-21,1.3216726000000001e-21,1.4846088e-21,1.6059256e-21
2,10,9.3619156e-22,1.1468653e-21,1.3409717000000002e-21,1.4998289e-21,1.6169403999999999e-21
2,11,9.611293599999999e-22,1.1711118e-21,1.3620266999999999e-21,1.5163072e-21,1.628809e-21
2,12,9.8780756e-22,1.1967391e-21,1.384058e-21,1.5334326000000001e-21,1.6411037000000001e-21
2,13,1.01574e-21,1.2232499e-21,1.4066364000000002e-21,1.5508867e-21,1.6536166999999998e-21
