hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6
0.0,0.053534,0.053534,0.05353388,0.170117,0.170117,0.17011742,0.683622,0.683622,0.68362242,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009882,220.009882,220.00988
0.0006,0.053522,0.053523,0.05352259,0.170115,0.170116,0.17011556,0.683622,0.683622,0.6836219,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009882,220.00988
0.0009,0.053517,0.053518,0.05351804,0.170115,0.170115,0.17011481,0.683622,0.683622,0.68362169,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009881,220.00988
0.0012,0.05351,0.053512,0.05351167,0.170113,0.170114,0.17011376,0.683621,0.683621,0.68362139,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009881,220.00988
0.0017,0.0535,0.053503,0.05350274,0.170112,0.170112,0.17011227,0.683621,0.683621,0.68362096,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009881,220.00988
0.0024,0.053487,0.05349,0.05349022,0.17011,0.17011,0.17011018,0.68362,0.68362,0.68362037,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987612,220.009881,220.009881,220.00988
0.0034,0.053468,0.053473,0.05347268,0.170106,0.170107,0.17010724,0.683619,0.68362,0.68361953,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987612,220.009881,220.009881,220.00988
0.0048,0.053442,0.053448,0.0534481,0.170102,0.170103,0.1701031,0.683618,0.683618,0.68361836,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987611,220.009881,220.009881,220.00988
0.0067,0.053405,0.053414,0.05341366,0.170096,0.170097,0.17009729,0.683616,0.683617,0.6836167,1.033083,1.033083,1.0330832,5.798761,5.798761,5.798761,220.00988,220.00988,220.00988
0.0094,0.053353,0.053365,0.05336542,0.170087,0.170089,0.1700891,0.683613,0.683614,0.68361436,1.033083,1.033083,1.0330831,5.798761,5.798761,5.7987609,220.00988,220.00988,220.00988
0.0131,0.05328,0.053298,0.05329786,0.170074,0.170078,0.17007759,0.68361,0.683611,0.68361106,1.033083,1.033083,1.0330831,5.798761,5.798761,5.7987607,220.009879,220.009879,220.00988
0.0184,0.053179,0.053203,0.05320332,0.170057,0.170061,0.17006139,0.683604,0.683606,0.68360642,1.033083,1.033083,1.0330831,5.79876,5.798761,5.7987605,220.009878,220.009878,220.00988
0.0258,0.053038,0.053071,0.05307109,0.170032,0.170039,0.1700386,0.683597,0.6836,0.68359988,1.033083,1.033083,1.0330831,5.79876,5.79876,5.7987601,220.009876,220.009877,220.00988
0.0362,0.052841,0.052886,0.05288631,0.169998,0.170007,0.17000654,0.683586,0.683591,0.68359065,1.033083,1.033083,1.033083,5.798759,5.79876,5.7987596,220.009874,220.009875,220.00987
0.0508,0.052568,0.052628,0.05262841,0.169949,0.169961,0.16996144,0.683571,0.683578,0.68357764,1.033083,1.033083,1.0330829,5.798759,5.798759,5.7987589,220.00987,220.009872,220.00987
0.0713,0.052189,0.05227,0.05226959,0.169881,0.169898,0.16989758,0.68355,0.683559,0.68355912,1.033083,1.033083,1.0330828,5.798757,5.798758,5.7987579,220.009866,220.009868,220.00987
0.1,0.051671,0.051773,0.05177339,0.169782,0.169806,0.16980579,0.68352,0.683532,0.6835321,1.033083,1.033083,1.0330825,5.798756,5.798756,5.7987563,220.009859,220.009862,220.00986
0.1403,0.050966,0.051092,0.05109151,0.169639,0.169673,0.16967251,0.683474,0.683492,0.68349202,1.033082,1.033082,1.0330822,5.798753,5.798754,5.7987538,220.009849,220.009853,220.00985
0.1968,0.050015,0.05016,0.05015954,0.169431,0.169479,0.16947891,0.683406,0.683432,0.68343238,1.033082,1.033082,1.0330815,5.798748,5.79875,5.7987498,220.009834,220.00984,220.00984
0.276,0.048748,0.048895,0.04889487,0.16913,0.169198,0.1691978,0.683305,0.683344,0.6833435,1.03308,1.03308,1.0330803,5.798741,5.798744,5.7987435,220.009811,220.009821,220.00982
0.3871,0.047081,0.047196,0.04719637,0.168695,0.16879,0.16879021,0.683153,0.683211,0.68321094,1.033078,1.033078,1.0330783,5.798729,5.798733,5.7987334,220.009778,220.009793,220.00979
0.5431,0.044923,0.044942,0.04494161,0.168065,0.168199,0.16819906,0.682926,0.683013,0.68301253,1.033075,1.033075,1.0330746,5.798709,5.798717,5.7987171,220.009727,220.00975,220.00975
