hPa,LBL,LBLg,PAR,LBLg - LBL,PAR - LBL
0.0,227.749,227.749,227.749,0.0,0.0
0.0006,227.74899,227.74899,227.74899,0.0,0.0
0.0009,227.74898,227.74898,227.74898,0.0,0.0
0.0012,227.74897,227.74897,227.74897,0.0,0.0
0.0017,227.74896,227.74896,227.74896,0.0,0.0
0.0024,227.74894,227.74895,227.74895,1.0000000003174137e-05,1.0000000003174137e-05
0.0034,227.74892000000003,227.74892000000003,227.74892999999997,0.0,9.999999946330718e-06
0.0048,227.74889,227.74889,227.74889,0.0,0.0
0.0067,227.74884,227.74885,227.74885,1.0000000003174137e-05,1.0000000003174137e-05
0.0094,227.74877999999998,227.74878999999999,227.74878999999999,1.0000000003174137e-05,1.0000000003174137e-05
0.0131,227.74868999999998,227.74871000000002,227.74871000000002,2.0000000034769982e-05,2.0000000034769982e-05
0.0184,227.74856,227.74858999999998,227.74858999999998,2.99999999811007e-05,2.99999999811007e-05
0.0258,227.74839,227.74842999999998,227.74842999999998,3.9999999984274837e-05,3.9999999984274837e-05
0.0362,227.74813999999998,227.7482,227.7482,6.000000001904482e-05,6.000000001904482e-05
0.0508,227.7478,227.74787999999998,227.74787999999998,7.999999996854967e-05,7.999999996854967e-05
0.0713,227.74732999999998,227.74742999999998,227.74743999999998,0.00010000000000331966,0.00011000000000649379
0.1,227.74667000000002,227.74681,227.74681,0.0001399999999875945,0.0001399999999875945
0.1403,227.74576000000002,227.74595,227.74595,0.00018999999997504347,0.00018999999997504347
0.1968,227.74452000000002,227.74473999999998,227.74473999999998,0.00021999999995614417,0.00021999999995614417
0.276,227.74282000000002,227.74308,227.74308,0.0002599999999688407,0.0002599999999688407
0.3871,227.74051,227.7408,227.7408,0.00029000000000678483,0.00029000000000678483
0.5431,227.73743,227.73769,227.73769,0.0002599999999972624,0.0002599999999972624
0.7617,227.73334,227.73351,227.73351,0.0001699999999971169,0.0001699999999971169
1.0685,227.728,227.72794,227.72794,-6.000000001904482e-05,-6.000000001904482e-05
1.4988,227.72117999999998,227.72069,227.72069,-0.0004899999999850024,-0.0004899999999850024
2.1024,227.71271000000002,227.71151,227.71151,-0.0012000000000114142,-0.0012000000000114142
2.949,227.70244,227.70027000000002,227.70027000000002,-0.002169999999978245,-0.002169999999978245
4.1366,227.69015,227.687,227.687,-0.0031499999999766715,-0.0031499999999766715
5.8025,227.67549,227.67174,227.67174,-0.0037499999999965894,-0.0037499999999965894
8.1392,227.65781,227.65417999999997,227.65417999999997,-0.003630000000043765,-0.003630000000043765
11.417,227.63592999999997,227.63307000000003,227.63307000000003,-0.002859999999941465,-0.002859999999941465
16.0147,227.60782000000003,227.60575,227.60575,-0.0020700000000317686,-0.0020700000000317686
22.464,227.57023999999998,227.56817999999998,227.56817999999998,-0.002060000000000173,-0.002060000000000173
31.5105,227.51827000000003,227.51486,227.51486,-0.0034100000000307773,-0.0034100000000307773
44.2001,227.44517000000002,227.43858999999998,227.43858999999998,-0.006580000000042219,-0.006580000000042219
62.0,227.3419,227.32876000000002,227.32877000000002,-0.013139999999992824,-0.01312999999998965
85.775,227.20327000000003,227.17641,227.17641,-0.02686000000002764,-0.02686000000002764
109.55,227.06437000000003,227.01833,227.01833,-0.04604000000003339,-0.04604000000003339
133.325,226.92545,226.85644,226.85644,-0.06901000000002,-0.06901000000002
157.1,226.78671,226.69315,226.69315,-0.09355999999999653,-0.09355999999999653
180.875,226.6482,226.53059,226.53059,-0.11761000000001332,-0.11761000000001332
204.65,226.50977000000003,226.37018999999998,226.37018999999998,-0.139580000000052,-0.139580000000052
228.425,226.37122000000002,226.21257999999997,226.21257999999997,-0.15864000000004808,-0.15864000000004808
252.2,226.2326,226.0582,226.0582,-0.17439999999999145,-0.17439999999999145
275.975,226.09395,225.90716,225.90716,-0.186790000000002,-0.186790000000002
299.75,225.95531,225.75937000000002,225.75937000000002,-0.1959399999999789,-0.1959399999999789
323.525,225.81672999999998,225.6148,225.6148,-0.20192999999997596,-0.20192999999997596
347.3,225.67825,225.47314,225.47314,-0.20510999999999058,-0.20510999999999058
371.075,225.53992000000002,225.33416,225.33416,-0.20576000000002637,-0.20576000000002637
394.85,225.40178999999998,225.19769,225.19769,-0.20409999999998263,-0.20409999999998263
418.625,225.26397000000003,225.06345,225.06345,-0.20052000000004,-0.20052000000004
442.4,225.12649,224.93114,224.93114,-0.1953499999999906,-0.1953499999999906
466.175,224.98942000000002,224.80053999999998,224.80053999999998,-0.18888000000004013,-0.18888000000004013
489.95,224.85277999999997,224.67147000000003,224.67147000000003,-0.18130999999993946,-0.18130999999993946
513.725,224.71662,224.54377999999997,224.54377999999997,-0.1728400000000363,-0.1728400000000363
537.5,224.58097999999998,224.41717999999997,224.41717999999997,-0.16380000000000905,-0.16380000000000905
561.275,224.44588,224.29153,224.29153,-0.15434999999999377,-0.15434999999999377
585.05,224.31135,224.16669,224.16669,-0.144660000000016,-0.144660000000016
608.825,224.17743,224.04254,224.04254,-0.1348899999999844,-0.1348899999999844
