,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot
0,0.0003,0.16448251,0.15265336,0.15263528,0.02715267,0.02517236,0.02516938,0.008093,0.00711913,0.00711829,3.499e-05,3.835e-05,3.834e-05,0.00041861,0.00036849,0.00036845,0.00182633,0.00156721,0.00156702,0.20200811,0.18691891,0.18689676
1,0.0008,0.16437625,0.1525899,0.15257183,0.02718671,0.02520495,0.02520196,0.00810844,0.00713274,0.0071319,3.526e-05,3.854e-05,3.854e-05,0.00042034,0.00036996,0.00036992,0.00182898,0.00156971,0.00156953,0.20195599,0.18690581,0.18688367
2,0.0011,0.16422187,0.15248746,0.1524694,0.02725938,0.02527449,0.0252715,0.00814111,0.00716166,0.00716081,3.572e-05,3.895e-05,3.895e-05,0.00042396,0.00037308,0.00037304,0.00183519,0.00157503,0.00157485,0.20191723,0.18691069,0.18688855
3,0.0015,0.16404655,0.15237354,0.15235549,0.02733657,0.0253482,0.0253452,0.00817602,0.00719233,0.00719148,3.623e-05,3.939e-05,3.938e-05,0.00042786,0.0003764,0.00037635,0.00184148,0.00158068,0.00158049,0.20186471,0.18691054,0.1868884
4,0.0021,0.16385182,0.15225064,0.15223261,0.02741408,0.02542204,0.02541903,0.00821134,0.00722309,0.00722223,3.678e-05,3.982e-05,3.982e-05,0.00043183,0.00037972,0.00037968,0.00184812,0.00158633,0.00158615,0.20179398,0.18690165,0.18687951
5,0.0029,0.16363032,0.15211536,0.15209734,0.02749182,0.0254959,0.02549288,0.00824706,0.0072539,0.00725304,3.739e-05,4.026e-05,4.025e-05,0.00043589,0.00038305,0.000383,0.00185484,0.001592,0.00159181,0.20169731,0.18688047,0.18685834
6,0.0041,0.16337157,0.15196282,0.15194481,0.02756973,0.02556974,0.02556671,0.00828324,0.00728477,0.0072839,3.807e-05,4.069e-05,4.069e-05,0.00044004,0.00038638,0.00038634,0.00186161,0.00159768,0.00159749,0.20156426,0.18684209,0.18681995
7,0.0057,0.16306103,0.15178617,0.15176819,0.02764777,0.0256435,0.02564046,0.00831993,0.00731568,0.00731482,3.886e-05,4.113e-05,4.113e-05,0.0004443,0.00038973,0.00038968,0.00186844,0.00160337,0.00160318,0.20138033,0.18677958,0.18675746
8,0.008,0.16267842,0.15157585,0.15155789,0.02772586,0.0257171,0.02571405,0.00835724,0.00734665,0.00734578,3.979e-05,4.157e-05,4.157e-05,0.00044871,0.00039307,0.00039303,0.00187541,0.00160907,0.00160888,0.20112543,0.18668332,0.18666121
9,0.0112,0.1621957,0.15131715,0.15129923,0.02780389,0.02579181,0.02578875,0.00839529,0.00737931,0.00737843,4.091e-05,4.232e-05,4.232e-05,0.00045329,0.00039679,0.00039675,0.0018825,0.00161516,0.00161497,0.20077158,0.18654254,0.18652044
