hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
0.0003,0.16415474,0.15252325,0.15242588,0.02732977,0.02530016,0.02534213,0.00817237,0.00713745,0.00718962,3.595e-05,3.563e-05,3.935e-05,0.00042736,0.00036618,0.00037611,0.00184112,0.00156477,0.00158018,0.20196131,0.18692744,0.18695327
0.0008,0.16375561,0.15225874,0.15216352,0.02751221,0.02547498,0.02551608,0.00825528,0.0072102,0.00726199,3.707e-05,3.674e-05,4.037e-05,0.00043664,0.00037403,0.00038392,0.00185655,0.00157805,0.00159349,0.20185336,0.18693275,0.18695938
0.0011,0.16307349,0.15177679,0.15168985,0.02788758,0.02583334,0.02587104,0.0084278,0.0073611,0.00740945,3.934e-05,3.899e-05,4.246e-05,0.00045624,0.00039052,0.00039985,0.00188953,0.0016061,0.00162062,0.20177398,0.18700684,0.18703326
0.0015,0.16234872,0.15126504,0.15119322,0.02827563,0.02620323,0.02623461,0.00860996,0.00751993,0.00756054,4.185e-05,4.149e-05,4.46e-05,0.00047743,0.00040824,0.00041617,0.00192503,0.00163627,0.00164841,0.20167863,0.18707419,0.18709755
0.0021,0.16157973,0.15072428,0.15067447,0.02867144,0.02657998,0.02660228,0.00879985,0.00768498,0.0077134,4.462e-05,4.423e-05,4.676e-05,0.00050008,0.00042705,0.00043269,0.00196272,0.00166831,0.00167653,0.20155844,0.18712882,0.18714612
0.0029,0.16075376,0.15014783,0.15012699,0.02907469,0.02696336,0.02697397,0.00899767,0.00785643,0.00786803,4.766e-05,4.724e-05,4.895e-05,0.00052429,0.00044702,0.00044939,0.0020027,0.00170232,0.00170498,0.20140077,0.18716419,0.18717232
0.0041,0.15983115,0.1495063,0.14946856,0.02948097,0.02734949,0.02735348,0.00920239,0.0080334,0.00804703,5.101e-05,5.055e-05,5.237e-05,0.0005501,0.00046816,0.00047168,0.00204489,0.00173817,0.00174298,0.20116052,0.18714608,0.18713611
0.0057,0.15876372,0.14876474,0.14871463,0.02988512,0.02773387,0.02773922,0.00941273,0.00821485,0.00824177,5.471e-05,5.42e-05,5.657e-05,0.00057754,0.00049049,0.0004975,0.00208904,0.00177571,0.00178702,0.20078285,0.18703385,0.18703671
0.008,0.15756523,0.14794782,0.14789161,0.03029487,0.02812366,0.02812861,0.00963152,0.00840313,0.00843873,5.881e-05,5.825e-05,6.081e-05,0.00060689,0.0005142,0.00052361,0.00213587,0.00181552,0.00183157,0.20029319,0.18686259,0.18687493
0.0112,0.15619108,0.14703112,0.14697931,0.03070949,0.02851852,0.02852263,0.00985906,0.00859854,0.0086379,6.34e-05,6.278e-05,6.531e-05,0.00063831,0.00053942,0.00055,0.00218556,0.00185776,0.00187633,0.1996469,0.18660814,0.18663147
0.0158,0.15458118,0.14598109,0.14592217,0.03112788,0.02891796,0.02891846,0.01009566,0.00880137,0.00884121,6.857e-05,6.788e-05,7.057e-05,0.00067198,0.00056626,0.00057743,0.00223825,0.00190255,0.00192212,0.19878351,0.18623712,0.18625197
0.0221,0.15265502,0.14475168,0.14467463,0.03154854,0.02932135,0.02931579,0.01034165,0.00901202,0.0090508,7.444e-05,7.366e-05,7.65e-05,0.00070808,0.00059487,0.00060641,0.00229411,0.00195005,0.00197007,0.19762185,0.18570364,0.18569419
0.031,0.15030936,0.14328271,0.14318496,0.03196741,0.02972601,0.02971323,0.0105963,0.00923001,0.00926666,8.115e-05,8.028e-05,8.317e-05,0.0007467,0.00062531,0.00063699,0.00235306,0.00200017,0.00202029,0.19605398,0.1849445,0.18490529
0.0435,0.14748642,0.14155939,0.14144072,0.03233185,0.03008449,0.03006446,0.0108305,0.00943098,0.00946493,8.83e-05,8.733e-05,9.028e-05,0.00078351,0.00065424,0.00066592,0.00240814,0.00204701,0.00206686,0.19392872,0.18386344,0.18379318
0.0611,0.144062,0.13952105,0.13938199,0.03259774,0.03035819,0.03033025,0.01101879,0.00959396,0.00962557,9.556e-05,9.449e-05,9.751e-05,0.00081437,0.00067857,0.00069042,0.0024527,0.00208491,0.00210488,0.19104115,0.18233118,0.18223063
0.0856,0.1397195,0.13694073,0.13678922,0.03280704,0.03058953,0.03055446,0.01118803,0.00974231,0.00977142,0.00010379,0.00010264,0.0001058,0.00084332,0.00070155,0.00071359,0.00249274,0.00211898,0.00213904,0.18715442,0.18019573,0.18007354
0.1201,0.13409559,0.13352681,0.13340593,0.03298631,0.0308077,0.03077443,0.0113608,0.00989577,0.00992297,0.00011403,0.00011279,0.00011589,0.00087435,0.00072631,0.00073808,0.00253361,0.00215377,0.00217347,0.18196469,0.17722316,0.17713078
0.1685,0.12692294,0.12903228,0.12897002,0.03313057,0.03101377,0.03099077,0.01154035,0.01005798,0.01008276,0.00012705,0.00012572,0.00012858,0.00090823,0.0007536,0.00076416,0.0025759,0.00218978,0.00220761,0.17520505,0.17317313,0.17314389
0.2364,0.11795848,0.12314848,0.12314175,0.03322848,0.03120499,0.03119472,0.01172935,0.0102324,0.01025222,0.00014393,0.00014248,0.00014475,0.00094589,0.00078426,0.00079234,0.00261994,0.00222732,0.00224111,0.16662607,0.16773995,0.1677669
0.3315,0.10706006,0.11551486,0.11551596,0.03326065,0.03137383,0.03136815,0.01193011,0.01042268,0.01043304,0.00016614,0.00016456,0.00016594,0.00098845,0.00081939,0.00082381,0.00266592,0.00226655,0.00227388,0.15607132,0.16056187,0.16058078
0.4651,0.09431938,0.10579719,0.10579197,0.03317538,0.03148578,0.03148203,0.01212871,0.01061942,0.01062732,0.00019532,0.00019362,0.00019483,0.00103447,0.00085821,0.00086132,0.00270944,0.00230376,0.00230848,0.14356271,0.15125797,0.15126595
0.6524,0.08037375,0.09413161,0.09409735,0.0325716,0.03118068,0.03116567,0.01207346,0.01061465,0.01063421,0.00022815,0.0002265,0.00022889,0.00103962,0.0008678,0.00087566,0.00268124,0.00228006,0.00229291,0.12896782,0.1393013,0.13929468
0.9151,0.06571703,0.08032576,0.08026828,0.03131677,0.03034031,0.03031627,0.01169698,0.01035295,0.01038128,0.00026787,0.00026648,0.00027032,0.00099431,0.00084109,0.00085252,0.00256307,0.00217996,0.00219793,0.11255602,0.12430655,0.1242866
1.2836,0.05094736,0.06406354,0.06404223,0.02977119,0.0293058,0.02929042,0.0112842,0.01007336,0.01010689,0.00032806,0.00032685,0.00033042,0.00095366,0.00081997,0.00083197,0.00243134,0.00206842,0.0020881,0.09571581,0.10665793,0.10669003
1.8006,0.03725975,0.0463833,0.04639296,0.02810338,0.02824083,0.02824862,0.01097465,0.00989488,0.0099382,0.00042008,0.00041884,0.00042425,0.00094279,0.00082466,0.00083775,0.00231728,0.00197204,0.00199191,0.08001791,0.08773455,0.0878337
2.5257,0.02556887,0.02937082,0.0293802,0.02631395,0.02713991,0.02714177,0.0108,0.00984503,0.00988339,0.00055629,0.00055472,0.00055816,0.00096838,0.00086184,0.00087333,0.0022215,0.00189139,0.00191011,0.06642901,0.0696637,0.06974696
3.5428,0.01626567,0.01545529,0.01546051,0.02440367,0.02597383,0.0259811,0.01080035,0.00995605,0.0100001,0.00075417,0.00075173,0.00075916,0.00104002,0.00094081,0.00095413,0.00214474,0.00182715,0.00184421,0.05540861,0.05490485,0.05499921
4.9695,0.00942135,0.00630769,0.00631724,0.02243094,0.02473822,0.02473945,0.01106738,0.01030425,0.01034054,0.00103766,0.00103336,0.00103717,0.00117762,0.00107967,0.00109061,0.00209785,0.00178865,0.00180476,0.0472328,0.04525183,0.04532977
6.9709,0.00486734,0.00182873,0.00183424,0.02039266,0.02333142,0.023355,0.01167938,0.0109562,0.01101106,0.00143832,0.00143044,0.00144297,0.00140367,0.00129902,0.00131496,0.00208813,0.00178218,0.00179863,0.0418695,0.04062799,0.04075686
9.7781,0.0021708,0.00033756,0.00033937,0.0181269,0.02146192,0.0214812,0.01263833,0.01191212,0.01195996,0.00200065,0.00198621,0.00199502,0.00173691,0.00161652,0.00163006,0.00210763,0.00180107,0.0018167,0.03878122,0.0391154,0.0392223
13.7158,0.00078719,3.458e-05,3.483e-05,0.01545022,0.01883137,0.0188517,0.01392729,0.01317822,0.01324384,0.00278527,0.00275949,0.00278116,0.00220745,0.00205917,0.00207929,0.00215441,0.0018437,0.00185908,0.03731183,0.03870652,0.0388499
19.2394,0.00021252,1.67e-06,1.68e-06,0.01224881,0.01526417,0.01526804,0.01543864,0.01476547,0.01481544,0.00386791,0.00382461,0.00384184,0.00286242,0.00266827,0.0026851,0.00223855,0.00191866,0.00193172,0.03686885,0.03844285,0.03854383
26.9872,4.007e-05,3e-08,3e-08,0.00866849,0.01088333,0.01087764,0.01679835,0.01661981,0.01667525,0.00532467,0.00526108,0.00529288,0.0037688,0.00350274,0.00352533,0.0023841,0.00204634,0.00205786,0.03698447,0.03831334,0.038429
37.8553,5.59e-06,0.0,0.0,0.00525335,0.00632601,0.0063178,0.01720026,0.01841912,0.01844396,0.00720933,0.00714159,0.0071689,0.00499512,0.00462459,0.004641,0.00260816,0.00224124,0.00224685,0.03727179,0.03875255,0.03881851
53.1,6.5e-07,0.0,0.0,0.00272474,0.00270589,0.00270142,0.01576414,0.01945671,0.0194758,0.00949267,0.00949429,0.0095333,0.00659836,0.00608881,0.00611399,0.00291912,0.00251045,0.00252176,0.03749968,0.04025614,0.04034627
73.8875,7e-08,0.0,0.0,0.00134522,0.00077683,0.00077639,0.01251514,0.01873978,0.01874896,0.0118439,0.01210749,0.01215712,0.00857576,0.00790141,0.0079406,0.00333082,0.00286591,0.00288762,0.0376109,0.04239142,0.04251069
97.6625,1e-08,0.0,0.0,0.00074881,0.00016873,0.00016923,0.00901135,0.01613843,0.01612402,0.0134689,0.01422378,0.01424225,0.01057732,0.00975189,0.00978139,0.00378556,0.00325851,0.00328102,0.03759195,0.04354135,0.0435979
121.4375,0.0,0.0,0.0,0.00048055,3.683e-05,3.699e-05,0.00636722,0.01282283,0.01279792,0.01408389,0.01541742,0.01543599,0.01233107,0.01139343,0.01142717,0.00422121,0.00363548,0.00365961,0.03748394,0.04330598,0.04335768
