hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
0.0003,0.16448251,0.15275106,0.15265371,0.02715267,0.02513068,0.0251723,0.008093,0.00706777,0.00711913,3.499e-05,3.468e-05,3.835e-05,0.00041861,0.00035876,0.00036849,0.00182633,0.00155215,0.00156721,0.20200811,0.18689509,0.18691918
0.0008,0.16437625,0.15268711,0.15259024,0.02718671,0.02516356,0.02520489,0.00810844,0.00708141,0.00713274,3.526e-05,3.495e-05,3.854e-05,0.00042034,0.00036023,0.00036996,0.00182898,0.00155457,0.00156971,0.20195599,0.18688182,0.18690608
0.0011,0.16422187,0.15258433,0.15248781,0.02725938,0.02523324,0.02527443,0.00814111,0.00711014,0.00716166,3.572e-05,3.54e-05,3.895e-05,0.00042396,0.00036331,0.00037308,0.00183519,0.00155975,0.00157503,0.20191723,0.18688616,0.18691096
0.0015,0.16404655,0.15246962,0.15237388,0.02733657,0.02530732,0.02534814,0.00817602,0.00714084,0.00719233,3.623e-05,3.591e-05,3.939e-05,0.00042786,0.00036661,0.0003764,0.00184148,0.00156529,0.00158068,0.20186471,0.18688559,0.18691081
0.0021,0.16385182,0.15234543,0.15225098,0.02741408,0.0253818,0.02542197,0.00821134,0.00717191,0.00722309,3.678e-05,3.646e-05,3.982e-05,0.00043183,0.00036999,0.00037972,0.00184812,0.00157091,0.00158633,0.20179398,0.18687648,0.18690192
0.0029,0.16363032,0.15220824,0.15211571,0.02749182,0.02545664,0.02549583,0.00824706,0.00720335,0.0072539,3.739e-05,3.706e-05,4.026e-05,0.00043589,0.00037343,0.00038305,0.00185484,0.0015766,0.001592,0.20169731,0.18685531,0.18688075
0.0041,0.16337157,0.15205304,0.15196316,0.02756973,0.02553189,0.02556968,0.00828324,0.00723524,0.00728476,3.807e-05,3.774e-05,4.069e-05,0.00044004,0.00037695,0.00038638,0.00186161,0.00158236,0.00159768,0.20156426,0.18681721,0.18684236
0.0057,0.16306103,0.15187281,0.15178651,0.02764777,0.02560758,0.02564344,0.00831993,0.00726764,0.00731568,3.886e-05,3.852e-05,4.113e-05,0.0004443,0.00038057,0.00038973,0.00186844,0.0015882,0.00160337,0.20138033,0.18675534,0.18677986
0.008,0.16267842,0.15165773,0.15157619,0.02772586,0.0256838,0.02571703,0.00835724,0.00730069,0.00734665,3.979e-05,3.945e-05,4.157e-05,0.00044871,0.00038432,0.00039307,0.00187541,0.00159413,0.00160907,0.20112543,0.18666012,0.18668359
0.0112,0.1621957,0.15139412,0.15131749,0.02780389,0.02576063,0.02579174,0.00839529,0.00733453,0.0073793,4.091e-05,4.057e-05,4.232e-05,0.00045329,0.00038824,0.00039679,0.0018825,0.00160014,0.00161516,0.20077158,0.18651822,0.18654281
0.0158,0.1615741,0.15106287,0.15097289,0.02788167,0.02583818,0.02586619,0.00843425,0.00736938,0.0074146,4.23e-05,4.196e-05,4.379e-05,0.0004581,0.00039236,0.00040125,0.00188966,0.00160625,0.00162177,0.20028008,0.186311,0.18632049
0.0221,0.1607602,0.15063732,0.15053086,0.02795901,0.02591667,0.02594016,0.00847438,0.00740557,0.00745005,4.407e-05,4.372e-05,4.564e-05,0.00046321,0.00039676,0.0004058,0.00189697,0.00161246,0.00162809,0.19959785,0.18601251,0.18600061
0.031,0.159681,0.15008042,0.14996246,0.02803563,0.02599638,0.02601527,0.00851606,0.00744356,0.0074866,4.636e-05,4.601e-05,4.793e-05,0.00046871,0.00040154,0.00041057,0.00190442,0.0016188,0.00163433,0.19865219,0.18558671,0.18555717
0.0435,0.15822979,0.14933473,0.14921092,0.02811629,0.02608263,0.02609727,0.00856223,0.00748609,0.00752701,4.941e-05,4.905e-05,5.101e-05,0.00047504,0.00040707,0.00041593,0.00191251,0.00162568,0.00164079,0.19734528,0.18498525,0.18494293
0.0611,0.15603386,0.14813768,0.14800331,0.02836273,0.02633027,0.02633885,0.00869067,0.00760111,0.00763977,5.455e-05,5.418e-05,5.614e-05,0.00049149,0.00042112,0.00042992,0.0019365,0.00164609,0.00166099,0.19556981,0.18419045,0.18412898
0.0856,0.15256901,0.14607842,0.14590784,0.0290436,0.02699492,0.0269922,0.00903819,0.00790704,0.00794428,6.421e-05,6.378e-05,6.599e-05,0.00053553,0.00045801,0.00046739,0.00200469,0.00170407,0.00171963,0.19325524,0.18320623,0.18309734
0.1201,0.14779122,0.1430739,0.14294201,0.03001546,0.0279404,0.02793771,0.00956085,0.00836404,0.0084029,7.89e-05,7.837e-05,8.085e-05,0.00060561,0.0005158,0.00052604,0.00211176,0.00179509,0.00181239,0.1901638,0.18176761,0.18170188
0.1685,0.14198364,0.13934567,0.13927898,0.03102849,0.02893106,0.02893266,0.01014771,0.00887541,0.00891298,9.815e-05,9.746e-05,0.00010004,0.00069044,0.00058473,0.00059489,0.0022376,0.00190209,0.00191954,0.18618603,0.17973642,0.17973909
0.2364,0.13502444,0.13477789,0.13473946,0.0320613,0.02995057,0.02994949,0.01079652,0.00943961,0.00946903,0.0001232,0.00012227,0.00012457,0.0007918,0.00066596,0.00067456,0.00238347,0.00202612,0.00204083,0.18118073,0.17698242,0.17699793
0.3315,0.12668407,0.1291113,0.12905785,0.03308846,0.03098194,0.03097036,0.01150873,0.01005889,0.01007221,0.00015584,0.00015455,0.00015606,0.00091283,0.00076184,0.00076683,0.00255154,0.00216906,0.00217711,0.17490147,0.17323758,0.17320042
0.4651,0.11674431,0.12201778,0.12201765,0.03406441,0.03199265,0.0319903,0.01228063,0.01073181,0.01073737,0.00019838,0.00019657,0.00019758,0.00105686,0.00087493,0.00087724,0.00274316,0.00233205,0.00233546,0.16708775,0.16814579,0.1681556
0.6524,0.10529488,0.11336294,0.11332742,0.03497988,0.03298663,0.03295947,0.01312223,0.01146913,0.01148814,0.00025402,0.00025145,0.00025469,0.00122869,0.00100909,0.00101999,0.00296277,0.00251889,0.00253708,0.15784247,0.16159812,0.16158679
0.9151,0.09267407,0.10320777,0.10313953,0.03556052,0.03372943,0.0336857,0.01386076,0.01213161,0.01215534,0.00032175,0.00031834,0.00032321,0.00139686,0.00114177,0.00115688,0.00315938,0.00268628,0.00271074,0.14697335,0.1532152,0.1531714
1.2836,0.07948197,0.09193673,0.0918971,0.03521759,0.03369859,0.03366404,0.01404336,0.0123515,0.01236991,0.00039219,0.00038858,0.00039213,0.00146135,0.00120127,0.00121301,0.00318283,0.00270657,0.00272588,0.13377929,0.14228324,0.14226207
1.8006,0.06569399,0.07896206,0.07896167,0.03404187,0.03298047,0.03296915,0.01373634,0.01218701,0.01221509,0.00047519,0.00047196,0.00047721,0.00143239,0.00119647,0.00120921,0.00304296,0.00258811,0.00260753,0.11842275,0.12838608,0.12843986
2.5257,0.05157705,0.06366175,0.06366331,0.03258327,0.0320789,0.03206284,0.01340304,0.01202091,0.01204678,0.00059694,0.00059389,0.00059748,0.00141221,0.00120341,0.00121534,0.00287904,0.00244928,0.00246926,0.10245154,0.11200814,0.11205501
3.5428,0.03819612,0.04683225,0.04681798,0.03100254,0.03113874,0.03112728,0.01321305,0.01199311,0.01202644,0.00077823,0.0007748,0.0007824,0.0014384,0.00125181,0.00126623,0.00273231,0.00232517,0.00234473,0.08736065,0.09431588,0.09436506
4.9695,0.02652004,0.03032827,0.03032326,0.02933385,0.03017471,0.03014761,0.0132521,0.01217162,0.01219476,0.00104351,0.0010387,0.00104259,0.00153061,0.00135903,0.00137105,0.0026129,0.00222445,0.00224342,0.07429301,0.07729679,0.0773227
6.9709,0.01705052,0.01648228,0.01649147,0.02755563,0.02912689,0.02913056,0.01359911,0.0126144,0.01265919,0.00142475,0.00141681,0.00142929,0.00170988,0.00154417,0.00156197,0.00252593,0.00215149,0.00217221,0.06386582,0.06333604,0.06344469
9.7781,0.00995395,0.00708548,0.00709808,0.02561283,0.02788586,0.02789456,0.01434104,0.01338251,0.01342341,0.00196798,0.00195372,0.00196275,0.0020014,0.00183035,0.0018461,0.0024745,0.00210899,0.00212987,0.05635169,0.0542469,0.05435477
13.7158,0.00511584,0.00223467,0.00223963,0.0233183,0.02621205,0.02622927,0.01553918,0.01451655,0.01457613,0.00273635,0.00271002,0.00273148,0.00243516,0.00224478,0.00226735,0.0024574,0.00209593,0.00211688,0.05160223,0.05001401,0.05016074
19.2394,0.0022136,0.00047218,0.00047407,0.02040335,0.02381305,0.02381634,0.01722976,0.01607627,0.01612255,0.00381475,0.00376653,0.00378311,0.00305702,0.00282756,0.00284654,0.00248293,0.00211938,0.00213797,0.04920141,0.04907496,0.04918057
26.9872,0.00076182,6.036e-05,6.077e-05,0.01662307,0.02039582,0.02039019,0.01929648,0.01812388,0.01818216,0.00530513,0.00522064,0.00525134,0.00393392,0.00363627,0.00366173,0.0025732,0.00219812,0.00221616,0.04849362,0.04963508,0.04976234
37.8553,0.000201,4.22e-06,4.27e-06,0.01205913,0.01580004,0.01579503,0.02118048,0.020563,0.0206143,0.00731363,0.00717852,0.00720948,0.00513443,0.00473051,0.00475581,0.00274276,0.00234447,0.00236205,0.04863143,0.05062075,0.05074093
53.1,4.236e-05,1.5e-07,1.5e-07,0.00747912,0.01044757,0.01044001,0.02179907,0.02301913,0.02306593,0.0099274,0.00974628,0.00979065,0.00672553,0.00616938,0.00620162,0.00300138,0.00256669,0.00258628,0.04897485,0.05194919,0.05208465
73.8875,8.14e-06,0.0,0.0,0.00403957,0.00558483,0.00558199,0.02007642,0.02465591,0.0246865,0.01300901,0.01285917,0.01291587,0.00872617,0.00796956,0.0080103,0.00336608,0.00287932,0.00290235,0.04922539,0.05394879,0.05409701
