hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
0.0,0.053534,0.053534,0.053534,0.170117,0.170117,0.170117,0.683622,0.683622,0.683622,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009882,220.009882,220.009882,227.749,227.749,227.749
0.0006,0.053522,0.053523,0.053523,0.170115,0.170116,0.170115,0.683622,0.683622,0.683621,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009881,220.009882,220.009882,227.74899,227.74899,227.74899
0.0009,0.053517,0.053518,0.053518,0.170115,0.170115,0.170114,0.683622,0.683622,0.683621,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009881,220.009881,220.009882,227.74898,227.74898,227.74898
0.0012,0.05351,0.053512,0.053512,0.170113,0.170114,0.170113,0.683621,0.683621,0.683621,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009881,220.009881,220.009882,227.74897,227.74897,227.74897
0.0017,0.053501,0.053503,0.053503,0.170112,0.170112,0.170112,0.683621,0.683621,0.68362,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009881,220.009881,220.009882,227.74896,227.74896,227.74896
0.0024,0.053487,0.05349,0.053491,0.170109,0.17011,0.17011,0.68362,0.68362,0.68362,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009881,220.009881,220.009882,227.74894,227.74895,227.74895
0.0034,0.053469,0.053473,0.053473,0.170106,0.170107,0.170106,0.683619,0.683619,0.683619,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009881,220.009881,220.009881,227.74892,227.74892,227.74892
0.0048,0.053443,0.053449,0.053449,0.170101,0.170102,0.170102,0.683617,0.683618,0.683618,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009881,220.009881,220.009881,227.74889,227.74889,227.74889
0.0067,0.053407,0.053415,0.053415,0.170094,0.170096,0.170096,0.683615,0.683616,0.683616,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.00988,220.00988,220.009881,227.74884,227.74885,227.74885
0.0094,0.053356,0.053368,0.053368,0.170085,0.170087,0.170087,0.683612,0.683614,0.683613,1.033083,1.033083,1.033083,5.798761,5.798761,5.79876,220.009879,220.00988,220.00988,227.74878,227.74879,227.74879
0.0131,0.053286,0.053302,0.053302,0.170071,0.170074,0.170074,0.683608,0.68361,0.683609,1.033083,1.033083,1.033083,5.798761,5.798761,5.79876,220.009878,220.009879,220.009879,227.74869,227.74871,227.74871
0.0184,0.053188,0.05321,0.05321,0.170052,0.170056,0.170056,0.683602,0.683604,0.683604,1.033083,1.033083,1.033083,5.79876,5.79876,5.79876,220.009877,220.009878,220.009878,227.74856,227.74859,227.74859
0.0258,0.053052,0.053082,0.053082,0.170024,0.170031,0.17003,0.683592,0.683596,0.683596,1.033083,1.033083,1.033083,5.79876,5.79876,5.798759,220.009875,220.009876,220.009876,227.74839,227.74843,227.74843
0.0362,0.052864,0.052904,0.052904,0.169984,0.169994,0.169994,0.683579,0.683585,0.683584,1.033083,1.033083,1.033083,5.798759,5.798759,5.798759,220.009872,220.009873,220.009874,227.74814,227.7482,227.7482
0.0508,0.052602,0.052655,0.052656,0.169928,0.169942,0.169942,0.683561,0.683569,0.683568,1.033083,1.033083,1.033083,5.798757,5.798758,5.798757,220.009868,220.00987,220.00987,227.7478,227.74788,227.74788
0.0713,0.05224,0.05231,0.052311,0.169849,0.169868,0.169868,0.683534,0.683545,0.683545,1.033083,1.033083,1.033082,5.798755,5.798756,5.798756,220.009862,220.009865,220.009865,227.74732,227.74743,227.74743
0.1,0.051741,0.051832,0.051833,0.169737,0.169764,0.169764,0.683496,0.683512,0.683511,1.033082,1.033082,1.033082,5.798752,5.798754,5.798753,220.009853,220.009858,220.009858,227.74666,227.7468,227.7468
0.1403,0.051057,0.05117,0.051172,0.169579,0.169617,0.169617,0.683442,0.683465,0.683464,1.033082,1.033082,1.033081,5.798748,5.79875,5.79875,220.009841,220.009847,220.009847,227.74575,227.74593,227.74593
0.1968,0.050126,0.050258,0.050261,0.169356,0.169408,0.169409,0.683364,0.683398,0.683397,1.033081,1.033081,1.033081,5.798742,5.798745,5.798745,220.009824,220.009833,220.009833,227.74449,227.74472,227.74472
0.276,0.048872,0.049011,0.049014,0.169041,0.169114,0.169114,0.683254,0.683302,0.6833,1.033079,1.033079,1.033079,5.798733,5.798738,5.798737,220.0098,220.009812,220.009812,227.74278,227.74306,227.74306
0.3871,0.047207,0.047322,0.047325,0.168597,0.168698,0.168698,0.683097,0.683164,0.683163,1.033077,1.033077,1.033077,5.79872,5.798727,5.798726,220.009764,220.009782,220.009782,227.74046,227.74077,227.74077
0.5431,0.045029,0.045056,0.045059,0.167971,0.16811,0.168111,0.682872,0.682968,0.682966,1.033074,1.033074,1.033073,5.798701,5.798711,5.79871,220.009714,220.009739,220.009739,227.73736,227.73766,227.73766
0.7617,0.042242,0.04206,0.042065,0.167104,0.167291,0.167292,0.682559,0.682693,0.682691,1.033068,1.033068,1.033067,5.798674,5.798689,5.798688,220.009645,220.00968,220.00968,227.73329,227.73348,227.73348
1.0685,0.038762,0.038164,0.038172,0.16592,0.166166,0.166168,0.682132,0.682316,0.682313,1.033058,1.033058,1.033058,5.798638,5.798658,5.798657,220.009552,220.009601,220.0096,227.72806,227.72796,227.72797
1.4988,0.03459,0.03327,0.033281,0.164318,0.16463,0.164632,0.681553,0.681801,0.681796,1.033041,1.033042,1.033041,5.798589,5.798617,5.798614,220.009428,220.009496,220.009493,227.72152,227.72085,227.72086
2.1024,0.029825,0.027419,0.027431,0.162154,0.16253,0.162532,0.680762,0.681092,0.681084,1.033011,1.033012,1.03301,5.798522,5.798558,5.798555,220.009262,220.009355,220.009351,227.71354,227.71196,227.71196
2.949,0.024665,0.020891,0.020904,0.159237,0.159656,0.159658,0.679668,0.6801,0.680088,1.032955,1.032956,1.032954,5.798425,5.798471,5.798467,220.009039,220.009165,220.009159,227.70399,227.70124,227.70123
4.1366,0.019375,0.014271,0.014287,0.155311,0.155714,0.155715,0.678127,0.678691,0.678672,1.032849,1.03285,1.032848,5.798278,5.798339,5.798333,220.008737,220.008908,220.0089,227.69268,227.68877,227.68875
5.8025,0.014266,0.00839,0.008405,0.150028,0.150286,0.150287,0.675903,0.676639,0.676614,1.032644,1.032646,1.032643,5.798046,5.798126,5.798117,220.008322,220.008555,220.008544,227.67921,227.67464,227.67461
8.1392,0.009666,0.004024,0.004035,0.14292,0.142789,0.142782,0.672591,0.673568,0.673527,1.032246,1.03225,1.032243,5.797657,5.797766,5.797753,220.007743,220.008062,220.008046,227.66282,227.65846,227.65839
11.417,0.005873,0.001468,0.001474,0.133438,0.132489,0.132472,0.66752,0.668858,0.668798,1.031468,1.031478,1.031468,5.796982,5.797138,5.79712,220.006923,220.007362,220.007341,227.6422,227.63879,227.63867
16.0147,0.003094,0.000374,0.000376,0.121074,0.118592,0.118557,0.659572,0.661481,0.661384,1.029945,1.029972,1.02995,5.795777,5.796016,5.795988,220.005745,220.006358,220.006328,227.61521,227.61279,227.61258
22.464,0.001364,6e-05,6.1e-05,0.105651,0.100481,0.100435,0.646896,0.649719,0.649579,1.026969,1.027037,1.027001,5.793585,5.793977,5.793935,220.004028,220.004893,220.004852,227.57849,227.57617,227.57586
31.5105,0.000497,5e-06,6e-06,0.087843,0.078284,0.078239,0.626636,0.630702,0.630493,1.021184,1.02135,1.02128,5.789531,5.790219,5.790153,220.001461,220.0027,220.002647,227.52715,227.52326,227.52282
44.2001,0.000156,0.0,0.0,0.069592,0.053788,0.053761,0.595141,0.599942,0.59968,1.010055,1.010433,1.010321,5.781978,5.783253,5.783162,219.997519,219.999331,219.99927,227.45444,227.44675,227.44619
