hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
0.0,0.053534,0.053534,0.053534,0.170117,0.170117,0.170117,0.683622,0.683622,0.683622,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009882,220.009882,220.009882,227.749,227.749,227.749
0.0006,0.053522,0.053523,0.053523,0.170115,0.170116,0.170115,0.683622,0.683622,0.683621,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009881,220.009882,220.009882,227.74899,227.74899,227.74899
0.0009,0.053517,0.053518,0.053518,0.170115,0.170115,0.170114,0.683622,0.683622,0.683621,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009881,220.009881,220.009882,227.74898,227.74898,227.74898
0.0012,0.05351,0.053512,0.053512,0.170113,0.170114,0.170113,0.683621,0.683621,0.683621,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009881,220.009881,220.009882,227.74897,227.74897,227.74897
0.0017,0.0535,0.053503,0.053503,0.170112,0.170112,0.170112,0.683621,0.683621,0.683621,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009881,220.009881,220.009882,227.74896,227.74896,227.74896
0.0024,0.053487,0.05349,0.05349,0.17011,0.17011,0.17011,0.68362,0.68362,0.68362,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009881,220.009881,220.009882,227.74894,227.74895,227.74895
0.0034,0.053468,0.053473,0.053473,0.170106,0.170107,0.170107,0.683619,0.68362,0.683619,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009881,220.009881,220.009881,227.74892,227.74892,227.74892
0.0048,0.053442,0.053448,0.053448,0.170102,0.170103,0.170103,0.683618,0.683618,0.683618,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.009881,220.009881,220.009881,227.74889,227.74889,227.74889
0.0067,0.053405,0.053414,0.053414,0.170096,0.170097,0.170097,0.683616,0.683617,0.683616,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.00988,220.00988,220.009881,227.74884,227.74885,227.74885
0.0094,0.053353,0.053365,0.053366,0.170087,0.170089,0.170089,0.683613,0.683614,0.683614,1.033083,1.033083,1.033083,5.798761,5.798761,5.798761,220.00988,220.00988,220.00988,227.74878,227.74879,227.74879
0.0131,0.053281,0.053298,0.053298,0.170074,0.170078,0.170077,0.683609,0.683611,0.683611,1.033083,1.033083,1.033083,5.798761,5.798761,5.79876,220.009879,220.009879,220.009879,227.74869,227.74871,227.74871
0.0184,0.05318,0.053203,0.053204,0.170057,0.170061,0.170061,0.683604,0.683606,0.683606,1.033083,1.033083,1.033083,5.79876,5.798761,5.79876,220.009878,220.009878,220.009878,227.74856,227.74859,227.74859
0.0258,0.053038,0.053071,0.053072,0.170032,0.170038,0.170038,0.683597,0.6836,0.683599,1.033083,1.033083,1.033083,5.79876,5.79876,5.79876,220.009876,220.009877,220.009877,227.74839,227.74843,227.74843
0.0362,0.052842,0.052886,0.052887,0.169997,0.170006,0.170006,0.683586,0.683591,0.68359,1.033083,1.033083,1.033083,5.798759,5.79876,5.798759,220.009873,220.009875,220.009875,227.74814,227.7482,227.7482
0.0508,0.052569,0.052629,0.052629,0.169949,0.169961,0.16996,0.683571,0.683578,0.683577,1.033083,1.033083,1.033083,5.798759,5.798759,5.798759,220.00987,220.009872,220.009872,227.7478,227.74788,227.74788
0.0713,0.052192,0.05227,0.052271,0.169879,0.169896,0.169896,0.68355,0.683559,0.683558,1.033083,1.033083,1.033083,5.798757,5.798758,5.798757,220.009865,220.009868,220.009868,227.74733,227.74743,227.74743
0.1,0.051675,0.051775,0.051777,0.169779,0.169803,0.169803,0.683518,0.683531,0.683531,1.033083,1.033083,1.033082,5.798755,5.798756,5.798756,220.009858,220.009862,220.009862,227.74667,227.74681,227.74681
0.1403,0.050972,0.051095,0.051097,0.169634,0.169668,0.169668,0.683472,0.683491,0.68349,1.033082,1.033082,1.033082,5.798752,5.798754,5.798753,220.009848,220.009853,220.009853,227.74576,227.74594,227.74594
0.1968,0.050025,0.050165,0.050168,0.169425,0.169473,0.169472,0.683403,0.68343,0.683429,1.033081,1.033082,1.033081,5.798748,5.79875,5.798749,220.009833,220.00984,220.00984,227.74451,227.74474,227.74474
0.276,0.048759,0.048903,0.048906,0.169121,0.16919,0.169189,0.6833,0.683341,0.683339,1.03308,1.03308,1.03308,5.79874,5.798743,5.798743,220.00981,220.009821,220.009821,227.74281,227.74308,227.74308
0.3871,0.047094,0.047206,0.04721,0.168684,0.16878,0.16878,0.683147,0.683207,0.683206,1.033078,1.033078,1.033078,5.798728,5.798733,5.798732,220.009776,220.009792,220.009792,227.74051,227.7408,227.7408
0.5431,0.044937,0.044953,0.044957,0.168053,0.168188,0.168187,0.682919,0.683008,0.683006,1.033075,1.033075,1.033074,5.798708,5.798717,5.798716,220.009725,220.009749,220.009749,227.73742,227.73769,227.73769
0.7617,0.042206,0.042014,0.042018,0.167149,0.167335,0.167336,0.682581,0.682712,0.68271,1.033068,1.033068,1.033068,5.798677,5.798691,5.79869,220.009649,220.009684,220.009683,227.73333,227.7335,227.7335
1.0685,0.038814,0.038232,0.038238,0.16588,0.166131,0.166132,0.682094,0.682286,0.682282,1.033057,1.033057,1.033056,5.798629,5.798652,5.79865,220.009539,220.009591,220.009589,227.72801,227.72795,227.72795
1.4988,0.034729,0.033491,0.033498,0.164133,0.164458,0.164461,0.681416,0.681687,0.681682,1.033038,1.033038,1.033037,5.798563,5.798596,5.798594,220.009388,220.009462,220.00946,227.72127,227.72073,227.72073
2.1024,0.030014,0.0278,0.027808,0.161755,0.162153,0.162157,0.680478,0.680852,0.680845,1.033005,1.033006,1.033004,5.798469,5.798518,5.798514,220.009184,220.009288,220.009284,227.7129,227.71162,227.71161
2.949,0.024842,0.021391,0.0214,0.158549,0.158996,0.159002,0.679183,0.679688,0.679678,1.032946,1.032947,1.032945,5.798337,5.798404,5.798399,220.008909,220.009055,220.009048,227.70277,227.70048,227.70047
4.1366,0.019483,0.014806,0.014818,0.154252,0.154681,0.15469,0.677378,0.678048,0.678033,1.032838,1.032839,1.032836,5.798145,5.798236,5.798229,220.00854,220.008741,220.008731,227.69064,227.68735,227.68734
5.8025,0.014272,0.008852,0.008864,0.148528,0.148796,0.148809,0.674822,0.675698,0.675677,1.032632,1.032634,1.032631,5.797855,5.797977,5.797967,220.008041,220.008316,220.008302,227.67615,227.67227,227.67225
8.1392,0.009573,0.004332,0.004341,0.140964,0.140805,0.140815,0.671124,0.672266,0.672233,1.032238,1.032242,1.032235,5.797395,5.79756,5.797546,220.007361,220.007736,220.007717,227.65865,227.65494,227.65489
11.417,0.005722,0.001617,0.001621,0.131079,0.13005,0.130056,0.665634,0.667145,0.667097,1.031472,1.031482,1.031472,5.796636,5.796863,5.796843,220.006424,220.006938,220.00691,227.63697,227.63409,227.634
16.0147,0.002942,0.000421,0.000423,0.118429,0.115835,0.115833,0.657261,0.659331,0.659252,1.029978,1.030002,1.02998,5.795332,5.795659,5.795628,220.005115,220.005822,220.005784,227.60906,227.60707,227.6069
22.464,0.00125,6.9e-05,7e-05,0.102879,0.097674,0.097672,0.644198,0.647157,0.647049,1.027052,1.027114,1.027081,5.793028,5.793525,5.793481,220.003257,220.004236,220.004187,227.57166,227.56977,227.56954
31.5105,0.000432,6e-06,6e-06,0.085134,0.075827,0.075827,0.623665,0.627888,0.627724,1.021337,1.021492,1.021427,5.78887,5.789676,5.78961,220.000565,220.001936,220.001875,227.52,227.51683,227.51647
44.2001,0.000127,0.0,0.0,0.067167,0.052041,0.052047,0.59206,0.597175,0.596958,1.010248,1.010615,1.010508,5.781271,5.782669,5.782577,219.996571,219.998522,219.998451,227.44744,227.44102,227.44054
