hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
0.0003,0.16441862,0.15270498,0.15260749,0.02719132,0.02516764,0.02520935,0.00811022,0.00708289,0.00713451,3.52e-05,3.488e-05,3.857e-05,0.0004205,0.00036036,0.00037015,0.00182954,0.00155488,0.00157004,0.20200539,0.18690564,0.18693012
0.0008,0.16430208,0.15263353,0.15253658,0.02723165,0.02520651,0.02524793,0.00812851,0.00709903,0.0071506,3.55e-05,3.519e-05,3.88e-05,0.00042255,0.00036211,0.00037189,0.00183276,0.00155776,0.001573,0.20195305,0.18689412,0.1869188
0.0011,0.16413208,0.1525193,0.15242288,0.02731387,0.02528532,0.02532652,0.00816555,0.00713158,0.00718328,3.602e-05,3.57e-05,3.926e-05,0.00042667,0.0003656,0.00037542,0.00183975,0.00156364,0.00157901,0.20191394,0.18690113,0.18692637
0.0015,0.16394625,0.15239677,0.15230138,0.02739758,0.0253656,0.02540632,0.00820351,0.00716494,0.00721648,3.657e-05,3.624e-05,3.973e-05,0.00043091,0.0003692,0.00037901,0.00184666,0.00156968,0.00158512,0.20186148,0.18690243,0.18692803
0.0021,0.16374109,0.15226473,0.15217093,0.02748162,0.02544628,0.02548624,0.0082419,0.00719868,0.00724976,3.716e-05,3.683e-05,4.02e-05,0.00043525,0.00037287,0.0003826,0.0018539,0.00157581,0.00159124,0.20179091,0.18689521,0.18692097
0.0029,0.16350918,0.15211964,0.15202808,0.02756593,0.02552738,0.02556621,0.00828075,0.00723285,0.00728311,3.781e-05,3.748e-05,4.067e-05,0.00043967,0.00037662,0.00038621,0.00186124,0.00158203,0.00159738,0.20169458,0.18687599,0.18690165
0.0041,0.16324014,0.1519565,0.15186798,0.02765046,0.02560891,0.02564617,0.00832009,0.00726749,0.00731652,3.854e-05,3.82e-05,4.114e-05,0.0004442,0.00038045,0.00038982,0.0018686,0.00158833,0.00160352,0.20156203,0.18683988,0.18686515
0.0057,0.16291941,0.15176826,0.15168375,0.0277352,0.02569096,0.0257261,0.00836002,0.0073027,0.00735,3.937e-05,3.903e-05,4.162e-05,0.00044885,0.0003844,0.00039343,0.00187613,0.00159472,0.00160969,0.20137898,0.18678007,0.18680458
0.008,0.16252692,0.15154519,0.1514659,0.02782001,0.02577355,0.02580587,0.00840061,0.00733858,0.00738354,4.035e-05,4e-05,4.209e-05,0.00045365,0.00038848,0.00039706,0.00188375,0.00160121,0.00161586,0.20112529,0.18668701,0.18671032
0.0112,0.16203475,0.15127359,0.15119897,0.0279048,0.02585678,0.02588689,0.00844199,0.0073753,0.00741899,4.152e-05,4.117e-05,4.289e-05,0.00045864,0.00039273,0.0004011,0.00189151,0.0016078,0.0016225,0.2007732,0.18654737,0.18657134
0.0158,0.16140431,0.1509344,0.15084457,0.02798939,0.02594079,0.02596791,0.00848433,0.00741308,0.0074576,4.296e-05,4.261e-05,4.443e-05,0.00046387,0.00039719,0.00040599,0.00189936,0.0016145,0.00162984,0.20028423,0.18634257,0.18635033
0.0221,0.16058252,0.15050104,0.15039266,0.02807358,0.02602576,0.02604845,0.00852791,0.00745224,0.00749646,4.478e-05,4.442e-05,4.634e-05,0.00046941,0.00040195,0.00041099,0.00190738,0.00162131,0.00163692,0.19960558,0.18604672,0.18603183
0.031,0.15949642,0.14993624,0.14981407,0.02815734,0.02611222,0.02613038,0.0085732,0.00749335,0.00753663,4.712e-05,4.676e-05,4.871e-05,0.00047537,0.0004071,0.00041625,0.00191559,0.00162828,0.00164399,0.19866503,0.18562395,0.18559002
0.0435,0.15801148,0.14916054,0.14902908,0.02826404,0.02622319,0.02623701,0.00863198,0.00754683,0.00758861,5.035e-05,4.998e-05,5.2e-05,0.00048322,0.00041389,0.00042302,0.0019262,0.00163733,0.00165286,0.19736727,0.18503175,0.18498259
0.0611,0.1556146,0.14779616,0.14764287,0.02865252,0.02660553,0.02661169,0.00882992,0.00772206,0.0077623,5.648e-05,5.608e-05,5.818e-05,0.00050817,0.00043495,0.00044431,0.00196429,0.0016697,0.00168547,0.19562598,0.18428448,0.18420482
0.0856,0.1519949,0.14558613,0.14540415,0.02944208,0.02737222,0.02736662,0.00923818,0.00807976,0.00811728,6.72e-05,6.674e-05,6.904e-05,0.00056074,0.00047864,0.00048833,0.00204606,0.00173922,0.00175526,0.19334915,0.18332271,0.18320067
0.1201,0.14727668,0.14259613,0.14248547,0.03036964,0.02827456,0.02827349,0.00974979,0.00852609,0.00856326,8.205e-05,8.147e-05,8.385e-05,0.00063117,0.00053635,0.00054613,0.00215276,0.00182995,0.00184656,0.19026208,0.18184454,0.18179876
0.1685,0.14160376,0.13895582,0.13890177,0.03132413,0.02920876,0.02921027,0.01031446,0.00901741,0.00905035,0.00010122,0.00010047,0.00010278,0.00071457,0.00060378,0.00061275,0.00227572,0.00193449,0.0019499,0.18633386,0.17982073,0.17982782
0.2364,0.13477843,0.1344856,0.13445272,0.03229205,0.03016657,0.03016473,0.01093457,0.00955637,0.00957968,0.00012601,0.00012502,0.00012691,0.00081323,0.00068258,0.00068951,0.00241679,0.00205445,0.00206622,0.18136108,0.17707059,0.17707977
0.3315,0.12654167,0.12890151,0.12887051,0.03324307,0.03112666,0.03111967,0.01160913,0.0101433,0.01015228,0.00015813,0.00015677,0.00015786,0.00092978,0.00077477,0.0007781,0.00257728,0.00219094,0.00219622,0.17505905,0.17329394,0.17327465
0.4651,0.11672155,0.1219258,0.12192429,0.03414726,0.03207071,0.03206711,0.0123391,0.01078074,0.01078723,0.00019985,0.00019799,0.00019915,0.00106752,0.00088294,0.00088582,0.00275912,0.00234562,0.00235002,0.1672344,0.16820379,0.16821362
0.6524,0.10546941,0.11351374,0.11348118,0.03489637,0.0329114,0.03288666,0.01306473,0.01142155,0.01143946,0.00025245,0.00024994,0.00025298,0.00121751,0.00100079,0.00101094,0.00294624,0.00250485,0.00252175,0.15784671,0.16160227,0.16159296
0.9151,0.0933291,0.1040589,0.10401242,0.03493278,0.0331519,0.03311872,0.0133892,0.01174136,0.01176672,0.00030816,0.00030534,0.00031,0.00130021,0.00107052,0.00108481,0.00301777,0.00256589,0.00258912,0.14627723,0.15289392,0.15288179
1.2836,0.08014997,0.09302225,0.09299739,0.03426244,0.03280985,0.03278074,0.01330886,0.01174224,0.01176996,0.00037164,0.00036892,0.00037326,0.00130977,0.00108933,0.00110386,0.00296166,0.0025185,0.00254284,0.13236434,0.14155109,0.14156805
1.8006,0.06593841,0.07959088,0.07958577,0.03325907,0.03223682,0.03222436,0.01312536,0.01167658,0.01171245,0.00045971,0.00045713,0.00046321,0.00130859,0.00110431,0.00111992,0.00286271,0.00243478,0.00245918,0.11695384,0.1275005,0.12756488
2.5257,0.05157131,0.06390567,0.06389326,0.03197057,0.03147998,0.0314583,0.01291308,0.01160679,0.0116367,0.00058644,0.00058382,0.00058791,0.00131501,0.00113024,0.00114405,0.00273799,0.00232925,0.00235235,0.1010944,0.11103576,0.11107258
3.5428,0.03809629,0.04681335,0.04678631,0.03054497,0.03067445,0.030655,0.01282814,0.01166213,0.01169641,0.00077201,0.00076885,0.00077665,0.00136274,0.00119412,0.00120951,0.00262329,0.00223234,0.00225343,0.08622744,0.09334524,0.09337732
