,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0,0.0003,0.16444758,0.15273494,0.15261918,0.02715232,0.02513055,0.02516924,0.00809299,0.00706776,0.00711829,3.499e-05,3.468e-05,3.834e-05,0.00041861,0.00035876,0.00036845,0.00182627,0.00155215,0.00156702,0.20197275,0.18687884,0.18688053,-0.01509391,-0.01509222
1,0.0008,0.16429242,0.1526484,0.15253317,0.02718586,0.02516323,0.02520163,0.00810842,0.0070814,0.00713189,3.526e-05,3.495e-05,3.854e-05,0.00042034,0.00036023,0.00036992,0.00182886,0.00155457,0.00156953,0.20187116,0.18684278,0.18684467,-0.01502838,-0.01502649
2,0.0011,0.16410455,0.15253008,0.15241522,0.02725818,0.02523278,0.02527104,0.00814107,0.00711013,0.0071608,3.572e-05,3.54e-05,3.895e-05,0.00042397,0.00036331,0.00037304,0.00183502,0.00155974,0.00157485,0.2017985,0.18683144,0.1868339,-0.01496706,-0.0149646
3,0.0015,0.16388247,0.15239361,0.15227958,0.02733488,0.02530666,0.02534454,0.00817597,0.00714083,0.00719147,3.623e-05,3.591e-05,3.938e-05,0.00042786,0.00036661,0.00037635,0.00184152,0.00156529,0.00158049,0.20169893,0.18680891,0.18681182,-0.01489002,-0.01488711
4,0.0021,0.16362247,0.15223894,0.15212626,0.02741171,0.02538088,0.0254181,0.00821127,0.00717189,0.00722222,3.678e-05,3.646e-05,3.982e-05,0.00043183,0.00036999,0.00037968,0.00184812,0.0015709,0.00158615,0.20156218,0.18676905,0.18677222,-0.01479313,-0.01478996
5,0.0029,0.16330989,0.15205909,0.1519484,0.02748848,0.02545534,0.02549157,0.00824696,0.00720333,0.00725302,3.739e-05,3.706e-05,4.025e-05,0.00043589,0.00037343,0.000383,0.00185479,0.0015766,0.00159181,0.20137339,0.18670483,0.18670806,-0.01466856,-0.01466533
6,0.0041,0.16292417,0.15184418,0.15173624,0.02756504,0.02553005,0.02556487,0.00828309,0.0072352,0.00728387,3.807e-05,3.774e-05,4.069e-05,0.00044004,0.00037695,0.00038634,0.00186158,0.00158236,0.00159749,0.20111199,0.18660648,0.1866095,-0.01450551,-0.01450249
7,0.0057,0.16243683,0.15158043,0.15147619,0.02764117,0.02560499,0.02563787,0.00831972,0.00726759,0.00731476,3.886e-05,3.852e-05,4.113e-05,0.0004443,0.00038057,0.00038968,0.00186847,0.0015882,0.00160318,0.20074935,0.18646032,0.18646281,-0.01428903,-0.01428654
8,0.008,0.16180848,0.15124859,0.15114925,0.02771659,0.02568015,0.02571039,0.00835695,0.00730062,0.00734571,3.979e-05,3.945e-05,4.157e-05,0.00044871,0.00038432,0.00039303,0.0018754,0.00159413,0.00160888,0.2002459,0.18624725,0.18624883,-0.01399865,-0.01399707
9,0.0112,0.16098497,0.15082186,0.15072765,0.02779085,0.02575548,0.02578358,0.00839488,0.00733442,0.00737833,4.091e-05,4.057e-05,4.232e-05,0.00045329,0.00038824,0.00039675,0.00188248,0.00160014,0.00161497,0.19954737,0.18594071,0.18594359,-0.01360666,-0.01360378
