,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0,0.0003,0.16415474,0.15252325,0.15240748,0.02732977,0.02530016,0.02533904,0.00817237,0.00713745,0.00718878,3.595e-05,3.563e-05,3.934e-05,0.00042736,0.00036618,0.00037606,0.00184112,0.00156477,0.00157999,0.20196131,0.18692744,0.1869307,-0.01503387,-0.01503061
1,0.0008,0.16375561,0.15225874,0.15214516,0.02751221,0.02547498,0.02551297,0.00825528,0.0072102,0.00726114,3.707e-05,3.674e-05,4.037e-05,0.00043664,0.00037403,0.00038388,0.00185655,0.00157805,0.0015933,0.20185336,0.18693275,0.18693681,-0.01492061,-0.01491655
2,0.0011,0.16307349,0.15177679,0.15167154,0.02788758,0.02583334,0.02586789,0.0084278,0.0073611,0.00740858,3.934e-05,3.899e-05,4.245e-05,0.00045624,0.00039052,0.0003998,0.00188953,0.0016061,0.00162042,0.20177398,0.18700684,0.18701068,-0.01476714,-0.0147633
3,0.0015,0.16234872,0.15126504,0.15117497,0.02827563,0.02620323,0.02623141,0.00860996,0.00751993,0.00755965,4.185e-05,4.149e-05,4.459e-05,0.00047743,0.00040824,0.00041612,0.00192503,0.00163627,0.00164821,0.20167863,0.18707419,0.18707496,-0.01460444,-0.01460367
4,0.0021,0.16157973,0.15072428,0.15065628,0.02867144,0.02657998,0.02659904,0.00879985,0.00768498,0.00771249,4.462e-05,4.423e-05,4.676e-05,0.00050008,0.00042705,0.00043263,0.00196272,0.00166831,0.00167633,0.20155844,0.18712882,0.18712353,-0.01442962,-0.01443491
5,0.0029,0.16075376,0.15014783,0.15010887,0.02907469,0.02696336,0.02697069,0.00899767,0.00785643,0.00786711,4.766e-05,4.724e-05,4.895e-05,0.00052429,0.00044702,0.00044934,0.0020027,0.00170232,0.00170477,0.20140077,0.18716419,0.18714972,-0.01423658,-0.01425105
6,0.0041,0.15983115,0.1495063,0.14945052,0.02948097,0.02734949,0.02735015,0.00920239,0.0080334,0.00804608,5.101e-05,5.055e-05,5.237e-05,0.0005501,0.00046816,0.00047163,0.00204489,0.00173817,0.00174278,0.20116052,0.18714608,0.18711352,-0.01401444,-0.014047
7,0.0057,0.15876372,0.14876474,0.14869668,0.02988512,0.02773387,0.02773584,0.00941273,0.00821485,0.0082408,5.471e-05,5.42e-05,5.656e-05,0.00057754,0.00049049,0.00049744,0.00208904,0.00177571,0.00178681,0.20078285,0.18703385,0.18701413,-0.013749,-0.01376872
8,0.008,0.15756523,0.14794782,0.14787376,0.03029487,0.02812366,0.02812518,0.00963152,0.00840313,0.00843774,5.881e-05,5.825e-05,6.08e-05,0.00060689,0.0005142,0.00052355,0.00213587,0.00181552,0.00183135,0.20029319,0.18686259,0.18685237,-0.0134306,-0.01344082
9,0.0112,0.15619108,0.14703112,0.14696157,0.03070949,0.02851852,0.02851915,0.00985906,0.00859854,0.00863688,6.34e-05,6.278e-05,6.53e-05,0.00063831,0.00053942,0.00054993,0.00218556,0.00185776,0.0018761,0.1996469,0.18660814,0.18660894,-0.01303876,-0.01303796
10,0.0158,0.15458118,0.14598109,0.14590455,0.03112788,0.02891796,0.02891494,0.01009566,0.00880137,0.00884017,6.857e-05,6.788e-05,7.056e-05,0.00067198,0.00056626,0.00057737,0.00223825,0.00190255,0.0019219,0.19878351,0.18623712,0.18622948,-0.01254639,-0.01255403
11,0.0221,0.15265502,0.14475168,0.14465717,0.03154854,0.02932135,0.02931222,0.01034165,0.00901202,0.00904973,7.444e-05,7.366e-05,7.649e-05,0.00070808,0.00059487,0.00060633,0.00229411,0.00195005,0.00196983,0.19762185,0.18570364,0.18567177,-0.01191821,-0.01195008
12,0.031,0.15030936,0.14328271,0.14316767,0.03196741,0.02972601,0.02970961,0.0105963,0.00923001,0.00926556,8.115e-05,8.028e-05,8.316e-05,0.0007467,0.00062531,0.00063692,0.00235306,0.00200017,0.00202005,0.19605398,0.1849445,0.18488297,-0.01110948,-0.01117101
13,0.0435,0.14748642,0.14155939,0.14142364,0.03233185,0.03008449,0.0300608,0.0108305,0.00943098,0.00946382,8.83e-05,8.733e-05,9.027e-05,0.00078351,0.00065424,0.00066584,0.00240814,0.00204701,0.00206662,0.19392872,0.18386344,0.18377099,-0.01006528,-0.01015773
14,0.0611,0.144062,0.13952105,0.13936517,0.03259774,0.03035819,0.03032656,0.01101879,0.00959396,0.00962444,9.556e-05,9.449e-05,9.75e-05,0.00081437,0.00067857,0.00069034,0.0024527,0.00208491,0.00210463,0.19104115,0.18233118,0.18220863,-0.00870997,-0.00883252
