hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0,0.053534,0.053534,0.05353388,0.170117,0.170117,0.17011742,0.683622,0.683622,0.68362242,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009882,220.009882,220.00988,227.749,227.749,227.749,0.0,0.0
0.0006,0.053522,0.053523,0.05352259,0.170115,0.170116,0.17011556,0.683622,0.683622,0.6836219,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009882,220.00988,227.74899,227.74899,227.74899,0.0,0.0
0.0009,0.053517,0.053518,0.05351804,0.170115,0.170115,0.17011481,0.683622,0.683622,0.68362169,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009881,220.00988,227.74898,227.74898,227.74898,0.0,0.0
0.0012,0.05351,0.053512,0.05351167,0.170113,0.170114,0.17011376,0.683621,0.683621,0.68362139,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009881,220.00988,227.74897,227.74897,227.74897,0.0,0.0
0.0017,0.0535,0.053503,0.05350274,0.170112,0.170112,0.17011227,0.683621,0.683621,0.68362096,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009881,220.00988,227.74896,227.74896,227.74896,0.0,0.0
0.0024,0.053487,0.05349,0.05349022,0.17011,0.17011,0.17011018,0.68362,0.68362,0.68362037,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987612,220.009881,220.009881,220.00988,227.74894,227.74895,227.74895,1e-05,1e-05
0.0034,0.053468,0.053473,0.05347268,0.170106,0.170107,0.17010724,0.683619,0.68362,0.68361953,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987612,220.009881,220.009881,220.00988,227.74892,227.74892,227.74893,0.0,1e-05
0.0048,0.053442,0.053448,0.0534481,0.170102,0.170103,0.1701031,0.683618,0.683618,0.68361836,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987611,220.009881,220.009881,220.00988,227.74889,227.74889,227.74889,0.0,0.0
0.0067,0.053405,0.053414,0.05341366,0.170096,0.170097,0.17009729,0.683616,0.683617,0.6836167,1.033083,1.033083,1.0330832,5.798761,5.798761,5.798761,220.00988,220.00988,220.00988,227.74884,227.74885,227.74885,1e-05,1e-05
0.0094,0.053353,0.053365,0.05336542,0.170087,0.170089,0.1700891,0.683613,0.683614,0.68361436,1.033083,1.033083,1.0330831,5.798761,5.798761,5.7987609,220.00988,220.00988,220.00988,227.74878,227.74879,227.74879,1e-05,1e-05
0.0131,0.05328,0.053298,0.05329786,0.170074,0.170078,0.17007759,0.68361,0.683611,0.68361106,1.033083,1.033083,1.0330831,5.798761,5.798761,5.7987607,220.009879,220.009879,220.00988,227.74869,227.74871,227.74871,2e-05,2e-05
0.0184,0.053179,0.053203,0.05320332,0.170057,0.170061,0.17006139,0.683604,0.683607,0.68360642,1.033083,1.033083,1.0330831,5.79876,5.798761,5.7987605,220.009878,220.009878,220.00988,227.74856,227.74859,227.74859,3e-05,3e-05
0.0258,0.053038,0.053071,0.05307109,0.170032,0.170039,0.1700386,0.683597,0.6836,0.68359988,1.033083,1.033083,1.0330831,5.79876,5.79876,5.7987601,220.009876,220.009877,220.00988,227.74839,227.74843,227.74843,4e-05,4e-05
0.0362,0.052841,0.052886,0.05288631,0.169998,0.170007,0.17000654,0.683586,0.683591,0.68359065,1.033083,1.033083,1.033083,5.798759,5.79876,5.7987596,220.009874,220.009875,220.00987,227.74814,227.7482,227.7482,6e-05,6e-05
0.0508,0.052568,0.052628,0.05262841,0.169949,0.169962,0.16996144,0.683571,0.683578,0.68357764,1.033083,1.033083,1.0330829,5.798759,5.798759,5.7987589,220.00987,220.009872,220.00987,227.7478,227.74788,227.74788,8e-05,8e-05
0.0713,0.052189,0.052269,0.05226959,0.169881,0.169898,0.16989758,0.68355,0.683559,0.68355912,1.033083,1.033083,1.0330828,5.798757,5.798758,5.7987579,220.009866,220.009868,220.00987,227.74733,227.74743,227.74744,0.0001,0.00011
0.1,0.051671,0.051772,0.05177339,0.169782,0.169806,0.16980579,0.68352,0.683533,0.6835321,1.033083,1.033083,1.0330825,5.798756,5.798756,5.7987563,220.009859,220.009862,220.00986,227.74667,227.74681,227.74681,0.00014,0.00014
0.1403,0.050966,0.051089,0.05109151,0.169639,0.169673,0.16967251,0.683474,0.683493,0.68349202,1.033082,1.033082,1.0330822,5.798753,5.798754,5.7987538,220.009849,220.009854,220.00985,227.74576,227.74594,227.74595,0.00018,0.00019
0.1968,0.050015,0.050157,0.05015954,0.169431,0.169479,0.16947891,0.683406,0.683433,0.68343238,1.033082,1.033082,1.0330815,5.798748,5.79875,5.7987498,220.009834,220.009841,220.00984,227.74452,227.74474,227.74474,0.00022,0.00022
0.276,0.048748,0.048892,0.04889487,0.16913,0.169198,0.1691978,0.683305,0.683345,0.6833435,1.03308,1.03308,1.0330803,5.798741,5.798744,5.7987435,220.009811,220.009822,220.00982,227.74282,227.74308,227.74308,0.00026,0.00026
0.3871,0.047081,0.047193,0.04719637,0.168695,0.16879,0.16879021,0.683153,0.683212,0.68321094,1.033078,1.033078,1.0330783,5.798729,5.798734,5.7987334,220.009778,220.009793,220.00979,227.74051,227.7408,227.7408,0.00029,0.00029
0.5431,0.044923,0.044938,0.04494161,0.168065,0.168199,0.16819906,0.682926,0.683014,0.68301253,1.033075,1.033075,1.0330746,5.798709,5.798718,5.7987171,220.009727,220.00975,220.00975,227.73743,227.73769,227.73769,0.00026,0.00026
0.7617,0.042197,0.042002,0.04200708,0.167159,0.167345,0.16734559,0.682587,0.682717,0.68271505,1.033068,1.033068,1.033068,5.798677,5.798692,5.7986907,220.00965,220.009685,220.00968,227.73334,227.73351,227.73351,0.00017,0.00017
1.0685,0.038829,0.038252,0.03825878,0.165867,0.166119,0.16612138,0.682083,0.682276,0.6822733,1.033056,1.033057,1.0330563,5.798627,5.79865,5.7986487,220.009535,220.009587,220.00959,227.728,227.72794,227.72794,-6e-05,-6e-05
1.4988,0.034777,0.033566,0.03357467,0.164072,0.164401,0.16440548,0.681367,0.681647,0.68164279,1.033036,1.033037,1.0330363,5.798552,5.798589,5.7985869,220.009373,220.009449,220.00945,227.72118,227.72069,227.72069,-0.00049,-0.00049
2.1024,0.03008,0.02792,0.02792895,0.161638,0.162043,0.16204819,0.680385,0.680775,0.68076941,1.033002,1.033003,1.0330022,5.79845,5.798503,5.7985004,220.009156,220.009264,220.00926,227.71271,227.71151,227.71151,-0.0012,-0.0012
2.949,0.024908,0.021535,0.02154454,0.15837,0.158826,0.15883278,0.679041,0.67957,0.67956131,1.032943,1.032944,1.0329423,5.798308,5.798383,5.7983785,220.008867,220.009019,220.00901,227.70244,227.70028,227.70027,-0.00216,-0.00217
