hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0,0.053534,0.053534,0.05353388,0.170117,0.170117,0.17011742,0.683622,0.683622,0.68362242,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009882,220.009882,220.00988,227.749,227.749,227.749,0.0,0.0
0.0006,0.053522,0.053523,0.0535226,0.170115,0.170116,0.17011555,0.683622,0.683622,0.68362189,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009882,220.00988,227.74899,227.74899,227.74899,0.0,0.0
0.0009,0.053517,0.053518,0.05351807,0.170115,0.170115,0.17011479,0.683622,0.683622,0.68362168,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009881,220.00988,227.74898,227.74898,227.74898,0.0,0.0
0.0012,0.05351,0.053512,0.05351173,0.170113,0.170114,0.17011371,0.683621,0.683621,0.68362137,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009881,220.00988,227.74897,227.74897,227.74897,0.0,0.0
0.0017,0.053501,0.053503,0.05350286,0.170112,0.170112,0.17011217,0.683621,0.683621,0.68362092,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009881,220.00988,227.74896,227.74896,227.74896,0.0,0.0
0.0024,0.053487,0.05349,0.05349047,0.170109,0.17011,0.17010998,0.68362,0.68362,0.68362029,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987612,220.009881,220.009881,220.00988,227.74894,227.74895,227.74895,1e-05,1e-05
0.0034,0.053469,0.053473,0.05347314,0.170106,0.170107,0.17010687,0.683619,0.683619,0.68361938,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987612,220.009881,220.009881,220.00988,227.74892,227.74892,227.74893,0.0,1e-05
0.0048,0.053443,0.053449,0.05344893,0.170101,0.170102,0.17010245,0.683617,0.683618,0.68361808,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987611,220.009881,220.009881,220.00988,227.74889,227.74889,227.74889,0.0,0.0
0.0067,0.053407,0.053415,0.05341512,0.170094,0.170096,0.17009615,0.683615,0.683616,0.68361621,1.033083,1.033083,1.0330831,5.798761,5.798761,5.798761,220.00988,220.00988,220.00988,227.74884,227.74885,227.74885,1e-05,1e-05
0.0094,0.053356,0.053368,0.05336792,0.170085,0.170087,0.1700872,0.683612,0.683614,0.68361352,1.033083,1.033083,1.0330831,5.798761,5.798761,5.7987608,220.009879,220.00988,220.00988,227.74878,227.74879,227.74879,1e-05,1e-05
0.0131,0.053286,0.053302,0.05330206,0.170071,0.170074,0.17007446,0.683608,0.68361,0.68360967,1.033083,1.033083,1.0330831,5.798761,5.798761,5.7987606,220.009878,220.009879,220.00988,227.74869,227.74871,227.74871,2e-05,2e-05
0.0184,0.053188,0.05321,0.0532102,0.170052,0.170056,0.17005635,0.683602,0.683604,0.68360413,1.033083,1.033083,1.0330831,5.79876,5.79876,5.7987602,220.009877,220.009878,220.00988,227.74856,227.74859,227.74859,3e-05,3e-05
0.0258,0.053052,0.053082,0.05308219,0.170024,0.170031,0.17003059,0.683592,0.683596,0.68359618,1.033083,1.033083,1.033083,5.79876,5.79876,5.7987597,220.009875,220.009876,220.00988,227.74839,227.74843,227.74843,4e-05,4e-05
0.0362,0.052864,0.052904,0.05290396,0.169984,0.169994,0.16999395,0.683579,0.683585,0.68358476,1.033083,1.033083,1.0330829,5.798759,5.798759,5.7987589,220.009872,220.009873,220.00987,227.74814,227.7482,227.7482,6e-05,6e-05
0.0508,0.052602,0.052655,0.052656,0.169928,0.169942,0.16994194,0.683561,0.683569,0.6835684,1.033083,1.033083,1.0330827,5.798757,5.798758,5.7987577,220.009868,220.00987,220.00987,227.7478,227.74788,227.74788,8e-05,8e-05
0.0713,0.05224,0.05231,0.05231132,0.169849,0.169868,0.16986832,0.683534,0.683545,0.68354506,1.033083,1.033083,1.0330825,5.798755,5.798756,5.7987561,220.009862,220.009865,220.00987,227.74732,227.74743,227.74743,0.00011,0.00011
