hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0,0.053534,0.053534,0.05353388,0.170117,0.170117,0.17011742,0.683622,0.683622,0.68362242,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009882,220.009882,220.00988,227.749,227.749,227.749,0.0,0.0
0.0006,0.053522,0.053523,0.05352259,0.170115,0.170116,0.17011556,0.683622,0.683622,0.6836219,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009882,220.00988,227.74899,227.74899,227.74899,0.0,0.0
0.0009,0.053517,0.053518,0.05351805,0.170115,0.170115,0.17011481,0.683622,0.683622,0.68362168,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009881,220.00988,227.74898,227.74898,227.74898,0.0,0.0
0.0012,0.05351,0.053512,0.05351168,0.170113,0.170114,0.17011375,0.683621,0.683621,0.68362138,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009881,220.00988,227.74897,227.74897,227.74897,0.0,0.0
0.0017,0.0535,0.053503,0.05350275,0.170112,0.170112,0.17011226,0.683621,0.683621,0.68362096,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009881,220.00988,227.74896,227.74896,227.74896,0.0,0.0
0.0024,0.053487,0.05349,0.05349024,0.17011,0.17011,0.17011017,0.68362,0.68362,0.68362036,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987612,220.009881,220.009881,220.00988,227.74894,227.74895,227.74895,1e-05,1e-05
0.0034,0.053468,0.053473,0.05347271,0.170106,0.170107,0.17010722,0.683619,0.68362,0.68361953,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987612,220.009881,220.009881,220.00988,227.74892,227.74892,227.74893,0.0,1e-05
0.0048,0.053442,0.053448,0.05344815,0.170102,0.170103,0.17010307,0.683618,0.683618,0.68361834,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987611,220.009881,220.009881,220.00988,227.74889,227.74889,227.74889,0.0,0.0
0.0067,0.053405,0.053414,0.05341373,0.170096,0.170097,0.17009723,0.683616,0.683617,0.68361667,1.033083,1.033083,1.0330832,5.798761,5.798761,5.798761,220.00988,220.00988,220.00988,227.74884,227.74885,227.74885,1e-05,1e-05
0.0094,0.053353,0.053365,0.05336552,0.170087,0.170089,0.17008902,0.683613,0.683614,0.68361432,1.033083,1.033083,1.0330831,5.798761,5.798761,5.7987609,220.00988,220.00988,220.00988,227.74878,227.74879,227.74879,1e-05,1e-05
0.0131,0.053281,0.053298,0.05329802,0.170074,0.170078,0.17007746,0.683609,0.683611,0.68361101,1.033083,1.033083,1.0330831,5.798761,5.798761,5.7987607,220.009879,220.009879,220.00988,227.74869,227.74871,227.74871,2e-05,2e-05
0.0184,0.05318,0.053203,0.05320355,0.170057,0.170061,0.1700612,0.683604,0.683606,0.68360634,1.033083,1.033083,1.0330831,5.79876,5.798761,5.7987605,220.009878,220.009878,220.00988,227.74856,227.74859,227.74859,3e-05,3e-05
0.0258,0.053038,0.053071,0.05307144,0.170032,0.170038,0.17003832,0.683597,0.6836,0.68359976,1.033083,1.033083,1.0330831,5.79876,5.79876,5.7987601,220.009876,220.009877,220.00988,227.74839,227.74843,227.74843,4e-05,4e-05
0.0362,0.052842,0.052886,0.05288685,0.169997,0.170006,0.17000612,0.683586,0.683591,0.68359047,1.033083,1.033083,1.033083,5.798759,5.79876,5.7987596,220.009873,220.009875,220.00987,227.74814,227.7482,227.7482,6e-05,6e-05
0.0508,0.052569,0.052629,0.05262927,0.169949,0.169961,0.16996077,0.683571,0.683578,0.68357735,1.033083,1.033083,1.0330829,5.798759,5.798759,5.7987589,220.00987,220.009872,220.00987,227.7478,227.74788,227.74788,8e-05,8e-05
0.0713,0.052192,0.05227,0.05227131,0.169879,0.169896,0.16989625,0.68355,0.683559,0.68355853,1.033083,1.033083,1.0330828,5.798757,5.798758,5.7987578,220.009865,220.009868,220.00987,227.74733,227.74743,227.74743,0.0001,0.0001
0.1,0.051675,0.051775,0.05177683,0.169779,0.169803,0.16980318,0.683518,0.683531,0.68353093,1.033083,1.033083,1.0330825,5.798755,5.798756,5.7987561,220.009858,220.009862,220.00986,227.74667,227.74681,227.74681,0.00014,0.00014
0.1403,0.050972,0.051095,0.05109713,0.169634,0.169668,0.16966831,0.683472,0.683491,0.68349008,1.033082,1.033082,1.0330821,5.798752,5.798754,5.7987535,220.009848,220.009853,220.00985,227.74576,227.74594,227.74594,0.00018,0.00018
0.1968,0.050025,0.050165,0.05016768,0.169425,0.169473,0.16947285,0.683403,0.68343,0.68342952,1.033081,1.033082,1.0330814,5.798748,5.79875,5.7987494,220.009833,220.00984,220.00984,227.74451,227.74474,227.74474,0.00023,0.00023
0.276,0.048759,0.048903,0.0489057,0.169121,0.16919,0.16918972,0.6833,0.683341,0.6833396,1.03308,1.03308,1.0330803,5.79874,5.798743,5.798743,220.00981,220.009821,220.00982,227.74281,227.74308,227.74308,0.00027,0.00027
0.3871,0.047094,0.047206,0.04720967,0.168684,0.16878,0.16878016,0.683147,0.683207,0.68320599,1.033078,1.033078,1.0330782,5.798728,5.798733,5.7987327,220.009776,220.009792,220.00979,227.74051,227.7408,227.7408,0.00029,0.00029
0.5431,0.044937,0.044953,0.04495664,0.168053,0.168188,0.16818759,0.682919,0.683008,0.68300666,1.033075,1.033075,1.0330745,5.798708,5.798717,5.7987163,220.009725,220.009749,220.00975,227.73742,227.73769,227.73769,0.00027,0.00027
0.7617,0.042206,0.042014,0.04201812,0.167149,0.167335,0.16733601,0.682581,0.682712,0.68271044,1.033068,1.033068,1.0330679,5.798677,5.798691,5.7986902,220.009649,220.009684,220.00968,227.73333,227.7335,227.73351,0.00017,0.00018
1.0685,0.038814,0.038232,0.0382381,0.16588,0.166131,0.16613241,0.682094,0.682286,0.68228281,1.033057,1.033057,1.0330567,5.798629,5.798652,5.7986507,220.009539,220.009591,220.00959,227.72801,227.72795,227.72795,-6e-05,-6e-05
1.4988,0.034729,0.033491,0.03349791,0.164133,0.164458,0.16446152,0.681416,0.681687,0.68168288,1.033038,1.033038,1.0330377,5.798563,5.798596,5.7985945,220.009388,220.009462,220.00946,227.72127,227.72073,227.72073,-0.00054,-0.00054
2.1024,0.030014,0.0278,0.02780757,0.161755,0.162153,0.16215749,0.680478,0.680852,0.68084544,1.033005,1.033006,1.0330045,5.798469,5.798518,5.7985144,220.009184,220.009288,220.00928,227.7129,227.71162,227.71161,-0.00128,-0.00129
2.949,0.024842,0.021391,0.0214001,0.158549,0.158996,0.15900271,0.679183,0.679688,0.67967846,1.032946,1.032947,1.0329456,5.798337,5.798404,5.7983997,220.008909,220.009055,220.00905,227.70277,227.70048,227.70047,-0.00229,-0.0023
