hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.053534,0.053534,0.05353388,0.170117,0.170117,0.17011742,0.683622,0.683622,0.68362242,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009882,220.009882,220.00988,227.749,227.749,227.749,0.0,0.0
0.0006,0.05351,0.053511,0.05351131,0.170113,0.170113,0.1701137,0.683621,0.683621,0.68362137,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009882,220.00988,227.74897,227.74897,227.74897,0.0,0.0
0.0009,0.0535,0.053502,0.05350223,0.170112,0.170112,0.1701122,0.683621,0.683621,0.68362095,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009882,220.00988,227.74896,227.74896,227.74896,0.0,0.0
0.0012,0.053486,0.05349,0.0534895,0.17011,0.17011,0.17011009,0.68362,0.68362,0.68362035,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987612,220.009881,220.009882,220.00988,227.74894,227.74894,227.74895,0.0,1e-05
0.0017,0.053467,0.053472,0.05347166,0.170106,0.170107,0.17010712,0.683619,0.683619,0.68361951,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987612,220.009881,220.009881,220.00988,227.74892,227.74892,227.74892,0.0,0.0
0.0024,0.05344,0.053447,0.05344666,0.170102,0.170103,0.17010295,0.683618,0.683618,0.68361832,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987611,220.009881,220.009881,220.00988,227.74888,227.74889,227.74889,1e-05,1e-05
0.0034,0.053402,0.053412,0.05341163,0.170095,0.170097,0.17009707,0.683616,0.683616,0.68361665,1.033083,1.033083,1.0330832,5.798761,5.798761,5.798761,220.00988,220.009881,220.00988,227.74884,227.74885,227.74885,1e-05,1e-05
0.0048,0.05335,0.053363,0.05336256,0.170087,0.170088,0.1700888,0.683613,0.683614,0.68361429,1.033083,1.033083,1.0330831,5.798761,5.798761,5.7987609,220.00988,220.00988,220.00988,227.74877,227.74879,227.74879,2e-05,2e-05
0.0067,0.053276,0.053294,0.05329386,0.170074,0.170077,0.17007717,0.683609,0.683611,0.68361097,1.033083,1.033083,1.0330831,5.798761,5.79876,5.7987607,220.009879,220.009879,220.00988,227.74868,227.7487,227.74871,2e-05,3e-05
0.0094,0.053173,0.053198,0.05319769,0.170056,0.17006,0.17006081,0.683604,0.683606,0.6836063,1.033083,1.033083,1.0330831,5.79876,5.79876,5.7987605,220.009877,220.009878,220.00988,227.74855,227.74859,227.74859,4e-05,4e-05
0.0131,0.053029,0.053063,0.05306317,0.170032,0.170037,0.1700378,0.683597,0.683599,0.68359972,1.033083,1.033083,1.0330831,5.79876,5.79876,5.7987601,220.009876,220.009877,220.00988,227.74838,227.74842,227.74842,4e-05,4e-05
0.0184,0.052829,0.052875,0.05287519,0.169997,0.170005,0.17000544,0.683586,0.68359,0.68359044,1.033083,1.033083,1.033083,5.798759,5.798759,5.7987596,220.009873,220.009875,220.00987,227.74813,227.74819,227.74819,6e-05,6e-05
0.0258,0.052551,0.052613,0.05261285,0.169948,0.169959,0.16995991,0.683571,0.683577,0.68357736,1.033083,1.033083,1.0330829,5.798759,5.798759,5.7987589,220.00987,220.009872,220.00987,227.74778,227.74786,227.74786,8e-05,8e-05
0.0362,0.052166,0.052247,0.05224734,0.169879,0.169895,0.16989587,0.68355,0.683558,0.68355892,1.033083,1.033083,1.0330828,5.798758,5.798758,5.7987579,220.009865,220.009868,220.00987,227.7473,227.74741,227.74741,0.00011,0.00011
0.0508,0.051634,0.051739,0.05173933,0.169782,0.169805,0.16980578,0.683521,0.683532,0.68353292,1.033083,1.033082,1.0330826,5.798756,5.798756,5.7987565,220.009859,220.009862,220.00986,227.74663,227.74678,227.74678,0.00015,0.00015
0.0713,0.050907,0.051037,0.05103663,0.169645,0.169678,0.16967829,0.683479,0.683495,0.6834959,1.033082,1.033082,1.0330824,5.798754,5.798754,5.7987544,220.009849,220.009854,220.00985,227.74572,227.7459,227.7459,0.00018,0.00018
0.1,0.049924,0.050073,0.05007282,0.169448,0.169495,0.1694951,0.683417,0.683441,0.6834419,1.033082,1.033082,1.0330819,5.79875,5.798751,5.7987512,220.009836,220.009843,220.00984,227.74446,227.74468,227.74469,0.00022,0.00023
0.1403,0.048614,0.048763,0.04876333,0.169163,0.169229,0.16922931,0.683326,0.683361,0.68336179,1.033081,1.033081,1.0330811,5.798744,5.798746,5.7987462,220.009816,220.009825,220.00983,227.74274,227.74301,227.74301,0.00027,0.00027
0.1968,0.046893,0.047002,0.0470016,0.168751,0.168843,0.16884357,0.68319,0.683242,0.68324261,1.03308,1.03308,1.0330798,5.798735,5.798738,5.7987382,220.009786,220.0098,220.0098,227.74043,227.7407,227.74071,0.00027,0.00028
0.276,0.044671,0.044663,0.04466277,0.168155,0.168284,0.16828426,0.682988,0.683065,0.68306503,1.033078,1.033077,1.0330775,5.79872,5.798725,5.7987256,220.009741,220.009761,220.00976,227.73735,227.73758,227.73758,0.00023,0.00023
0.3871,0.041869,0.041616,0.04161549,0.167296,0.167475,0.16747494,0.682686,0.6828,0.68280021,1.033073,1.033073,1.0330734,5.798696,5.798705,5.7987054,220.009674,220.009704,220.0097,227.73329,227.73337,227.73337,8e-05,8e-05
0.5431,0.03843,0.037737,0.03773643,0.166062,0.166304,0.16630462,0.682233,0.682403,0.68240391,1.033066,1.033066,1.0330661,5.798657,5.798673,5.798673,220.009573,220.009618,220.00962,227.72802,227.7278,227.7278,-0.00022,-0.00022
0.7617,0.034356,0.032972,0.03297191,0.1643,0.164622,0.16462221,0.681556,0.68181,0.68180998,1.033053,1.033053,1.0330529,5.798593,5.79862,5.7986202,220.009419,220.009487,220.00949,227.72128,227.72056,227.72056,-0.00072,-0.00072
1.0685,0.029698,0.027353,0.02735336,0.161814,0.162223,0.16222389,0.680553,0.680928,0.68092847,1.03303,1.033029,1.0330294,5.798492,5.798536,5.7985362,220.00919,220.00929,220.00929,227.71278,227.71136,227.71136,-0.00142,-0.00142
1.4988,0.024587,0.021069,0.02106885,0.158416,0.158892,0.1588919,0.679131,0.679671,0.67967127,1.03299,1.032989,1.0329895,5.798343,5.798412,5.7984126,220.008866,220.009012,220.00901,227.70233,227.70004,227.70005,-0.00229,-0.00228
2.1024,0.019258,0.014582,0.01458222,0.153906,0.15437,0.15437081,0.677185,0.677931,0.67793174,1.032922,1.032921,1.0329213,5.798139,5.798239,5.7982398,220.008431,220.008639,220.00864,227.68984,227.68668,227.68669,-0.00316,-0.00315
2.949,0.014055,0.00868,0.00868012,0.14802,0.148309,0.14830905,0.67453,0.675529,0.6755292,1.032802,1.032801,1.0328015,5.797856,5.797996,5.7979962,220.007854,220.008144,220.00814,227.67512,227.67146,227.67146,-0.00366,-0.00366
4.1366,0.009365,0.004186,0.00418609,0.140445,0.140249,0.14024896,0.670873,0.672171,0.6721718,1.032583,1.032581,1.0325816,5.797452,5.79764,5.7976402,220.007087,220.007485,220.00749,227.6578,227.65431,227.65431,-0.00349,-0.00349
5.8025,0.005544,0.001508,0.00150776,0.130841,0.129659,0.12965912,0.665753,0.66741,0.6674107,1.032172,1.03217,1.0321705,5.796849,5.797099,5.7970995,220.006058,220.0066,220.0066,227.63722,227.63445,227.63445,-0.00277,-0.00277
8.1392,0.002813,0.000364,0.00036435,0.118886,0.115969,0.11596929,0.658431,0.660508,0.66050838,1.031385,1.03138,1.0313802,5.795904,5.796235,5.7962355,220.004663,220.005398,220.0054,227.61208,227.60985,227.60986,-0.00223,-0.00222
11.417,0.001159,5.1e-05,5.13e-05,0.104352,0.098781,0.09878171,0.647694,0.650308,0.65030799,1.02986,1.029859,1.0298588,5.794354,5.794803,5.7948031,220.002748,220.003746,220.00375,227.58017,227.57755,227.57755,-0.00262,-0.00262
16.0147,0.000359,4e-06,3.54e-06,0.087343,0.078218,0.07821824,0.631594,0.634923,0.63492389,1.026892,1.026892,1.0268921,5.791709,5.792336,5.792336,220.000082,220.001441,220.00144,227.53798,227.53381,227.53381,-0.00417,-0.00417
