,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.32829643,0.30491016,0.30486908,0.05426761,0.05031112,0.05030636,0.01617602,0.01422934,0.01422791,6.993e-05,7.665e-05,7.664e-05,0.00083673,0.00073652,0.00073645,0.00364967,0.00313247,0.00313215,0.40329639,0.37339626,0.37334858,-0.02990013,-0.02994781
1,0.0008,0.32742879,0.30448038,0.30443936,0.05432894,0.05037366,0.05036889,0.01620668,0.01425648,0.01425505,7.048e-05,7.704e-05,7.703e-05,0.00084018,0.00073946,0.00073938,0.00365548,0.00313747,0.00313715,0.40253055,0.37306449,0.37301686,-0.02946606,-0.02951369
2,0.0011,0.32667257,0.30406741,0.30402644,0.05446953,0.05051084,0.05050606,0.01627183,0.01431425,0.01431281,7.139e-05,7.785e-05,7.785e-05,0.00084742,0.00074571,0.00074563,0.00366767,0.00314811,0.00314778,0.40200041,0.37286417,0.37281657,-0.02913624,-0.02918384
3,0.0015,0.32569831,0.30354831,0.30350741,0.05461728,0.0506556,0.05065081,0.01634141,0.01437551,0.01437406,7.241e-05,7.872e-05,7.871e-05,0.0008552,0.00075233,0.00075225,0.0036807,0.00315939,0.00315906,0.40126532,0.37256986,0.37252231,-0.02869546,-0.02874301
4,0.0021,0.32444069,0.30289504,0.30285424,0.05476302,0.05079956,0.05079475,0.01641171,0.01443691,0.01443545,7.352e-05,7.959e-05,7.959e-05,0.00086314,0.00075897,0.00075889,0.00369391,0.0031707,0.00317037,0.40024598,0.37214077,0.37209329,-0.02810521,-0.02815269
5,0.0029,0.32279121,0.30205481,0.30201412,0.05490546,0.05094209,0.05093727,0.0164827,0.01449839,0.01449693,7.473e-05,8.047e-05,8.046e-05,0.00087124,0.00076562,0.00076554,0.0037073,0.00318203,0.0031817,0.39883264,0.3715234,0.37147601,-0.02730924,-0.02735663
6,0.0041,0.32060117,0.3009539,0.30091335,0.05504301,0.05108249,0.05107765,0.01655443,0.01455993,0.01455847,7.61e-05,8.134e-05,8.133e-05,0.00087954,0.00077229,0.00077221,0.00372085,0.00319338,0.00319305,0.3968751,0.37064332,0.37059606,-0.02623178,-0.02627904
7,0.0057,0.31766943,0.29949026,0.29944991,0.05517344,0.05121976,0.05121492,0.01662696,0.01462152,0.01462005,7.767e-05,8.221e-05,8.221e-05,0.00088806,0.00077897,0.00077889,0.00373455,0.00320475,0.00320442,0.39417011,0.36939748,0.36935039,-0.02477263,-0.02481972
8,0.008,0.31372737,0.29752308,0.29748299,0.05529363,0.05135256,0.0513477,0.01670039,0.01468314,0.01468166,7.953e-05,8.309e-05,8.308e-05,0.00089686,0.00078566,0.00078558,0.00374848,0.00321615,0.00321581,0.39044626,0.36764367,0.36759682,-0.02280259,-0.02284944
9,0.0112,0.30842334,0.29485679,0.29481707,0.05539915,0.05148168,0.05147681,0.01677484,0.01474799,0.0147465,8.177e-05,8.459e-05,8.459e-05,0.00090602,0.0007931,0.00079301,0.00376258,0.00322831,0.00322797,0.3853477,0.36519245,0.36514595,-0.02015525,-0.02020175
