,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.32771402,0.30448747,0.30444645,0.05462227,0.05065053,0.05064574,0.01633468,0.01437025,0.0143688,7.186e-05,7.865e-05,7.864e-05,0.00085422,0.00075174,0.00075167,0.00367935,0.00315839,0.00315806,0.4032764,0.37349702,0.37344935,-0.02977938,-0.02982705
1,0.0008,0.32636611,0.30370655,0.30366563,0.05498115,0.05099594,0.05099111,0.01650023,0.01451484,0.01451338,7.409e-05,8.069e-05,8.069e-05,0.00087276,0.00076737,0.00076729,0.00371071,0.003185,0.00318467,0.40250506,0.37325039,0.37320277,-0.02925467,-0.02930229
2,0.0011,0.32463633,0.30258514,0.30254438,0.05572736,0.05170375,0.05169886,0.01684493,0.01480954,0.01480805,7.863e-05,8.487e-05,8.486e-05,0.00091192,0.00079921,0.00079912,0.00377672,0.00323922,0.00323888,0.40197588,0.37322172,0.37317414,-0.02875416,-0.02880174
3,0.0015,0.32268357,0.30134935,0.30130875,0.05649717,0.05242804,0.05242308,0.01720885,0.01511148,0.01510995,8.366e-05,8.914e-05,8.913e-05,0.00095428,0.00083183,0.00083174,0.00384759,0.00329477,0.00329443,0.40127512,0.3731046,0.37305708,-0.02817052,-0.02821804
4,0.0021,0.32045365,0.29997409,0.29993367,0.05728001,0.05315947,0.05315444,0.01758812,0.01541694,0.01541538,8.919e-05,9.347e-05,9.346e-05,0.00099955,0.00086483,0.00086474,0.00392293,0.00335097,0.00335063,0.40033345,0.37285977,0.37281232,-0.02747368,-0.02752113
5,0.0029,0.31785209,0.29840924,0.29836904,0.05807421,0.05389743,0.05389233,0.01798315,0.01572591,0.01572432,9.527e-05,9.784e-05,9.783e-05,0.00104794,0.00089822,0.00089813,0.00400293,0.00340783,0.00340748,0.39905559,0.37243647,0.37238913,-0.02661912,-0.02666646
6,0.0041,0.31470776,0.29644076,0.29640083,0.05886944,0.05464881,0.05464363,0.01839178,0.01608352,0.0160819,0.00010196,0.00010468,0.00010467,0.00109953,0.00094278,0.00094268,0.00408722,0.0034838,0.00348344,0.3972577,0.37170435,0.37165715,-0.02555335,-0.02560055
7,0.0057,0.3108037,0.29403076,0.29399115,0.05965324,0.05540947,0.05540423,0.01881141,0.01647253,0.01647087,0.00010934,0.00011306,0.00011305,0.00115437,0.00099437,0.00099427,0.00417546,0.00357182,0.00357145,0.39470754,0.37059203,0.37054502,-0.02411551,-0.02416252
8,0.008,0.30600754,0.29113746,0.29109823,0.060438,0.05617286,0.05616754,0.01924758,0.01686587,0.01686417,0.00011755,0.00012153,0.00012152,0.00121304,0.00104657,0.00104646,0.00426907,0.00366085,0.00366048,0.39129278,0.36900514,0.3689584,-0.02228764,-0.02233438
9,0.0112,0.30002763,0.28759292,0.28755418,0.06121787,0.05693895,0.05693355,0.01970074,0.01726346,0.01726172,0.00012672,0.00013054,0.00013052,0.00127583,0.00109931,0.0010992,0.00436835,0.00375032,0.00374993,0.38671714,0.36677549,0.3667291,-0.01994165,-0.01998804
10,0.0158,0.29249532,0.28311727,0.28307913,0.06198444,0.05769918,0.05769372,0.02017125,0.0176691,0.01766732,0.00013705,0.00014105,0.00014103,0.0013431,0.00115415,0.00115403,0.00447363,0.00384186,0.00384146,0.3806048,0.3636226,0.36357669,-0.0169822,-0.01702811
11,0.0221,0.28296166,0.27739792,0.27736055,0.06272582,0.05844877,0.05844323,0.02065945,0.01808693,0.01808511,0.00014879,0.0001529,0.00015288,0.00141526,0.00121205,0.00121193,0.00458524,0.00393768,0.00393727,0.37249621,0.35923625,0.35919097,-0.01325996,-0.01330524
12,0.031,0.27091642,0.27004762,0.27001123,0.06342137,0.05917899,0.05917339,0.02116336,0.01851679,0.01851493,0.0001622,0.00016623,0.00016621,0.00149241,0.00127319,0.00127306,0.004703,0.00403806,0.00403764,0.36185877,0.35322088,0.35317647,-0.00863789,-0.0086823
13,0.0435,0.25594295,0.26068125,0.26064613,0.06394903,0.05978924,0.05978358,0.02162415,0.0189108,0.01890889,0.00017649,0.00018046,0.00018044,0.00156595,0.00133101,0.00133087,0.00481298,0.00413115,0.00413073,0.34807156,0.34502391,0.34498064,-0.00304765,-0.00309092
14,0.0611,0.23760104,0.24874971,0.24871619,0.06419826,0.06019035,0.06018465,0.02198999,0.01922855,0.01922661,0.00019099,0.0001949,0.00019488,0.00162757,0.00137998,0.00137984,0.00490188,0.00420714,0.0042067,0.33050973,0.33395063,0.33390889,0.0034409,0.00339916
15,0.0856,0.21543608,0.23338499,0.23335355,0.06422134,0.06045405,0.06044832,0.02231323,0.01951529,0.01951332,0.00020744,0.00021147,0.00021145,0.00168537,0.00142628,0.00142614,0.00498167,0.00427541,0.00427497,0.30884513,0.31926749,0.31922775,0.01042236,0.01038262
16,0.1201,0.18948295,0.21374722,0.21371843,0.06402848,0.06063194,0.0606262,0.022637,0.01981128,0.01980928,0.0002279,0.00023164,0.00023162,0.00174725,0.00147523,0.00147508,0.00506303,0.00434424,0.00434379,0.2831866,0.30024156,0.3002044,0.01705496,0.0170178
