hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.026767,0.026767,0.02676694,0.085059,0.085059,0.08505871,0.341811,0.341811,0.34181121,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993807,110.004941,110.004941,110.00494,113.8745,113.8745,113.8745,0.0,0.0
0.0006,0.026743,0.026744,0.02674438,0.085055,0.085055,0.08505499,0.34181,0.34181,0.34181016,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.004941,110.004941,110.00494,113.87447,113.87447,113.87447,0.0,0.0
0.0009,0.026733,0.026735,0.0267353,0.085053,0.085054,0.08505349,0.34181,0.34181,0.34180974,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.00494,110.004941,110.00494,113.87446,113.87446,113.87446,0.0,0.0
0.0012,0.026719,0.026723,0.02672258,0.085051,0.085052,0.08505138,0.341809,0.341809,0.34180914,0.516542,0.516542,0.51654158,2.899381,2.899381,2.8993806,110.00494,110.004941,110.00494,113.87444,113.87445,113.87445,1e-05,1e-05
0.0017,0.0267,0.026705,0.02670476,0.085048,0.085049,0.08504841,0.341808,0.341808,0.34180829,0.516542,0.516542,0.51654158,2.899381,2.899381,2.8993805,110.00494,110.00494,110.00494,113.87442,113.87442,113.87442,0.0,0.0
0.0024,0.026673,0.02668,0.02667979,0.085043,0.085045,0.08504423,0.341807,0.341807,0.34180711,0.516542,0.516542,0.51654157,2.89938,2.899381,2.8993805,110.00494,110.00494,110.00494,113.87438,113.87439,113.87439,1e-05,1e-05
0.0034,0.026636,0.026645,0.02664483,0.085037,0.085039,0.08503836,0.341805,0.341805,0.34180544,0.516542,0.516542,0.51654156,2.89938,2.899381,2.8993804,110.004939,110.00494,110.00494,113.87434,113.87435,113.87435,1e-05,1e-05
0.0048,0.026583,0.026596,0.0265959,0.085028,0.08503,0.08503009,0.341802,0.341803,0.34180308,0.516542,0.516542,0.51654155,2.89938,2.899381,2.8993802,110.004939,110.004939,110.00494,113.87427,113.87429,113.87429,2e-05,2e-05
0.0067,0.02651,0.026528,0.02652746,0.085015,0.085019,0.08501847,0.341798,0.3418,0.34179976,0.516542,0.516542,0.51654153,2.89938,2.89938,2.8993801,110.004938,110.004938,110.00494,113.87418,113.87421,113.87421,3e-05,3e-05
0.0094,0.026408,0.026432,0.02643181,0.084998,0.085002,0.08500211,0.341793,0.341795,0.34179509,0.516542,0.516542,0.5165415,2.89938,2.89938,2.8993798,110.004937,110.004937,110.00494,113.87406,113.87409,113.87409,3e-05,3e-05
0.0131,0.026267,0.026298,0.0262983,0.084973,0.084979,0.08497911,0.341785,0.341788,0.3417885,0.516541,0.516542,0.51654147,2.899379,2.89938,2.8993795,110.004935,110.004936,110.00494,113.87388,113.87392,113.87392,4e-05,4e-05
0.0184,0.026071,0.026112,0.02611231,0.084938,0.084947,0.08494676,0.341775,0.341779,0.34177922,0.516541,0.516542,0.51654141,2.899379,2.899379,2.899379,110.004933,110.004934,110.00493,113.87364,113.87369,113.87369,5e-05,5e-05
0.0258,0.025801,0.025854,0.02585383,0.084889,0.084902,0.08490127,0.34176,0.341766,0.34176614,0.516541,0.516542,0.51654133,2.899378,2.899379,2.8993782,110.004929,110.004931,110.00493,113.8733,113.87337,113.87337,7e-05,7e-05
0.0362,0.02543,0.025496,0.02549586,0.08482,0.084838,0.0848373,0.341739,0.341747,0.34174771,0.516541,0.516542,0.51654121,2.899377,2.899378,2.8993772,110.004925,110.004927,110.00493,113.87283,113.87293,113.87293,0.0001,0.0001
0.0508,0.024928,0.025003,0.02500247,0.084724,0.084748,0.08474736,0.341709,0.341721,0.34172171,0.516541,0.516541,0.51654104,2.899375,2.899376,2.8993758,110.004918,110.004921,110.00492,113.87219,113.87231,113.87231,0.00012,0.00012
0.0713,0.024254,0.024328,0.02432794,0.084587,0.08462,0.08462014,0.341667,0.341684,0.3416847,0.516541,0.516541,0.51654077,2.899373,2.899374,2.8993737,110.004909,110.004913,110.00491,113.87133,113.87146,113.87146,0.00013,0.00013
0.1,0.023367,0.023418,0.02341776,0.084392,0.084438,0.08443752,0.341606,0.341631,0.34163071,0.51654,0.516541,0.51654032,2.899369,2.899371,2.8993705,110.004895,110.004902,110.0049,113.87017,113.8703,113.8703,0.00013,0.00013
0.1403,0.022227,0.022209,0.02220895,0.08411,0.084173,0.08417291,0.341515,0.34155,0.34155063,0.51654,0.51654,0.51653955,2.899363,2.899366,2.8993655,110.004875,110.004884,110.00488,113.86863,113.86872,113.86872,9e-05,9e-05
0.1968,0.020793,0.020633,0.0206332,0.083703,0.08379,0.08378963,0.34138,0.341431,0.34143151,0.516538,0.516539,0.51653821,2.899354,2.899358,2.8993576,110.004845,110.004859,110.00486,113.86661,113.86661,113.86661,0.0,0.0
0.276,0.019041,0.018631,0.01863085,0.083119,0.083236,0.08323543,0.341178,0.341254,0.34125404,0.516536,0.516536,0.51653587,2.899339,2.899345,2.8993449,110.0048,110.00482,110.00482,113.86401,113.86382,113.86382,-0.00019,-0.00019
0.3871,0.016975,0.016175,0.01617526,0.082283,0.082437,0.08243676,0.340876,0.340989,0.34098949,0.516532,0.516532,0.51653177,2.899315,2.899325,2.8993247,110.004733,110.004763,110.00476,113.86071,113.86022,113.86022,-0.00049,-0.00049
