,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.32842876,0.30492883,0.30489657,0.0543475,0.05038683,0.05038144,0.01621053,0.01426014,0.01425867,7.035e-05,7.709e-05,7.708e-05,0.0008405,0.00073984,0.00073977,0.00365654,0.00313813,0.0031378,0.40355417,0.37353086,0.37349134,-0.03002331,-0.03006283
1,0.0008,0.32790368,0.30465205,0.30461983,0.05442511,0.05046277,0.05045737,0.01624699,0.01429228,0.01429081,7.097e-05,7.754e-05,7.753e-05,0.0008446,0.00074332,0.00074324,0.00366311,0.00314404,0.00314372,0.40315446,0.373372,0.3733325,-0.02978246,-0.02982196
2,0.0011,0.32736417,0.30433195,0.30429975,0.05458738,0.05061903,0.05061362,0.01632096,0.01435757,0.01435609,7.199e-05,7.847e-05,7.846e-05,0.00085282,0.00075037,0.0007503,0.00367689,0.00315606,0.00315573,0.40287422,0.37329345,0.37325395,-0.02958077,-0.02962027
3,0.0015,0.32671406,0.30395911,0.30392695,0.05475177,0.05077739,0.05077196,0.01639674,0.01442391,0.01442243,7.309e-05,7.941e-05,7.94e-05,0.0008613,0.00075754,0.00075746,0.00369109,0.00316827,0.00316794,0.40248805,0.37316563,0.37312614,-0.02932242,-0.02936191
4,0.0021,0.32591542,0.30351644,0.30348433,0.05491564,0.0509355,0.05093006,0.01647334,0.0144904,0.01448891,7.428e-05,8.035e-05,8.034e-05,0.00086996,0.00076473,0.00076465,0.00370549,0.0031805,0.00318018,0.40195413,0.37296793,0.37292846,-0.0289862,-0.02902567
5,0.0029,0.32491065,0.30297639,0.30294434,0.05507838,0.05109305,0.05108759,0.01655081,0.01455701,0.01455551,7.558e-05,8.129e-05,8.128e-05,0.0008788,0.00077193,0.00077185,0.00372014,0.00319277,0.00319244,0.40121435,0.37267244,0.37263301,-0.02854191,-0.02858134
6,0.0041,0.32362002,0.3023004,0.30226842,0.0552392,0.05124965,0.05124417,0.01662919,0.01462371,0.01462221,7.703e-05,8.224e-05,8.223e-05,0.00088785,0.00077915,0.00077907,0.00373489,0.00320505,0.00320472,0.40018819,0.3722402,0.37220082,-0.02794799,-0.02798737
7,0.0057,0.32193379,0.30143468,0.30140279,0.05539712,0.05140486,0.05139937,0.01670864,0.01469054,0.01468903,7.87e-05,8.319e-05,8.318e-05,0.00089715,0.00078638,0.0007863,0.00374993,0.00321737,0.00321704,0.39876534,0.37161702,0.3715777,-0.02714832,-0.02718764
8,0.008,0.31970241,0.3003047,0.30027293,0.05555055,0.05155787,0.05155236,0.01678925,0.01475744,0.01475592,8.065e-05,8.414e-05,8.413e-05,0.00090675,0.00079362,0.00079354,0.00376519,0.00322971,0.00322937,0.3967948,0.37072748,0.37068825,-0.02606732,-0.02610655
9,0.0112,0.31672335,0.29880282,0.29877121,0.05569739,0.05171073,0.0517052,0.01687124,0.01482813,0.0148266,8.299e-05,8.573e-05,8.572e-05,0.00091672,0.00080171,0.00080162,0.00378064,0.00324297,0.00324264,0.39407234,0.36947209,0.369433,-0.02460025,-0.02463934
10,0.0158,0.31272647,0.29674773,0.29671633,0.05583468,0.05185986,0.05185432,0.01695487,0.01490503,0.0149035,8.587e-05,8.88e-05,8.879e-05,0.00092717,0.00081147,0.00081138,0.00379637,0.00325764,0.00325731,0.39032543,0.36767053,0.36763163,-0.0226549,-0.0226938
11,0.0221,0.30735841,0.29397623,0.29394513,0.05595828,0.05200276,0.0519972,0.01704054,0.01498233,0.01498079,8.95e-05,9.263e-05,9.262e-05,0.00093823,0.00082147,0.00082138,0.00381235,0.00327181,0.00327147,0.38519731,0.36514723,0.36510859,-0.02005008,-0.02008872
12,0.031,0.30016956,0.29023746,0.29020676,0.05606295,0.05214101,0.05213544,0.01712906,0.01506208,0.01506053,9.418e-05,9.737e-05,9.736e-05,0.00095014,0.00083197,0.00083189,0.00382871,0.00328593,0.00328559,0.3782346,0.36165583,0.36161756,-0.01657877,-0.01661704
