hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.053534,0.053534,0.05353388,0.170117,0.170117,0.17011742,0.683622,0.683622,0.68362242,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009882,220.009882,220.00988,227.749,227.749,227.749,0.0,0.0
0.0006,0.05351,0.053511,0.05351132,0.170113,0.170113,0.1701137,0.683621,0.683621,0.68362137,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009882,220.00988,227.74897,227.74897,227.74897,0.0,0.0
0.0009,0.0535,0.053502,0.05350224,0.170112,0.170112,0.17011219,0.683621,0.683621,0.68362094,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987613,220.009881,220.009882,220.00988,227.74896,227.74896,227.74896,0.0,0.0
0.0012,0.053486,0.05349,0.05348952,0.17011,0.17011,0.17011008,0.68362,0.68362,0.68362034,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987612,220.009881,220.009882,220.00988,227.74894,227.74894,227.74895,0.0,1e-05
0.0017,0.053467,0.053472,0.05347168,0.170106,0.170107,0.1701071,0.683619,0.683619,0.6836195,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987612,220.009881,220.009881,220.00988,227.74892,227.74892,227.74892,0.0,0.0
0.0024,0.05344,0.053447,0.0534467,0.170102,0.170102,0.17010292,0.683618,0.683618,0.68361831,1.033083,1.033083,1.0330832,5.798761,5.798761,5.7987611,220.009881,220.009881,220.00988,227.74888,227.74889,227.74889,1e-05,1e-05
0.0034,0.053402,0.053412,0.05341169,0.170095,0.170097,0.17009702,0.683616,0.683616,0.68361663,1.033083,1.033083,1.0330832,5.798761,5.798761,5.798761,220.00988,220.009881,220.00988,227.74884,227.74885,227.74885,1e-05,1e-05
0.0048,0.05335,0.053363,0.05336265,0.170086,0.170088,0.17008873,0.683613,0.683614,0.68361426,1.033083,1.033083,1.0330831,5.798761,5.798761,5.7987609,220.00988,220.00988,220.00988,227.74877,227.74879,227.74879,2e-05,2e-05
0.0067,0.053276,0.053294,0.05329399,0.170074,0.170077,0.17007706,0.683609,0.683611,0.68361093,1.033083,1.033083,1.0330831,5.798761,5.79876,5.7987607,220.009879,220.009879,220.00988,227.74868,227.7487,227.74871,2e-05,3e-05
0.0094,0.053173,0.053198,0.05319789,0.170056,0.17006,0.17006065,0.683604,0.683606,0.68360623,1.033083,1.033083,1.0330831,5.79876,5.79876,5.7987605,220.009877,220.009878,220.00988,227.74855,227.74859,227.74859,4e-05,4e-05
0.0131,0.05303,0.053064,0.05306348,0.170031,0.170037,0.17003755,0.683596,0.683599,0.68359961,1.033083,1.033083,1.0330831,5.79876,5.79876,5.7987601,220.009876,220.009877,220.00988,227.74838,227.74842,227.74842,4e-05,4e-05
0.0184,0.05283,0.052876,0.05287566,0.169996,0.170005,0.17000506,0.683586,0.68359,0.68359028,1.033083,1.033083,1.033083,5.798759,5.798759,5.7987596,220.009873,220.009875,220.00987,227.74813,227.74819,227.74819,6e-05,6e-05
0.0258,0.052552,0.052614,0.05261356,0.169947,0.169959,0.16995934,0.683571,0.683577,0.68357712,1.033083,1.033083,1.0330829,5.798759,5.798759,5.7987589,220.00987,220.009872,220.00987,227.74778,227.74786,227.74786,8e-05,8e-05
0.0362,0.052167,0.052249,0.0522484,0.169878,0.169895,0.16989502,0.68355,0.683558,0.68355855,1.033083,1.033083,1.0330828,5.798757,5.798758,5.7987579,220.009865,220.009868,220.00987,227.7473,227.74741,227.74741,0.00011,0.00011
0.0508,0.051636,0.051741,0.05174101,0.16978,0.169804,0.16980445,0.68352,0.683532,0.68353234,1.033083,1.033082,1.0330826,5.798756,5.798756,5.7987564,220.009859,220.009862,220.00986,227.74663,227.74678,227.74678,0.00015,0.00015
0.0713,0.050911,0.05104,0.05104,0.169642,0.169675,0.16967564,0.683477,0.683494,0.68349473,1.033082,1.033082,1.0330823,5.798753,5.798754,5.7987543,220.009849,220.009854,220.00985,227.74571,227.7459,227.7459,0.00019,0.00019
0.1,0.049931,0.05008,0.05007947,0.169442,0.169489,0.1694899,0.683414,0.683439,0.68343956,1.033082,1.033082,1.0330819,5.79875,5.798751,5.7987509,220.009835,220.009842,220.00984,227.74446,227.74468,227.74468,0.00022,0.00022
0.1403,0.048625,0.048774,0.04877405,0.169154,0.169221,0.16922092,0.683321,0.683357,0.68335792,1.033081,1.033081,1.0330811,5.798744,5.798745,5.7987457,220.009815,220.009825,220.00982,227.74274,227.743,227.743,0.00026,0.00026
0.1968,0.046907,0.047017,0.04701685,0.168738,0.168831,0.1688315,0.683184,0.683236,0.6832369,1.03308,1.03308,1.0330797,5.798734,5.798737,5.7987375,220.009784,220.009799,220.0098,227.74043,227.7407,227.7407,0.00027,0.00027
0.276,0.044688,0.044683,0.04468255,0.168138,0.168268,0.1682682,0.682979,0.683057,0.68305724,1.033077,1.033077,1.0330773,5.798719,5.798724,5.7987246,220.009739,220.00976,220.00976,227.73734,227.73757,227.73757,0.00023,0.00023
0.3871,0.041887,0.041639,0.04163893,0.167275,0.167455,0.16745502,0.682674,0.68279,0.68279032,1.033073,1.033073,1.0330732,5.798694,5.798704,5.7987041,220.009671,220.009702,220.0097,227.73327,227.73336,227.73336,9e-05,9e-05
0.5431,0.038447,0.037762,0.03776165,0.166038,0.166282,0.16628196,0.682219,0.682392,0.68239219,1.033066,1.033066,1.0330658,5.798655,5.798671,5.7986714,220.009569,220.009615,220.00962,227.72799,227.72779,227.72779,-0.0002,-0.0002
0.7617,0.034365,0.032989,0.03298924,0.164281,0.164603,0.16460337,0.681545,0.6818,0.68180077,1.033053,1.033053,1.0330527,5.798592,5.798619,5.7986191,220.009417,220.009485,220.00948,227.72125,227.72055,227.72055,-0.0007,-0.0007
1.0685,0.029682,0.027324,0.02732381,0.161839,0.162245,0.16224541,0.680576,0.680947,0.68094744,1.03303,1.03303,1.0330302,5.798497,5.79854,5.7985403,220.009198,220.009297,220.0093,227.71282,227.71138,227.71138,-0.00144,-0.00144
1.4988,0.024544,0.020973,0.02097268,0.158533,0.159,0.15900019,0.679228,0.679751,0.67975118,1.032993,1.032992,1.0329922,5.798364,5.798427,5.7984278,220.008896,220.009038,220.00904,227.70256,227.70018,227.70018,-0.00238,-0.00238
2.1024,0.019211,0.014456,0.01445582,0.154124,0.154579,0.15457899,0.677368,0.678083,0.67808309,1.032927,1.032926,1.032926,5.798177,5.798267,5.7982678,220.008487,220.008686,220.00869,227.69029,227.687,227.687,-0.00329,-0.00329
2.949,0.014019,0.008564,0.00856419,0.148343,0.148626,0.14862636,0.674809,0.675762,0.675762,1.032809,1.032808,1.0328081,5.797914,5.798038,5.7980385,220.007939,220.008215,220.00821,227.67583,227.67201,227.67201,-0.00382,-0.00382
4.1366,0.009347,0.004108,0.00410815,0.140868,0.140678,0.14067828,0.671257,0.672496,0.67249606,1.032592,1.03259,1.0325898,5.797531,5.797698,5.7976984,220.007202,220.007581,220.00758,227.6588,227.65515,227.65515,-0.00365,-0.00365
5.8025,0.005546,0.001471,0.00147103,0.131353,0.130191,0.13019091,0.66625,0.667834,0.66783477,1.032182,1.03218,1.0321797,5.796951,5.797175,5.7971753,220.006206,220.006724,220.00672,227.63849,227.63557,227.63558,-0.00292,-0.00291
8.1392,0.002823,0.000353,0.00035306,0.119468,0.116587,0.11658763,0.659051,0.661047,0.66104776,1.031395,1.031389,1.0313893,5.796033,5.796332,5.7963325,220.004849,220.005554,220.00555,227.61362,227.61126,227.61126,-0.00236,-0.00236
11.417,0.001169,4.9e-05,4.93e-05,0.104983,0.099462,0.09946224,0.648458,0.65099,0.65099051,1.029868,1.029865,1.0298655,5.794518,5.794928,5.7949286,220.002981,220.003943,220.00394,227.58197,227.57924,227.57924,-0.00273,-0.00273
16.0147,0.000365,3e-06,3.37e-06,0.087995,0.078908,0.07890818,0.632519,0.635779,0.63577937,1.02689,1.026891,1.0268912,5.791918,5.7925,5.7925004,220.000374,220.001692,220.00169,227.54006,227.53577,227.53577,-0.00429,-0.00429
22.464,8e-05,0.0,9e-08,0.069345,0.056116,0.0561164,0.608244,0.612474,0.6124741,1.021082,1.021121,1.021121,5.787326,5.788213,5.7882131,219.996675,219.9985,219.9985,227.48275,227.47642,227.47642,-0.00633,-0.00633
31.5105,1.3e-05,0.0,0.0,0.051038,0.033832,0.03383202,0.571753,0.576457,0.57645724,1.00981,1.009916,1.0099164,5.779047,5.780484,5.7804839,219.991322,219.993877,219.99388,227.40298,227.39457,227.39457,-0.00841,-0.00841
44.2001,2e-06,0.0,0.0,0.035785,0.015947,0.01594683,0.519872,0.521367,0.52136718,0.988214,0.988452,0.98845258,5.763953,5.766458,5.7664586,219.983383,219.987035,219.98703,227.29121,227.27926,227.27926,-0.01195,-0.01195
62.0,0.0,0.0,0.0,0.025202,0.005279,0.00527917,0.453994,0.440144,0.44014468,0.947837,0.947951,0.94795075,5.736414,5.740939,5.7409395,219.971357,219.976648,219.97665,227.13481,227.11096,227.11096,-0.02385,-0.02385
85.775,0.0,0.0,0.0,0.018726,0.001169,0.00116913,0.385895,0.335167,0.33516723,0.879702,0.878031,0.87803157,5.689047,5.697175,5.6971756,219.953562,219.961226,219.96123,226.92693,226.87277,226.87277,-0.05416,-0.05416
109.55,0.0,0.0,0.0,0.015274,0.000264,0.0002635,0.33851,0.24441,0.24441012,0.802123,0.795616,0.79561595,5.630703,5.643478,5.643478,219.933537,219.943876,219.94388,226.72015,226.62764,226.62764,-0.09251,-0.09251
133.325,0.0,0.0,0.0,0.012957,6.2e-05,6.236e-05,0.305313,0.172623,0.17262343,0.72204,0.707002,0.70700178,5.562384,5.580441,5.5804416,219.910932,219.924285,219.92429,226.51363,226.38441,226.38441,-0.12922,-0.12922
157.1,0.0,0.0,0.0,0.011186,1.6e-05,1.568e-05,0.28094,0.119242,0.11924181,0.643975,0.617528,0.61752834,5.485061,5.50865,5.5086498,219.885546,219.902267,219.90227,226.30671,226.1477,226.1477,-0.15901,-0.15901
180.875,0.0,0.0,0.0,0.009771,4e-06,4.2e-06,0.262239,0.081044,0.08104357,0.570197,0.531033,0.53103329,5.399721,5.429033,5.4290329,219.857394,219.87788,219.87788,226.09932,225.91899,225.91899,-0.18033,-0.18033
204.65,0.0,0.0,0.0,0.008607,1e-06,1.2e-06,0.247229,0.054435,0.05443543,0.501941,0.450153,0.45015316,5.307302,5.34237,5.3423702,219.826497,219.851123,219.85112,225.89158,225.69808,225.69808,-0.1935,-0.1935
228.425,0.0,0.0,0.0,0.007632,0.0,3.6e-07,0.23469,0.036312,0.03631156,0.439734,0.376536,0.37653627,5.208705,5.249184,5.2491842,219.792879,219.821882,219.82188,225.68364,225.48391,225.48391,-0.19973,-0.19973
252.2,0.0,0.0,0.0,0.006804,0.0,1.2e-07,0.22388,0.024103,0.02410302,0.383693,0.311168,0.31116788,5.104857,5.150369,5.1503693,219.75659,219.790249,219.79025,225.47582,225.27589,225.27589,-0.19993,-0.19993
275.975,0.0,0.0,0.0,0.006092,0.0,4e-08,0.214338,0.015969,0.01596893,0.333622,0.254317,0.25431704,4.996584,5.046539,5.0465395,219.717663,219.756215,219.75622,225.2683,225.07304,225.07304,-0.19526,-0.19526
299.75,0.0,0.0,0.0,0.005477,0.0,1e-08,0.205768,0.010583,0.010583,0.289174,0.205743,0.2057434,4.884664,4.938312,4.9383126,219.676133,219.719785,219.71978,225.06122,224.87442,224.87442,-0.1868,-0.1868
323.525,0.0,0.0,0.0,0.004941,0.0,1e-08,0.19798,0.007015,0.00701485,0.249934,0.164905,0.16490541,4.769825,4.826537,4.8265373,219.632035,219.681091,219.68109,224.85472,224.67955,224.67955,-0.17517,-0.17517
347.3,0.0,0.0,0.0,0.004471,0.0,0.0,0.190838,0.004665,0.00466465,0.215457,0.131064,0.13106412,4.65275,4.711529,4.711529,219.58541,219.640019,219.64002,224.64893,224.48728,224.48728,-0.16165,-0.16165
371.075,0.0,0.0,0.0,0.004058,0.0,0.0,0.184244,0.003113,0.00311313,0.185296,0.103362,0.10336205,4.534069,4.593915,4.5939156,219.536299,219.596614,219.59661,224.44397,224.297,224.29701,-0.14697,-0.14696
