ig,ip,t1,t2,t3,t4,t5
1,1,4.4859365e-20,4.3589518e-20,4.2049732000000004e-20,4.0303452000000007e-20,3.8403587999999996e-20
1,2,4.4814754999999996e-20,4.3522519999999996e-20,4.1971876e-20,4.0217266999999997e-20,3.8311897000000004e-20
1,3,4.475468900000001e-20,4.3449027e-20,4.1887573e-20,4.0124763e-20,3.821511e-20
1,4,4.4693891999999996e-20,4.3374967e-20,4.1802866e-20,4.0032004e-20,3.8118191e-20
1,5,4.4632265e-20,4.3300253e-20,4.1717673e-20,3.9938915999999996e-20,3.8021071000000004e-20
1,6,4.4569185e-20,4.322416099999999e-20,4.1631193000000004e-20,3.984464e-20,3.7922866999999996e-20
1,7,4.4507503e-20,4.3150214999999996e-20,4.1547489e-20,3.9753648e-20,3.7828263999999996e-20
1,8,4.443039e-20,4.305802099999999e-20,4.1443326e-20,3.9640572e-20,3.7710816e-20
1,9,4.4336345e-20,4.2945993e-20,4.1317072999999996e-20,3.9503769999999995e-20,3.7568911e-20
1,10,4.4203215999999996e-20,4.2787758e-20,4.1139047e-20,3.9311128e-20,3.7369277000000005e-20
1,11,4.4054567e-20,4.2612260000000004e-20,4.0942504999999993e-20,3.9099163000000004e-20,3.7150134e-20
1,12,4.3895397000000005e-20,4.2425797999999997e-20,4.0734794999999997e-20,3.8876025e-20,3.6920061e-20
1,13,4.3728707e-20,4.2232194e-20,4.052039700000001e-20,3.8646689e-20,3.6684303999999997e-20
1,14,4.3553776e-20,4.2030828e-20,4.0298779999999997e-20,3.841071e-20,3.643101799999999e-20
1,15,4.3363706e-20,4.1815181e-20,4.0063828e-20,3.8163831e-20,3.6169821000000005e-20
1,16,4.3152869000000004e-20,4.1579677000000003e-20,3.9810071e-20,3.7901487999999994e-20,3.5903066e-20
1,17,4.2932825e-20,4.1336226e-20,3.9549563999999997e-20,3.7633454e-20,3.5631575e-20
1,18,4.2726945e-20,4.1111819e-20,3.9312026e-20,3.7390869e-20,3.5387340999999997e-20
1,19,4.2557732000000003e-20,4.0932205999999997e-20,3.912561e-20,3.7203091000000005e-20,3.5200398999999996e-20
1,20,4.2521337999999995e-20,4.0906992999999995e-20,3.9109919999999996e-20,3.7194718e-20,3.519817e-20
1,21,4.2534834999999997e-20,4.0943062e-20,3.9164337e-20,3.7261589e-20,3.5274648e-20
1,22,4.2593074999999996e-20,4.103657e-20,3.9286169999999994e-20,3.7401941e-20,3.5428871e-20
1,23,4.2646962999999995e-20,4.1133751000000004e-20,3.9418349e-20,3.7557415e-20,3.5602027e-20
1,24,4.2669363e-20,4.1206329999999997e-20,3.9531952e-20,3.7699699e-20,3.5768252e-20
1,25,4.2629343e-20,4.122448600000001e-20,3.9598415999999993e-20,3.7805288999999995e-20,3.5918582000000004e-20
1,26,4.252235400000001e-20,4.1182996e-20,3.9611933e-20,3.7864072e-20,3.6009434e-20
1,27,4.2321391999999997e-20,4.1053958e-20,3.9544068e-20,3.7847461e-20,3.6030837e-20
1,28,4.2007199999999995e-20,4.0819578e-20,3.9378360000000003e-20,3.7740245e-20,3.5968790999999994e-20
1,29,4.1543397e-20,4.0441192e-20,3.9074525e-20,3.7501186e-20,3.5782137999999995e-20
1,30,4.0919904999999996e-20,3.9914712999999995e-20,3.8633470000000005e-20,3.7135287999999996e-20,3.5478790999999995e-20
1,31,4.0106687e-20,3.9212321000000006e-20,3.802944200000001e-20,3.6618761e-20,3.5036852999999996e-20
1,32,3.9051252e-20,3.8296292999999995e-20,3.7226925000000004e-20,3.59183e-20,3.4426711e-20
1,33,3.7724318000000005e-20,3.7135646e-20,3.6196686e-20,3.5006474e-20,3.3622435e-20
1,34,3.6112395e-20,3.5704395e-20,3.4913212999999995e-20,3.3858555e-20,3.2598935e-20
1,35,3.4193278e-20,3.3971699e-20,3.3341546e-20,3.2436847000000005e-20,3.1316858e-20
1,36,3.1962487999999994e-20,3.1930437999999996e-20,3.147245e-20,3.0730918e-20,2.976518299999999e-20
1,37,2.9433071000000005e-20,2.9591287000000003e-20,2.9313718999999994e-20,2.8746673000000004e-20,2.7948562000000003e-20
1,38,2.6637891e-20,2.6983804e-20,2.6890657e-20,2.6506224e-20,2.5886652e-20
1,39,2.3645173999999998e-20,2.416159e-20,2.4245132000000002e-20,2.4041782e-20,2.3603721e-20
1,40,2.0576547999999998e-20,2.1218938999999998e-20,2.1450474999999998e-20,2.1408563e-20,2.1139482999999996e-20
1,41,1.7588092000000003e-20,1.8288898999999997e-20,1.8619677999999998e-20,1.8700714e-20,1.8570825999999998e-20
1,42,1.4883533e-20,1.5544684e-20,1.5900542e-20,1.6040988e-20,1.5996665e-20
1,43,1.2490243999999998e-20,1.3059464000000001e-20,1.3392891999999999e-20,1.3548284e-20,1.3548909e-20
1,44,1.0371807e-20,1.0843449e-20,1.1138245e-20,1.1289306999999998e-20,1.1314036e-20
1,45,8.5413947e-21,8.9187291e-21,9.1669913e-21,9.3012178e-21,9.334401299999999e-21
1,46,6.9912195e-21,7.2869383e-21,7.4838515e-21,7.5917968e-21,7.6218741e-21
1,47,5.735564999999999e-21,5.9503559e-21,6.0899587e-21,6.1618314e-21,6.176536199999999e-21
