ig,ip,t1,t2,t3,t4,t5
1,1,4.1111088e-20,4.0329068999999996e-20,3.9214103999999996e-20,3.7821244e-20,3.6210406999999994e-20
1,2,4.1089869e-20,4.0283812000000006e-20,3.9154607e-20,3.7750102999999997e-20,3.6130977999999994e-20
1,3,4.1054905e-20,4.0232653e-20,3.9089159e-20,3.7673079e-20,3.6046777000000004e-20
1,4,4.1019163999999996e-20,4.0180812999999996e-20,3.9023165999999994e-20,3.7595671000000003e-20,3.5962339999999994e-20
1,5,4.0982568999999994e-20,4.0128220999999997e-20,3.8956563999999996e-20,3.7517817e-20,3.5877612e-20
1,6,4.0944724e-20,4.007435700000001e-20,3.888872099999999e-20,3.7438799e-20,3.5791822000000004e-20
1,7,4.0907300999999996e-20,4.0021703000000004e-20,3.8822829e-20,3.7362373e-20,3.5709072e-20
1,8,4.0860146e-20,3.995572e-20,3.8740546999999995e-20,3.7267182e-20,3.5606185e-20
1,9,4.0802066e-20,3.9875038e-20,3.8640398e-20,3.71517e-20,3.5481649999999997e-20
1,10,4.0718994e-20,3.9760233e-20,3.8498438999999993e-20,3.6988496e-20,3.5306032999999996e-20
1,11,4.0624717000000006e-20,3.9631620000000003e-20,3.8340691e-20,3.6808168e-20,3.5112733999999994e-20
1,12,4.0521989e-20,3.9493512e-20,3.8172844e-20,3.6617512999999995e-20,3.4909239e-20
1,13,4.0412459e-20,3.9348557e-20,3.799840799999999e-20,3.6420726e-20,3.4700161e-20
1,14,4.0295442999999996e-20,3.9196163e-20,3.7816885999999997e-20,3.621739299999999e-20,3.4474543e-20
1,15,4.0164322000000003e-20,3.9030102999999994e-20,3.7622470999999994e-20,3.6003472e-20,3.424121e-20
1,16,4.0014131e-20,3.884538899999999e-20,3.7410223e-20,3.5774817000000005e-20,3.4002392e-20
1,17,3.9855079e-20,3.8652717000000004e-20,3.7191115e-20,3.5540398e-20,3.3758834000000004e-20
1,18,3.9703851e-20,3.8473529e-20,3.6990337e-20,3.5327662e-20,3.3539425e-20
1,19,3.9577197e-20,3.8328878e-20,3.6832224e-20,3.516282e-20,3.3371516e-20
1,20,3.9545888000000004e-20,3.8307405e-20,3.6819249e-20,3.5156400999999997e-20,3.3370609e-20
1,21,3.954937e-20,3.8334553e-20,3.6865947999999994e-20,3.5216621e-20,3.3441085e-20
1,22,3.9582743999999997e-20,3.8406578000000004e-20,3.6969672999999995e-20,3.5341752e-20,3.3582010999999995e-20
1,23,3.9609169e-20,3.8479799e-20,3.7081566e-20,3.5480153e-20,3.3740229e-20
1,24,3.9607482000000004e-20,3.8530882000000004e-20,3.7176744e-20,3.5606786e-20,3.3892467000000006e-20
1,25,3.9550531000000006e-20,3.853328299999999e-20,3.7229483e-20,3.5700345e-20,3.4030719999999997e-20
1,26,3.9437669999999995e-20,3.8484933999999996e-20,3.7236402e-20,3.5752828e-20,3.4115477999999995e-20
1,27,3.9248144999999995e-20,3.8363322999999995e-20,3.7173565000000006e-20,3.5739364e-20,3.4138516000000004e-20
1,28,3.8965275e-20,3.8153019e-20,3.7026586000000005e-20,3.5646514e-20,3.4087331e-20
1,29,3.8560345e-20,3.7822138999999995e-20,3.6760961000000005e-20,3.5437916e-20,3.3924881e-20
1,30,3.8018822e-20,3.7363006e-20,3.6374875e-20,3.5116546e-20,3.3657556999999996e-20
1,31,3.7311362e-20,3.6748581e-20,3.5843486000000004e-20,3.4659639e-20,3.3264550000000004e-20
1,32,3.6386792e-20,3.5941425e-20,3.513184e-20,3.4034751e-20,3.2717246e-20
1,33,3.5214133000000004e-20,3.490934399999999e-20,3.4209884e-20,3.3214101999999996e-20,3.1989818e-20
1,34,3.3776814e-20,3.362445e-20,3.3050532999999995e-20,3.2171881e-20,3.1056687999999994e-20
1,35,3.2052921000000005e-20,3.2056091e-20,3.1618883e-20,3.0870552000000004e-20,2.9878925000000005e-20
1,36,3.0033686000000007e-20,3.0193327e-20,2.9902461e-20,2.9297033e-20,2.8443427000000004e-20
1,37,2.7726957e-20,2.8042528e-20,2.7905529e-20,2.7454252e-20,2.6752294999999995e-20
1,38,2.5160274e-20,2.5629181e-20,2.5650181e-20,2.5361550999999996e-20,2.4822638e-20
1,39,2.2398111000000002e-20,2.3004717e-20,2.3176789000000003e-20,2.3049792e-20,2.2677308999999998e-20
1,40,1.9557406000000003e-20,2.0260917e-20,2.0557104e-20,2.057292e-20,2.0354773e-20
1,41,1.6785345000000004e-20,1.7524174999999997e-20,1.7898963000000002e-20,1.8020908e-20,1.7928327e-20
1,42,1.4276038e-20,1.4959844999999998e-20,1.5343629e-20,1.5511064e-20,1.5492293e-20
1,43,1.2045896000000001e-20,1.2628478999999998e-20,1.2978729e-20,1.3150993e-20,1.316824e-20
1,44,1.0055899e-20,1.0535339e-20,1.0839898999999999e-20,1.1001133e-20,1.1036292e-20
1,45,8.322363900000001e-21,8.704359500000001e-21,8.958184100000001e-21,9.098417799999999e-21,9.1380022e-21
1,46,6.8430757e-21,7.1414679e-21,7.3415779e-21,7.4530808e-21,7.487034599999999e-21
1,47,5.6372887e-21,5.853701e-21,5.9952307e-21,6.0692914e-21,6.0863860999999996e-21
1,48,4.623563e-21,4.7755513e-21,4.870769e-21,4.9152785e-21,4.9155066e-21
1,49,3.771362900000001e-21,3.875237e-21,3.9362255e-21,3.9604526999999995e-21,3.9511884e-21
1,50,3.0596560000000003e-21,3.1314360000000005e-21,3.1706096e-21,3.1822531e-21,3.1696758e-21
1,51,2.4690284000000003e-21,2.5206894000000003e-21,2.5475713e-21,2.5526115e-21,2.5509195e-21
1,52,1.9925771999999996e-21,2.0292959000000003e-21,2.0474011e-21,2.0487313e-21,2.0589071e-21
2,1,1.6908715e-21,1.9460074e-21,2.227322e-21,2.513284e-21,2.7852791e-21
2,2,1.7025777999999997e-21,1.9591232e-21,2.241125e-21,2.5267994e-21,2.7977786e-21
2,3,1.7140273e-21,1.9722332e-21,2.2548309e-21,2.540125e-21,2.8100761000000005e-21
2,4,1.7256610000000002e-21,1.9854731e-21,2.2686122999999998e-21,2.5534807e-21,2.8223708e-21
2,5,1.737494e-21,1.9988558e-21,2.2824807e-21,2.5668764000000004e-21,2.8346714000000003e-21
2,6,1.7496429e-21,2.0125082e-21,2.2965645e-21,2.5804347e-21,2.8470895999999998e-21
2,7,1.7615464e-21,2.0257903e-21,2.310199e-21,2.5935137e-21,2.8590365e-21
2,8,1.7764901999999997e-21,2.0423853000000003e-21,2.3271717e-21,2.6097477e-21,2.8738312999999998e-21
