,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.16432,0.15257,0.15254,0.02719,0.02521,0.02521,0.00811,0.00713,0.00713,4e-05,4e-05,4e-05,0.00042,0.00037,0.00037,0.00183,0.00157,0.00157,0.2019,0.18689,0.18686,-0.015019999999999999,-0.015040000000000001
1,0.0008,0.16405999999999998,0.15242999999999998,0.15241,0.02723,0.02525,0.025240000000000002,0.00813,0.00715,0.00715,4e-05,4e-05,4e-05,0.00042,0.00037,0.00037,0.00183,0.00157,0.00157,0.20171,0.18681,0.18678,-0.0149,-0.01493
2,0.0011,0.1638,0.15227000000000002,0.15225,0.02731,0.025330000000000002,0.02532,0.00817,0.00718,0.00718,4e-05,4e-05,4e-05,0.00043,0.00037999999999999997,0.00037999999999999997,0.0018399999999999998,0.00158,0.00158,0.20158,0.18677,0.18675,-0.0148,-0.014830000000000001
3,0.0015,0.16348,0.15209,0.15207,0.027389999999999998,0.0254,0.0254,0.0082,0.00722,0.00722,4e-05,4e-05,4e-05,0.00043,0.00037999999999999997,0.00037999999999999997,0.00185,0.00159,0.00158,0.20139,0.18671,0.18669000000000002,-0.01468,-0.0147
4,0.0021,0.16309,0.15187,0.15185,0.027469999999999998,0.025480000000000003,0.025480000000000003,0.00824,0.00725,0.00725,4e-05,4e-05,4e-05,0.00044,0.00037999999999999997,0.00037999999999999997,0.00185,0.00159,0.00159,0.20113,0.18662,0.18659,-0.014509999999999999,-0.01454
5,0.0029,0.1626,0.15161,0.15158,0.02756,0.02556,0.02556,0.00828,0.00728,0.00728,4e-05,4e-05,4e-05,0.00044,0.00039,0.00039,0.00186,0.0016,0.0016,0.20077,0.18648,0.18645,-0.0143,-0.01432
6,0.0041,0.16197,0.15128,0.15125,0.027639999999999998,0.025639999999999996,0.025639999999999996,0.008320000000000001,0.00732,0.00732,4e-05,4e-05,4e-05,0.00044,0.00039,0.00039,0.00187,0.0016,0.0016,0.20027999999999999,0.18627,0.18624000000000002,-0.01401,-0.01403
7,0.0057,0.16115,0.15085,0.15083,0.027719999999999998,0.02572,0.02572,0.00836,0.00735,0.00735,4e-05,4e-05,4e-05,0.00045,0.00039,0.00039,0.0018800000000000002,0.00161,0.00161,0.19959000000000002,0.18597,0.18594000000000002,-0.013619999999999998,-0.01365
8,0.008,0.16005999999999998,0.1503,0.15028,0.02779,0.0258,0.025789999999999997,0.0084,0.007379999999999999,0.007379999999999999,4e-05,4e-05,4e-05,0.00045,0.0004,0.0004,0.0018800000000000002,0.00162,0.00162,0.19863,0.18554,0.18550999999999998,-0.0131,-0.01312
9,0.0112,0.15861,0.14957,0.14955,0.02787,0.025869999999999997,0.025869999999999997,0.008440000000000001,0.00742,0.00742,4e-05,4e-05,4e-05,0.00045999999999999996,0.0004,0.0004,0.0018899999999999998,0.00162,0.00162,0.19730999999999999,0.18492999999999998,0.1849,-0.01238,-0.01241
