,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.16415,0.15242999999999998,0.15241,0.02733,0.02534,0.02534,0.00817,0.00719,0.00719,4e-05,4e-05,4e-05,0.00043,0.00037999999999999997,0.00037999999999999997,0.0018399999999999998,0.00158,0.00158,0.20196,0.18695,0.18692999999999999,-0.015009999999999999,-0.015030000000000002
1,0.0008,0.16376,0.15216,0.15215,0.027510000000000003,0.025519999999999998,0.025509999999999998,0.00826,0.007259999999999999,0.007259999999999999,4e-05,4e-05,4e-05,0.00044,0.00037999999999999997,0.00037999999999999997,0.00186,0.00159,0.00159,0.20185,0.18696,0.18694000000000002,-0.01489,-0.01492
2,0.0011,0.16307,0.15169000000000002,0.15167,0.027889999999999998,0.025869999999999997,0.025869999999999997,0.00843,0.007409999999999999,0.007409999999999999,4e-05,4e-05,4e-05,0.00045999999999999996,0.0004,0.0004,0.0018899999999999998,0.00162,0.00162,0.20177,0.18703,0.18700999999999998,-0.014740000000000001,-0.014759999999999999
3,0.0015,0.16235,0.15119000000000002,0.15117,0.02828,0.02623,0.02623,0.00861,0.007559999999999999,0.007559999999999999,4e-05,4e-05,4e-05,0.00047999999999999996,0.00042,0.00042,0.00193,0.00165,0.00165,0.20168,0.1871,0.18707000000000001,-0.014580000000000001,-0.0146
4,0.0021,0.16158,0.15067,0.15066,0.028669999999999998,0.0266,0.0266,0.0088,0.00771,0.00771,4e-05,5e-05,5e-05,0.0005,0.00043,0.00043,0.00196,0.00168,0.00168,0.20156,0.18715,0.18712,-0.01441,-0.014430000000000002
5,0.0029,0.16075,0.15012999999999999,0.15011,0.02907,0.026969999999999997,0.026969999999999997,0.009,0.00787,0.00787,5e-05,5e-05,5e-05,0.0005200000000000001,0.00045,0.00045,0.002,0.0017,0.0017,0.2014,0.18717,0.18715,-0.014230000000000001,-0.01425
6,0.0041,0.15983,0.14947,0.14945,0.029480000000000003,0.02735,0.02735,0.0092,0.00805,0.00805,5e-05,5e-05,5e-05,0.00055,0.00047000000000000004,0.00047000000000000004,0.0020399999999999997,0.0017399999999999998,0.0017399999999999998,0.20115999999999998,0.18714,0.18711,-0.01402,-0.01405
7,0.0057,0.15875999999999998,0.14870999999999998,0.1487,0.029889999999999996,0.027739999999999997,0.027739999999999997,0.00941,0.00824,0.00824,5e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00058,0.0005,0.0005,0.00209,0.00179,0.00179,0.20078,0.18704,0.18700999999999998,-0.01375,-0.01377
8,0.008,0.15757000000000002,0.14789000000000002,0.14787,0.030289999999999997,0.028130000000000002,0.028130000000000002,0.00963,0.008440000000000001,0.008440000000000001,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00061,0.0005200000000000001,0.0005200000000000001,0.00214,0.00183,0.00183,0.20029,0.18687,0.18685,-0.01342,-0.01344
9,0.0112,0.15619,0.14698,0.14695999999999998,0.03071,0.02852,0.02852,0.009859999999999999,0.00864,0.00864,5.9999999999999995e-05,7e-05,7e-05,0.00064,0.00055,0.00055,0.0021899999999999997,0.0018800000000000002,0.0018800000000000002,0.19965,0.18663,0.18661,-0.013019999999999999,-0.013040000000000001
10,0.0158,0.15458,0.14592,0.1459,0.03113,0.028919999999999998,0.02891,0.0101,0.00884,0.00884,7e-05,7e-05,7e-05,0.00067,0.00058,0.00058,0.00224,0.0019199999999999998,0.0019199999999999998,0.19877999999999998,0.18625,0.18623,-0.01253,-0.01255
11,0.0221,0.15266,0.14467,0.14465999999999998,0.03155,0.02932,0.029310000000000003,0.01034,0.00905,0.00905,7e-05,8e-05,8e-05,0.0007099999999999999,0.00061,0.00061,0.00229,0.00197,0.00197,0.19762000000000002,0.18569000000000002,0.18567,-0.01193,-0.01195
12,0.031,0.15031,0.14318,0.14317,0.03197,0.029710000000000004,0.029710000000000004,0.0106,0.00927,0.00927,8e-05,8e-05,8e-05,0.00075,0.00064,0.00064,0.00235,0.00202,0.00202,0.19605,0.18491,0.18488,-0.01115,-0.011170000000000001
13,0.0435,0.14749,0.14144,0.14142000000000002,0.032330000000000005,0.030060000000000003,0.030060000000000003,0.01083,0.00946,0.00946,9e-05,9e-05,9e-05,0.00078,0.00067,0.00067,0.0024100000000000002,0.00207,0.00207,0.19393,0.18379,0.18377000000000002,-0.01014,-0.010159999999999999
14,0.0611,0.14406,0.13938,0.13937,0.0326,0.030330000000000003,0.030330000000000003,0.01102,0.00963,0.00962,0.0001,0.0001,0.0001,0.00081,0.0006900000000000001,0.0006900000000000001,0.00245,0.0021,0.0021,0.19104000000000002,0.18223,0.18220999999999998,-0.00881,-0.00883
15,0.0856,0.13972,0.13679000000000002,0.13677,0.03281,0.03055,0.03055,0.01119,0.009770000000000001,0.009770000000000001,0.0001,0.00011,0.00011,0.00084,0.0007099999999999999,0.0007099999999999999,0.00249,0.00214,0.00214,0.18715,0.18007,0.18005,-0.0070799999999999995,-0.0071
16,0.1201,0.1341,0.13341,0.13339,0.03299,0.03077,0.03077,0.011359999999999999,0.00992,0.00992,0.00011,0.00011999999999999999,0.00011999999999999999,0.0008699999999999999,0.00074,0.00074,0.00253,0.00217,0.00217,0.18195999999999998,0.17712999999999998,0.17711,-0.00483,-0.00486
17,0.1685,0.12692,0.12897,0.12895,0.03313,0.030989999999999997,0.030989999999999997,0.01154,0.01008,0.01008,0.00013000000000000002,0.00013000000000000002,0.00013000000000000002,0.00091,0.0007599999999999999,0.0007599999999999999,0.0025800000000000003,0.00221,0.00221,0.17521,0.17314000000000002,0.17312,-0.00206,-0.0020800000000000003
