hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.053529999999999994,0.053529999999999994,0.053529999999999994,0.17012,0.17012,0.17012,0.68362,0.68362,0.68362,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987999999998,220.00987999999998,220.00987999999998,227.749,227.749,227.749,0.0,0.0
0.0006,0.053520000000000005,0.053520000000000005,0.053520000000000005,0.17010999999999998,0.17010999999999998,0.17012,0.68362,0.68362,0.68362,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987999999998,220.00987999999998,220.00987999999998,227.74899,227.74899,227.74899,0.0,0.0
0.0009,0.053520000000000005,0.053520000000000005,0.053520000000000005,0.17010999999999998,0.17010999999999998,0.17010999999999998,0.68362,0.68362,0.68362,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987999999998,220.00987999999998,220.00987999999998,227.74898,227.74898,227.74898,0.0,0.0
0.0012,0.05351,0.05351,0.05351,0.17010999999999998,0.17010999999999998,0.17010999999999998,0.68362,0.68362,0.68362,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987999999998,220.00987999999998,220.00987999999998,227.74897,227.74897,227.74897,0.0,0.0
0.0017,0.0535,0.0535,0.0535,0.17010999999999998,0.17010999999999998,0.17010999999999998,0.68362,0.68362,0.68362,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987999999998,220.00987999999998,220.00987999999998,227.74896,227.74896,227.74896,0.0,0.0
0.0024,0.053489999999999996,0.053489999999999996,0.053489999999999996,0.17010999999999998,0.17010999999999998,0.17010999999999998,0.68362,0.68362,0.68362,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987999999998,220.00987999999998,220.00987999999998,227.74894,227.74895,227.74895,1e-05,1e-05
0.0034,0.053470000000000004,0.053470000000000004,0.053470000000000004,0.17010999999999998,0.17010999999999998,0.17010999999999998,0.68362,0.68362,0.68362,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987999999998,220.00987999999998,220.00987999999998,227.74892000000003,227.74892000000003,227.74892999999997,0.0,1e-05
0.0048,0.053439999999999994,0.05345,0.05345,0.1701,0.1701,0.1701,0.68362,0.68362,0.68362,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987999999998,220.00987999999998,220.00987999999998,227.74889,227.74889,227.74889,0.0,0.0
0.0067,0.05341,0.05341,0.05341,0.1701,0.1701,0.1701,0.68362,0.68362,0.68362,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987999999998,220.00987999999998,220.00987999999998,227.74884,227.74885,227.74885,1e-05,1e-05
0.0094,0.05335,0.05337000000000001,0.05337000000000001,0.17009000000000002,0.17009000000000002,0.17009000000000002,0.68361,0.68361,0.68361,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987999999998,220.00987999999998,220.00987999999998,227.74877999999998,227.74878999999999,227.74878999999999,1e-05,1e-05
0.0131,0.053279999999999994,0.0533,0.0533,0.17007,0.17008,0.17008,0.68361,0.68361,0.68361,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987999999998,220.00987999999998,220.00987999999998,227.74868999999998,227.74871000000002,227.74871000000002,2e-05,2e-05
0.0184,0.05318,0.0532,0.0532,0.17006,0.17006,0.17006,0.6836,0.68361,0.68361,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987999999998,220.00987999999998,220.00987999999998,227.74856,227.74858999999998,227.74858999999998,2.9999999999999997e-05,2.9999999999999997e-05
0.0258,0.05304,0.053070000000000006,0.053070000000000006,0.17003,0.17004,0.17004,0.6836,0.6836,0.6836,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987999999998,220.00987999999998,220.00987999999998,227.74839,227.74842999999998,227.74842999999998,4e-05,4e-05
0.0362,0.05284,0.05289,0.05289,0.17,0.17001,0.17001,0.6835899999999999,0.6835899999999999,0.6835899999999999,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987,220.00987,220.00987,227.74813999999998,227.7482,227.7482,5.9999999999999995e-05,5.9999999999999995e-05
0.0508,0.052570000000000006,0.052629999999999996,0.052629999999999996,0.16995,0.16996,0.16996,0.68357,0.68358,0.68358,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987,220.00987,220.00987,227.7478,227.74787999999998,227.74787999999998,8e-05,8e-05
0.0713,0.05219,0.052270000000000004,0.052270000000000004,0.16988,0.1699,0.1699,0.68355,0.6835600000000001,0.6835600000000001,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00987,220.00987,220.00987,227.74732999999998,227.74742999999998,227.74743999999998,0.0001,0.00011
0.1,0.05167000000000001,0.051770000000000004,0.051770000000000004,0.16978,0.16981,0.16981,0.68352,0.68353,0.68353,1.03308,1.03308,1.03308,5.79876,5.79876,5.79876,220.00986,220.00986,220.00986,227.74667000000002,227.74681,227.74681,0.00014,0.00014
0.1403,0.05097,0.051089999999999997,0.051089999999999997,0.16964,0.16967000000000002,0.16967000000000002,0.68347,0.6834899999999999,0.6834899999999999,1.03308,1.03308,1.03308,5.79875,5.79875,5.79875,220.00985,220.00985,220.00985,227.74576000000002,227.74594,227.74595,0.00018,0.00018999999999999998
0.1968,0.05001,0.05016,0.05016,0.16943,0.16948,0.16948,0.6834100000000001,0.68343,0.68343,1.03308,1.03308,1.03308,5.79875,5.79875,5.79875,220.00983,220.00984,220.00984,227.74452000000002,227.74473999999998,227.74473999999998,0.00022,0.00022
0.276,0.04875,0.0489,0.048889999999999996,0.16913,0.1692,0.1692,0.6833100000000001,0.68334,0.68334,1.03308,1.03308,1.03308,5.7987400000000004,5.7987400000000004,5.7987400000000004,220.00981000000002,220.00982000000002,220.00982000000002,227.74282000000002,227.74308,227.74308,0.00026000000000000003,0.00026000000000000003
0.3871,0.047080000000000004,0.0472,0.0472,0.1687,0.16879,0.16879,0.68315,0.68321,0.68321,1.03308,1.03308,1.03308,5.79873,5.79873,5.79873,220.00977999999998,220.00978999999998,220.00978999999998,227.74051,227.7408,227.7408,0.00029,0.00029
0.5431,0.04492,0.04494,0.04494,0.16806,0.1682,0.1682,0.68293,0.68301,0.68301,1.0330700000000002,1.0330700000000002,1.0330700000000002,5.79871,5.798719999999999,5.798719999999999,220.00973,220.00975,220.00975,227.73743,227.73769,227.73769,0.00026000000000000003,0.00026000000000000003
0.7617,0.0422,0.042010000000000006,0.042010000000000006,0.16716,0.16734000000000002,0.16735,0.6825899999999999,0.68271,0.68272,1.0330700000000002,1.0330700000000002,1.0330700000000002,5.79868,5.798690000000001,5.798690000000001,220.00965,220.00967999999997,220.00967999999997,227.73334,227.73351,227.73351,0.00016999999999999999,0.00016999999999999999
1.0685,0.03883,0.03826,0.03826,0.16587000000000002,0.16612000000000002,0.16612000000000002,0.68208,0.6822699999999999,0.6822699999999999,1.03306,1.03306,1.03306,5.79863,5.79865,5.79865,220.00952999999998,220.00959,220.00959,227.728,227.72794,227.72794,-5.9999999999999995e-05,-5.9999999999999995e-05
1.4988,0.03478,0.03358,0.033569999999999996,0.16407,0.1644,0.16441,0.68137,0.6816399999999999,0.6816399999999999,1.03304,1.03304,1.03304,5.79855,5.79859,5.79859,220.00937000000002,220.00945,220.00945,227.72117999999998,227.72069,227.72069,-0.00049,-0.00049
2.1024,0.030080000000000003,0.02793,0.02793,0.16164,0.16205,0.16205,0.6803899999999999,0.68077,0.68077,1.033,1.033,1.033,5.79845,5.7985,5.7985,220.00916,220.00926,220.00926,227.71271000000002,227.71151,227.71151,-0.0012,-0.0012
2.949,0.024909999999999998,0.02155,0.02154,0.15837,0.15883,0.15883,0.67904,0.67956,0.67956,1.03294,1.03294,1.03294,5.79831,5.79838,5.79838,220.00887000000003,220.00901000000002,220.00901000000002,227.70244,227.70027000000002,227.70027000000002,-0.00217,-0.00217
4.1366,0.019530000000000002,0.01496,0.01496,0.15400999999999998,0.15445,0.15445,0.67718,0.67787,0.67787,1.03283,1.03283,1.03283,5.798109999999999,5.7982,5.7982,220.00848,220.00867999999997,220.00867999999997,227.69015,227.687,227.687,-0.00315,-0.00315
5.8025,0.0143,0.00898,0.00897,0.14822000000000002,0.1485,0.1485,0.67457,0.6754600000000001,0.6754600000000001,1.03263,1.03263,1.03263,5.7978,5.79793,5.79793,220.00797000000003,220.00824,220.00824,227.67549,227.67174,227.67174,-0.00375,-0.00375
8.1392,0.00958,0.00441,0.00441,0.14059000000000002,0.14044,0.14044,0.6708,0.67196,0.67196,1.03223,1.03223,1.03223,5.7973300000000005,5.7975,5.7975,220.00727,220.00763999999998,220.00763999999998,227.65781,227.65417999999997,227.65417999999997,-0.0036299999999999995,-0.0036299999999999995
11.417,0.00572,0.00165,0.00165,0.13065,0.12961,0.12961,0.66523,0.66675,0.66675,1.03147,1.03147,1.03147,5.79655,5.79678,5.79678,220.00631,220.00681,220.00681,227.63592999999997,227.63307000000003,227.63307000000003,-0.00286,-0.00286
