,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.16448,0.15265,0.15264,0.02715,0.025169999999999998,0.025169999999999998,0.00809,0.0071200000000000005,0.0071200000000000005,2.9999999999999997e-05,4e-05,4e-05,0.00042,0.00037,0.00037,0.00183,0.00157,0.00157,0.20201,0.18692,0.1869,-0.015090000000000001,-0.01511
1,0.0008,0.16438,0.15259,0.15257,0.02719,0.0252,0.0252,0.00811,0.00713,0.00713,4e-05,4e-05,4e-05,0.00042,0.00037,0.00037,0.00183,0.00157,0.00157,0.20196,0.18691,0.18688,-0.01505,-0.015069999999999998
2,0.0011,0.16422,0.15249000000000001,0.15247,0.027260000000000003,0.025269999999999997,0.025269999999999997,0.008140000000000001,0.00716,0.00716,4e-05,4e-05,4e-05,0.00042,0.00037,0.00037,0.0018399999999999998,0.00158,0.00157,0.20192000000000002,0.18691,0.18689,-0.015009999999999999,-0.015030000000000002
3,0.0015,0.16405,0.15237,0.15236,0.027339999999999996,0.02535,0.02535,0.00818,0.00719,0.00719,4e-05,4e-05,4e-05,0.00043,0.00037999999999999997,0.00037999999999999997,0.0018399999999999998,0.00158,0.00158,0.20185999999999998,0.18691,0.18689,-0.01495,-0.014980000000000002
4,0.0021,0.16385,0.15225,0.15223,0.027410000000000004,0.025419999999999998,0.025419999999999998,0.00821,0.00722,0.00722,4e-05,4e-05,4e-05,0.00043,0.00037999999999999997,0.00037999999999999997,0.00185,0.00159,0.00159,0.20179,0.1869,0.18688,-0.01489,-0.01491
5,0.0029,0.16363,0.15212,0.1521,0.027489999999999997,0.0255,0.025490000000000002,0.00825,0.00725,0.00725,4e-05,4e-05,4e-05,0.00044,0.00037999999999999997,0.00037999999999999997,0.00185,0.00159,0.00159,0.2017,0.18688,0.18686,-0.014819999999999998,-0.01484
6,0.0041,0.16337000000000002,0.15195999999999998,0.15194000000000002,0.027569999999999997,0.02557,0.02557,0.00828,0.00728,0.00728,4e-05,4e-05,4e-05,0.00044,0.00039,0.00039,0.00186,0.0016,0.0016,0.20156,0.18684,0.18682,-0.014719999999999999,-0.014740000000000001
7,0.0057,0.16305999999999998,0.15179,0.15177000000000002,0.02765,0.025639999999999996,0.025639999999999996,0.008320000000000001,0.00732,0.00731,4e-05,4e-05,4e-05,0.00044,0.00039,0.00039,0.00187,0.0016,0.0016,0.20138,0.18678,0.18675999999999998,-0.0146,-0.01462
8,0.008,0.16268,0.15158,0.15156,0.02773,0.02572,0.025710000000000004,0.00836,0.00735,0.00735,4e-05,4e-05,4e-05,0.00045,0.00039,0.00039,0.0018800000000000002,0.00161,0.00161,0.20113,0.18667999999999998,0.18666,-0.01444,-0.014459999999999999
9,0.0112,0.1622,0.15132,0.1513,0.0278,0.025789999999999997,0.025789999999999997,0.0084,0.007379999999999999,0.007379999999999999,4e-05,4e-05,4e-05,0.00045,0.0004,0.0004,0.0018800000000000002,0.00162,0.00161,0.20077,0.18654,0.18652,-0.014230000000000001,-0.01425
10,0.0158,0.16157,0.15097,0.15095,0.027880000000000002,0.025869999999999997,0.02586,0.00843,0.007409999999999999,0.007409999999999999,4e-05,4e-05,4e-05,0.00045999999999999996,0.0004,0.0004,0.0018899999999999998,0.00162,0.00162,0.20027999999999999,0.18632,0.1863,-0.01396,-0.013980000000000001
11,0.0221,0.16076,0.15053,0.15050999999999998,0.027960000000000002,0.025939999999999998,0.025939999999999998,0.00847,0.00745,0.00745,4e-05,5e-05,5e-05,0.00045999999999999996,0.00041,0.00041,0.0019,0.0016300000000000002,0.0016300000000000002,0.1996,0.186,0.18598,-0.0136,-0.013619999999999998
12,0.031,0.15968,0.14995999999999998,0.14994000000000002,0.02804,0.026019999999999998,0.026010000000000002,0.00852,0.007490000000000001,0.007490000000000001,5e-05,5e-05,5e-05,0.00047000000000000004,0.00041,0.00041,0.0019,0.0016300000000000002,0.0016300000000000002,0.19865,0.18556,0.18553,-0.0131,-0.01312
13,0.0435,0.15822999999999998,0.14920999999999998,0.14919000000000002,0.02812,0.0261,0.02609,0.00856,0.007529999999999999,0.007529999999999999,5e-05,5e-05,5e-05,0.00047999999999999996,0.00042,0.00042,0.0019100000000000002,0.00164,0.00164,0.19735,0.18494000000000002,0.18492,-0.0124,-0.01242
14,0.0611,0.15603,0.148,0.14799,0.028360000000000003,0.02634,0.02634,0.00869,0.007640000000000001,0.007640000000000001,5e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00049,0.00043,0.00043,0.0019399999999999999,0.0016600000000000002,0.0016600000000000002,0.19557,0.18413,0.18411,-0.01144,-0.01146
15,0.0856,0.15257,0.14590999999999998,0.14589000000000002,0.029039999999999996,0.026989999999999997,0.026989999999999997,0.009040000000000001,0.007940000000000001,0.007940000000000001,5.9999999999999995e-05,7e-05,7e-05,0.00054,0.00047000000000000004,0.00047000000000000004,0.002,0.00172,0.00172,0.19326,0.1831,0.18308,-0.010159999999999999,-0.01018
16,0.1201,0.14779,0.14294,0.14292,0.030019999999999998,0.027939999999999996,0.02793,0.009559999999999999,0.0084,0.0084,8e-05,8e-05,8e-05,0.00061,0.00053,0.00053,0.0021100000000000003,0.0018100000000000002,0.0018100000000000002,0.19016,0.1817,0.18168,-0.008459999999999999,-0.00848
17,0.1685,0.14198,0.13928,0.13926,0.031030000000000002,0.02893,0.02893,0.01015,0.00891,0.00891,0.0001,0.0001,0.0001,0.0006900000000000001,0.00059,0.00059,0.00224,0.0019199999999999998,0.0019199999999999998,0.18619000000000002,0.17974,0.17972,-0.00645,-0.00647
