hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.013855,0.013855,0.01385457,0.044026,0.044026,0.04402639,0.176921,0.176921,0.17692148,0.267362,0.267362,0.26736193,1.500719,1.500719,1.5007194,56.938557,56.938557,56.938557,58.94144,58.94144,58.941441,0.0,1e-06
0.0006,0.01383,0.013832,0.01383205,0.044022,0.044022,0.04402264,0.17692,0.17692,0.17692042,0.267362,0.267362,0.26736192,1.500719,1.500719,1.5007194,56.938557,56.938557,56.938557,58.94141,58.94141,58.941414,0.0,4e-06
0.0009,0.013821,0.013823,0.013823,0.044021,0.044021,0.04402112,0.17692,0.17692,0.17691999,0.267362,0.267362,0.26736192,1.500719,1.500719,1.5007194,56.938557,56.938557,56.938557,58.9414,58.9414,58.941402,0.0,2e-06
0.0012,0.013807,0.013811,0.01381036,0.044018,0.044019,0.04401896,0.176919,0.176919,0.17691937,0.267362,0.267362,0.26736192,1.500719,1.500719,1.5007193,56.938557,56.938557,56.938557,58.94138,58.94139,58.941387,1e-05,7e-06
0.0017,0.013788,0.013793,0.0137927,0.044015,0.044016,0.04401589,0.176918,0.176918,0.17691848,0.267362,0.267362,0.26736191,1.500719,1.500719,1.5007193,56.938557,56.938556,56.938557,58.94136,58.94136,58.941365,0.0,5e-06
0.0024,0.013762,0.013768,0.01376804,0.04401,0.044011,0.04401152,0.176917,0.176917,0.17691722,0.267362,0.267362,0.2673619,1.500719,1.500719,1.5007192,56.938556,56.938556,56.938557,58.94133,58.94133,58.941334,0.0,4e-06
0.0034,0.013725,0.013734,0.01373362,0.044004,0.044005,0.04400531,0.176915,0.176915,0.1769154,0.267362,0.267362,0.26736189,1.500719,1.500719,1.5007191,56.938556,56.938556,56.938556,58.94128,58.94129,58.941291,1e-05,1.1e-05
0.0048,0.013674,0.013686,0.01368567,0.043994,0.043996,0.04399646,0.176912,0.176912,0.1769128,0.267362,0.267362,0.26736188,1.500719,1.500719,1.5007189,56.938555,56.938555,56.938556,58.94122,58.94123,58.941231,1e-05,1.1e-05
0.0067,0.013604,0.013619,0.01361896,0.043981,0.043984,0.04398389,0.176907,0.176909,0.17690906,0.267362,0.267362,0.26736185,1.500719,1.500718,1.5007187,56.938554,56.938554,56.938555,58.94113,58.94115,58.941147,2e-05,1.7e-05
0.0094,0.013506,0.013527,0.0135263,0.043961,0.043966,0.04396601,0.176901,0.176903,0.1769037,0.267362,0.267362,0.26736181,1.500718,1.500718,1.5007184,56.938553,56.938553,56.938554,58.941,58.94103,58.94103,3e-05,3e-05
0.0131,0.013372,0.013398,0.0133979,0.043934,0.04394,0.04394059,0.176892,0.176896,0.17689599,0.267362,0.267362,0.26736175,1.500718,1.500717,1.5007179,56.938551,56.938551,56.938552,58.94083,58.94086,58.940866,3e-05,3.6e-05
0.0184,0.013189,0.013221,0.01322061,0.043895,0.043904,0.04390446,0.17688,0.176884,0.17688492,0.267362,0.267362,0.26736167,1.500717,1.500717,1.5007172,56.938548,56.938549,56.938549,58.94059,58.94064,58.940638,5e-05,4.8e-05
0.0258,0.012941,0.012977,0.01297694,0.04384,0.043853,0.04385311,0.176862,0.176869,0.17686903,0.267362,0.267362,0.26736153,1.500716,1.500716,1.5007161,56.938544,56.938546,56.938546,58.94026,58.94032,58.940323,6e-05,6.3e-05
0.0362,0.012607,0.012645,0.0126442,0.043762,0.04378,0.04378019,0.176836,0.176846,0.17684622,0.267361,0.267361,0.26736133,1.500714,1.500714,1.5007145,56.938538,56.938541,56.938541,58.93982,58.93989,58.939888,7e-05,6.8e-05
0.0508,0.012164,0.012194,0.01219364,0.043651,0.043676,0.04367685,0.176798,0.176813,0.17681353,0.267361,0.267361,0.26736101,1.500711,1.500712,1.5007122,56.93853,56.938533,56.938534,58.93922,58.93929,58.939291,7e-05,7.1e-05
0.0713,0.011588,0.011591,0.01159057,0.043496,0.043531,0.04353092,0.176745,0.176766,0.17676691,0.267361,0.267361,0.26736054,1.500707,1.500708,1.5007089,56.938518,56.938523,56.938524,58.93841,58.93848,58.938482,7e-05,7.2e-05
0.1,0.010856,0.010797,0.01079689,0.043277,0.043325,0.04332532,0.176669,0.1767,0.17670054,0.26736,0.26736,0.26735982,1.500701,1.500704,1.500704,56.938501,56.938509,56.938509,58.93736,58.93739,58.937396,3e-05,3.6e-05
0.1403,0.009952,0.009778,0.00977727,0.042972,0.043036,0.04303608,0.176561,0.176606,0.17660604,0.267359,0.267359,0.26735872,1.500693,1.500697,1.500697,56.938477,56.938488,56.938488,58.93601,58.93596,58.935964,-5e-05,-4.6e-05
0.1968,0.008877,0.008511,0.00851079,0.042547,0.04263,0.04262995,0.176407,0.176471,0.1764714,0.267357,0.267357,0.267357,1.500681,1.500686,1.5006868,56.938443,56.938458,56.938459,58.93431,58.93411,58.934115,-0.0002,-0.000195
0.276,0.007652,0.00701,0.00701022,0.041958,0.042061,0.04206136,0.176189,0.176279,0.1762795,0.267354,0.267354,0.26735428,1.500663,1.500671,1.5006719,56.938393,56.938416,56.938417,58.93221,58.93179,58.931794,-0.00042,-0.000416
0.3871,0.006322,0.005347,0.00534649,0.041151,0.041269,0.04126925,0.175878,0.176005,0.17600595,0.26735,0.26735,0.26734992,1.500637,1.50065,1.5006503,56.938323,56.938357,56.938357,58.92966,58.92898,58.928979,-0.00068,-0.000681
0.5431,0.004949,0.00366,0.00366029,0.040055,0.040171,0.04017184,0.175435,0.175615,0.17561525,0.267343,0.267343,0.26734272,1.500599,1.500618,1.5006184,56.938223,56.938271,56.938272,58.9266,58.92568,58.92568,-0.00092,-0.00092
0.7617,0.003618,0.002152,0.0021521,0.03861,0.038685,0.03868551,0.174821,0.175068,0.1750685,0.267331,0.267331,0.26733088,1.500545,1.500573,1.5005731,56.938085,56.938153,56.938153,58.92301,58.92196,58.921963,-0.00105,-0.001047
1.0685,0.002421,0.001017,0.00101661,0.036768,0.036722,0.03672261,0.173992,0.174321,0.17432144,0.267312,0.267311,0.26731124,1.500473,1.500511,1.5005112,56.937899,56.937993,56.937993,58.91886,58.91788,58.917877,-0.00098,-0.000983
1.4988,0.001452,0.000353,0.00035254,0.034487,0.034181,0.03418172,0.17288,0.173305,0.17330518,0.267278,0.267278,0.26727759,1.500376,1.500426,1.5004264,56.937652,56.93778,56.937781,58.91412,58.91332,58.913324,-0.0008,-0.000796
2.1024,0.00076,7.9e-05,7.921e-05,0.031733,0.030954,0.03095457,0.17138,0.17191,0.17191064,0.267218,0.267217,0.26721697,1.500242,1.500306,1.5003067,56.937322,56.937496,56.937496,58.90865,58.90796,58.907964,-0.00069,-0.000686
2.949,0.000337,1e-05,9.71e-06,0.028497,0.026969,0.02696973,0.16934,0.169979,0.16997937,0.267107,0.267105,0.26710516,1.500048,1.500131,1.5001317,56.936878,56.937113,56.937113,58.90221,58.90131,58.901309,-0.0009,-0.000901
4.1366,0.000121,1e-06,5.1e-07,0.024799,0.022233,0.02223302,0.16653,0.167265,0.16726588,0.266895,0.266892,0.26689191,1.499757,1.499863,1.4998635,56.936279,56.936594,56.936595,58.89438,58.89285,58.89285,-0.00153,-0.00153
5.8025,3.2e-05,0.0,1e-08,0.020673,0.016904,0.01690395,0.162586,0.163387,0.16338718,0.266487,0.266484,0.26648358,1.499295,1.499433,1.4994336,56.935459,56.935882,56.935883,58.88453,58.88209,58.882091,-0.00244,-0.002439
8.1392,5e-06,0.0,0.0,0.016198,0.01138,0.01138055,0.156926,0.157718,0.15771853,0.265696,0.265688,0.26568808,1.498523,1.498706,1.4987067,56.934317,56.934887,56.934888,58.87167,58.86838,58.868382,-0.00329,-0.003288
11.417,0.0,0.0,0.0,0.011604,0.006379,0.00637951,0.14871,0.149363,0.14936349,0.264159,0.26415,0.2641503,1.497185,1.497443,1.4974433,56.932706,56.933478,56.933478,58.85436,58.85081,58.850815,-0.00355,-0.003545
16.0147,0.0,0.0,0.0,0.007373,0.002707,0.00270731,0.1369,0.137042,0.13704226,0.261189,0.261162,0.26116237,1.494806,1.495184,1.4951847,56.930405,56.931454,56.931454,58.83067,58.82755,58.827551,-0.00312,-0.003119
22.464,0.0,0.0,0.0,0.00413,0.000752,0.00075188,0.12067,0.119247,0.11924748,0.255513,0.255444,0.25544407,1.490495,1.4911,1.4911,56.927065,56.928505,56.928505,58.79787,58.79505,58.795048,-0.00282,-0.002822
31.5105,0.0,0.0,0.0,0.002149,0.000109,0.00010926,0.100339,0.094715,0.09471497,0.244955,0.244657,0.24465692,1.482591,1.483599,1.483599,56.922095,56.924097,56.924098,58.75213,58.74718,58.747178,-0.00495,-0.004952
44.2001,0.0,0.0,0.0,0.001097,6e-06,6.02e-06,0.078155,0.064321,0.06432112,0.226252,0.225097,0.22509692,1.468072,1.46982,1.4698209,56.91449,56.917348,56.917349,58.68806,58.67659,58.676594,-0.01147,-0.011466
62.0,0.0,0.0,0.0,0.000544,0.0,8e-08,0.057755,0.033394,0.03339372,0.195761,0.191737,0.19173695,1.44171,1.44461,1.4446099,56.902572,56.906724,56.906725,58.59834,58.57646,58.576465,-0.02188,-0.021875
85.775,0.0,0.0,0.0,0.000267,0.0,0.0,0.0427,0.011696,0.01169642,0.15423,0.143532,0.14353227,1.397392,1.401637,1.4016378,56.884429,56.890478,56.890478,58.47902,58.44734,58.447345,-0.03168,-0.031675
109.55,0.0,0.0,0.0,0.000154,0.0,0.0,0.034516,0.003498,0.00349796,0.117334,0.099203,0.09920331,1.344921,1.350014,1.3500146,56.863833,56.872022,56.872023,58.36076,58.32474,58.324739,-0.03602,-0.036021
133.325,0.0,0.0,0.0,9.8e-05,0.0,0.0,0.029413,0.000926,0.00092565,0.087106,0.063586,0.06358577,1.286476,1.291505,1.2915053,56.840904,56.851443,56.851443,58.244,58.20746,58.20746,-0.03654,-0.03654
157.1,0.0,0.0,0.0,6.7e-05,0.0,0.0,0.025856,0.000224,0.00022353,0.063409,0.037974,0.0379741,1.223951,1.227743,1.2277435,56.815756,56.828812,56.828813,58.12904,58.09475,58.094754,-0.03429,-0.034286
180.875,0.0,0.0,0.0,4.8e-05,0.0,0.0,0.023196,5e-05,5.041e-05,0.045365,0.021254,0.02125419,1.158977,1.160301,1.1603009,56.788481,56.8042,56.804201,58.01607,57.98581,57.985806,-0.03026,-0.030264
204.65,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.021116,1.1e-05,1.081e-05,0.031943,0.011201,0.01120134,1.092952,1.090527,1.0905274,56.759175,56.777655,56.777656,57.90522,57.87939,57.879395,-0.02583,-0.025825
228.425,0.0,0.0,0.0,2.8e-05,0.0,0.0,0.019436,2e-06,2.25e-06,0.022165,0.00558,0.00557981,1.027043,1.019449,1.0194493,56.727935,56.749105,56.749105,57.79661,57.77414,57.774137,-0.02247,-0.022473
252.2,0.0,0.0,0.0,2.3e-05,0.0,0.0,0.018047,0.0,4.6e-07,0.01518,0.002639,0.0026395,0.962193,0.948241,0.94824126,56.694864,56.718649,56.71865,57.69031,57.66953,57.669531,-0.02078,-0.020779
275.975,0.0,0.0,0.0,1.8e-05,0.0,0.0,0.016874,0.0,9e-08,0.010279,0.001191,0.00119066,0.899134,0.877756,0.87775583,56.660063,56.686294,56.686294,57.58637,57.56524,57.565241,-0.02113,-0.021129
299.75,0.0,0.0,0.0,1.5e-05,0.0,0.0,0.015867,0.0,2e-08,0.006896,0.000514,0.00051406,0.838396,0.808728,0.8087285,56.623624,56.652051,56.652051,57.4848,57.46129,57.461294,-0.02351,-0.023506
323.525,0.0,0.0,0.0,1.3e-05,0.0,0.0,0.014979,0.0,0.0,0.004591,0.000213,0.0002134,0.780279,0.741868,0.74186822,56.58555,56.615986,56.615987,57.38541,57.35807,57.358068,-0.02734,-0.027342
347.3,0.0,0.0,0.0,1.1e-05,0.0,0.0,0.014176,0.0,0.0,0.003035,8.6e-05,8.563e-05,0.724914,0.677444,0.67744403,56.545798,56.577869,56.57787,57.28793,57.2554,57.255399,-0.03253,-0.032531
371.075,0.0,0.0,0.0,9e-06,0.0,0.0,0.013439,0.0,0.0,0.001995,3.3e-05,3.332e-05,0.672392,0.6159,0.61589972,56.5044,56.537694,56.537694,57.19223,57.15363,57.153627,-0.0386,-0.038603
394.85,0.0,0.0,0.0,8e-06,0.0,0.0,0.01276,0.0,0.0,0.001305,1.3e-05,1.26e-05,0.622789,0.557631,0.55763123,56.461454,56.495546,56.495547,57.09832,57.05319,57.053191,-0.04513,-0.045129
418.625,0.0,0.0,0.0,6e-06,0.0,0.0,0.012133,0.0,0.0,0.000852,5e-06,4.64e-06,0.576118,0.502844,0.50284403,56.417061,56.451424,56.451424,57.00617,56.95427,56.954273,-0.0519,-0.051897
442.4,0.0,0.0,0.0,5e-06,0.0,0.0,0.011553,0.0,0.0,0.000557,2e-06,1.67e-06,0.53234,0.451623,0.45162351,56.371318,56.405254,56.405254,56.91577,56.85688,56.856879,-0.05889,-0.058891
466.175,0.0,0.0,0.0,5e-06,0.0,0.0,0.011013,0.0,0.0,0.000365,1e-06,5.9e-07,0.491387,0.40408,0.40407983,56.324321,56.357114,56.357114,56.82709,56.76119,56.761194,-0.0659,-0.065896
489.95,0.0,0.0,0.0,4e-06,0.0,0.0,0.010511,0.0,0.0,0.00024,0.0,2e-07,0.453169,0.360236,0.36023564,56.276166,56.307075,56.307075,56.74009,56.66731,56.667311,-0.07278,-0.072779
513.725,0.0,0.0,0.0,3e-06,0.0,0.0,0.010042,0.0,0.0,0.000159,0.0,7e-08,0.41758,0.320042,0.32004218,56.226951,56.255201,56.255201,56.65473,56.57524,56.575244,-0.07949,-0.079486
537.5,0.0,0.0,0.0,3e-06,0.0,0.0,0.009604,0.0,0.0,0.000107,0.0,2e-08,0.384505,0.283349,0.28334904,56.176774,56.201368,56.201368,56.57099,56.48472,56.484718,-0.08627,-0.086272
561.275,0.0,0.0,0.0,2e-06,0.0,0.0,0.009193,0.0,0.0,7.2e-05,0.0,1e-08,0.353825,0.250035,0.25003455,56.125735,56.145646,56.145646,56.48883,56.39568,56.395681,-0.09315,-0.093149
