hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.026767,0.026767,0.02676694,0.085059,0.085059,0.08505871,0.341811,0.341811,0.34181121,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993807,110.004941,110.004941,110.00494,113.8745,113.8745,113.8745,0.0,0.0
0.0006,0.026743,0.026744,0.02674439,0.085055,0.085055,0.08505498,0.34181,0.34181,0.34181016,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.004941,110.004941,110.00494,113.87447,113.87447,113.87447,0.0,0.0
0.0009,0.026733,0.026735,0.02673531,0.085053,0.085054,0.08505348,0.34181,0.34181,0.34180973,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.00494,110.004941,110.00494,113.87446,113.87446,113.87446,0.0,0.0
0.0012,0.026719,0.026723,0.02672259,0.085051,0.085052,0.08505137,0.341809,0.341809,0.34180913,0.516542,0.516542,0.51654158,2.899381,2.899381,2.8993806,110.00494,110.004941,110.00494,113.87444,113.87445,113.87445,1e-05,1e-05
0.0017,0.0267,0.026705,0.02670478,0.085048,0.085049,0.08504839,0.341808,0.341808,0.34180829,0.516542,0.516542,0.51654158,2.899381,2.899381,2.8993805,110.00494,110.00494,110.00494,113.87442,113.87442,113.87442,0.0,0.0
0.0024,0.026673,0.02668,0.02667983,0.085043,0.085044,0.0850442,0.341807,0.341807,0.3418071,0.516542,0.516542,0.51654157,2.89938,2.899381,2.8993805,110.00494,110.00494,110.00494,113.87438,113.87439,113.87439,1e-05,1e-05
0.0034,0.026636,0.026645,0.02664489,0.085037,0.085039,0.08503831,0.341805,0.341805,0.34180542,0.516542,0.516542,0.51654156,2.89938,2.899381,2.8993804,110.004939,110.00494,110.00494,113.87434,113.87435,113.87435,1e-05,1e-05
0.0048,0.026583,0.026596,0.02659599,0.085028,0.08503,0.08503002,0.341802,0.341803,0.34180305,0.516542,0.516542,0.51654155,2.89938,2.899381,2.8993802,110.004939,110.004939,110.00494,113.87427,113.87429,113.87429,2e-05,2e-05
0.0067,0.02651,0.026528,0.02652759,0.085015,0.085019,0.08501836,0.341798,0.3418,0.34179972,0.516542,0.516542,0.51654153,2.89938,2.89938,2.8993801,110.004938,110.004938,110.00494,113.87418,113.87421,113.87421,3e-05,3e-05
0.0094,0.026409,0.026432,0.02643201,0.084998,0.085002,0.08500195,0.341793,0.341795,0.34179502,0.516542,0.516542,0.5165415,2.89938,2.89938,2.8993798,110.004937,110.004937,110.00494,113.87406,113.87409,113.87409,3e-05,3e-05
0.0131,0.026267,0.026299,0.02629861,0.084973,0.084979,0.08497886,0.341785,0.341788,0.3417884,0.516541,0.516542,0.51654147,2.899379,2.89938,2.8993795,110.004935,110.004936,110.00494,113.87388,113.87392,113.87392,4e-05,4e-05
0.0184,0.026071,0.026113,0.02611277,0.084938,0.084947,0.08494638,0.341775,0.341779,0.34177907,0.516541,0.516542,0.51654141,2.899379,2.899379,2.8993789,110.004933,110.004934,110.00493,113.87364,113.87369,113.87369,5e-05,5e-05
0.0258,0.025801,0.025855,0.02585453,0.084889,0.084901,0.0849007,0.34176,0.341766,0.34176591,0.516541,0.516542,0.51654133,2.899378,2.899379,2.8993782,110.004929,110.004931,110.00493,113.8733,113.87337,113.87337,7e-05,7e-05
0.0362,0.025432,0.025497,0.0254969,0.084819,0.084837,0.08483646,0.341739,0.341747,0.34174735,0.516541,0.516542,0.51654121,2.899377,2.899378,2.8993772,110.004925,110.004927,110.00493,113.87283,113.87293,113.87293,0.0001,0.0001
0.0508,0.024929,0.025004,0.02500409,0.084722,0.084746,0.08474603,0.341709,0.341721,0.34172113,0.516541,0.516541,0.51654103,2.899375,2.899376,2.8993757,110.004918,110.004921,110.00492,113.87219,113.87231,113.87231,0.00012,0.00012
0.0713,0.024257,0.024331,0.02433115,0.084585,0.084618,0.0846175,0.341666,0.341683,0.34168353,0.516541,0.516541,0.51654075,2.899373,2.899374,2.8993736,110.004908,110.004913,110.00491,113.87133,113.87146,113.87146,0.00013,0.00013
0.1,0.023373,0.023424,0.02342399,0.084387,0.084433,0.08443235,0.341603,0.341628,0.34162837,0.51654,0.516541,0.51654028,2.899369,2.899371,2.8993703,110.004894,110.004901,110.0049,113.87017,113.8703,113.8703,0.00013,0.00013
0.1403,0.022234,0.022219,0.02221872,0.084101,0.084165,0.08416458,0.34151,0.341547,0.34154676,0.51654,0.51654,0.51653948,2.899363,2.899365,2.8993651,110.004874,110.004884,110.00488,113.86862,113.86872,113.86872,0.0001,0.0001
0.1968,0.020802,0.020647,0.02064659,0.083691,0.083778,0.08377765,0.341373,0.341426,0.3414258,0.516538,0.516539,0.5165381,2.899353,2.899357,2.8993569,110.004844,110.004858,110.00486,113.8666,113.8666,113.8666,0.0,0.0
0.276,0.019051,0.018647,0.01864735,0.083102,0.08322,0.08321954,0.341168,0.341246,0.34124627,0.516536,0.516536,0.51653572,2.899338,2.899344,2.8993439,110.004798,110.004819,110.00482,113.86399,113.86381,113.86381,-0.00018,-0.00018
0.3871,0.016983,0.016194,0.01619349,0.082262,0.082417,0.08241714,0.340864,0.340979,0.34097961,0.516532,0.516532,0.51653157,2.899314,2.899324,2.8993235,110.00473,110.004761,110.00476,113.86069,113.86021,113.86021,-0.00048,-0.00048
0.5431,0.014635,0.013318,0.01331813,0.081071,0.081267,0.08126648,0.340411,0.340582,0.34058208,0.516524,0.516525,0.51652421,2.899274,2.899291,2.8992907,110.004629,110.004674,110.00467,113.85654,113.85566,113.85566,-0.00088,-0.00088
0.7617,0.012087,0.010165,0.0101645,0.079405,0.079634,0.07963402,0.339741,0.339992,0.33999199,0.516511,0.516512,0.51651112,2.899211,2.899239,2.8992384,110.004476,110.004544,110.00454,113.85143,113.85008,113.85008,-0.00135,-0.00135
1.0685,0.00945,0.006973,0.00697307,0.07714,0.077369,0.07736883,0.33878,0.339141,0.33914146,0.516489,0.516489,0.5164886,2.899117,2.89916,2.8991596,110.004257,110.004356,110.00436,113.84523,113.84349,113.84349,-0.00174,-0.00174
1.4988,0.006882,0.004108,0.00410818,0.074161,0.074305,0.07430474,0.337449,0.337951,0.33795093,0.516451,0.516451,0.51645058,2.898984,2.899047,2.8990472,110.003956,110.004097,110.0041,113.83788,113.83596,113.83596,-0.00192,-0.00192
2.1024,0.004573,0.001952,0.00195176,0.070339,0.07023,0.07022992,0.335619,0.336294,0.33629432,0.516385,0.516385,0.51638439,2.898797,2.898887,2.8988871,110.003547,110.003745,110.00375,113.82926,113.82749,113.82749,-0.00177,-0.00177
2.949,0.002701,0.000685,0.00068504,0.065564,0.064925,0.06492514,0.333118,0.333996,0.33399598,0.516268,0.516267,0.51626659,2.898534,2.898658,2.8986578,110.003,110.003274,110.00327,113.81919,113.8178,113.8178,-0.00139,-0.00139
4.1366,0.00137,0.000158,0.00015763,0.059747,0.058167,0.05816682,0.329672,0.330775,0.33077539,0.516051,0.516049,0.51604833,2.898152,2.898318,2.8983178,110.002265,110.00264,110.00264,113.80726,113.80611,113.80611,-0.00115,-0.00115
5.8025,0.000569,2e-05,2.021e-05,0.052844,0.049818,0.04981757,0.324861,0.326206,0.32620586,0.515641,0.515639,0.51563851,2.897573,2.897795,2.8977948,110.001272,110.001783,110.00178,113.79276,113.79126,113.79126,-0.0015,-0.0015
8.1392,0.00018,1e-06,1.16e-06,0.044887,0.039951,0.03995086,0.318027,0.319609,0.31960928,0.514855,0.51485,0.51484914,2.896658,2.896953,2.8969524,109.99992,110.000613,110.00061,113.77453,113.77198,113.77198,-0.00255,-0.00255
11.417,3.8e-05,0.0,2e-08,0.036043,0.029076,0.0290762,0.308137,0.309958,0.30995812,0.513334,0.513329,0.5133289,2.895148,2.895549,2.8955492,109.998062,109.999002,109.999,113.75076,113.74691,113.74691,-0.00385,-0.00385
16.0147,5e-06,0.0,0.0,0.026774,0.018301,0.01830059,0.29364,0.295642,0.2956423,0.510377,0.510369,0.51036812,2.892559,2.893123,2.8931232,109.995472,109.996751,109.99675,113.71883,113.71419,113.71419,-0.00464,-0.00464
22.464,0.0,0.0,0.0,0.018034,0.009256,0.00925552,0.272533,0.274365,0.27436529,0.504646,0.504649,0.50464863,2.887993,2.888842,2.888842,109.991804,109.993559,109.99356,113.67501,113.67067,113.67067,-0.00434,-0.00434
31.5105,0.0,0.0,0.0,0.011108,0.003364,0.00336416,0.243209,0.243046,0.24304568,0.493667,0.493635,0.49363455,2.879781,2.881132,2.881132,109.986502,109.988937,109.98894,113.61427,113.61011,113.61011,-0.00416,-0.00416
