,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.32869564,0.30508544,0.30505317,0.05427168,0.05031301,0.05030793,0.01617615,0.0142294,0.01422794,6.993e-05,7.665e-05,7.664e-05,0.00083672,0.00073652,0.00073645,0.00365034,0.00313247,0.00313215,0.40370047,0.3735735,0.37353427,-0.03012697,-0.0301662
1,0.0008,0.32838563,0.30491355,0.3048813,0.05433872,0.05037777,0.05037268,0.01620699,0.01425659,0.01425512,7.048e-05,7.704e-05,7.703e-05,0.00084018,0.00073946,0.00073938,0.00365543,0.00313747,0.00313715,0.40349742,0.37350188,0.37346266,-0.02999554,-0.03003476
2,0.0011,0.32801021,0.30467782,0.30464559,0.05448327,0.0505165,0.0505114,0.01627227,0.01431439,0.01431292,7.139e-05,7.785e-05,7.785e-05,0.00084742,0.00074571,0.00074563,0.00366782,0.00314811,0.00314778,0.40335238,0.37348038,0.37344116,-0.029872,-0.02991122
3,0.0015,0.32756643,0.30440672,0.30437452,0.05463659,0.05066344,0.05065833,0.01634202,0.01437569,0.01437421,7.241e-05,7.872e-05,7.871e-05,0.0008552,0.00075233,0.00075225,0.00368081,0.00315939,0.00315906,0.40315347,0.37343629,0.37339708,-0.02971718,-0.02975639
4,0.0021,0.3270469,0.30410031,0.30406814,0.05479016,0.05081048,0.05080535,0.01641257,0.01443715,0.01443567,7.352e-05,7.959e-05,7.959e-05,0.00086314,0.00075897,0.00075889,0.00369399,0.0031707,0.00317037,0.40288026,0.37335721,0.373318,-0.02952305,-0.02956226
5,0.0029,0.32642234,0.30374486,0.30371273,0.05494361,0.05095736,0.05095221,0.0164839,0.01449872,0.01449723,7.473e-05,8.047e-05,8.046e-05,0.00087125,0.00076562,0.00076554,0.00370734,0.00318203,0.0031817,0.40250317,0.37322905,0.37318986,-0.02927412,-0.02931331
6,0.0041,0.32565168,0.30332091,0.30328881,0.05509663,0.05110388,0.05109872,0.01655612,0.01456039,0.01455889,7.61e-05,8.134e-05,8.133e-05,0.00087954,0.00077229,0.00077221,0.00372088,0.00319338,0.00319305,0.40198096,0.37303218,0.37299301,-0.02894878,-0.02898795
7,0.0057,0.32467802,0.30280127,0.30276924,0.05524881,0.0512498,0.05124462,0.01662934,0.01462215,0.01462065,7.767e-05,8.221e-05,8.221e-05,0.00088807,0.00077897,0.00077889,0.00373466,0.00320475,0.00320442,0.40125658,0.37273915,0.37270002,-0.02851743,-0.02855656
8,0.008,0.32342267,0.30214801,0.30211604,0.05539956,0.05139478,0.05138959,0.01670375,0.01468402,0.01468251,7.953e-05,8.309e-05,8.308e-05,0.00089687,0.00078566,0.00078558,0.00374853,0.00321615,0.00321581,0.4002509,0.3723117,0.37227261,-0.0279392,-0.02797829
9,0.0112,0.32177747,0.30130562,0.30127375,0.05554799,0.05154109,0.05153588,0.01677956,0.01474922,0.0147477,8.177e-05,8.459e-05,8.459e-05,0.00090603,0.0007931,0.00079301,0.00376267,0.00322831,0.00322797,0.39885549,0.37170193,0.3716629,-0.02715356,-0.02719259
10,0.0158,0.31959463,0.30016313,0.30013138,0.05569289,0.05168567,0.05168045,0.0168571,0.01481967,0.01481815,8.456e-05,8.753e-05,8.752e-05,0.00091564,0.000802,0.00080192,0.00377702,0.00324152,0.00324119,0.39692185,0.37079953,0.37076061,-0.02612232,-0.02616124
11,0.0221,0.31667398,0.2986478,0.29861621,0.05583262,0.05182754,0.0518223,0.01693685,0.01489042,0.01488888,8.809e-05,9.122e-05,9.121e-05,0.00092585,0.0008111,0.00081102,0.00379162,0.00325416,0.00325383,0.39424901,0.36952224,0.36948345,-0.02472677,-0.02476556
12,0.031,0.31274825,0.2966337,0.29660232,0.0559649,0.05196923,0.05196398,0.01701949,0.0149633,0.01496176,9.267e-05,9.581e-05,9.58e-05,0.00093685,0.00082064,0.00082055,0.00380648,0.00326663,0.00326629,0.39056864,0.3677493,0.3677107,-0.02281934,-0.02285794
13,0.0435,0.30745279,0.29391551,0.29388442,0.0560968,0.05212122,0.05211596,0.01711083,0.01504382,0.01504227,9.877e-05,0.00010195,0.00010194,0.00094949,0.00083135,0.00083126,0.00382264,0.00327955,0.00327921,0.38553133,0.3652934,0.36525506,-0.02023793,-0.02027627
14,0.0611,0.2999056,0.28983485,0.28980419,0.0565477,0.05258686,0.05258155,0.01736622,0.01526884,0.01526727,0.00010904,0.00011221,0.0001122,0.00098237,0.00085931,0.00085922,0.00387057,0.00331991,0.00331956,0.3787815,0.36198196,0.36194397,-0.01679954,-0.01683753
15,0.0856,0.28900648,0.2834051,0.28337512,0.05784785,0.05386666,0.05386122,0.01805885,0.01587689,0.01587526,0.00012834,0.00013191,0.00013189,0.00107039,0.0009342,0.0009341,0.00400684,0.00343713,0.00343677,0.37011875,0.35765188,0.35761436,-0.01246687,-0.01250439
16,0.1201,0.27461959,0.27450442,0.27447538,0.05970131,0.05571665,0.05571102,0.01910054,0.01679264,0.01679091,0.00015771,0.00016159,0.00016158,0.00121044,0.00105142,0.00105131,0.00422078,0.00362252,0.00362214,0.35901037,0.35184924,0.35181234,-0.00716113,-0.00719803
17,0.1685,0.25723378,0.26327869,0.26325084,0.06159623,0.05764541,0.05763959,0.02026898,0.0178107,0.01780886,0.00019617,0.00019996,0.00019994,0.00137998,0.00118904,0.00118892,0.00447225,0.00383669,0.00383629,0.3451474,0.34396049,0.34392444,-0.00118691,-0.00122296
18,0.2364,0.23670363,0.24917861,0.24915225,0.06347078,0.05958792,0.0595819,0.02155883,0.01891979,0.01891785,0.00024624,0.00024899,0.00024896,0.00158254,0.00134827,0.00134813,0.00476369,0.00407912,0.0040787,0.32832572,0.3333627,0.33332779,0.00503698,0.00500207
19,0.3315,0.21291721,0.23154019,0.2315157,0.06524703,0.06149392,0.06148771,0.02297154,0.02012175,0.02011968,0.00031149,0.00031192,0.00031188,0.00182439,0.0015327,0.00153254,0.00509947,0.00435151,0.00435106,0.30837113,0.31935199,0.31931857,0.01098086,0.01094744
20,0.4651,0.18610464,0.20991412,0.20989191,0.06679624,0.06333161,0.06332522,0.02449742,0.02144538,0.02144318,0.0003965,0.0003949,0.00039486,0.00211215,0.00175338,0.0017532,0.00548223,0.00466802,0.00466753,0.28538917,0.30150741,0.3014759,0.01611824,0.01608673
21,0.6524,0.15734124,0.1839962,0.18397674,0.06804723,0.06497091,0.06496435,0.02615284,0.02293653,0.02293418,0.00050769,0.00050905,0.000509,0.00245539,0.00203869,0.00203848,0.00592076,0.005071,0.00507048,0.26042516,0.27952239,0.27949321,0.01909723,0.01906805
22,0.9151,0.12815903,0.15459978,0.15458342,0.06839897,0.06599182,0.06598515,0.02758822,0.02425552,0.02425302,0.00064302,0.000646,0.00064593,0.00279116,0.00231229,0.00231205,0.00631311,0.0054181,0.00541754,0.23389351,0.2532235,0.25319711,0.01932999,0.0193036
23,1.2836,0.10026608,0.12329338,0.12328033,0.066673,0.06536861,0.06536201,0.02789891,0.02466432,0.02466178,0.00078376,0.00078374,0.00078366,0.00291956,0.00242446,0.0024242,0.00635912,0.00544837,0.00544781,0.20490043,0.22198287,0.22195979,0.01708244,0.01705936
24,1.8006,0.07453179,0.0907214,0.0907118,0.06307498,0.06323131,0.06322492,0.02722037,0.0243288,0.0243263,0.00094959,0.00095377,0.00095367,0.00286115,0.00241683,0.00241658,0.00607857,0.0052118,0.00521126,0.17471646,0.18686391,0.18684453,0.01214745,0.01212807
25,2.5257,0.05188569,0.05885299,0.05884676,0.05869014,0.06044465,0.06043854,0.02647494,0.02395696,0.02395449,0.00119281,0.00119409,0.00119397,0.00282026,0.00242903,0.00242878,0.00574975,0.00493544,0.00493493,0.14681359,0.15181315,0.15179746,0.00499956,0.00498387
26,3.5428,0.03334001,0.03194516,0.03194178,0.05384913,0.0572938,0.05728801,0.02599535,0.02386559,0.02386313,0.00155491,0.00156352,0.00156336,0.00287195,0.00253068,0.00253042,0.00545501,0.00468652,0.00468603,0.12306636,0.12188527,0.12187274,-0.00118109,-0.00119362
27,4.9695,0.0193587,0.01357235,0.01357091,0.04866615,0.05366342,0.053658,0.0259424,0.02412663,0.02412415,0.00208451,0.00208318,0.00208296,0.00305542,0.00274007,0.00273978,0.00521453,0.00448402,0.00448356,0.1043217,0.10066966,0.10065936,-0.00365204,-0.00366234
28,6.9709,0.00986918,0.00413086,0.00413042,0.04318935,0.04945758,0.04945258,0.02645276,0.02493623,0.02493367,0.0028449,0.002855,0.0028547,0.00341247,0.00312143,0.00312111,0.00503842,0.00434169,0.00434124,0.09080709,0.08884278,0.08883372,-0.00196431,-0.00197337
29,9.7781,0.00425989,0.00080624,0.00080615,0.03743219,0.04426598,0.0442615,0.02765348,0.02627077,0.02626806,0.00392635,0.00391838,0.00391797,0.0039931,0.00368888,0.0036885,0.00493279,0.00425703,0.00425659,0.0821978,0.08320727,0.08319878,0.00100947,0.00100098
