,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.32811033,0.30466225,0.30463002,0.05462636,0.05065245,0.05064733,0.01633481,0.01437031,0.01436883,7.186e-05,7.865e-05,7.864e-05,0.00085421,0.00075174,0.00075167,0.00368002,0.00315839,0.00315806,0.40367759,0.37367379,0.37363455,-0.0300038,-0.03004304
1,0.0008,0.32731268,0.30413792,0.30410574,0.05499102,0.05100013,0.05099498,0.01650054,0.01451495,0.01451346,7.409e-05,8.069e-05,8.069e-05,0.00087276,0.00076737,0.00076729,0.00371077,0.003185,0.00318467,0.40346186,0.37368606,0.37364683,-0.0297758,-0.02981503
2,0.0011,0.32594933,0.30319119,0.30315912,0.05574132,0.0517096,0.05170438,0.01684537,0.01480969,0.01480816,7.863e-05,8.487e-05,8.486e-05,0.00091192,0.00079921,0.00079912,0.00377679,0.00323922,0.00323888,0.40330337,0.37383377,0.37379452,-0.0294696,-0.02950885
3,0.0015,0.32450078,0.30219861,0.30216664,0.05651695,0.05243628,0.05243099,0.01720948,0.01511167,0.01511012,8.366e-05,8.914e-05,8.913e-05,0.00095428,0.00083183,0.00083174,0.00384773,0.00329477,0.00329443,0.40311288,0.3739623,0.37392305,-0.02915058,-0.02918983
4,0.0021,0.32296389,0.30116182,0.30112996,0.05730808,0.05317117,0.0531658,0.01758902,0.0154172,0.01541562,8.919e-05,9.347e-05,9.346e-05,0.00099955,0.00086483,0.00086474,0.00392302,0.00335097,0.00335063,0.40287274,0.37405946,0.3740202,-0.02881328,-0.02885254
5,0.0029,0.32131314,0.30006764,0.3000359,0.0581141,0.05391409,0.05390864,0.01798442,0.01572628,0.01572466,9.527e-05,9.784e-05,9.783e-05,0.00104795,0.00089822,0.00089813,0.00400299,0.00340783,0.00340748,0.40255787,0.37411191,0.37407265,-0.02844596,-0.02848522
6,0.0041,0.31946933,0.29875174,0.29872014,0.05892618,0.05467263,0.05466711,0.0183936,0.01608405,0.0160824,0.00010196,0.00010468,0.00010467,0.00109954,0.00094278,0.00094268,0.00408731,0.0034838,0.00348344,0.40207792,0.37403968,0.37400043,-0.02803824,-0.02807749
7,0.0057,0.31733615,0.29724501,0.29721356,0.05973398,0.05544363,0.05543803,0.01881403,0.0164733,0.0164716,0.00010934,0.00011306,0.00011305,0.00115438,0.00099438,0.00099427,0.00417554,0.00357182,0.00357145,0.40132343,0.37384119,0.37380196,-0.02748224,-0.02752147
8,0.008,0.31494115,0.29560027,0.295569,0.06055299,0.05622191,0.05621623,0.01925135,0.01686697,0.01686523,0.00011755,0.00012153,0.00012152,0.00121305,0.00104657,0.00104646,0.00426915,0.00366085,0.00366048,0.40034524,0.3735181,0.37347892,-0.02682714,-0.02686632
9,0.0112,0.31219524,0.29377717,0.29374609,0.06138174,0.05700947,0.05700371,0.01970616,0.01726506,0.01726328,0.00012672,0.00013054,0.00013052,0.00127585,0.00109931,0.0010992,0.00436845,0.00375032,0.00374993,0.39905417,0.37303187,0.37299274,-0.0260223,-0.02606143
10,0.0158,0.30897837,0.29166471,0.29163385,0.06221803,0.05780065,0.05779481,0.02017907,0.01767143,0.01766961,0.00013705,0.00014105,0.00014103,0.00134314,0.00115415,0.00115403,0.00447378,0.00384186,0.00384146,0.39732944,0.37227384,0.3722348,-0.0250556,-0.02509464
11,0.0221,0.30512973,0.28917191,0.28914132,0.06305885,0.05859481,0.05858889,0.02067075,0.01809034,0.01808848,0.00014879,0.0001529,0.00015288,0.00141531,0.00121206,0.00121193,0.00458545,0.00393768,0.00393727,0.39500887,0.3711597,0.37112078,-0.02384917,-0.02388809
12,0.031,0.30044304,0.28619538,0.2861651,0.06389612,0.05938921,0.05938321,0.02117974,0.01852179,0.01851988,0.00016221,0.00016623,0.00016621,0.00149249,0.00127319,0.00127306,0.00470327,0.00403806,0.00403764,0.39187687,0.36958386,0.36954512,-0.02229301,-0.02233175
13,0.0435,0.29480296,0.28271041,0.2826805,0.06462461,0.06009124,0.06008517,0.02164787,0.0189181,0.01891615,0.0001765,0.00018046,0.00018044,0.00156607,0.00133101,0.00133087,0.00481336,0.00413115,0.00413073,0.38763135,0.36736238,0.36732387,-0.02026897,-0.02030748
14,0.0611,0.28796144,0.27859736,0.27856788,0.06515613,0.06062252,0.06061639,0.02202421,0.01923917,0.01923719,0.000191,0.0001949,0.00019488,0.00162774,0.00137999,0.00137985,0.00490242,0.00420714,0.00420671,0.38186294,0.36424108,0.3642029,-0.01762186,-0.01766004
15,0.0856,0.27928579,0.27341753,0.27338861,0.06557455,0.0610707,0.06106453,0.02236249,0.01953069,0.01952868,0.00020746,0.00021147,0.00021145,0.00168562,0.00142629,0.00142615,0.00498245,0.00427542,0.00427497,0.37409835,0.3599321,0.35989439,-0.01416625,-0.01420396
16,0.1201,0.26804991,0.26665847,0.26663026,0.065933,0.06151042,0.06150421,0.02270782,0.01983361,0.01983157,0.00022792,0.00023164,0.00023162,0.00174763,0.00147525,0.00147509,0.00506415,0.00434424,0.00434379,0.36373043,0.35405364,0.35401655,-0.00967679,-0.00971388
17,0.1685,0.25371947,0.25779657,0.25776931,0.06622151,0.0619429,0.06193664,0.02306672,0.02015298,0.02015091,0.00025396,0.000257,0.00025697,0.00181536,0.00152736,0.0015272,0.00514867,0.00441247,0.00441202,0.35022568,0.34608928,0.34605304,-0.0041364,-0.00417264
18,0.2364,0.23580839,0.24615293,0.24612689,0.06641745,0.06235067,0.06234437,0.02344449,0.0204917,0.0204896,0.00028769,0.00028933,0.0002893,0.00189063,0.0015837,0.00158353,0.0052367,0.00447944,0.00447898,0.33308534,0.33534777,0.33531267,0.00226243,0.00222733
19,0.3315,0.21403195,0.23091784,0.23089341,0.06648209,0.06269748,0.06269114,0.02384578,0.02085311,0.02085097,0.00033207,0.00033168,0.00033165,0.00197571,0.00164659,0.00164642,0.0053286,0.00454493,0.00454446,0.3119962,0.32099163,0.32095804,0.00899543,0.00896184
20,0.4651,0.18857248,0.21149023,0.21146785,0.0663121,0.06292531,0.06291895,0.02424277,0.02124145,0.02123927,0.0003904,0.00038941,0.00038937,0.00206769,0.00172156,0.00172138,0.0054156,0.00461409,0.00461362,0.28700104,0.30238206,0.30235045,0.01538102,0.01534941
