,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.32856803,0.30499309,0.30496083,0.05434892,0.05038708,0.050382,0.01621057,0.01426015,0.01425868,7.035e-05,7.709e-05,7.708e-05,0.0008405,0.00073984,0.00073977,0.00365676,0.00313813,0.0031378,0.40369514,0.37359539,0.37355616,-0.03009975,-0.03013898
1,0.0008,0.32823766,0.30480635,0.3047741,0.05442853,0.0504638,0.0504587,0.0162471,0.0142923,0.01429083,7.097e-05,7.754e-05,7.753e-05,0.00084459,0.00074332,0.00074324,0.00366293,0.00314404,0.00314372,0.40349177,0.37352736,0.37348813,-0.02996441,-0.03000364
2,0.0011,0.32783121,0.30454813,0.30451592,0.05459219,0.0506206,0.05061549,0.01632112,0.01435761,0.01435613,7.199e-05,7.847e-05,7.846e-05,0.00085282,0.00075037,0.0007503,0.003677,0.00315606,0.00315573,0.40334632,0.37351124,0.37347202,-0.02983508,-0.0298743
3,0.0015,0.32736668,0.30426193,0.30422974,0.05475853,0.05077973,0.0507746,0.01639695,0.01442396,0.01442248,7.309e-05,7.941e-05,7.94e-05,0.00086131,0.00075754,0.00075746,0.00369122,0.00316827,0.00316794,0.40314778,0.37347084,0.37343162,-0.02967694,-0.02971616
4,0.0021,0.32682668,0.3039405,0.30390834,0.05492514,0.05093892,0.05093378,0.01647364,0.01449047,0.01448898,7.428e-05,8.035e-05,8.034e-05,0.00086996,0.00076473,0.00076465,0.00370552,0.0031805,0.00318018,0.40287521,0.37339547,0.37335627,-0.02947974,-0.02951894
5,0.0029,0.32618191,0.30357003,0.30353791,0.05509173,0.051098,0.05109284,0.01655123,0.01455711,0.01455561,7.558e-05,8.129e-05,8.128e-05,0.0008788,0.00077193,0.00077185,0.00372008,0.00319277,0.00319244,0.40249933,0.37327113,0.37323193,-0.0292282,-0.0292674
6,0.0041,0.32539157,0.30313113,0.30309906,0.05525798,0.05125675,0.05125157,0.01662979,0.01462386,0.01462236,7.703e-05,8.224e-05,8.223e-05,0.00088785,0.00077915,0.00077907,0.00373493,0.00320505,0.00320472,0.40197915,0.37307817,0.373039,-0.02890098,-0.02894015
7,0.0057,0.32439887,0.30259658,0.30256456,0.05542353,0.05141499,0.0514098,0.01670948,0.01469075,0.01468924,7.87e-05,8.319e-05,8.318e-05,0.00089715,0.00078638,0.0007863,0.00375,0.00321737,0.00321704,0.40125773,0.37278925,0.37275012,-0.02846848,-0.02850761
8,0.008,0.32312573,0.30192864,0.3018967,0.05558768,0.05157229,0.05156708,0.01679043,0.01475774,0.01475622,8.065e-05,8.414e-05,8.413e-05,0.00090675,0.00079362,0.00079354,0.00376516,0.00322971,0.00322937,0.4002564,0.37236614,0.37232705,-0.02789026,-0.02792935
9,0.0112,0.32146449,0.30107034,0.30103849,0.0557496,0.0517312,0.05172598,0.0168729,0.01482855,0.01482702,8.299e-05,8.573e-05,8.572e-05,0.00091673,0.00080171,0.00080162,0.00378069,0.00324297,0.00324264,0.3988674,0.3717605,0.37172147,-0.0271069,-0.02714593
10,0.0158,0.31926814,0.29990911,0.29987738,0.05590808,0.05188887,0.05188363,0.0169572,0.01490563,0.0149041,8.587e-05,8.88e-05,8.879e-05,0.00092718,0.00081147,0.00081138,0.0037964,0.00325764,0.00325731,0.39694287,0.37086152,0.37082259,-0.02608135,-0.02612028
11,0.0221,0.3163377,0.29837528,0.29834371,0.05606143,0.05204382,0.05203857,0.01704382,0.01498318,0.01498164,8.95e-05,9.263e-05,9.262e-05,0.00093824,0.00082147,0.00082138,0.00381243,0.00327181,0.00327147,0.39428312,0.36958819,0.36954939,-0.02469493,-0.02473373
12,0.031,0.31240664,0.29634267,0.29631132,0.05620787,0.05219908,0.05219381,0.01713368,0.01506328,0.01506173,9.418e-05,9.737e-05,9.736e-05,0.00095015,0.00083197,0.00083189,0.00382879,0.00328593,0.00328559,0.39062132,0.3678203,0.3677817,-0.02280102,-0.02283962
13,0.0435,0.30705926,0.29356121,0.29353016,0.05639161,0.05240015,0.05239485,0.01725023,0.01516694,0.01516538,0.00010063,0.00010393,0.00010391,0.00096584,0.00084552,0.00084543,0.00385001,0.00330367,0.00330333,0.3856176,0.36538141,0.36534306,-0.02023619,-0.02027454
14,0.0611,0.2991631,0.2891361,0.28910551,0.05712575,0.05313129,0.05312593,0.0176445,0.01551372,0.01551212,0.00011288,0.00011628,0.00011627,0.00101571,0.00088806,0.00088797,0.00392611,0.00336885,0.0033685,0.37898805,0.3621543,0.3621163,-0.01683375,-0.01687175
15,0.0856,0.28803074,0.28244076,0.28241088,0.05864192,0.05461323,0.05460771,0.01845847,0.01622262,0.01622095,0.00013432,0.00013799,0.00013797,0.00112078,0.00097605,0.00097595,0.00408951,0.00350834,0.00350798,0.37047574,0.35789898,0.35786143,-0.01257676,-0.01261431
16,0.1201,0.27380966,0.27365177,0.27362282,0.06040563,0.05638519,0.0563795,0.01947799,0.01711307,0.01711131,0.000164,0.00016759,0.00016757,0.00126153,0.00109158,0.00109146,0.00430274,0.00369082,0.00369044,0.35942155,0.35210002,0.3520631,-0.00732153,-0.00735845
17,0.1685,0.25671378,0.2626013,0.26257352,0.06218198,0.05819677,0.05819089,0.02060199,0.01808515,0.01808328,0.00020231,0.00020543,0.0002054,0.00142822,0.00122474,0.00122461,0.00454844,0.00389737,0.00389696,0.34567671,0.34421074,0.34417467,-0.00146597,-0.00150204
18,0.2364,0.23644503,0.24869591,0.24866959,0.06392501,0.06001367,0.06000761,0.02183435,0.01914079,0.01913882,0.00025187,0.00025367,0.00025364,0.00162538,0.00137816,0.00137802,0.0048303,0.00412988,0.00412945,0.32891193,0.33361207,0.33357713,0.00470014,0.0046652
19,0.3315,0.2128334,0.2312621,0.23123763,0.06554752,0.06178708,0.06178083,0.02317166,0.02028158,0.02027949,0.00031605,0.00031551,0.00031548,0.00185826,0.00155523,0.00155507,0.00515091,0.00438972,0.00438926,0.30887779,0.31959121,0.31955776,0.01071342,0.01067997
20,0.4651,0.18618418,0.20981792,0.20979572,0.06695228,0.06347962,0.0634732,0.02461361,0.02154478,0.02154256,0.00039944,0.00039805,0.00039801,0.00213345,0.00177053,0.00177034,0.00551412,0.00469712,0.00469663,0.28579707,0.301708,0.30167647,0.01591093,0.0158794
21,0.6524,0.15762611,0.184301,0.18428151,0.06787595,0.06482331,0.06481676,0.02603762,0.02283917,0.02283682,0.00050455,0.00050564,0.00050558,0.00243304,0.00202061,0.0020204,0.00588773,0.00504037,0.00503984,0.260365,0.2795301,0.27950092,0.0191651,0.01913592
22,0.9151,0.12885856,0.15588949,0.155873,0.06718138,0.06488136,0.0648748,0.02664947,0.02348013,0.02347771,0.00061588,0.0006196,0.00061954,0.00259803,0.00216824,0.00216801,0.00603013,0.00517501,0.00517448,0.23193346,0.25221383,0.25218754,0.02028037,0.02025408
23,1.2836,0.10078824,0.12460054,0.12458735,0.06486885,0.06366635,0.06365991,0.02644191,0.02346894,0.02346652,0.00074271,0.00074602,0.00074594,0.00261678,0.00220629,0.00220606,0.00591725,0.0050825,0.00508198,0.20137575,0.21977063,0.21974777,0.01839488,0.01837202
24,1.8006,0.0745926,0.0911442,0.09113456,0.06165785,0.06183415,0.06182791,0.02601535,0.02332967,0.02332727,0.00091868,0.00092578,0.00092569,0.00261398,0.00223836,0.00223813,0.00571856,0.00491529,0.00491478,0.17151702,0.18438746,0.18436833,0.01287044,0.01285131
25,2.5257,0.05177099,0.05874857,0.05874235,0.05764641,0.05935653,0.05935053,0.02551628,0.02314473,0.02314235,0.00117186,0.00117497,0.00117485,0.00262633,0.00228655,0.00228632,0.00546816,0.00470177,0.00470128,0.14420003,0.14941312,0.14939767,0.00521309,0.00519764
26,3.5428,0.03320799,0.03167509,0.03167174,0.05313581,0.0564976,0.05649189,0.02525044,0.02321546,0.02321307,0.00154253,0.00155205,0.00155189,0.00272113,0.00241734,0.00241709,0.00523747,0.00450404,0.00450357,0.12109537,0.11986157,0.11984925,-0.0012338,-0.00124612
27,4.9695,0.01926505,0.01336354,0.01336213,0.04821559,0.05314414,0.05313877,0.02537256,0.02362084,0.02361841,0.0020784,0.00207813,0.00207792,0.00293819,0.0026508,0.00265052,0.005047,0.00434383,0.00434338,0.10291678,0.09920127,0.09919112,-0.00371551,-0.00372566
28,6.9709,0.00983656,0.00403894,0.00403851,0.04293797,0.04914492,0.04913995,0.02600687,0.02451964,0.02451711,0.0028449,0.00285536,0.00285507,0.00331522,0.00304471,0.00304439,0.00490235,0.00422513,0.0042247,0.08984387,0.0878287,0.08781974,-0.00201517,-0.00202413
29,9.7781,0.00426024,0.00078234,0.00078225,0.03730632,0.04410581,0.04410135,0.02728411,0.02590214,0.02589947,0.00393336,0.00392466,0.00392425,0.00390402,0.00361587,0.0036155,0.00481192,0.00415074,0.00415031,0.08149997,0.08248156,0.08247314,0.00098159,0.00097317
30,13.7158,0.0014753,8.433e-05,8.432e-05,0.0311919,0.03773938,0.03773557,0.02926529,0.02792927,0.02792639,0.00546667,0.00546118,0.00546062,0.00477298,0.00445828,0.00445782,0.00478629,0.00413237,0.00413195,0.07695842,0.07980482,0.07979667,0.0028464,0.00283825
31,19.2394,0.00037303,4.29e-06,4.29e-06,0.02441156,0.02983344,0.02983042,0.03177531,0.03050564,0.0305025,0.00760324,0.00755295,0.00755217,0.00601124,0.005612,0.00561141,0.00484119,0.00417852,0.00417809,0.07501557,0.07768682,0.07767887,0.00267125,0.0026633
32,26.9872,6.302e-05,8e-08,8e-08,0.01708349,0.02079495,0.02079285,0.03405153,0.03360964,0.03360618,0.01051863,0.01045571,0.01045464,0.007725,0.00721262,0.00721187,0.00499608,0.00431349,0.00431305,0.07443775,0.0763865,0.07637867,0.00194875,0.00194092
33,37.8553,7.33e-06,0.0,0.0,0.01014697,0.01189826,0.01189706,0.03451448,0.03664915,0.03664538,0.01436637,0.014279,0.01427752,0.01004139,0.00933043,0.00932947,0.0052812,0.00455206,0.00455159,0.07435774,0.07670891,0.07670102,0.00235117,0.00234328
34,53.1,7.1e-07,0.0,0.0,0.00501906,0.00505929,0.00505877,0.03124372,0.03852099,0.03851702,0.01914939,0.01920861,0.01920662,0.01306098,0.01210285,0.01210159,0.00570344,0.00492606,0.00492555,0.07417729,0.07981778,0.07980956,0.00564049,0.00563227
35,73.8875,7e-08,0.0,0.0,0.00229974,0.00145936,0.00145921,0.02418016,0.03727469,0.03727086,0.02419296,0.02482645,0.02482388,0.01681894,0.01553937,0.01553777,0.00631866,0.00547594,0.00547537,0.07381053,0.08457581,0.08456709,0.01076528,0.01075656
36,97.6625,1e-08,0.0,0.0,0.00122558,0.00032157,0.00032153,0.01682497,0.03222543,0.03222211,0.02754629,0.0292636,0.02926057,0.0207162,0.01906661,0.01906464,0.00711031,0.00616061,0.00615998,0.07342336,0.08703782,0.08702883,0.01361446,0.01360548
37,121.4375,0.0,0.0,0.0,0.00082283,7.142e-05,7.141e-05,0.01178758,0.02548955,0.02548692,0.02843549,0.03146455,0.0314613,0.02425851,0.02238258,0.02238026,0.00802627,0.0069561,0.00695538,0.07333067,0.08636419,0.08635527,0.01303352,0.0130246
38,145.2125,0.0,0.0,0.0,0.00062889,1.658e-05,1.657e-05,0.00865413,0.01895438,0.01895243,0.02771882,0.03176963,0.03176635,0.02745509,0.02549134,0.0254887,0.00901409,0.00781794,0.00781713,0.07347103,0.08404987,0.08404119,0.01057884,0.01057016
39,168.9875,0.0,0.0,0.0,0.00050241,4.08e-06,4.08e-06,0.00664037,0.01356318,0.01356178,0.02619646,0.03071211,0.03070894,0.03030215,0.02826988,0.02826696,0.00999611,0.00865945,0.00865855,0.0736375,0.0812087,0.0812003,0.0075712,0.0075628
40,192.7625,0.0,0.0,0.0,0.000413,1.07e-06,1.07e-06,0.00532947,0.00944784,0.00944687,0.02423614,0.0287184,0.02871543,0.03281547,0.03077161,0.03076842,0.01097064,0.00950055,0.00949957,0.07376472,0.07843947,0.07843136,0.00467475,0.00466664
41,216.5375,0.0,0.0,0.0,0.00034625,3e-07,3e-07,0.00445231,0.0064353,0.00643464,0.0220878,0.02613939,0.02613669,0.03500921,0.03308787,0.03308445,0.01193679,0.01038272,0.01038165,0.07383236,0.07604559,0.07603773,0.00221323,0.00220537
42,240.3125,0.0,0.0,0.0,0.00029421,9e-08,9e-08,0.00383823,0.00433493,0.00433448,0.01989872,0.02321059,0.02320819,0.03687381,0.03508656,0.03508293,0.01288529,0.01123203,0.01123087,0.07379026,0.0738642,0.07385656,7.394e-05,6.63e-05
43,264.0875,0.0,0.0,0.0,0.00025259,3e-08,3e-08,0.0033884,0.0028882,0.0028879,0.01777916,0.02018622,0.02018413,0.03844455,0.03686722,0.03686341,0.01382182,0.01208456,0.01208331,0.07368653,0.07202622,0.07201877,-0.00166031,-0.00166776
44,287.8625,0.0,0.0,0.0,0.00021859,1e-08,1e-08,0.00304268,0.0019124,0.00191221,0.01578214,0.01724722,0.01724543,0.03973992,0.03842851,0.03842454,0.01474634,0.01293552,0.01293418,0.07352967,0.07052367,0.07051637,-0.003006,-0.0030133
45,311.6375,0.0,0.0,0.0,0.00019037,0.0,0.0,0.00276557,0.00126695,0.00126682,0.01393301,0.01450049,0.01449899,0.04077624,0.03968847,0.03968436,0.01565784,0.01373924,0.01373781,0.07332303,0.06919515,0.06918799,-0.00412788,-0.00413504
46,335.4125,0.0,0.0,0.0,0.00016667,0.0,0.0,0.00253599,0.00083449,0.00083441,0.01224183,0.01201615,0.01201491,0.04157052,0.04083641,0.04083219,0.01655536,0.01458339,0.01458188,0.07307037,0.06827044,0.06826338,-0.00479993,-0.00480699
47,359.1875,0.0,0.0,0.0,0.00014656,0.0,0.0,0.00234105,0.0005509,0.00055085,0.01070959,0.00983626,0.00983524,0.04214032,0.04176137,0.04175705,0.01743798,0.01541187,0.01541027,0.07277551,0.0675604,0.06755341,-0.00521511,-0.0052221
48,382.9625,0.0,0.0,0.0,0.00012937,0.0,0.0,0.00217203,0.0003652,0.00036516,0.00933034,0.00796526,0.00796444,0.04249528,0.04245319,0.0424488,0.01830124,0.0162086,0.01620692,0.07242826,0.06699225,0.06698532,-0.00543601,-0.00544294
49,406.7375,0.0,0.0,0.0,0.00011456,0.0,0.0,0.00202332,0.00024251,0.00024249,0.00809694,0.00638233,0.00638167,0.04264994,0.0429848,0.04298035,0.01914224,0.01700767,0.01700591,0.07202699,0.06661731,0.06661042,-0.00540968,-0.00541657
50,430.5125,0.0,0.0,0.0,0.00010179,0.0,0.0,0.00189163,0.00016119,0.00016118,0.0070031,0.00506364,0.00506312,0.04263539,0.04340057,0.04339608,0.01996565,0.01783356,0.01783171,0.07159756,0.06645896,0.06645209,-0.0051386,-0.00514547
51,454.2875,0.0,0.0,0.0,9.072e-05,0.0,0.0,0.001774,0.0001078,0.00010779,0.00603811,0.00398816,0.00398774,0.04246901,0.04363177,0.04362725,0.02077084,0.01863294,0.01863101,0.07114268,0.06636066,0.06635379,-0.00478202,-0.00478889
52,478.0625,0.0,0.0,0.0,8.108e-05,0.0,0.0,0.00166819,7.25e-05,7.249e-05,0.00519093,0.00311993,0.00311961,0.04216751,0.04369853,0.04369401,0.02155723,0.01940778,0.01940577,0.07066494,0.06629874,0.06629188,-0.0043662,-0.00437306
53,501.8375,0.0,0.0,0.0,7.266e-05,0.0,0.0,0.00157244,4.901e-05,4.901e-05,0.00445059,0.00242521,0.00242496,0.04174685,0.04362061,0.0436161,0.02232431,0.02016178,0.02015969,0.07016683,0.06625662,0.06624976,-0.00391021,-0.00391707
