,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,19.96446743,20.96657987,20.961019,9.24340147,9.0612374,9.0610024,11.38657429,9.16329893,9.1625777,1.21148365,1.0077218,1.0076113,0.24461058,0.20088122,0.20085976,0.0072592,0.00851428,0.0085134,0.0398084,0.03145159,0.03144831,0.00465498,0.00382215,0.00382176,0.00057815,0.0004706,0.00047055,7.204e-05,4.551e-05,4.551e-05,42.10291019,40.44402334,40.43737,-1.65888685,-1.66554019
1,0.0008,1.34331514,0.0989609,0.09893608,7.02950876,7.75891642,7.7587154,10.73870434,8.9679988,8.9672929,1.22810036,1.02365231,1.0235401,0.24944167,0.20451707,0.20449522,0.00757135,0.00875974,0.00875884,0.04057568,0.03203077,0.03202743,0.00478026,0.0039157,0.0039153,0.00059236,0.00048171,0.00048166,7.382e-05,4.659e-05,4.658e-05,20.64266373,18.09928001,18.09821,-2.54338372,-2.54445373
2,0.0011,0.54713176,0.00618799,0.00618651,6.13940574,7.09690265,7.0967191,10.38531686,8.88951915,8.8888195,1.26864715,1.05762631,1.0575104,0.2595947,0.21194755,0.21192491,0.00816543,0.00925992,0.00925897,0.04220107,0.03321098,0.03320752,0.00504448,0.00410632,0.00410589,0.00062275,0.00050436,0.0005043,7.764e-05,4.879e-05,4.878e-05,18.65620758,17.309314,17.308286,-1.34689358,-1.34792158
3,0.0015,0.17489212,0.00013751,0.00013749,5.12866004,6.15822714,6.1580681,9.90210355,8.74661406,8.7459257,1.31045166,1.09199114,1.0918714,0.27054488,0.21955413,0.21953068,0.00883369,0.00977239,0.00977138,0.04398459,0.0344202,0.03441662,0.00533402,0.00430162,0.00430118,0.00065671,0.00052756,0.0005275,8.189e-05,5.104e-05,5.103e-05,16.84554314,16.26559679,16.264601,-0.57994635,-0.58094214
4,0.0021,0.0395942,7.4e-07,7.4e-07,4.06709402,4.95253421,4.9524064,9.26182699,8.51459853,8.5139283,1.35239892,1.12608165,1.1259581,0.28220739,0.22724,0.22721571,0.00958053,0.01029089,0.01028983,0.04591938,0.03564362,0.03563991,0.00564801,0.00449923,0.00449876,0.00069422,0.00055103,0.00055097,8.657e-05,5.332e-05,5.331e-05,15.06505023,14.87149321,14.870542,-0.19355702,-0.19450823
5,0.0029,0.00550599,0.0,0.0,3.02723847,3.57252477,3.5724327,8.44559957,8.16435101,8.1637081,1.39360349,1.15956073,1.1594334,0.29462118,0.23499992,0.23497478,0.01042001,0.0108154,0.01081429,0.04801955,0.03688122,0.03687737,0.00598907,0.00469914,0.00469865,0.00073573,0.00057478,0.00057472,9.176e-05,5.562e-05,5.562e-05,13.23182483,13.1844626,13.18357,-0.04736223,-0.04825483
6,0.0041,0.00038475,0.0,0.0,2.07009265,2.20808145,2.2080252,7.45073636,7.66986744,7.6692638,1.43254463,1.19790608,1.1977747,0.30778176,0.244958,0.24493181,0.01136862,0.01165392,0.01165272,0.05029404,0.03864722,0.03864319,0.00635939,0.00499359,0.00499307,0.0007816,0.00061335,0.00061328,9.749e-05,5.974e-05,5.973e-05,11.33044129,11.37678077,11.375958,0.04633948,0.04551671
7,0.0057,1.025e-05,0.0,0.0,1.25656689,1.09384745,1.0938199,6.30414402,6.99341411,6.9928636,1.46705774,1.23798685,1.2378509,0.32166997,0.25628515,0.25625772,0.01244764,0.01268864,0.01268733,0.05275207,0.04074499,0.04074075,0.00676135,0.00534733,0.00534677,0.00083228,0.00066117,0.0006611,0.00010383,6.498e-05,6.497e-05,9.42234606,9.64104067,9.640293,0.21869461,0.21794694
8,0.008,7e-08,0.0,0.0,0.64757048,0.39561021,0.39560055,5.07216341,6.1075386,6.1070583,1.49478237,1.27502303,1.2748832,0.33639324,0.26768382,0.26765522,0.01369081,0.01373514,0.01373373,0.05542755,0.04286653,0.04286207,0.00720077,0.00570512,0.00570453,0.00088863,0.00070954,0.00070947,0.00011087,7.028e-05,7.027e-05,7.62822821,8.10894227,8.1082773,0.48071406,0.48004909
9,0.0112,0.0,0.0,0.0,0.26964096,0.09187643,0.09187426,3.85027787,5.0193611,5.0189662,1.511901,1.30844044,1.3082967,0.3519606,0.27954095,0.27951103,0.01513935,0.01494792,0.01494638,0.05834441,0.04504031,0.04503561,0.00768266,0.00607226,0.00607163,0.00095145,0.00075906,0.00075898,0.00011872,7.563e-05,7.563e-05,6.06601701,6.76611409,6.7655365,0.70009708,0.69951949
10,0.0158,0.0,0.0,0.0,0.08661444,0.01148263,0.01148239,2.74299983,3.78604316,3.7857458,1.51332139,1.33790768,1.3377611,0.36834771,0.29269313,0.29266188,0.01684847,0.0165945,0.01659279,0.06153014,0.0473897,0.04738477,0.00821296,0.00647213,0.00647146,0.00102167,0.00081322,0.00081314,0.0001275,8.14e-05,8.139e-05,4.79902411,5.49947754,5.4989947,0.70045343,0.69997059
