,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,35.94465808,40.0958147,40.09809,10.10997851,9.46919135,9.468956,11.60330202,9.20727938,9.2063105,1.19313169,0.99144664,0.99134941,0.24009461,0.19732782,0.19730761,0.00701695,0.00827517,0.00827432,0.03909696,0.03088735,0.03088416,0.00453904,0.00373103,0.00373064,0.00056513,0.00045977,0.00045973,7.038e-05,4.446e-05,4.446e-05,59.14245337,60.00445766,60.005406,0.86200429,0.86295263
1,0.0008,5.5201995,3.37755037,3.3777296,8.66221786,8.73995805,8.7397402,11.24931364,9.09628435,9.0953272,1.19506123,0.9941002,0.99400276,0.24105303,0.1980065,0.19798623,0.00711716,0.00832132,0.00832046,0.03924558,0.03099624,0.03099303,0.00456364,0.00374862,0.00374823,0.00056788,0.00046186,0.00046182,7.073e-05,4.466e-05,4.466e-05,26.91941026,22.44947216,22.448354,-4.4699381,-4.47105626
2,0.0011,2.94547846,0.80421897,0.80426123,7.90459177,8.30449991,8.3042928,11.02551457,9.03181252,9.0308623,1.20191883,1.00054639,1.0004484,0.24297452,0.19946076,0.19944036,0.00725353,0.00841942,0.00841856,0.03954566,0.03122771,0.03122449,0.00461279,0.00378601,0.00378561,0.00057341,0.0004663,0.00046626,7.145e-05,4.509e-05,4.509e-05,23.37253498,19.38448309,19.383245,-3.98805189,-3.98928998
3,0.0015,1.40783278,0.11073791,0.11074369,7.0047797,7.7103352,7.7101419,10.7183581,8.93620848,8.9352682,1.20878655,1.0072366,1.0071379,0.24505366,0.20100093,0.20098037,0.00741256,0.00852346,0.00852259,0.03987119,0.0314732,0.03146995,0.00466615,0.00382566,0.00382526,0.00057942,0.00047101,0.00047097,7.214e-05,4.555e-05,4.555e-05,20.63741226,18.00985801,18.008606,-2.62755425,-2.62880626
4,0.0021,0.57652813,0.00722448,0.00722486,5.99339281,6.92568356,6.9255085,10.30294126,8.7965428,8.7956169,1.21497233,1.01370475,1.0136054,0.24719382,0.20254181,0.20252107,0.00759467,0.00862779,0.00862691,0.04020708,0.03171935,0.03171607,0.00472132,0.00386542,0.00386502,0.00058567,0.00047574,0.00047569,7.294e-05,4.601e-05,4.601e-05,18.38821003,16.99043171,16.989206,-1.39777832,-1.39900403
5,0.0029,0.19031727,0.00017013,0.00017013,4.9269807,5.9376981,5.9375469,9.75341315,8.59708778,8.5961828,1.22015719,1.01984233,1.0197423,0.24940685,0.20408045,0.20405956,0.00780829,0.00873231,0.00873141,0.04055514,0.03196593,0.03196263,0.00477866,0.00390526,0.00390485,0.00059219,0.00048047,0.00048042,7.371e-05,4.647e-05,4.646e-05,16.39408315,15.80400923,15.802828,-0.59007392,-0.59125515
6,0.0041,0.04661044,9.9e-07,9.9e-07,3.87106213,4.76767403,4.767552,9.04635328,8.31778788,8.3169124,1.22390967,1.02550503,1.0254046,0.25171174,0.20561469,0.20559366,0.00806535,0.00883701,0.00883611,0.04091835,0.03221294,0.03220961,0.00483873,0.00394516,0.00394476,0.00059905,0.00048521,0.00048516,7.451e-05,4.693e-05,4.692e-05,14.49414326,14.36210987,14.360986,-0.13203339,-0.13315726
7,0.0057,0.00755255,0.0,0.0,2.88238432,3.49145739,3.491367,8.1685553,7.93430581,7.9334705,1.22563749,1.03048887,1.0303879,0.25413487,0.20714144,0.20712025,0.00838258,0.0089419,0.00894098,0.0413008,0.03246035,0.032457,0.00490233,0.00398515,0.00398473,0.00060634,0.00048996,0.00048991,7.537e-05,4.739e-05,4.739e-05,12.59353195,12.70931825,12.708266,0.1157863,0.11473405
8,0.008,0.00068865,0.0,0.0,2.00230024,2.2471869,2.2471281,7.12788797,7.41938018,7.4185988,1.2245393,1.03450737,1.034406,0.25671333,0.20865661,0.20863526,0.00878345,0.00904698,0.00904605,0.04170829,0.03270819,0.03270481,0.00497058,0.00402521,0.00402479,0.0006142,0.00049472,0.00049467,7.627e-05,4.785e-05,4.785e-05,10.66828228,10.95605401,10.955086,0.28777173,0.28680372
9,0.0112,2.822e-05,0.0,0.0,1.26594139,1.20755598,1.2075238,5.96428075,6.74872811,6.7480167,1.21954487,1.03865785,1.0385559,0.25949785,0.21069832,0.21067672,0.00930082,0.00932782,0.00932686,0.04214878,0.03301853,0.03301511,0.005045,0.0040765,0.00407607,0.00062281,0.00050093,0.00050088,7.722e-05,4.841e-05,4.841e-05,8.76648771,9.25261245,9.2517405,0.48612474,0.48525279
