,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,35.95681848,40.09584365,40.098119,10.140319,9.4979681,9.4977329,11.61143008,9.21633881,9.2153692,1.19745956,0.99508666,0.99498918,0.24107673,0.19810438,0.19808412,0.00706907,0.00832734,0.00832649,0.03925037,0.03101048,0.03100727,0.00456404,0.00375091,0.00375052,0.00056793,0.00046214,0.00046209,7.073e-05,4.469e-05,4.468e-05,59.19862599,60.04693716,60.047885,0.84831117,0.84925901
1,0.0008,5.51881327,3.37750888,3.3776881,8.68965979,8.76851236,8.7682931,11.25896453,9.10656162,9.1056032,1.20009741,0.99832391,0.99822597,0.24219957,0.19890845,0.19888807,0.00717817,0.00838193,0.00838107,0.03942498,0.03113925,0.03113603,0.00459287,0.00377172,0.00377132,0.00057116,0.00046461,0.00046456,7.115e-05,4.493e-05,4.492e-05,26.9615729,22.49361766,22.492496,-4.46795524,-4.4690769
2,0.0011,2.94306966,0.80420313,0.80424538,7.93378355,8.33593399,8.3357249,11.03739216,9.04407516,9.0431233,1.20805257,1.00565415,1.0055555,0.24437682,0.20055213,0.20053158,0.00732854,0.00849276,0.00849189,0.03976581,0.03140077,0.03139752,0.00464863,0.00381396,0.00381356,0.00057744,0.00046962,0.00046958,7.196e-05,4.542e-05,4.541e-05,23.41906714,19.43464109,19.433399,-3.98442605,-3.98566814
3,0.0015,1.40472184,0.11073431,0.1107401,7.03143536,7.74035242,7.7401582,10.7318774,8.94960225,8.9486605,1.21568006,1.01293652,1.0128373,0.24663739,0.20221994,0.20219925,0.00749775,0.00860539,0.0086045,0.04012071,0.03166651,0.03166324,0.00470675,0.00385688,0.00385648,0.00058401,0.00047472,0.00047467,7.272e-05,4.591e-05,4.591e-05,20.683334,18.06049485,18.05924,-2.62283915,-2.624094
4,0.0021,0.57385018,0.0072241,0.00722448,6.01591149,6.95186284,6.9516872,10.31813769,8.81086787,8.8099405,1.22262713,1.01999159,1.0198916,0.24896229,0.20388812,0.20386725,0.00769034,0.00871828,0.00871739,0.04048672,0.03193287,0.03192957,0.0047668,0.0038999,0.0038995,0.00059083,0.00047984,0.00047979,7.359e-05,4.641e-05,4.64e-05,18.43309706,17.03891182,17.037684,-1.39418524,-1.39541306
5,0.0029,0.18866752,0.00017011,0.00017012,4.94439941,5.95753866,5.9573871,9.77027079,8.61206791,8.6111614,1.22857524,1.0267129,1.0266123,0.25136443,0.20555455,0.20553351,0.0079148,0.0088314,0.00883049,0.04086586,0.03219975,0.03219643,0.00482916,0.00394302,0.00394261,0.00059795,0.00048496,0.00048491,7.444e-05,4.69e-05,4.69e-05,16.4375596,15.84755016,15.846366,-0.59000944,-0.5911936
6,0.0041,0.04591053,9.9e-07,9.9e-07,3.88310303,4.77919771,4.7790751,9.06472398,8.33302941,8.3321522,1.23308464,1.0329518,1.0328506,0.25386233,0.20721671,0.2071955,0.00818306,0.00894472,0.00894381,0.04126107,0.0324671,0.03246375,0.00489441,0.00398621,0.0039858,0.00060543,0.00049009,0.00049004,7.532e-05,4.74e-05,4.74e-05,14.5357038,14.39833215,14.397205,-0.13737165,-0.1384988
7,0.0057,0.00736628,0.0,0.0,2.88927035,3.4941731,3.4940827,8.18806834,7.94928198,7.9484451,1.2355581,1.03850394,1.0384022,0.25648336,0.20887232,0.20885096,0.00851192,0.00905831,0.00905738,0.04167665,0.03273504,0.03273166,0.00496337,0.00402951,0.00402909,0.00061337,0.00049523,0.00049518,7.625e-05,4.79e-05,4.79e-05,12.63258798,12.73719733,12.736142,0.10460935,0.10355402
8,0.008,0.0006619,0.0,0.0,2.00456402,2.24288265,2.2428237,7.14780583,7.43339436,7.4326113,1.2351729,1.04307096,1.0429686,0.25926275,0.21051603,0.21049446,0.00892478,0.00917209,0.00917115,0.04211818,0.03300341,0.03299999,0.00503711,0.00407289,0.00407247,0.0006219,0.00050039,0.00050033,7.723e-05,4.84e-05,4.84e-05,10.70424661,10.97666117,10.97569,0.27241456,0.27144339
9,0.0112,2.656e-05,0.0,0.0,1.26459454,1.20016264,1.2001309,5.98344582,6.76102122,6.7603088,1.23084077,1.04780563,1.0477029,0.26225152,0.21270617,0.21268439,0.00945455,0.00946395,0.00946298,0.04259379,0.03333847,0.03333502,0.00511722,0.0041282,0.00412777,0.0006312,0.0005071,0.00050705,7.828e-05,4.901e-05,4.901e-05,8.79903424,9.2691824,9.2683088,0.47014816,0.46927456
10,0.0158,3.5e-07,0.0,0.0,0.70313496,0.49823207,0.49821878,4.77037538,5.91558232,5.9149588,1.22114785,1.05399485,1.0538916,0.26552011,0.21614685,0.21612475,0.01014735,0.01017309,0.01017205,0.04311471,0.03381854,0.03381505,0.00520585,0.00420969,0.00420926,0.00064153,0.0005172,0.00051715,7.939e-05,4.986e-05,4.985e-05,7.01936748,7.73272448,7.7319573,0.713357,0.71258982
11,0.0221,0.0,0.0,0.0,0.33434746,0.14534593,0.14534201,3.60746326,4.89867779,4.898161,1.20433425,1.05893581,1.058832,0.26916708,0.22018745,0.22016491,0.01106787,0.01112766,0.01112652,0.04369677,0.03435363,0.03435008,0.00530609,0.00430132,0.00430087,0.00065325,0.00052846,0.00052841,8.06e-05,5.072e-05,5.072e-05,5.47611663,6.37350878,6.3728565,0.89739215,0.89673987
12,0.031,0.0,0.0,0.0,0.13309606,0.02605193,0.02605123,2.58723007,3.75495562,3.7545591,1.17837192,1.06173173,1.0616276,0.27333787,0.22494297,0.22491994,0.01230729,0.01236859,0.01236733,0.04436345,0.03496156,0.03495794,0.00542242,0.00440609,0.00440563,0.0006669,0.00054127,0.00054121,8.195e-05,5.165e-05,5.164e-05,4.23487794,5.12001141,5.1194817,0.88513347,0.88460376
13,0.0435,0.0,0.0,0.0,0.04392856,0.00239149,0.00239142,1.76706048,2.58403451,2.5837613,1.1436253,1.06393265,1.0638282,0.27889897,0.23138111,0.23135739,0.01403195,0.01412347,0.01412202,0.04525795,0.03577361,0.03576991,0.00557907,0.00454618,0.00454571,0.00068536,0.00055828,0.00055823,8.375e-05,5.282e-05,5.281e-05,3.29915141,3.93679412,3.936387,0.63764271,0.63723559
14,0.0611,0.0,0.0,0.0,0.01199438,8.716e-05,8.716e-05,1.17143503,1.53487891,1.5347166,1.12465305,1.08698709,1.0868806,0.29367515,0.24560456,0.24557946,0.01687205,0.01694487,0.01694314,0.04770627,0.03781212,0.03780821,0.00599266,0.00488969,0.00488919,0.00073484,0.00060086,0.00060079,8.926e-05,5.635e-05,5.635e-05,2.67315269,2.92786162,2.9275615,0.25470893,0.25440881
