ig,ip,t1,t2,t3,t4,t5
1,1,3.8490593e-16,3.7604836e-16,3.6462566e-16,3.5109477999999993e-16,3.3589474000000005e-16
1,2,3.8461084000000005e-16,3.7555367999999994e-16,3.640239e-16,3.5040565999999995e-16,3.3514301e-16
1,3,3.8418086e-16,3.750004e-16,3.6336362000000004e-16,3.4965896e-16,3.3434433e-16
1,4,3.8374071999999997e-16,3.7443817000000006e-16,3.6269584999999997e-16,3.4890629e-16,3.3354103999999995e-16
1,5,3.832886e-16,3.7386534e-16,3.6201906000000003e-16,3.4814625000000003e-16,3.3273187000000004e-16
1,6,3.8281878e-16,3.7327532e-16,3.6132597e-16,3.4737100000000003e-16,3.319087e-16
1,7,3.8234921000000003e-16,3.7269246e-16,3.6064644e-16,3.4661484e-16,3.3110857000000003e-16
1,8,3.8176108999999997e-16,3.7196449999999996e-16,3.5979958000000003e-16,3.4567407999999996e-16,3.3011428e-16
1,9,3.8104067e-16,3.7107665999999997e-16,3.5877004e-16,3.4453312999999993e-16,3.2891046999999997e-16
1,10,3.8002932e-16,3.6982972000000004e-16,3.5732461999999996e-16,3.4293226e-16,3.2722234e-16
1,11,3.7888523000000005e-16,3.6843241e-16,3.5571566e-16,3.4115891000000005e-16,3.2535861000000003e-16
1,12,3.7763737000000004e-16,3.6692618e-16,3.539954e-16,3.3927412000000004e-16,3.2338586e-16
1,13,3.7629997999999997e-16,3.6533346e-16,3.5219332000000005e-16,3.373131e-16,3.2134291e-16
1,14,3.7485982e-16,3.6364246e-16,3.5029898e-16,3.3526663e-16,3.1912118e-16
1,15,3.7324647000000004e-16,3.6178672999999996e-16,3.4825017999999996e-16,3.3308953000000004e-16,3.1679782000000004e-16
1,16,3.7140178e-16,3.5970916e-16,3.4599127999999994e-16,3.3073457999999997e-16,3.1438672999999996e-16
1,17,3.6941080000000003e-16,3.5749964999999996e-16,3.436152e-16,3.2827638999999994e-16,3.1188553e-16
1,18,3.6742646e-16,3.5534894999999994e-16,3.4134309000000003e-16,3.2595487e-16,3.0954728e-16
1,19,3.6559122999999997e-16,3.5343441e-16,3.3937996e-16,3.2399178000000004e-16,3.0760537000000003e-16
1,20,3.645744e-16,3.5256427e-16,3.3864413e-16,3.233710799999999e-16,3.0708829e-16
1,21,3.6372345e-16,3.5198341000000003e-16,3.3830032e-16,3.2321271e-16,3.0708781000000003e-16
1,22,3.6293912000000005e-16,3.5160602e-16,3.3827555e-16,3.2345517999999996e-16,3.0755295e-16
1,23,3.617947e-16,3.5095892999999993e-16,3.3806186000000002e-16,3.2357407000000006e-16,3.0795122000000003e-16
1,24,3.6000857e-16,3.4975070000000004e-16,3.3736227e-16,3.2327821999999997e-16,3.0801356e-16
1,25,3.5723517e-16,3.4764839e-16,3.3585784e-16,3.2229553e-16,3.0759630000000003e-16
1,26,3.5335796000000006e-16,3.4453332000000004e-16,3.3342778e-16,3.2047099e-16,3.0626007e-16
1,27,3.4806364e-16,3.4008828000000003e-16,3.2975284e-16,3.1748631e-16,3.0384938e-16
1,28,3.410768e-16,3.3405677000000004e-16,3.2459333999999996e-16,3.1311762000000003e-16,3.0015596e-16
1,29,3.3202712999999997e-16,3.2605060000000003e-16,3.1754726000000005e-16,3.0695408e-16,2.9476907000000002e-16
1,30,3.2069942000000007e-16,3.1590921e-16,3.085018e-16,2.9892397e-16,2.8764861e-16
