ig,ip,t1,t2,t3,t4,t5
1,1,2.8877375999999997e-16,2.9201955e-16,2.9215189e-16,2.8908707e-16,2.8302297e-16
1,2,2.8904052000000006e-16,2.9209761000000004e-16,2.9207936e-16,2.8886621e-16,2.8267293e-16
1,3,2.8921919999999994e-16,2.9213631e-16,2.919646e-16,2.8860157e-16,2.8228578999999997e-16
1,4,2.8939138e-16,2.921675e-16,2.9184213e-16,2.8832979000000003e-16,2.8189257e-16
1,5,2.8955631e-16,2.9219042999999994e-16,2.9171123e-16,2.8805017000000004e-16,2.8149258e-16
1,6,2.8971452999999995e-16,2.9220445000000003e-16,2.9156997000000003e-16,2.8775956000000005e-16,2.8108168999999997e-16
1,7,2.8985619e-16,2.9220693e-16,2.9142344e-16,2.8747047000000003e-16,2.8067839e-16
1,8,2.9002639e-16,2.9220306000000004e-16,2.9123437e-16,2.8710511000000004e-16,2.8017251e-16
1,9,2.9022235e-16,2.9218705e-16,2.9099445e-16,2.8665342999999996e-16,2.7955307e-16
1,10,2.9049022e-16,2.9215265e-16,2.9064375e-16,2.8600595000000003e-16,2.7867224e-16
1,11,2.9075418e-16,2.9208162e-16,2.9022627e-16,2.8526675e-16,2.7768264000000003e-16
1,12,2.9099194e-16,2.9196503e-16,2.8974778e-16,2.8445589e-16,2.7661596e-16
1,13,2.9118773999999997e-16,2.9179597e-16,2.8921088e-16,2.8358505000000004e-16,2.7549112e-16
1,14,2.9133329e-16,2.9156647999999997e-16,2.8860821e-16,2.826476e-16,2.7422299999999995e-16
1,15,2.9136957999999997e-16,2.9121986e-16,2.8788636000000004e-16,2.8160375e-16,2.7286859e-16
1,16,2.9126057999999997e-16,2.9071857000000003e-16,2.8700697e-16,2.8042011e-16,2.7144167e-16
1,17,2.9106258999999997e-16,2.9012517999999997e-16,2.8603777e-16,2.7915286e-16,2.6993952e-16
1,18,2.9075535e-16,2.8947276e-16,2.8506209e-16,2.7792513e-16,2.6851694e-16
1,19,2.9032881e-16,2.8880273e-16,2.8416796000000006e-16,2.7686040000000005e-16,2.6732473999999996e-16
1,20,2.8977157000000004e-16,2.8831144000000003e-16,2.8374314e-16,2.7649457e-16,2.6701452999999995e-16
1,21,2.8905195e-16,2.8780419e-16,2.8344041e-16,2.7636107999999997e-16,2.6702602000000005e-16
1,22,2.8810494e-16,2.8722162999999996e-16,2.8320781e-16,2.764157e-16,2.6732264e-16
1,23,2.8685754e-16,2.8640696e-16,2.8281156e-16,2.7636612e-16,2.6756736e-16
1,24,2.8520613999999996e-16,2.8522857999999996e-16,2.8209423e-16,2.7603951000000003e-16,2.6758806000000003e-16
1,25,2.8291854e-16,2.834562e-16,2.8082887999999997e-16,2.7523886e-16,2.6728486e-16
1,26,2.7998831e-16,2.8107267000000006e-16,2.7898450000000003e-16,2.7389343999999997e-16,2.6634723e-16
1,27,2.7625572999999996e-16,2.7790504e-16,2.7637267999999995e-16,2.7180072999999997e-16,2.6468884e-16
1,28,2.7149647999999997e-16,2.7374569e-16,2.7280047000000003e-16,2.6878116000000004e-16,2.6214271e-16
1,29,2.6550057999999997e-16,2.6835703e-16,2.6800215999999997e-16,2.6454454e-16,2.5840329e-16
1,30,2.5792544999999996e-16,2.6145211e-16,2.6175012000000004e-16,2.5892144e-16,2.533515e-16
1,31,2.4847733e-16,2.5273501e-16,2.5375341e-16,2.5163227000000004e-16,2.4672398999999997e-16
1,32,2.3679876e-16,2.4189502999999995e-16,2.4369121e-16,2.4235646e-16,2.3821878e-16
1,33,2.2278824e-16,2.2876574e-16,2.313675e-16,2.3087967000000003e-16,2.2761154e-16
1,34,2.0660013e-16,2.1336748999999999e-16,2.1674888e-16,2.1712561000000004e-16,2.1478562e-16
1,35,1.8859834999999997e-16,1.9594157e-16,1.999782e-16,2.0114973999999997e-16,1.9972174999999997e-16
1,36,1.6923433999999997e-16,1.7688650000000001e-16,1.814021e-16,1.8325002000000002e-16,1.8267055000000002e-16
1,37,1.4908174999999998e-16,1.5676476999999999e-16,1.6155841999999997e-16,1.639345e-16,1.6410325e-16
1,38,1.2878784e-16,1.3625552e-16,1.4113096e-16,1.4387703e-16,1.4466927e-16
1,39,1.0915826000000001e-16,1.161842e-16,1.2094148e-16,1.2387575000000003e-16,1.2512700000000002e-16
1,40,9.107903000000001e-17,9.7442013e-17,1.0187199e-16,1.0478261999999998e-16,1.0628231000000001e-16
1,41,7.5199521e-17,8.072285300000001e-17,8.4646354e-17,8.7332434e-17,8.8864683e-17
1,42,6.213594300000001e-17,6.6627467e-17,6.9862148e-17,7.2110968e-17,7.3440784e-17
1,43,5.1314439e-17,5.4800369000000004e-17,5.7339925e-17,5.910513899999999e-17,6.0150558e-17
1,44,4.2125196e-17,4.4784775e-17,4.674428e-17,4.8098864e-17,4.8892864000000005e-17
1,45,3.4427325e-17,3.6426371e-17,3.7916953e-17,3.893643e-17,3.9520737e-17
1,46,2.8060633e-17,2.9555332e-17,3.0659932e-17,3.1399717e-17,3.1809316999999995e-17
1,47,2.3000997e-17,2.406354e-17,2.4826306000000002e-17,2.5310686999999998e-17,2.5553389999999997e-17
1,48,1.8803294000000002e-17,1.9543208000000002e-17,2.0053917e-17,2.0354576999999998e-17,2.046744e-17
1,49,1.5305875e-17,1.5812245e-17,1.6144166e-17,1.6323092e-17,1.6359802e-17
1,50,1.2398529e-17,1.2750217e-17,1.2968594e-17,1.3071969999999999e-17,1.3072192e-17
1,51,9.9918596e-18,1.0245877e-17,1.0398333e-17,1.0459443e-17,1.0490176e-17
1,52,8.0576811e-18,8.2402453e-18,8.3462912e-18,8.382010099999999e-18,8.4518427e-18
2,1,6.8891915999999995e-18,9.678018199999999e-18,1.2989451e-17,1.6489896000000002e-17,1.9846483e-17
2,2,7.0104106e-18,9.8287435e-18,1.3156672e-17,1.6656956e-17,1.9999746e-17
2,3,7.133323400000002e-18,9.981664e-18,1.3324890000000001e-17,1.6823656e-17,2.0151966e-17
2,4,7.2592095e-18,1.0136849e-17,1.3494449e-17,1.6990799e-17,2.0303999e-17
2,5,7.3883545e-18,1.0294531e-17,1.3665536999999999e-17,1.7158535999999998e-17,2.0455970000000002e-17
2,6,7.5221581e-18,1.0456287e-17,1.3839784999999999e-17,1.7328423e-17,2.0609267e-17
2,7,7.654785199999999e-18,1.0614784e-17,1.4009144e-17,1.7492536e-17,2.0756698e-17
2,8,7.8218532e-18,1.08132e-17,1.4220026e-17,1.7695969e-17,2.0938859000000002e-17
2,9,8.0275635e-18,1.1055532999999999e-17,1.4475837999999998e-17,1.7941353e-17,2.11577e-17
2,10,8.321185999999999e-18,1.1399043e-17,1.4835993e-17,1.8284755e-17,2.1462684e-17
2,11,8.6541896e-18,1.1783096e-17,1.5234e-17,1.866072e-17,2.1794428e-17
2,12,9.0165871e-18,1.2194454e-17,1.5654884e-17,1.9054285e-17,2.213929e-17
2,13,9.4021307e-18,1.2624784999999999e-17,1.6089285e-17,1.945623e-17,2.2488970999999998e-17
2,14,9.812577199999998e-18,1.3075162000000001e-17,1.6537731e-17,1.9866783e-17,2.2836987e-17
2,15,1.0244468e-17,1.3540309e-17,1.699368e-17,2.0279517999999998e-17,2.3184390999999998e-17
2,16,1.0699878e-17,1.4021355999999998e-17,1.7457395000000002e-17,2.0694462e-17,2.3534809000000002e-17
2,17,1.1181005e-17,1.4520474e-17,1.79316e-17,2.1114216999999998e-17,2.388663e-17
2,18,1.1637609e-17,1.4983287e-17,1.8363571e-17,2.1491536e-17,2.4199762e-17
2,19,1.2019707e-17,1.5357966000000002e-17,1.8704855000000002e-17,2.1784076e-17,2.4438779e-17
2,20,1.2121845000000001e-17,1.54294e-17,1.8751774e-17,2.1811825e-17,2.4452086e-17
2,21,1.2119377000000001e-17,1.5381369000000002e-17,1.8679341e-17,2.1730210999999998e-17,2.4370809e-17
2,22,1.2024141e-17,1.5221543e-17,1.8491718e-17,2.1541172e-17,2.4195696e-17
2,23,1.1937525e-17,1.5052876e-17,1.8284487999999998e-17,2.1328146000000002e-17,2.3996497e-17
2,24,1.1904752e-17,1.4919650000000002e-17,1.8097464e-17,2.1125166e-17,2.3802323e-17
2,25,1.1938448000000001e-17,1.4829739e-17,1.7933268e-17,2.0932117e-17,2.3617819000000002e-17
2,26,1.2086004e-17,1.4832189e-17,1.7839192e-17,2.0790211e-17,2.3459285999999997e-17
2,27,1.238749e-17,1.4968453e-17,1.7854396e-17,2.0733419e-17,2.3365742e-17
2,28,1.2857878e-17,1.5252168e-17,1.799026e-17,2.0769989999999998e-17,2.3342281e-17
2,29,1.3534155e-17,1.5726958e-17,1.829214e-17,2.0941753e-17,2.3423923e-17
2,30,1.4382792e-17,1.6354074e-17,1.8719234e-17,2.1208596e-17,2.3572701e-17
2,31,1.5385255e-17,1.7119785e-17,1.9260832e-17,2.1560815e-17,2.3778122e-17
2,32,1.6485277e-17,1.7981589e-17,1.9880878e-17,2.1966382e-17,2.4010828e-17
2,33,1.7596713e-17,1.886932e-17,2.0521837e-17,2.2377182e-17,2.4228732e-17
2,34,1.8598703e-17,1.9679797e-17,2.1099365e-17,2.2723976000000003e-17,2.4372712e-17
2,35,1.9335879e-17,2.0281846000000002e-17,2.1505841000000002e-17,2.2918714e-17,2.4369188e-17
2,36,1.9633083e-17,2.0510723e-17,2.1591599e-17,2.2828774e-17,2.4102325999999998e-17
2,37,1.9355484e-17,2.0226273e-17,2.1219999000000002e-17,2.2327058e-17,2.3457723e-17
2,38,1.8452345e-17,1.935652e-17,2.0308521e-17,2.1329254e-17,2.2355185e-17
2,39,1.6994412e-17,1.7940927e-17,1.8875841e-17,1.9841311000000002e-17,2.0793868e-17
2,40,1.5172451e-17,1.6136992e-17,1.7053764e-17,1.7974451e-17,1.8868824e-17
2,41,1.3228338e-17,1.4165527e-17,1.5042293e-17,1.5908616e-17,1.6741869e-17
2,42,1.1431062000000001e-17,1.2290151e-17,1.3097872999999998e-17,1.3888811000000002e-17,1.464375e-17
2,43,9.833080400000001e-18,1.0585412e-17,1.1302819999999999e-17,1.2001464000000001e-17,1.2664267000000002e-17
2,44,8.4048994e-18,9.0453977e-18,9.664900499999999e-18,1.026597e-17,1.0833768e-17
2,45,7.163495e-18,7.6976331e-18,8.2215151e-18,8.728019e-18,9.2045206e-18
2,46,6.1104064000000005e-18,6.5541374e-18,6.9894628e-18,7.4082473e-18,7.801084400000001e-18
2,47,5.2743175000000004e-18,5.6388394e-18,5.9941488e-18,6.3324775e-18,6.6479712999999996e-18
2,48,4.5618334e-18,4.8579224e-18,5.1438278e-18,5.412954599999999e-18,5.6589587e-18
2,49,3.9423305999999996e-18,4.1797201e-18,4.4062853e-18,4.6179400000000004e-18,4.8081350000000005e-18
2,50,3.3916839999999996e-18,3.5803671e-18,3.7584353e-18,3.9229363e-18,4.0697245e-18
2,51,2.898932e-18,3.0479785e-18,3.1877722999999996e-18,3.3148104999999998e-18,3.4412726e-18
2,52,2.4823996000000003e-18,2.5989102000000003e-18,2.7077309e-18,2.8055493e-18,2.9209232999999996e-18
3,1,1.5535183999999999e-18,1.6811739e-18,1.841853e-18,2.0287424e-18,2.2327459e-18
3,2,1.5599433000000002e-18,1.6890071e-18,1.8511442e-18,2.0390299e-18,2.2436357000000002e-18
