hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
0.0,0.000804,0.00080422,0.001635,0.00163471,0.009604,0.00960379,0.023339,0.02333896,0.062986,0.0629855,0.129177,0.12917701,0.335439,0.33543926,0.752369,0.75236878,0.758344,0.75834386,13.119028,13.119028,15.19272,15.192724,4e-06
0.0006,8e-06,0.0,0.001061,0.00102167,0.008798,0.00889535,0.023251,0.02326152,0.062968,0.06296996,0.129176,0.12917639,0.335436,0.33543679,0.752368,0.75236849,0.758344,0.75834383,13.119028,13.119028,15.19044,15.190502,6.2e-05
0.0009,3e-06,0.0,0.000917,0.00084499,0.008509,0.00862477,0.023216,0.0232303,0.062961,0.06296368,0.129176,0.12917614,0.335435,0.3354358,0.752368,0.75236837,0.758344,0.75834381,13.119028,13.119028,15.18996,15.190016,5.6e-05
0.0012,1e-06,0.0,0.000757,0.00064642,0.008134,0.00825852,0.023166,0.02318628,0.06295,0.06295481,0.129176,0.12917578,0.335434,0.33543439,0.752368,0.7523682,0.758344,0.75834379,13.119028,13.119028,15.18936,15.189396,3.6e-05
0.0017,0.0,0.0,0.00059,0.00044286,0.007659,0.00776992,0.023097,0.02312423,0.062936,0.06294226,0.129176,0.12917528,0.335431,0.3354324,0.752368,0.75236796,0.758344,0.75834376,13.119028,13.119028,15.18863,15.188627,-3e-06
0.0024,0.0,0.0,0.000425,0.00025967,0.007079,0.00713183,0.022999,0.02303686,0.062916,0.06292453,0.129175,0.12917456,0.335428,0.33542959,0.752367,0.75236762,0.758344,0.75834372,13.119028,13.119028,15.18776,15.187697,-6.3e-05
0.0034,0.0,0.0,0.000278,0.00012222,0.006398,0.00632272,0.022863,0.02291398,0.062887,0.06289948,0.129174,0.12917354,0.335423,0.33542562,0.752367,0.75236714,0.758344,0.75834366,13.119028,13.119028,15.18676,15.186596,-0.000164
0.0048,0.0,0.0,0.000162,4.219e-05,0.005638,0.0053384,0.022675,0.02274149,0.062847,0.06286409,0.129173,0.12917209,0.335417,0.33542,0.752366,0.75236645,0.758344,0.75834357,13.119028,13.119028,15.18565,15.185316,-0.000334
0.0067,0.0,0.0,8.2e-05,9.4e-06,0.004832,0.00420861,0.022414,0.02250005,0.062789,0.06281409,0.129171,0.12917004,0.335407,0.33541206,0.752365,0.75236548,0.758343,0.75834345,13.119028,13.119028,15.18443,15.183851,-0.000579
0.0094,0.0,0.0,3.6e-05,1.13e-06,0.004023,0.00301311,0.022059,0.02216334,0.062708,0.06274349,0.129168,0.12916712,0.335394,0.33540083,0.752363,0.75236411,0.758343,0.75834329,13.119028,13.119028,15.18312,15.182224,-0.000896
