,hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
0,0.0003,19.94442157,20.975864,9.1267597,9.2201862,11.34853339,9.754063,1.19154399,1.047758,0.24006669,0.2101229,0.00701688,0.00837374,0.03909651,0.03330086,0.00453904,0.00399169,0.00056513,0.00049433,7.04e-05,5.186e-05,41.9026133,41.254207,-0.6484063
1,0.0008,1.35100009,0.0660482,6.87646052,7.7788398,10.66672878,9.4934496,1.19125217,1.0498859,0.24098578,0.21084486,0.00711699,0.00842065,0.03924449,0.03341837,0.00456363,0.00401073,0.00056789,0.00049657,7.072e-05,5.21e-05,20.37799106,18.645467,-1.73252406
2,0.0011,0.55206477,0.00346553,5.87999533,6.954472,10.24334052,9.3285924,1.19656755,1.0562105,0.24287966,0.21240612,0.00725329,0.00852039,0.03954412,0.03366823,0.00461277,0.00405121,0.0005734,0.00050132,7.143e-05,5.26e-05,18.16690285,17.60194,-0.56496285
3,0.0015,0.18187879,6.062e-05,4.83285242,5.9259652,9.68554897,9.096477,1.20127018,1.0625919,0.24491966,0.21405697,0.00741222,0.00862616,0.03986902,0.03393319,0.00466613,0.00409413,0.00057942,0.00050636,7.216e-05,5.314e-05,16.19906897,16.346365,0.14729603
4,0.0021,0.0444394,2.3e-07,3.79611447,4.7172976,8.9695507,8.773758,1.20442632,1.0684554,0.2470044,0.21570431,0.00759419,0.00873221,0.04020402,0.03419886,0.0047213,0.00413717,0.00058567,0.00051142,7.291e-05,5.367e-05,14.31471336,14.822849,0.50813564
5,0.0029,0.0071787,0.0,2.82523151,3.4127593,8.08321203,8.3336493,1.20538905,1.073569,0.24913895,0.21734316,0.00780759,0.00883845,0.04055083,0.03446496,0.00477862,0.00418029,0.00059219,0.00051648,7.371e-05,5.421e-05,12.42395319,13.085375,0.66142181
6,0.0041,0.00065142,0.0,1.96109459,2.1592225,7.03608658,7.7469358,1.20329066,1.0776147,0.25133276,0.2189686,0.00806436,0.00894488,0.04091226,0.03473148,0.00483868,0.0042235,0.00059905,0.00052156,7.452e-05,5.475e-05,10.50694487,11.251218,0.74427313
7,0.0057,2.649e-05,0.0,1.23888083,1.132646,5.87028698,6.9871322,1.19697554,1.0801461,0.2535987,0.2205736,0.00838117,0.00905148,0.04129221,0.03499837,0.00490226,0.00426677,0.00060634,0.00052664,7.538e-05,5.528e-05,8.6150259,9.4693964,0.8543705
8,0.008,3.5e-07,0.0,0.69130487,0.45763522,4.66321064,6.0403503,1.18494474,1.0805402,0.2559549,0.22214855,0.00878143,0.00915827,0.04169618,0.03526565,0.00497047,0.00431014,0.0006142,0.00053173,7.627e-05,5.582e-05,6.85155405,7.8499959,0.99844185
9,0.0112,0.0,0.0,0.33130644,0.12876963,3.51354738,4.9219777,1.16532188,1.0793668,0.25842544,0.22421716,0.00929793,0.00944114,0.04213168,0.03559818,0.00504484,0.00436518,0.00062281,0.00053835,7.722e-05,5.648e-05,5.32577562,6.4043306,1.07855498
10,0.0158,0.0,0.0,0.13382142,0.02199641,2.51062041,3.6920612,1.13589869,1.0770598,0.26104392,0.22742923,0.00997663,0.01013674,0.04260929,0.03607115,0.00512754,0.00444565,0.00063241,0.00054825,7.824e-05,5.737e-05,4.09980854,5.0698058,0.96999726
11,0.0221,0.0,0.0,0.04514069,0.00189317,1.70465913,2.4653483,1.09432232,1.0701203,0.26385876,0.23113378,0.01088204,0.01107606,0.04314398,0.03659373,0.00522161,0.00453553,0.00064338,0.00055919,7.936e-05,5.829e-05,3.16795126,3.8213183,0.65336704
12,0.031,0.0,0.0,0.01258771,6.366e-05,1.10071269,1.3994021,1.03850237,1.0564361,0.26693847,0.23541441,0.01210462,0.01229959,0.04375678,0.03718329,0.00533133,0.00463774,0.00065621,0.00057154,8.06e-05,5.925e-05,2.48067077,2.7460677,0.26539693
13,0.0435,0.0,0.0,0.00283652,5.9e-07,0.67589238,0.63355552,0.9677954,1.0341745,0.2705229,0.24077027,0.01377942,0.01400399,0.0445009,0.03790184,0.00546656,0.00476326,0.00067207,0.00058657,8.209e-05,6.033e-05,1.98154823,1.9658169,-0.01573133
14,0.0611,0.0,0.0,0.00048624,0.0,0.4013657,0.20984428,0.89692648,1.0132227,0.27926649,0.25124372,0.01635288,0.01657048,0.04618745,0.03944228,0.00576085,0.00502601,0.00070694,0.00061852,8.575e-05,6.304e-05,1.64713877,1.536031,-0.11110777
15,0.0856,0.0,0.0,5.043e-05,0.0,0.23768139,0.04486308,0.84519661,1.0070539,0.30141885,0.27448672,0.02061728,0.02088912,0.05038016,0.04315525,0.00647168,0.00565055,0.00079319,0.00069658,9.56e-05,7.046e-05,1.46270518,1.3968657,-0.06583948
16,0.1201,0.0,0.0,1.86e-06,0.0,0.1385099,0.00510062,0.79130058,0.98476694,0.33481159,0.30896246,0.02696585,0.02723239,0.05713677,0.04900905,0.00761909,0.00663959,0.00093761,0.000824,0.00011243,8.304e-05,1.35739568,1.3826181,0.02522242
17,0.1685,0.0,0.0,1e-08,0.0,0.07718013,0.0002349,0.70681806,0.90243957,0.37179394,0.34882469,0.03561825,0.03583194,0.06565986,0.05624697,0.00909161,0.00787896,0.00113024,0.00098811,0.00013498,9.932e-05,1.26742707,1.3525445,0.08511743
18,0.2364,0.0,0.0,0.0,0.0,0.03945883,3.01e-06,0.58994461,0.74335099,0.40969674,0.39271207,0.04738119,0.04736399,0.07627325,0.06510448,0.01097375,0.00942088,0.00138552,0.0011978,0.00016513,0.00012022,1.17527904,1.2592735,0.08399446
19,0.3315,0.0,0.0,0.0,0.0,0.01588173,1e-08,0.44809848,0.51701562,0.44389145,0.43803153,0.06334957,0.06287297,0.08943162,0.07598946,0.01339539,0.01135334,0.00172531,0.00146729,0.0002058,0.00014719,1.07597937,1.1068774,0.03089803
