,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,10.28740492,10.84241133,10.844253,4.5957322,4.49288284,4.4916095,5.6860735,4.56706664,4.5664916,0.59618678,0.49583948,0.495787,0.12010717,0.09872192,0.09871088,0.00351057,0.0041401,0.00413967,0.01956014,0.01545303,0.01545144,0.0022709,0.00186665,0.00186645,0.00028274,0.00023003,0.00023,3.522e-05,2.224e-05,2.224e-05,21.31116413,20.51863425,20.518562,-0.79252988,-0.79260213
1,0.0008,0.73280219,0.06245987,0.06248089,3.48996091,3.83453097,3.8334448,5.35543156,4.45748111,4.45692,0.59611482,0.49690165,0.49684908,0.12056831,0.09905757,0.09904649,0.00356066,0.00416318,0.00416275,0.0196342,0.01550749,0.0155059,0.0022832,0.00187545,0.00187525,0.00028412,0.00023107,0.00023105,3.538e-05,2.235e-05,2.234e-05,10.32067534,8.9722307,8.9705385,-1.34844464,-1.35013684
2,0.0011,0.30478273,0.00426177,0.00426574,2.99519586,3.45488367,3.4539055,5.14972429,4.38898528,4.3884329,0.59882538,0.4999388,0.49988594,0.12151674,0.09978238,0.09977123,0.00362886,0.00421226,0.00421183,0.01978412,0.01562328,0.01562168,0.00230779,0.00189415,0.00189396,0.00028688,0.00023329,0.00023327,3.573e-05,2.256e-05,2.256e-05,9.19608837,8.46983745,8.4682446,-0.72625092,-0.72784377
3,0.0015,0.10290404,0.00010673,0.00010737,2.47200672,2.97630697,2.9754646,4.87805214,4.29174262,4.2912025,0.60124993,0.50301872,0.50296553,0.12253867,0.10054898,0.10053774,0.00370837,0.00426431,0.00426387,0.01994669,0.01574608,0.01574447,0.00233448,0.00191399,0.00191379,0.00028989,0.00023565,0.00023563,3.61e-05,2.279e-05,2.279e-05,8.20306703,7.89390685,7.8924582,-0.30916018,-0.31060883
4,0.0021,0.02600937,6.7e-07,7.4e-07,1.95096003,2.40599501,2.4053143,4.52821008,4.15542102,4.1548979,0.6029291,0.5058753,0.50582177,0.12358352,0.10131427,0.10130294,0.00379941,0.0043165,0.00431605,0.02011432,0.01586921,0.01586758,0.00236208,0.00193388,0.00193368,0.00029301,0.00023801,0.00023799,3.648e-05,2.302e-05,2.302e-05,7.25829741,7.1909869,7.189716,-0.06731051,-0.06858141
5,0.0029,0.00440385,0.0,0.0,1.46052312,1.77866441,1.7781617,4.09334916,3.9680118,3.9675124,0.60354968,0.5084076,0.5083538,0.12465407,0.10207606,0.10206464,0.00390619,0.00436878,0.00436833,0.02028787,0.01599254,0.01599089,0.00239076,0.00195381,0.00195361,0.00029627,0.00024038,0.00024036,3.688e-05,2.325e-05,2.325e-05,6.31339785,6.37973863,6.378669,0.06634078,0.06527115
6,0.0041,0.00042673,0.0,0.0,1.02175792,1.15995511,1.159628,3.57687755,3.7159642,3.7154966,0.60269112,0.51047775,0.51042379,0.12575535,0.10283224,0.10282075,0.00403466,0.00442116,0.0044207,0.02046876,0.01611606,0.01611441,0.00242081,0.00197378,0.00197357,0.00029971,0.00024275,0.00024273,3.728e-05,2.348e-05,2.348e-05,5.35476989,5.51200653,5.511144,0.15723664,0.15637411
7,0.0057,1.901e-05,0.0,0.0,0.65232436,0.6347706,0.63459222,2.99805302,3.38607944,3.3856535,0.59979222,0.51189194,0.51183782,0.12689425,0.10357985,0.10356828,0.00419318,0.00447362,0.00447315,0.02065893,0.01623977,0.0162381,0.00245262,0.00199378,0.00199358,0.00030336,0.00024513,0.0002451,3.771e-05,2.371e-05,2.371e-05,4.40472864,4.65929784,4.6586254,0.2545692,0.25389676
8,0.008,2.9e-07,0.0,0.0,0.36895309,0.27202605,0.27195021,2.3939714,2.969392,2.9690185,0.59412287,0.51237932,0.51232513,0.12808047,0.10431481,0.10430315,0.00439345,0.00452617,0.0045257,0.02086115,0.01636366,0.01636198,0.00248675,0.00201382,0.00201362,0.00030729,0.00024751,0.00024749,3.816e-05,2.394e-05,2.394e-05,3.5132149,3.88128728,3.8807697,0.36807238,0.3675548
9,0.0112,0.0,0.0,0.0,0.17964702,0.08304034,0.08301764,1.81354243,2.46836772,2.4680573,0.58476508,0.51230114,0.51224687,0.12932693,0.1053031,0.10529131,0.00465189,0.00466664,0.00466616,0.0210792,0.01651877,0.01651707,0.00252396,0.00203948,0.00203927,0.00031159,0.00025062,0.00025059,3.863e-05,2.422e-05,2.422e-05,2.73588673,3.19251202,3.1921104,0.45662529,0.45622367
