hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.003107,0.003107,0.0031075,0.006316,0.006316,0.00631649,0.037109,0.037109,0.03710893,0.090181,0.090181,0.09018146,0.243375,0.243375,0.24337521,0.499138,0.499138,0.49913837,1.296133,1.296133,1.2961331,2.907144,2.907144,2.9071437,2.930231,2.930231,2.9302313,50.691764,50.691764,50.691763,58.7045,58.7045,58.704499,0.0,-1e-06
0.0006,0.000448,0.000141,0.00014135,0.005566,0.005613,0.00561392,0.03625,0.036427,0.03642724,0.090093,0.090107,0.09010786,0.243357,0.24336,0.24336055,0.499138,0.499137,0.49913775,1.29613,1.296131,1.2961308,2.907143,2.907144,2.9071434,2.930231,2.930231,2.9302313,50.691764,50.691764,50.691763,58.70012,58.70006,58.700057,-6e-05,-6.3e-05
0.0009,0.000284,4.1e-05,4.071e-05,0.005308,0.005352,0.00535267,0.035915,0.036156,0.03615594,0.090057,0.090078,0.09007811,0.24335,0.243354,0.24335463,0.499138,0.499137,0.4991375,1.296129,1.29613,1.2961299,2.907143,2.907144,2.9071433,2.930231,2.930231,2.9302313,50.691764,50.691764,50.691763,58.69932,58.69939,58.699387,7e-05,6.7e-05
0.0012,0.000161,7e-06,7.11e-06,0.004976,0.005004,0.00500437,0.035454,0.035778,0.03577808,0.090007,0.090036,0.0900361,0.24334,0.243346,0.24334625,0.499137,0.499137,0.49913715,1.296127,1.296128,1.2961286,2.907143,2.907143,2.9071431,2.930231,2.930231,2.9302312,50.691764,50.691764,50.691762,58.69834,58.69857,58.698575,0.00023,0.000235
0.0017,7.8e-05,1e-06,6.1e-07,0.004564,0.00455,0.00455065,0.034825,0.035254,0.03525352,0.089935,0.089976,0.08997673,0.243325,0.243334,0.24333439,0.499137,0.499136,0.49913664,1.296125,1.296127,1.2961268,2.907143,2.907143,2.9071429,2.930231,2.930231,2.9302312,50.691764,50.691764,50.691762,58.69713,58.69752,58.697516,0.00039,0.000386
0.0024,3.1e-05,0.0,2e-08,0.004069,0.003979,0.0039791,0.033976,0.034529,0.03452919,0.089835,0.089892,0.08989287,0.243305,0.243317,0.24331763,0.499136,0.499136,0.49913593,1.296122,1.296124,1.2961241,2.907142,2.907143,2.9071426,2.930231,2.930231,2.9302312,50.691764,50.691764,50.691762,58.69561,58.69612,58.696115,0.00051,0.000505
0.0034,9e-06,0.0,0.0,0.003499,0.003292,0.00329204,0.03285,0.033536,0.03353607,0.089693,0.089774,0.08977447,0.243276,0.243294,0.24329393,0.499135,0.499135,0.49913491,1.296117,1.29612,1.2961204,2.907142,2.907142,2.9071421,2.930231,2.930231,2.9302311,50.691764,50.691764,50.691762,58.69372,58.69429,58.694288,0.00057,0.000568
0.0048,2e-06,0.0,0.0,0.002871,0.002519,0.00251887,0.031383,0.032188,0.03218808,0.089494,0.089607,0.08960738,0.243235,0.24326,0.24326041,0.499134,0.499133,0.49913346,1.29611,1.296115,1.2961152,2.907141,2.907142,2.9071415,2.930231,2.930231,2.930231,50.691764,50.691764,50.691762,58.69137,58.69196,58.691958,0.00059,0.000588
0.0067,0.0,0.0,0.0,0.002216,0.001726,0.00172596,0.029525,0.030384,0.03038435,0.089213,0.089371,0.08937173,0.243177,0.243213,0.24321301,0.499132,0.499131,0.49913141,1.296101,1.296108,1.2961077,2.90714,2.907141,2.9071406,2.930231,2.930231,2.9302309,50.691764,50.691764,50.691762,58.6885,58.68907,58.689068,0.00057,0.000568
0.0094,0.0,0.0,0.0,0.001577,0.001012,0.00101204,0.02725,0.028018,0.02801844,0.08882,0.089039,0.08903974,0.243094,0.243146,0.24314601,0.499129,0.499128,0.49912849,1.296087,1.296097,1.2960972,2.907138,2.90714,2.9071393,2.930231,2.93023,2.9302308,50.691764,50.691764,50.691762,58.68509,58.68557,58.685574,0.00048,0.000484
