hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.000804,0.000804,0.00080422,0.001635,0.001635,0.00163471,0.009604,0.009604,0.00960379,0.023339,0.023339,0.02333896,0.062986,0.062986,0.0629855,0.129177,0.129177,0.12917701,0.335439,0.335439,0.33543926,0.752369,0.752369,0.75236878,0.758344,0.758344,0.75834386,13.119028,13.119028,13.119028,15.19272,15.19272,15.192724,0.0,4e-06
0.0006,4.3e-05,2e-06,2.05e-06,0.001295,0.001303,0.00130245,0.009183,0.009266,0.009266,0.023295,0.023302,0.02330229,0.062977,0.062979,0.0629782,0.129177,0.129177,0.1291767,0.335438,0.335438,0.33543811,0.752369,0.752369,0.75236864,0.758344,0.758344,0.75834384,13.119028,13.119028,13.119028,15.19115,15.19121,15.191206,6e-05,5.6e-05
0.0009,2.1e-05,0.0,1.8e-07,0.001191,0.001188,0.00118824,0.009024,0.009133,0.0091332,0.023277,0.023288,0.02328748,0.062973,0.062976,0.06297525,0.129177,0.129177,0.12917658,0.335437,0.335437,0.33543765,0.752369,0.752369,0.75236859,0.758344,0.758344,0.75834384,13.119028,13.119028,13.119028,15.19084,15.19094,15.190939,0.0001,9.9e-05
0.0012,9e-06,0.0,1e-08,0.001066,0.001044,0.00104392,0.008809,0.00895,0.00894983,0.023252,0.023267,0.0232666,0.062968,0.062972,0.06297108,0.129176,0.129176,0.1291764,0.335436,0.335437,0.335437,0.752368,0.752369,0.75236851,0.758344,0.758344,0.75834383,13.119028,13.119028,13.119028,15.19046,15.19059,15.190585,0.00013,0.000125
0.0017,3e-06,0.0,0.0,0.000921,0.00087,0.0008695,0.008523,0.008698,0.00869829,0.023217,0.023237,0.02323711,0.062961,0.062966,0.06296519,0.129176,0.129176,0.12917615,0.335435,0.335436,0.33543608,0.752368,0.752369,0.7523684,0.758344,0.758344,0.75834381,13.119028,13.119028,13.119028,15.18998,15.19012,15.190123,0.00014,0.000143
0.0024,1e-06,0.0,0.0,0.00076,0.000672,0.00067174,0.00815,0.008357,0.00835668,0.023167,0.023196,0.02319553,0.062951,0.062957,0.06295686,0.129176,0.129176,0.1291758,0.335434,0.335435,0.33543477,0.752368,0.752368,0.75236824,0.758344,0.758344,0.75834379,13.119028,13.119028,13.119028,15.18938,15.18953,15.189532,0.00015,0.000152
0.0034,0.0,0.0,0.0,0.000592,0.000467,0.00046666,0.007678,0.007899,0.00789911,0.023098,0.023137,0.0231369,0.062936,0.062946,0.06294509,0.129176,0.129175,0.12917529,0.335431,0.335433,0.33543293,0.752368,0.752368,0.75236801,0.758344,0.758344,0.75834377,13.119028,13.119028,13.119028,15.18865,15.1888,15.188796,0.00015,0.000146
0.0048,0.0,0.0,0.0,0.000427,0.000279,0.00027906,0.0071,0.007298,0.00729801,0.023,0.023054,0.02305432,0.062916,0.062929,0.06292845,0.129175,0.129175,0.12917458,0.335428,0.33543,0.33543032,0.752367,0.752368,0.75236769,0.758344,0.758344,0.75834373,13.119028,13.119028,13.119028,15.18778,15.1879,15.187904,0.00012,0.000124
0.0067,0.0,0.0,0.0,0.000279,0.000135,0.00013505,0.006419,0.00653,0.00652971,0.022864,0.022938,0.02293817,0.062887,0.062905,0.06290495,0.129174,0.129174,0.12917356,0.335423,0.335426,0.33542664,0.752367,0.752367,0.75236724,0.758344,0.758344,0.75834367,13.119028,13.119028,13.119028,15.18679,15.18685,15.186847,6e-05,5.7e-05
0.0094,0.0,0.0,0.0,0.000161,4.8e-05,4.849e-05,0.005657,0.005585,0.00558463,0.022675,0.022775,0.02277509,0.062846,0.062872,0.06287175,0.129173,0.129172,0.12917212,0.335417,0.335421,0.33542143,0.752366,0.752367,0.7523666,0.758344,0.758344,0.75834359,13.119028,13.119028,13.119028,15.18567,15.18561,15.185612,-6e-05,-5.8e-05
