,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,19.94442157,20.96657384,20.961013,9.1267597,8.94416928,8.9439363,11.34853339,9.12254896,9.1218307,1.19154399,0.99105453,0.99094576,0.24006669,0.19732271,0.19730161,0.00701688,0.00827516,0.00827431,0.03909651,0.03088735,0.03088413,0.00453904,0.00373103,0.00373064,0.00056513,0.00045977,0.00045973,7.04e-05,2.964e-05,2.964e-05,41.9026133,40.26505227,40.258406,-1.63756103,-1.6442073
1,0.0008,1.35100009,0.09897372,0.09894891,6.87646052,7.59062407,7.5904271,10.66672878,8.89589867,8.8951984,1.19125217,0.99313961,0.99303067,0.24098578,0.19799304,0.19797188,0.00711699,0.00832131,0.00832045,0.03924449,0.0309962,0.03099297,0.00456363,0.00374862,0.00374823,0.00056789,0.00046186,0.00046182,7.072e-05,2.978e-05,2.977e-05,20.37799106,17.82018686,17.81913,-2.5578042,-2.55886106
2,0.0011,0.55206477,0.00618943,0.00618795,5.87999533,6.81315339,6.8129773,10.24334052,8.75395033,8.7532614,1.19656755,0.99918338,0.99907385,0.24287966,0.19944137,0.19942007,0.00725329,0.0084194,0.00841854,0.03954412,0.03122765,0.0312244,0.00461277,0.00378601,0.00378561,0.0005734,0.0004663,0.00046626,7.143e-05,3.006e-05,3.006e-05,18.16690285,16.81584733,16.814845,-1.35105552,-1.35205785
3,0.0015,0.18187879,0.00013759,0.00013756,4.83285242,5.83806725,5.8379165,9.68554897,8.55279102,8.5521179,1.20127018,1.00530133,1.0051911,0.24491966,0.20097308,0.20095161,0.00741222,0.00852344,0.00852256,0.03986902,0.03147309,0.03146982,0.00466613,0.00382566,0.00382526,0.00057942,0.00047102,0.00047097,7.216e-05,3.037e-05,3.036e-05,16.19906897,15.64159383,15.640634,-0.55747514,-0.55843497
4,0.0021,0.0444394,7.4e-07,7.4e-07,3.79611447,4.68401834,4.6838974,8.9695507,8.27133174,8.2706806,1.20442632,1.01095685,1.0108459,0.2470044,0.20250192,0.20248027,0.00759419,0.00862776,0.00862687,0.04020402,0.03171919,0.03171588,0.0047213,0.00386542,0.00386502,0.00058567,0.00047574,0.00047569,7.291e-05,3.067e-05,3.067e-05,14.31471336,14.21352837,14.212619,-0.10118499,-0.10209436
5,0.0029,0.0071787,0.0,0.0,2.82523151,3.42633601,3.4262479,8.08321203,7.88518419,7.8845635,1.20538905,1.01594157,1.0158301,0.24913895,0.20402341,0.2040016,0.00780759,0.00873226,0.00873136,0.04055083,0.03196569,0.03196236,0.00477862,0.00390525,0.00390485,0.00059219,0.00048047,0.00048042,7.371e-05,3.098e-05,3.098e-05,12.42395319,12.57659983,12.575753,0.15264664,0.15179981
6,0.0041,0.00065142,0.0,0.0,1.96109459,2.20165321,2.2015972,7.03608658,7.36711461,7.3665349,1.20329066,1.01997068,1.0198589,0.25133276,0.20553323,0.20551128,0.00806436,0.00883694,0.00883603,0.04091226,0.03221258,0.03220923,0.00483868,0.00394516,0.00394475,0.00059905,0.00048521,0.00048516,7.452e-05,3.129e-05,3.128e-05,10.50694487,10.8397829,10.839009,0.33283803,0.33206413
7,0.0057,2.649e-05,0.0,0.0,1.23888083,1.18017216,1.1801424,5.87028698,6.69116209,6.6906357,1.19697554,1.02264386,1.0225317,0.2535987,0.20702522,0.2070031,0.00838117,0.00894179,0.00894087,0.04129221,0.03245983,0.03245646,0.00490226,0.00398514,0.00398473,0.00060634,0.00048996,0.00048991,7.538e-05,3.159e-05,3.159e-05,8.6150259,9.14691165,9.1462165,0.53188575,0.5311906
8,0.008,3.5e-07,0.0,0.0,0.69130487,0.49141447,0.49140231,4.66321064,5.84088284,5.8404234,1.18494474,1.02340201,1.0232898,0.2559549,0.20849092,0.20846864,0.00878143,0.00904683,0.0090459,0.04169618,0.03270745,0.03270405,0.00497047,0.0040252,0.00402479,0.0006142,0.00049472,0.00049467,7.627e-05,3.19e-05,3.19e-05,6.85155405,7.61049633,7.6098854,0.75894228,0.75833135
9,0.0112,0.0,0.0,0.0,0.33130644,0.14415789,0.14415442,3.51354738,4.82422265,4.8238431,1.16532188,1.02294134,1.022829,0.25842544,0.21046154,0.21043902,0.00929793,0.0093276,0.00932664,0.04213168,0.03301746,0.03301401,0.00504484,0.00407649,0.00407607,0.00062281,0.00050093,0.00050088,7.722e-05,3.228e-05,3.227e-05,5.32577562,6.24873818,6.2482154,0.92296256,0.92243978
10,0.0158,0.0,0.0,0.0,0.13382142,0.02607884,0.02607825,2.51062041,3.68762425,3.6873345,1.13589869,1.02189997,1.0217879,0.26104392,0.21360653,0.21358371,0.00997663,0.01002045,0.01001942,0.04260929,0.03346314,0.03345965,0.00512754,0.00415239,0.00415196,0.00063241,0.0005103,0.00051024,7.824e-05,3.279e-05,3.278e-05,4.09980854,4.99738865,4.9969584,0.89758011,0.89714986
11,0.0221,0.0,0.0,0.0,0.04514069,0.00242834,0.00242829,1.70465913,2.52769389,2.5274954,1.09432232,1.01695717,1.0168457,0.26385876,0.21729413,0.21727092,0.01088204,0.01095728,0.01095616,0.04314398,0.03396133,0.0339578,0.00522161,0.00423801,0.00423757,0.00064338,0.00052075,0.00052069,7.936e-05,3.331e-05,3.331e-05,3.16795126,3.81408422,3.8137458,0.64613296,0.64579454
12,0.031,0.0,0.0,0.0,0.01258771,9.099e-05,9.098e-05,1.10071269,1.48768637,1.4875696,1.03850237,1.0061914,1.006081,0.26693847,0.22161011,0.22158642,0.01210462,0.01217845,0.0121772,0.04375678,0.03452873,0.03452513,0.00533133,0.00433619,0.00433574,0.00065621,0.00053265,0.00053259,8.06e-05,3.386e-05,3.386e-05,2.48067077,2.76718875,2.7669325,0.28651798,0.28626173
13,0.0435,0.0,0.0,0.0,0.00283652,9.7e-07,9.7e-07,0.67589238,0.70797953,0.707924,0.9677954,0.98804612,0.98793768,0.2705229,0.22706985,0.22704557,0.01377942,0.01388051,0.01387908,0.0445009,0.03522761,0.03522393,0.00546656,0.00445786,0.00445739,0.00067207,0.00054726,0.0005472,8.209e-05,3.448e-05,3.448e-05,1.98154823,1.97724419,1.9770503,-0.00430404,-0.00449793
14,0.0611,0.0,0.0,0.0,0.00048624,0.0,0.0,0.4013657,0.25113454,0.25111491,0.89692648,0.97202844,0.97192178,0.27926649,0.23742304,0.23739765,0.01635288,0.01643887,0.01643718,0.04618745,0.03669544,0.03669161,0.00576085,0.00470792,0.00470743,0.00070694,0.00057782,0.00057776,8.575e-05,3.603e-05,3.602e-05,1.64713877,1.5190421,1.5188844,-0.12809667,-0.12825437
15,0.0856,0.0,0.0,0.0,5.043e-05,0.0,0.0,0.23768139,0.05895355,0.05894897,0.84519661,0.97132774,0.97122108,0.30141885,0.25979313,0.25976532,0.02061728,0.02073089,0.02072875,0.05038016,0.04017091,0.04016672,0.00647168,0.00529298,0.00529243,0.00079319,0.00065133,0.00065127,9.56e-05,4.027e-05,4.027e-05,1.46270518,1.3569608,1.3568148,-0.10574438,-0.10589038
