,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,35.99992454,40.09594746,40.098222,10.24928798,9.60097505,9.6007369,11.64086858,9.24879402,9.247821,1.21310013,1.00812741,1.0080287,0.24463915,0.20088653,0.20086598,0.00725927,0.00851428,0.00851341,0.03980886,0.03145159,0.03144834,0.00465499,0.00382215,0.00382176,0.00057815,0.0004706,0.00047055,7.201e-05,3.034e-05,3.034e-05,59.40019366,60.19901943,60.199959,0.79882577,0.79976534
1,0.0008,5.53740103,3.37738577,3.3775652,8.87561283,8.95487111,8.9546477,11.31997474,9.17106602,9.1701011,1.23201332,1.02466162,1.0245612,0.24951127,0.20453128,0.20451035,0.00757153,0.00875976,0.00875886,0.0405768,0.03203081,0.0320275,0.00478027,0.0039157,0.0039153,0.00059235,0.00048171,0.00048166,7.383e-05,3.106e-05,3.106e-05,27.26810797,22.77773484,22.7766,-4.49037313,-4.49150797
2,0.0011,2.96881578,0.80414528,0.80418758,8.28335691,8.69098856,8.6907712,11.16520101,9.17379234,9.1728271,1.27425696,1.05910864,1.0590049,0.25969552,0.21196879,0.21194711,0.00816569,0.00925994,0.00925899,0.04220266,0.03321106,0.03320763,0.0050445,0.00410632,0.00410589,0.00062276,0.00050436,0.0005043,7.766e-05,3.253e-05,3.252e-05,24.00743944,19.98711781,19.985847,-4.02032163,-4.02159244
3,0.0015,1.40893166,0.11071228,0.11071807,7.48258848,8.21399599,8.2137896,10.93261877,9.14317288,9.1422108,1.31852822,1.09418008,1.0940729,0.27069203,0.21958593,0.21956347,0.00883409,0.00977242,0.00977142,0.04398689,0.03442033,0.03441677,0.00533405,0.00430162,0.00430118,0.0006567,0.00052756,0.0005275,8.188e-05,3.403e-05,3.402e-05,21.47225276,18.83070311,18.829406,-2.64154965,-2.64284676
4,0.0021,0.56013283,0.00722066,0.00722104,6.49465701,7.46992779,7.4697387,10.59631837,9.06418249,9.0632285,1.36405997,1.12932378,1.1292131,0.28242356,0.22728765,0.22726438,0.00958114,0.01029093,0.01028988,0.0459227,0.03564382,0.03564014,0.00564804,0.00449923,0.00449876,0.00069422,0.00055103,0.00055098,8.658e-05,3.555e-05,3.554e-05,19.35952444,17.94896293,17.947681,-1.41056151,-1.41184344
5,0.0029,0.1727839,0.00016994,0.00016995,5.38171732,6.42897077,6.4288062,10.12804073,8.91819588,8.9172568,1.41046727,1.16436968,1.1642554,0.29494058,0.23507132,0.23504724,0.01042094,0.01081548,0.01081436,0.04802438,0.03688152,0.03687771,0.00598912,0.00469914,0.00469865,0.00073573,0.00057478,0.00057472,9.176e-05,3.708e-05,3.708e-05,17.45321173,16.79978559,16.798538,-0.65342614,-0.65467373
6,0.0041,0.0372039,9.8e-07,9.8e-07,4.22682697,5.11763852,5.1175069,9.49799805,8.68933541,8.6884206,1.45693638,1.20508282,1.2049647,0.30825605,0.24506604,0.24504096,0.01137006,0.01165403,0.01165284,0.0503011,0.03864769,0.0386437,0.00635946,0.00499359,0.00499307,0.00078161,0.00061335,0.00061328,9.749e-05,3.982e-05,3.982e-05,15.59613106,15.31307226,15.311877,-0.2830588,-0.28425406
7,0.0057,0.00483026,0.0,0.0,3.10907083,3.63942924,3.6393344,8.68310486,8.34306382,8.342185,1.5022805,1.24873499,1.2486124,0.32237721,0.25644976,0.25642347,0.01244989,0.01268883,0.01268752,0.05276245,0.04074574,0.04074152,0.00676145,0.00534733,0.00534678,0.00083228,0.00066117,0.0006611,0.00010383,4.332e-05,4.331e-05,13.69457356,13.5471642,13.546035,-0.14740936,-0.14853856
8,0.008,0.00030843,0.0,0.0,2.09438713,2.20131706,2.2012594,7.68084164,7.83914771,7.8383221,1.54547549,1.29110587,1.2909794,0.33745201,0.26793477,0.26790736,0.01369433,0.01373544,0.01373403,0.05544289,0.04286769,0.04286327,0.00720093,0.00570513,0.00570454,0.00088863,0.00070954,0.00070947,0.00011086,4.685e-05,4.685e-05,11.73580235,11.66257006,11.661526,-0.07323229,-0.07427635
9,0.0112,7.33e-06,0.0,0.0,1.24611034,1.05763489,1.0576068,6.51491912,7.14487563,7.1441224,1.58442622,1.3324694,1.3323386,0.35355109,0.27992404,0.27989535,0.01514489,0.01494841,0.01494688,0.05836722,0.04504212,0.04503745,0.00768291,0.00607227,0.00607164,0.00095145,0.00075906,0.00075898,0.00011872,5.042e-05,5.042e-05,9.78127929,9.88177625,9.8808286,0.10049696,0.09954931
10,0.0158,4e-08,0.0,0.0,0.62476096,0.36679347,0.36678372,5.24841408,6.2383711,6.2377136,1.61609989,1.37376531,1.3736308,0.37074382,0.29328048,0.2932505,0.01685727,0.01659533,0.01659363,0.06156428,0.04739252,0.04738763,0.00821334,0.00647215,0.00647148,0.00102167,0.00081322,0.00081314,0.0001275,5.426e-05,5.426e-05,7.94780286,8.34353783,8.3426988,0.39573497,0.39489594
11,0.0221,0.0,0.0,0.0,0.25051083,0.08042407,0.0804219,3.98169887,5.12373526,5.1231946,1.63626061,1.41242972,1.4122911,0.38909553,0.30779899,0.30776745,0.01890713,0.01857417,0.01857227,0.0650687,0.0499419,0.04993673,0.00879957,0.00690893,0.00690822,0.00110045,0.00087294,0.00087285,0.00013735,5.849e-05,5.849e-05,6.35157905,7.00074447,7.0000236,0.64916542,0.64844455
12,0.031,0.0,0.0,0.0,0.07633982,0.00929234,0.00929209,2.82908916,3.85869493,3.8582875,1.63896551,1.44563216,1.4454905,0.40857316,0.32354291,0.32350982,0.02139148,0.02093078,0.02092864,0.06890634,0.05271068,0.05270524,0.00944799,0.00738683,0.00738607,0.00118882,0.00093895,0.00093885,0.0001484,6.317e-05,6.316e-05,5.0540507,5.71919274,5.7186019,0.66514204,0.6645512
13,0.0435,0.0,0.0,0.0,0.01700741,0.00044015,0.00044014,1.87613914,2.56812985,2.5678583,1.61020029,1.46479155,1.4646479,0.42695081,0.33945734,0.33942258,0.02427528,0.02371422,0.02371179,0.07268009,0.05546318,0.05545744,0.01009442,0.00786625,0.00786543,0.00127792,0.00100564,0.00100553,0.00015946,6.78e-05,6.779e-05,4.03878481,4.46093597,4.4604769,0.42215116,0.42169209
14,0.0611,0.0,0.0,0.0,0.0027602,6.07e-06,6.07e-06,1.16035872,1.43616682,1.4360149,1.53836827,1.4604993,1.4603561,0.44212299,0.35441705,0.35438079,0.0275628,0.02690586,0.02690311,0.07599355,0.05799047,0.05798448,0.01067332,0.00831235,0.00831149,0.0013581,0.0010682,0.00106809,0.0001692,7.201e-05,7.2e-05,3.25936715,3.34543814,3.345097,0.08607099,0.08572985
15,0.0856,0.0,0.0,0.0,0.00031821,2e-08,2e-08,0.6709067,0.63102601,0.63095917,1.42726612,1.4324529,1.4323121,0.45598297,0.37031967,0.3702817,0.03164234,0.03095664,0.03095346,0.07925984,0.06061006,0.06060379,0.01125603,0.00878041,0.0087795,0.00143895,0.00113406,0.00113394,0.00017877,7.625e-05,7.624e-05,2.67824991,2.53535602,2.5350999,-0.14289389,-0.14315001
16,0.1201,0.0,0.0,0.0,2.084e-05,0.0,0.0,0.36445322,0.19819424,0.19817324,1.2827456,1.37598578,1.3758506,0.4702169,0.38847249,0.38843271,0.0370087,0.03621428,0.03621056,0.08291287,0.06357649,0.06356992,0.01192079,0.00931304,0.00931207,0.00153141,0.00120866,0.00120853,0.00018948,8.078e-05,8.077e-05,2.25099979,2.07304575,2.0728384,-0.17795404,-0.17816139
17,0.1685,0.0,0.0,0.0,5e-07,0.0,0.0,0.19091964,0.03898835,0.03898422,1.11158654,1.28109379,1.2809678,0.48482387,0.40946932,0.40942733,0.04416962,0.0432363,0.04323185,0.0870945,0.06699913,0.0669922,0.0126982,0.00992794,0.00992691,0.00163965,0.00129362,0.00129349,0.00020173,8.546e-05,8.545e-05,1.93313425,1.85109391,1.8509092,-0.08204034,-0.08222505
18,0.2364,0.0,0.0,0.0,0.0,0.0,0.0,0.10163725,0.00400226,0.00400183,0.92660399,1.13673198,1.1366202,0.49963303,0.43342503,0.43338067,0.05382365,0.05261974,0.05261435,0.09198005,0.07102635,0.07101901,0.01362771,0.01065143,0.01065032,0.00176909,0.00139216,0.00139202,0.00021601,9.028e-05,9.027e-05,1.68929077,1.70993924,1.7097687,0.02064847,0.02047793
19,0.3315,0.0,0.0,0.0,0.0,0.0,0.0,0.0542317,0.00016648,0.00016646,0.74203072,0.93703608,0.93694388,0.51422104,0.46030196,0.46025487,0.06692639,0.06531554,0.06530884,0.0978008,0.07593452,0.07592668,0.014763,0.01153476,0.01153357,0.00192711,0.00151118,0.00151103,0.00023297,9.541e-05,9.54e-05,1.49213372,1.55189592,1.5517407,0.0597622,0.05960698
20,0.4651,0.0,0.0,0.0,0.0,0.0,0.0,0.02370909,1.96e-06,1.96e-06,0.56475034,0.68974674,0.68967879,0.52652427,0.48953393,0.48948387,0.08464473,0.08281707,0.08280858,0.10456063,0.08231985,0.08231136,0.0161224,0.01270152,0.01270021,0.00211547,0.00167037,0.0016702,0.00025235,0.00010226,0.00010225,1.32267927,1.35889371,1.3587572,0.03621444,0.03607793
21,0.6524,0.0,0.0,0.0,0.0,0.0,0.0,0.00597511,0.0,0.0,0.39033375,0.41959259,0.41955111,0.51987505,0.50541084,0.50535902,0.10649774,0.10487467,0.1048639,0.10790311,0.08781912,0.08781003,0.01692541,0.01374882,0.01374739,0.00221304,0.0018087,0.00180852,0.00025683,0.000106,0.00010599,1.14998004,1.13336074,1.133246,-0.0166193,-0.01673404
22,0.9151,0.0,0.0,0.0,0.0,0.0,0.0,0.00052667,0.0,0.0,0.23555248,0.19649104,0.19647159,0.49466015,0.49991224,0.49986099,0.13394721,0.13272973,0.1327161,0.10738483,0.0912235,0.09121407,0.01707175,0.0144391,0.0144376,0.0022001,0.00187766,0.00187746,0.00024278,0.00010164,0.00010163,0.99158596,0.93677491,0.93667945,-0.05481105,-0.05490651
23,1.2836,0.0,0.0,0.0,0.0,0.0,0.0,6.96e-06,0.0,0.0,0.11855418,0.06632471,0.06631813,0.46269626,0.48108935,0.48104008,0.17145655,0.16926986,0.1692525,0.10932131,0.09634118,0.09633124,0.01770828,0.01548154,0.01547994,0.00224502,0.00197894,0.00197874,0.00023189,9.721e-05,9.72e-05,0.88222045,0.83058278,0.83049782,-0.05163767,-0.05172263
24,1.8006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04477573,0.01406126,0.01405986,0.41097519,0.44736397,0.44731804,0.22097681,0.21888326,0.21886079,0.11675913,0.10597789,0.10596693,0.0194096,0.01743601,0.0174342,0.00242378,0.00218468,0.00218446,0.00023225,9.712e-05,9.711e-05,0.8155525,0.8060042,0.8059214,-0.0095483,-0.0096311
25,2.5257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116863,0.00145559,0.00145545,0.32575839,0.38353817,0.38349878,0.27965535,0.27773633,0.27770781,0.13090178,0.12015842,0.120146,0.02246249,0.02038333,0.02038122,0.002765,0.00249709,0.00249683,0.00024472,0.00010157,0.00010156,0.77347403,0.80587051,0.80578766,0.03239648,0.03231363
26,3.5428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250153,4.946e-05,4.946e-05,0.21878359,0.28511814,0.28508883,0.33522926,0.34347971,0.34344444,0.15304163,0.14091066,0.1408961,0.02728255,0.02486506,0.02486248,0.00331235,0.00296744,0.00296713,0.00027116,0.00011223,0.00011222,0.74042207,0.79750271,0.79742065,0.05708064,0.05699858
27,4.9695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00053469,2.7e-07,2.7e-07,0.11942893,0.15983931,0.15982286,0.36174949,0.39057828,0.39053816,0.18442385,0.16796139,0.16794403,0.03456466,0.03107045,0.03106723,0.00415029,0.00361762,0.00361725,0.00031741,0.00013037,0.00013036,0.70516931,0.7531977,0.75312015,0.04802839,0.04795084
28,6.9709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010718,0.0,0.0,0.05390033,0.05383945,0.0538339,0.33110921,0.38730789,0.38726809,0.22356286,0.20379079,0.20376973,0.04516525,0.04005894,0.04005479,0.00539274,0.00457111,0.00457064,0.00039118,0.00016076,0.00016074,0.65962874,0.68972894,0.68965788,0.0301002,0.03002914
29,9.7781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.924e-05,0.0,0.0,0.02407515,0.00712547,0.00712474,0.24439958,0.28901432,0.28898459,0.26175099,0.24284708,0.24282196,0.05993195,0.05187501,0.05186963,0.00716038,0.00583958,0.00583897,0.0004983,0.00020352,0.0002035,0.59783559,0.59690499,0.5968434,-0.0009306,-0.00099219
30,13.7158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19e-06,0.0,0.0,0.01164572,0.00019184,0.00019182,0.13734103,0.13100456,0.13099108,0.28030977,0.27882286,0.27879402,0.07974971,0.06770731,0.06770029,0.00962265,0.00757937,0.00757859,0.00064775,0.00026465,0.00026462,0.51931982,0.4855706,0.48552043,-0.03374922,-0.03379939
31,19.2394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4e-07,0.0,0.0,0.00537246,2.9e-07,2.9e-07,0.05201991,0.024326,0.02432349,0.25750171,0.29157444,0.29154428,0.10508723,0.08746514,0.08745607,0.01303155,0.00987129,0.00987027,0.00085575,0.00034783,0.00034779,0.43386916,0.41358498,0.41354219,-0.02028418,-0.02032697
32,26.9872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-07,0.0,0.0,0.00228272,0.0,0.0,0.01157875,0.00100672,0.00100661,0.19486712,0.25863274,0.25860599,0.13475924,0.11191982,0.11190822,0.0177716,0.01304732,0.01304597,0.00115404,0.00046845,0.0004684,0.36241358,0.38507504,0.38503519,0.02266146,0.02262161
33,37.8553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0.00092429,0.0,0.0,0.00167502,2.99e-06,2.99e-06,0.12221963,0.1670349,0.16701762,0.16315862,0.13881278,0.1387984,0.02423812,0.01730965,0.01730786,0.00158201,0.00063813,0.00063806,0.31379771,0.32379845,0.32376493,0.01000074,0.00996722
34,53.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037063,0.0,0.0,0.00022944,0.0,0.0,0.06215596,0.06131322,0.06130688,0.17809494,0.16380376,0.16378678,0.03255613,0.02305592,0.02305353,0.00217343,0.00088259,0.0008825,0.27558053,0.24905549,0.2490297,-0.02652504,-0.02655083
35,73.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015599,0.0,0.0,4.005e-05,0.0,0.0,0.02481524,0.00872437,0.00872347,0.16671043,0.17545194,0.17543376,0.04205488,0.03026871,0.03026558,0.00295247,0.00121149,0.00121137,0.23672906,0.21565652,0.21563418,-0.02107254,-0.02109488
36,97.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.471e-05,0.0,0.0,1.099e-05,0.0,0.0,0.00975038,0.00036778,0.00036774,0.13522414,0.1634983,0.16348135,0.0499959,0.03742176,0.03741789,0.00379952,0.00156672,0.00156656,0.19885563,0.20285457,0.20283354,0.00399894,0.00397791
37,121.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.094e-05,0.0,0.0,4.37e-06,0.0,0.0,0.00497064,6.49e-06,6.49e-06,0.10168379,0.13527388,0.13525986,0.05460923,0.04348826,0.04348376,0.00458565,0.00190405,0.00190386,0.16589461,0.18067269,0.18065398,0.01477808,0.01475937
38,145.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43e-05,0.0,0.0,2.12e-06,0.0,0.0,0.00311351,5e-08,5e-08,0.07324035,0.10115983,0.10114934,0.05623029,0.04836767,0.04836266,0.00531261,0.00222046,0.00222023,0.13792318,0.151748,0.15173228,0.01382482,0.0138091
39,168.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541e-05,0.0,0.0,1.18e-06,0.0,0.0,0.00218098,0.0,0.0,0.05132066,0.06903964,0.06903248,0.05550818,0.05198492,0.05197954,0.00599273,0.00252242,0.00252216,0.11501914,0.12354697,0.12353418,0.00852783,0.00851504
40,192.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032e-05,0.0,0.0,7.1e-07,0.0,0.0,0.00161989,0.0,0.0,0.03533312,0.04341336,0.04340886,0.05310643,0.05443225,0.05442662,0.0066273,0.00281484,0.00281455,0.09669777,0.10066044,0.10065003,0.00396267,0.00395226
41,216.5375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23e-06,0.0,0.0,4.6e-07,0.0,0.0,0.00124895,0.0,0.0,0.02413767,0.02539258,0.02538995,0.04965744,0.05607758,0.05607178,0.00721684,0.00312132,0.003121,0.0822686,0.08459149,0.08458273,0.00232289,0.00231413
42,240.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26e-06,0.0,0.0,3.1e-07,0.0,0.0,0.00099092,0.0,0.0,0.01653999,0.01374466,0.01374323,0.04568879,0.05650448,0.05649864,0.00776177,0.00341387,0.00341352,0.07098705,0.07366301,0.07365539,0.00267596,0.00266834
43,264.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95e-06,0.0,0.0,2.2e-07,0.0,0.0,0.00080532,0.0,0.0,0.01149988,0.00694537,0.00694465,0.04159261,0.05608926,0.05608346,0.00826298,0.00370299,0.0037026,0.06216496,0.06673762,0.06673071,0.00457266,0.00456575
44,287.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06e-06,0.0,0.0,1.6e-07,0.0,0.0,0.0006697,0.0,0.0,0.00821198,0.00327854,0.0032782,0.03766947,0.05490433,0.05489865,0.00873238,0.00399162,0.00399121,0.05528675,0.06217449,0.06216805,0.00688774,0.0068813
45,311.6375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48e-06,0.0,0.0,1.3e-07,0.0,0.0,0.00057633,0.0,0.0,0.00613045,0.00144447,0.00144432,0.03431545,0.05299651,0.05299102,0.00924517,0.00429681,0.00429636,0.05027001,0.05873778,0.0587317,0.00846777,0.00846169
46,335.4125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12e-06,0.0,0.0,1e-07,0.0,0.0,0.00051444,0.0,0.0,0.00482519,0.00060041,0.00060035,0.03161429,0.05102463,0.05101936,0.00984713,0.00467104,0.00467056,0.04680328,0.05629608,0.05629026,0.0094928,0.00948698
47,359.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85e-06,0.0,0.0,9e-08,0.0,0.0,0.00046723,0.0,0.0,0.00395621,0.00023345,0.00023343,0.0292273,0.04852767,0.04852265,0.01047356,0.00507752,0.00507699,0.04412624,0.05383864,0.05383308,0.0097124,0.00970684
48,382.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-06,0.0,0.0,7e-08,0.0,0.0,0.00042634,0.0,0.0,0.0033403,8.499e-05,8.498e-05,0.02696168,0.04545907,0.04545436,0.01106974,0.00548836,0.00548779,0.04179974,0.05103242,0.05102714,0.00923268,0.0092274
