ig,ip,t1,t2,t3,t4,t5
1,1,1.4457548999999997e-16,1.6597633999999998e-16,1.8344122999999998e-16,1.9607551e-16,2.0371531000000002e-16
1,2,1.4568502000000002e-16,1.6691352e-16,1.8416256000000003e-16,1.9655703999999997e-16,2.0396781000000001e-16
1,3,1.4677671000000002e-16,1.6784019000000002e-16,1.8486607e-16,1.9701549e-16,2.0419798999999999e-16
1,4,1.4786736999999998e-16,1.6876148999999998e-16,1.8556155e-16,1.9746504000000001e-16,2.0441987e-16
1,5,1.4895786e-16,1.6967807e-16,1.8624947000000002e-16,1.9790605e-16,2.0463364e-16
1,6,1.5005814e-16,1.7059816000000004e-16,1.8693596000000002e-16,1.983424e-16,2.0484119e-16
1,7,1.5111666000000001e-16,1.7147862e-16,1.8758893e-16,1.987539e-16,2.0503312e-16
1,8,1.5242433000000003e-16,1.725609e-16,1.8838654e-16,1.9925166e-16,2.0525986e-16
1,9,1.5399489e-16,1.7385262e-16,1.8933106e-16,1.9983389e-16,2.0551697e-16
1,10,1.5618158000000002e-16,1.7563705000000002e-16,1.9062243000000004e-16,2.006165e-16,2.0584709000000001e-16
1,11,1.5855758999999997e-16,1.7755543000000003e-16,1.9199218999999997e-16,2.0142851999999997e-16,2.0616868000000005e-16
1,12,1.6102379e-16,1.795233e-16,1.9337634999999997e-16,2.0222854999999997e-16,2.0646110000000003e-16
1,13,1.6351937999999998e-16,1.8148974e-16,1.9473721000000002e-16,2.0299296999999998e-16,2.0671343999999996e-16
1,14,1.660435e-16,1.8345253000000002e-16,1.9607206000000002e-16,2.0371906e-16,2.0687573000000003e-16
1,15,1.6855426e-16,1.8536955000000002e-16,1.9734063000000003e-16,2.043751e-16,2.0697475e-16
1,16,1.7104878e-16,1.8723268e-16,1.9853052e-16,2.0494841e-16,2.0702407e-16
1,17,1.7354026999999998e-16,1.8906348000000002e-16,1.9967163e-16,2.0546755999999998e-16,2.0702051e-16
1,18,1.7574868e-16,1.9065848e-16,2.0064058999999998e-16,2.0588050999999999e-16,2.0697142e-16
1,19,1.7743518e-16,1.9185522000000002e-16,2.0134997000000001e-16,2.0616333999999997e-16,2.069038e-16
1,20,1.7756731999999998e-16,1.9193221e-16,2.0139165e-16,2.0617981e-16,2.069039e-16
1,21,1.7704468999999998e-16,1.9153536e-16,2.0115055000000002e-16,2.0608363e-16,2.0693332e-16
1,22,1.7585367e-16,1.9064505e-16,2.0060620000000001e-16,2.0585650000000002e-16,2.0697717e-16
1,23,1.744518e-16,1.8957901000000002e-16,1.9993610000000001e-16,2.0555418999999997e-16,2.0699158e-16
1,24,1.7300249000000002e-16,1.884454e-16,1.9919218000000002e-16,2.0518146000000002e-16,2.0694983000000002e-16
1,25,1.7144359e-16,1.8716793e-16,1.9828543e-16,2.0465386000000003e-16,2.068177e-16
1,26,1.6993383e-16,1.8588169999999997e-16,1.9731957999999997e-16,2.0402711e-16,2.0647797e-16
1,27,1.6854386000000002e-16,1.8463017e-16,1.9630246e-16,2.0327237e-16,2.0594801999999999e-16
1,28,1.6712599999999997e-16,1.8327906999999999e-16,1.9511116999999997e-16,2.0227647000000002e-16,2.0512283999999997e-16
1,29,1.6571074e-16,1.8181668000000002e-16,1.9368450000000003e-16,2.0093022e-16,2.0385461999999998e-16
1,30,1.637645e-16,1.7976646e-16,1.9162259999999997e-16,1.9891765e-16,2.0190584e-16
1,31,1.6098941999999999e-16,1.7681186000000002e-16,1.8860534e-16,1.9592936e-16,1.9898837999999998e-16
1,32,1.5704341999999998e-16,1.7260058e-16,1.8425761000000002e-16,1.9158641e-16,1.9474276e-16
