hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.001554,0.001554,0.00155375,0.003158,0.003158,0.00315825,0.018554,0.018554,0.01855446,0.045091,0.045091,0.04509073,0.121688,0.121688,0.1216876,0.249569,0.249569,0.24956918,0.648067,0.648067,0.64806657,1.453572,1.453572,1.4535718,1.465116,1.465116,1.4651157,25.345882,25.345882,25.345881,29.35225,29.35225,29.352249,0.0,-1e-06
0.0006,0.000224,7.1e-05,7.054e-05,0.002784,0.002808,0.00280783,0.018125,0.018213,0.01821375,0.045047,0.045054,0.04505404,0.121679,0.121681,0.1216803,0.249569,0.249569,0.24956888,0.648065,0.648066,0.64806543,1.453572,1.453572,1.4535717,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.35006,29.35003,29.350029,-3e-05,-3.1e-05
0.0009,0.000142,2e-05,2.03e-05,0.002655,0.002677,0.00267756,0.017957,0.018078,0.01807817,0.045029,0.045039,0.04503922,0.121675,0.121678,0.12167735,0.249569,0.249569,0.24956875,0.648065,0.648065,0.64806497,1.453572,1.453572,1.4535716,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.34966,29.3497,29.349695,4e-05,3.5e-05
0.0012,8.1e-05,4e-06,3.54e-06,0.00249,0.002504,0.00250398,0.017727,0.017889,0.01788939,0.045004,0.045019,0.04501831,0.12167,0.121674,0.12167318,0.249569,0.249568,0.24956858,0.648064,0.648065,0.64806431,1.453572,1.453572,1.4535716,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.34917,29.34929,29.34929,0.00012,0.00012
0.0017,3.9e-05,0.0,3.1e-07,0.002285,0.002278,0.0022779,0.017413,0.017627,0.01762735,0.044968,0.044989,0.04498877,0.121663,0.121668,0.12166729,0.249568,0.249568,0.24956833,0.648063,0.648064,0.64806339,1.453571,1.453572,1.4535714,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.34857,29.34876,29.348762,0.00019,0.000192
0.0024,1.6e-05,0.0,1e-08,0.002038,0.001993,0.0019931,0.016989,0.017265,0.01726557,0.044918,0.044947,0.04494708,0.121653,0.121659,0.12165896,0.249568,0.249568,0.24956797,0.648061,0.648063,0.64806209,1.453571,1.453571,1.4535713,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.34781,29.34806,29.348063,0.00025,0.000253
0.0034,5e-06,0.0,0.0,0.001754,0.00165,0.00165061,0.016426,0.016769,0.01676959,0.044848,0.044889,0.04488824,0.121638,0.121648,0.12164718,0.249568,0.249567,0.24956747,0.648059,0.648061,0.64806024,1.453571,1.453571,1.4535711,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.34687,29.34715,29.347151,0.00028,0.000281
0.0048,1e-06,0.0,0.0,0.001441,0.001265,0.00126491,0.015694,0.016096,0.01609647,0.044749,0.044806,0.04480524,0.121618,0.121631,0.12163054,0.249567,0.249567,0.24956675,0.648055,0.648058,0.64805764,1.453571,1.453571,1.4535707,1.465116,1.465116,1.4651155,25.345882,25.345882,25.345881,29.34569,29.34599,29.345989,0.0003,0.000299
0.0067,0.0,0.0,0.0,0.001114,0.000869,0.00086879,0.014767,0.015195,0.01519586,0.04461,0.044689,0.04468826,0.121589,0.121607,0.12160703,0.249566,0.249566,0.24956574,0.648051,0.648054,0.64805395,1.45357,1.45357,1.4535703,1.465115,1.465116,1.4651155,25.345882,25.345882,25.345881,29.34426,29.34455,29.344547,0.00029,0.000287
0.0094,0.0,0.0,0.0,0.000795,0.000511,0.00051126,0.013632,0.014014,0.01401458,0.044415,0.044524,0.04452353,0.121548,0.121574,0.1215738,0.249565,0.249564,0.2495643,0.648044,0.648049,0.64804874,1.453569,1.45357,1.4535697,1.465115,1.465116,1.4651154,25.345882,25.345882,25.345881,29.34257,29.3428,29.342802,0.00023,0.000232
