,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,17.97456533,20.0561516,20.05083,5.05772441,4.73730502,4.7371825,5.805095,4.6062852,4.6059229,0.59692762,0.49602972,0.49597533,0.12012019,0.09872423,0.09871368,0.00351061,0.00414009,0.00413967,0.01956035,0.01545307,0.01545146,0.0022709,0.00186665,0.00186645,0.00028274,0.00023003,0.00023,3.521e-05,1.483e-05,1.483e-05,29.58009235,30.01620043,30.010327,0.43610808,0.43023465
1,0.0008,2.758868,1.68666689,1.6862234,4.3330803,4.37225809,4.3721453,5.62788879,4.55071983,4.5503619,0.59789229,0.49735715,0.49730264,0.12059968,0.09906377,0.09905319,0.00356074,0.00416319,0.00416276,0.01963471,0.01550754,0.01550593,0.00228321,0.00187545,0.00187525,0.00028411,0.00023107,0.00023105,3.539e-05,1.49e-05,1.49e-05,13.46412722,11.22785787,11.226876,-2.23626935,-2.23725122
2,0.0011,1.4718407,0.40127128,0.40116642,3.95390715,4.15427156,4.1541647,5.51585497,4.51844101,4.5180857,0.6013227,0.50058211,0.50052729,0.121561,0.09979135,0.0997807,0.00362897,0.00421227,0.00421183,0.01978484,0.01562335,0.01562172,0.00230779,0.00189415,0.00189396,0.00028688,0.00023329,0.00023327,3.574e-05,1.504e-05,1.504e-05,11.69053074,9.69633542,9.6957006,-1.99419532,-1.99483014
3,0.0015,0.70332568,0.05519039,0.05517613,3.50361745,3.85685624,3.8567569,5.36209704,4.47057793,4.4702264,0.60475799,0.50392911,0.50387391,0.12260119,0.1005619,0.10055116,0.00370853,0.00426432,0.00426388,0.0199477,0.01574617,0.01574453,0.00233449,0.00191399,0.00191379,0.00028989,0.00023565,0.00023563,3.609e-05,1.519e-05,1.519e-05,10.32271606,9.0092909,9.0087576,-1.31342516,-1.31395846
4,0.0021,0.28792994,0.00359498,0.00359408,2.99754851,3.46412026,3.4640309,5.15415321,4.40065908,4.4003129,0.60785182,0.50716494,0.50710934,0.12367191,0.10133281,0.10132198,0.00379964,0.00431652,0.00431607,0.02011574,0.01586932,0.01586766,0.0023621,0.00193388,0.00193368,0.00029301,0.00023801,0.00023799,3.649e-05,1.535e-05,1.534e-05,9.19776238,8.49924514,8.49874,-0.69851724,-0.69902238
5,0.0029,0.09500607,8.448e-05,8.446e-05,2.46400718,2.96965753,2.969581,4.87909007,4.30081242,4.3004741,0.61044452,0.51023527,0.51017934,0.12477907,0.10210259,0.10209168,0.00390651,0.00436881,0.00436836,0.02028988,0.01599268,0.01599102,0.00239078,0.00195381,0.00195361,0.00029627,0.00024038,0.00024036,3.688e-05,1.55e-05,1.55e-05,8.20024725,7.90546348,7.9049794,-0.29478377,-0.29526785
6,0.0041,0.02325357,4.9e-07,4.9e-07,1.93577165,2.38416146,2.3841003,4.52519545,4.16100042,4.1606733,0.61232008,0.51306787,0.51301168,0.12593218,0.10287017,0.10285919,0.00403512,0.00442119,0.00442073,0.0204716,0.01611626,0.01611458,0.00242084,0.00197378,0.00197358,0.00029971,0.00024275,0.00024273,3.728e-05,1.565e-05,1.565e-05,7.24973747,7.18387006,7.1834122,-0.06586741,-0.06632527
7,0.0057,0.00376469,0.0,0.0,1.4412189,1.74563248,1.7455877,4.08587595,3.96904392,3.9687318,0.61318199,0.51556063,0.51550416,0.12714443,0.103634,0.10362294,0.00419383,0.00447366,0.0044732,0.02066294,0.01624004,0.01623835,0.00245266,0.00199378,0.00199358,0.00030336,0.00024513,0.0002451,3.771e-05,1.581e-05,1.58e-05,6.29883646,6.35683946,6.3564127,0.058003,0.05757624
8,0.008,0.00034286,0.0,0.0,1.00102698,1.12323063,1.1232019,3.56509281,3.71130301,3.7110112,0.61262908,0.51757012,0.51751342,0.12843438,0.10439203,0.10438089,0.00439439,0.00452624,0.00452577,0.02086681,0.01636404,0.01636234,0.0024868,0.00201383,0.00201362,0.00030729,0.00024751,0.00024749,3.816e-05,1.596e-05,1.596e-05,5.33561954,5.47966337,5.4792726,0.14404383,0.14365306
9,0.0112,1.403e-05,0.0,0.0,0.63277149,0.60335726,0.60334183,2.9828553,3.37563288,3.3753673,0.61012561,0.51964523,0.51958821,0.12982738,0.10541349,0.10540222,0.00465323,0.00466674,0.00466626,0.02108718,0.0165193,0.01651758,0.00252403,0.00203949,0.00203927,0.00031159,0.00025062,0.00025059,3.863e-05,1.615e-05,1.615e-05,4.38420848,4.62754116,4.6271894,0.24333268,0.24298092
