hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.001554,0.001554,0.00155375,0.003158,0.003158,0.00315825,0.018554,0.018554,0.01855446,0.045091,0.045091,0.04509073,0.121688,0.121688,0.1216876,0.249569,0.249569,0.24956918,0.648067,0.648067,0.64806657,1.453572,1.453572,1.4535718,1.465116,1.465116,1.4651157,25.345882,25.345882,25.345881,29.35225,29.35225,29.352249,0.0,-1e-06
0.0006,0.000222,7.1e-05,7.054e-05,0.002779,0.002803,0.00280295,0.018124,0.018212,0.01821222,0.045046,0.045054,0.04505342,0.121679,0.121681,0.12168017,0.249569,0.249569,0.24956887,0.648065,0.648066,0.64806541,1.453572,1.453572,1.4535717,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.35005,29.35002,29.350022,-3e-05,-2.8e-05
0.0009,0.00014,2e-05,2.03e-05,0.002647,0.002669,0.00266948,0.017955,0.018075,0.01807552,0.045027,0.045038,0.04503815,0.121675,0.121678,0.12167712,0.249569,0.249569,0.24956874,0.648065,0.648065,0.64806493,1.453572,1.453572,1.4535716,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.34965,29.34968,29.349683,3e-05,3.3e-05
0.0012,7.8e-05,4e-06,3.54e-06,0.002474,0.002488,0.00248782,0.017722,0.017883,0.01788377,0.045001,0.045016,0.04501601,0.121669,0.121673,0.12167269,0.249569,0.249568,0.24956855,0.648064,0.648065,0.64806424,1.453572,1.453572,1.4535715,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.34914,29.34927,29.349265,0.00013,0.000125
0.0017,3.7e-05,0.0,3.1e-07,0.002254,0.002247,0.00224698,0.017401,0.017615,0.01761566,0.044962,0.044984,0.04498393,0.121661,0.121667,0.12166625,0.249568,0.249568,0.24956826,0.648062,0.648064,0.64806323,1.453571,1.453572,1.4535714,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.34852,29.34871,29.348713,0.00019,0.000193
0.0024,1.4e-05,0.0,1e-08,0.001987,0.00194,0.0019398,0.016965,0.017242,0.01724287,0.044906,0.044938,0.04493748,0.12165,0.121657,0.1216569,0.249568,0.249568,0.24956784,0.64806,0.648062,0.64806176,1.453571,1.453571,1.4535712,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.34772,29.34798,29.347975,0.00026,0.000255
0.0034,4e-06,0.0,0.0,0.001677,0.001569,0.00156899,0.016381,0.016728,0.01672838,0.044825,0.044871,0.0448703,0.121633,0.121644,0.12164334,0.249567,0.249567,0.24956721,0.648058,0.64806,0.64805963,1.453571,1.453571,1.453571,1.465116,1.465116,1.4651155,25.345882,25.345882,25.345881,29.34671,29.34701,29.347006,0.0003,0.000296
0.0048,1e-06,0.0,0.0,0.001335,0.001155,0.00115499,0.015612,0.016025,0.01602519,0.044707,0.044773,0.04477277,0.121608,0.121624,0.12162351,0.249566,0.249566,0.24956627,0.648054,0.648057,0.64805651,1.45357,1.453571,1.4535706,1.465116,1.465116,1.4651155,25.345882,25.345882,25.345881,29.34545,29.34577,29.345767,0.00032,0.000317
0.0067,0.0,0.0,0.0,0.000982,0.000742,0.00074211,0.014627,0.015078,0.01507818,0.044536,0.044631,0.04463101,0.121571,0.121595,0.12159439,0.249565,0.249565,0.24956483,0.648048,0.648052,0.64805188,1.453569,1.45357,1.45357,1.465115,1.465116,1.4651154,25.345882,25.345882,25.345881,29.3439,29.34423,29.344229,0.00033,0.000329
0.0094,0.0,0.0,0.0,0.000649,0.000392,0.00039191,0.013404,0.01383,0.01383008,0.04429,0.044426,0.04442542,0.121518,0.121552,0.12155173,0.249563,0.249562,0.24956264,0.648039,0.648045,0.64804505,1.453568,1.453569,1.453569,1.465115,1.465116,1.4651153,25.345882,25.345882,25.345881,29.34203,29.34237,29.342372,0.00034,0.000342
0.0131,0.0,0.0,0.0,0.000371,0.000156,0.00015602,0.01195,0.012234,0.01223453,0.043936,0.044128,0.0441278,0.121439,0.12149,0.1214892,0.249559,0.249559,0.2495593,0.648026,0.648035,0.64803499,1.453567,1.453568,1.4535677,1.465115,1.465115,1.4651151,25.345882,25.345882,25.345881,29.33984,29.34017,29.340166,0.00033,0.000326
0.0184,0.0,0.0,0.0,0.000175,4.1e-05,4.133e-05,0.010306,0.01028,0.01028056,0.04343,0.043698,0.04369738,0.121322,0.121398,0.12139732,0.249554,0.249554,0.2495541,0.648006,0.648021,0.64802014,1.453564,1.453566,1.4535657,1.465115,1.465115,1.4651149,25.345882,25.345882,25.345881,29.33735,29.33755,29.337553,0.0002,0.000203
0.0258,0.0,0.0,0.0,6.6e-05,6e-06,6.09e-06,0.008557,0.00803,0.00802972,0.042711,0.043077,0.04307665,0.121151,0.121262,0.12126204,0.249546,0.249546,0.24954594,0.647978,0.647999,0.6479982,1.45356,1.453563,1.4535626,1.465114,1.465115,1.4651145,25.345882,25.345882,25.345881,29.33456,29.33448,29.334477,-8e-05,-8.3e-05
0.0362,0.0,0.0,0.0,1.9e-05,0.0,3.9e-07,0.006814,0.005652,0.00565238,0.041701,0.042186,0.04218548,0.1209,0.121063,0.12106259,0.249533,0.249533,0.24953304,0.647935,0.647966,0.6479657,1.453554,1.453558,1.4535581,1.465114,1.465114,1.4651139,25.345882,25.345882,25.345881,29.33145,29.33095,29.330953,-0.0005,-0.000497
0.0508,0.0,0.0,0.0,4e-06,0.0,1e-08,0.005193,0.003433,0.00343354,0.040308,0.040919,0.04091888,0.12053,0.120769,0.12076905,0.249512,0.249512,0.24951253,0.647873,0.647918,0.64791774,1.453546,1.453551,1.4535513,1.465112,1.465113,1.4651131,25.345881,25.345882,25.345881,29.32796,29.3271,29.327097,-0.00086,-0.000863
0.0713,0.0,0.0,0.0,1e-06,0.0,0.0,0.003787,0.001694,0.00169362,0.038443,0.039148,0.03914744,0.119994,0.12034,0.12033915,0.249478,0.24948,0.24947989,0.64778,0.647848,0.6478474,1.453533,1.453541,1.4535412,1.465111,1.465112,1.4651118,25.345881,25.345882,25.345881,29.32401,29.32304,29.323041,-0.00097,-0.000969
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.002646,0.000622,0.00062179,0.036015,0.036711,0.03671044,0.119218,0.119709,0.11970907,0.249424,0.249427,0.24942722,0.647645,0.647745,0.64774427,1.453514,1.453526,1.4535262,1.465108,1.46511,1.4651098,25.345881,25.345882,25.345881,29.31945,29.31873,29.31873,-0.00072,-0.00072
0.1403,0.0,0.0,0.0,0.0,0.0,0.0,0.001778,0.00015,0.0001499,0.032954,0.033427,0.03342694,0.118096,0.118782,0.11878194,0.249336,0.249341,0.24934079,0.647448,0.647593,0.64759254,1.453485,1.453504,1.453504,1.465105,1.465107,1.4651069,25.345881,25.345881,25.345881,29.31408,29.31379,29.313784,-0.00029,-0.000296
0.1968,0.0,0.0,0.0,0.0,0.0,0.0,0.001139,2e-05,1.981e-05,0.029234,0.029139,0.02913904,0.116473,0.117412,0.11741114,0.249188,0.249196,0.24919604,0.647156,0.647369,0.64736824,1.453443,1.453471,1.4534708,1.465099,1.465103,1.4651026,25.34588,25.345881,25.34588,29.30761,29.30759,29.307588,-2e-05,-2.2e-05
0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.000663,1e-06,1.11e-06,0.024885,0.023803,0.02380271,0.114127,0.115376,0.11537586,0.248935,0.248949,0.24894895,0.646724,0.647035,0.6470347,1.453379,1.453421,1.4534208,1.465091,1.465096,1.4650961,25.345879,25.345881,25.34588,29.29968,29.29956,29.29956,-0.00012,-0.00012
0.3871,0.0,0.0,0.0,0.0,0.0,0.0,0.000306,0.0,2e-08,0.020001,0.017636,0.01763572,0.110741,0.112346,0.11234513,0.248495,0.248519,0.24851888,0.64608,0.646535,0.64653472,1.453281,1.453345,1.4533448,1.465078,1.465086,1.4650861,25.345877,25.34588,25.345879,29.28986,29.28935,29.289345,-0.00051,-0.000515
0.5431,0.0,0.0,0.0,0.0,0.0,0.0,8.7e-05,0.0,0.0,0.014783,0.011263,0.01126323,0.105874,0.10782,0.10781954,0.247712,0.247753,0.24775321,0.645113,0.645774,0.64577365,1.453132,1.453228,1.4532274,1.465059,1.465071,1.4650707,25.345875,25.345879,25.345878,29.27764,29.27679,29.276786,-0.00085,-0.000854
0.7617,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.00973,0.005833,0.00583283,0.09914,0.101273,0.10127242,0.246333,0.246394,0.24639455,0.643716,0.644636,0.64463594,1.452913,1.453049,1.4530493,1.46503,1.465048,1.4650472,25.345872,25.345878,25.345877,29.26274,29.26211,29.262109,-0.00063,-0.000631
1.0685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005451,0.002265,0.00226544,0.090148,0.092184,0.0921841,0.243897,0.243981,0.24398123,0.641763,0.642978,0.64297728,1.452603,1.452787,1.4527867,1.46499,1.465013,1.4650131,25.345867,25.345876,25.345875,29.24472,29.24508,29.245083,0.00036,0.000363
