hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.000804,0.000804,0.00080422,0.001635,0.001635,0.00163471,0.009604,0.009604,0.00960379,0.023339,0.023339,0.02333896,0.062986,0.062986,0.0629855,0.129177,0.129177,0.12917701,0.335439,0.335439,0.33543926,0.752369,0.752369,0.75236878,0.758344,0.758344,0.75834386,13.119028,13.119028,13.119028,15.19272,15.19272,15.192724,0.0,4e-06
0.0006,8e-06,0.0,1e-08,0.001061,0.001038,0.00103802,0.008798,0.008941,0.00894047,0.023251,0.023266,0.02326571,0.062968,0.062971,0.06297091,0.129176,0.129176,0.1291764,0.335436,0.335437,0.33543697,0.752368,0.752369,0.75236851,0.758344,0.758344,0.75834383,13.119028,13.119028,13.119028,15.19044,15.19057,15.190569,0.00013,0.000129
0.0009,3e-06,0.0,0.0,0.000917,0.000864,0.00086404,0.008509,0.008686,0.0086862,0.023216,0.023236,0.02323618,0.062961,0.062966,0.06296501,0.129176,0.129176,0.12917615,0.335435,0.335436,0.33543605,0.752368,0.752369,0.75236839,0.758344,0.758344,0.75834381,13.119028,13.119028,13.119028,15.18996,15.1901,15.190104,0.00014,0.000144
0.0012,1e-06,0.0,0.0,0.000757,0.000667,0.00066701,0.008134,0.008341,0.00834112,0.023166,0.023195,0.02319454,0.06295,0.062957,0.06295668,0.129176,0.129176,0.1291758,0.335434,0.335434,0.33543474,0.752368,0.752368,0.75236824,0.758344,0.758344,0.75834379,13.119028,13.119028,13.119028,15.18936,15.18951,15.18951,0.00015,0.00015
0.0017,0.0,0.0,0.0,0.00059,0.000463,0.00046284,0.007659,0.007879,0.00787911,0.023097,0.023136,0.02313583,0.062936,0.062945,0.0629449,0.129176,0.129175,0.1291753,0.335431,0.335433,0.3354329,0.752368,0.752368,0.75236801,0.758344,0.758344,0.75834377,13.119028,13.119028,13.119028,15.18863,15.18877,15.188771,0.00014,0.000141
0.0024,0.0,0.0,0.0,0.000425,0.000276,0.00027633,0.007079,0.007273,0.00727275,0.022999,0.023053,0.02305314,0.062916,0.062929,0.06292826,0.129175,0.129175,0.12917459,0.335428,0.33543,0.33543029,0.752367,0.752368,0.75236769,0.758344,0.758344,0.75834373,13.119028,13.119028,13.119028,15.18776,15.18788,15.187875,0.00012,0.000115
0.0034,0.0,0.0,0.0,0.000278,0.000133,0.00013342,0.006398,0.006499,0.00649856,0.022863,0.022937,0.02293682,0.062887,0.062905,0.06290475,0.129174,0.129174,0.12917358,0.335423,0.335426,0.33542661,0.752367,0.752367,0.75236724,0.758344,0.758344,0.75834367,13.119028,13.119028,13.119028,15.18676,15.18681,15.186813,5e-05,5.3e-05
0.0048,0.0,0.0,0.0,0.000162,4.8e-05,4.774e-05,0.005638,0.005548,0.00554768,0.022675,0.022774,0.02277349,0.062847,0.062872,0.06287152,0.129173,0.129172,0.12917215,0.335417,0.335421,0.3354214,0.752366,0.752367,0.75236661,0.758344,0.758344,0.75834359,13.119028,13.119028,13.119028,15.18565,15.18557,15.185572,-8e-05,-7.8e-05
0.0067,0.0,0.0,0.0,8.2e-05,1.1e-05,1.119e-05,0.004832,0.004442,0.0044417,0.022414,0.022545,0.02254473,0.062789,0.062825,0.0628246,0.129171,0.12917,0.12917012,0.335407,0.335414,0.33541403,0.752365,0.752366,0.7523657,0.758343,0.758344,0.75834348,13.119028,13.119028,13.119028,15.18443,15.18414,15.184144,-0.00029,-0.000286
0.0094,0.0,0.0,0.0,3.6e-05,1e-06,1.44e-06,0.004023,0.00325,0.00324962,0.022059,0.022226,0.0222255,0.062708,0.062759,0.06275834,0.129168,0.129167,0.12916724,0.335394,0.335403,0.33540362,0.752363,0.752365,0.75236442,0.758343,0.758343,0.75834333,13.119028,13.119028,13.119028,15.18312,15.18254,15.182542,-0.00058,-0.000578
