hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.001554,0.001554,0.00155375,0.003158,0.003158,0.00315825,0.018554,0.018554,0.01855446,0.045091,0.045091,0.04509073,0.121688,0.121688,0.1216876,0.249569,0.249569,0.24956918,0.648067,0.648067,0.64806657,1.453572,1.453572,1.4535718,1.465116,1.465116,1.4651157,25.345882,25.345882,25.345881,29.35225,29.35225,29.352249,0.0,-1e-06
0.0006,7.8e-05,3e-06,3.21e-06,0.002481,0.002495,0.00249475,0.017714,0.017879,0.01787904,0.045002,0.045017,0.04501716,0.12167,0.121673,0.12167295,0.249569,0.249568,0.24956857,0.648064,0.648065,0.64806428,1.453572,1.453572,1.4535716,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.34915,29.34927,29.349268,0.00012,0.000118
0.0009,3.8e-05,0.0,2.7e-07,0.002276,0.002268,0.00226796,0.017396,0.017613,0.01761372,0.044967,0.044988,0.04498744,0.121663,0.121667,0.12166702,0.249568,0.249568,0.24956832,0.648063,0.648064,0.64806335,1.453571,1.453572,1.4535714,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.34854,29.34874,29.348736,0.0002,0.000196
0.0012,1.5e-05,0.0,1e-08,0.002029,0.001982,0.00198241,0.016968,0.017247,0.01724748,0.044916,0.044946,0.04494549,0.121652,0.121659,0.12165865,0.249568,0.249568,0.24956796,0.648061,0.648062,0.64806204,1.453571,1.453571,1.4535713,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.34778,29.34803,29.348032,0.00025,0.000252
0.0017,5e-06,0.0,0.0,0.001745,0.001639,0.00163924,0.016399,0.016745,0.01674545,0.044846,0.044887,0.04488623,0.121638,0.121647,0.1216468,0.249568,0.249567,0.24956746,0.648058,0.648061,0.64806018,1.453571,1.453571,1.4535711,1.465116,1.465116,1.4651156,25.345882,25.345882,25.345881,29.34683,29.34711,29.347113,0.00028,0.000283
0.0024,1e-06,0.0,0.0,0.001432,0.001253,0.00125333,0.015661,0.016064,0.0160644,0.044746,0.044803,0.04480261,0.121617,0.12163,0.12163004,0.249567,0.249567,0.24956674,0.648055,0.648058,0.64805756,1.453571,1.453571,1.4535707,1.465116,1.465116,1.4651155,25.345882,25.345882,25.345881,29.34565,29.34594,29.345942,0.00029,0.000292
0.0034,0.0,0.0,0.0,0.001106,0.000858,0.00085787,0.014727,0.015153,0.0151536,0.044606,0.044685,0.04468466,0.121588,0.121607,0.12160634,0.249566,0.249566,0.24956572,0.64805,0.648054,0.64805384,1.45357,1.45357,1.4535703,1.465115,1.465116,1.4651155,25.345882,25.345882,25.345881,29.34421,29.34449,29.344489,0.00028,0.000279
0.0048,0.0,0.0,0.0,0.000788,0.000502,0.00050223,0.013586,0.01396,0.01395988,0.04441,0.044519,0.04451848,0.121547,0.121573,0.12157283,0.249565,0.249564,0.24956428,0.648044,0.648049,0.64804859,1.453569,1.45357,1.4535696,1.465115,1.465116,1.4651154,25.345882,25.345882,25.345881,29.34251,29.34273,29.342733,0.00022,0.000223
0.0067,0.0,0.0,0.0,0.000507,0.000236,0.00023581,0.01225,0.012439,0.01243918,0.044136,0.044285,0.04428464,0.121489,0.121526,0.12152547,0.249563,0.249562,0.24956222,0.648034,0.648042,0.64804116,1.453568,1.453569,1.4535687,1.465115,1.465116,1.4651153,25.345882,25.345882,25.345881,29.34055,29.34066,29.340654,0.00011,0.000104
0.0094,0.0,0.0,0.0,0.000288,8.1e-05,8.108e-05,0.010761,0.010577,0.01057741,0.043756,0.043957,0.04395624,0.121407,0.121459,0.12145852,0.24956,0.249559,0.2495593,0.648021,0.648031,0.64803066,1.453566,1.453568,1.4535674,1.465115,1.465115,1.4651151,25.345882,25.345882,25.345881,29.33836,29.33823,29.338227,-0.00013,-0.000133
