ig,ip,t1,t2,t3,t4,t5
1,1,2.1502613999999998e-21,2.3350582000000002e-21,2.4861170999999998e-21,2.6086271999999997e-21,2.7064980000000002e-21
1,2,2.1599569e-21,2.3430091000000004e-21,2.4925999000000002e-21,2.6138554e-21,2.7106311e-21
1,3,2.1696743999999997e-21,2.3509775e-21,2.4990959e-21,2.6190918000000002e-21,2.7147671999999997e-21
1,4,2.1793407000000003e-21,2.3589039e-21,2.5055569e-21,2.6242979000000003e-21,2.7188760000000004e-21
1,5,2.188966e-21,2.3667971e-21,2.5119905e-21,2.6294801000000002e-21,2.7229631e-21
1,6,2.1986407e-21,2.3747316e-21,2.5184578000000004e-21,2.6346881e-21,2.727068e-21
1,7,2.2079164000000003e-21,2.3823413000000004e-21,2.5246616e-21,2.6396839e-21,2.7310050999999998e-21
1,8,2.2193368e-21,2.3917082e-21,2.5322947e-21,2.6458255e-21,2.7358382e-21
1,9,2.2330009e-21,2.4029126999999998e-21,2.5414207e-21,2.6531610999999998e-21,2.7416014e-21
1,10,2.2519345e-21,2.4184270000000002e-21,2.5540421999999998e-21,2.6632865e-21,2.7495317e-21
1,11,2.2724108e-21,2.435201e-21,2.5676786999999998e-21,2.6742097e-21,2.758065e-21
1,12,2.2935887e-21,2.4525475000000004e-21,2.5817712999999998e-21,2.6854817e-21,2.7668489000000003e-21
1,13,2.3149811e-21,2.4700694e-21,2.5959983999999997e-21,2.6968461e-21,2.7756844999999998e-21
1,14,2.3366263e-21,2.4877998e-21,2.6103879999999996e-21,2.7083261000000003e-21,2.7845114999999998e-21
1,15,2.3583813e-21,2.5056246e-21,2.6248497999999998e-21,2.7198526e-21,2.7933299000000004e-21
1,16,2.3803939e-21,2.5236676e-21,2.6394867e-21,2.7315103e-21,2.8022341e-21
1,17,2.4026405000000003e-21,2.5419141000000002e-21,2.6542914e-21,2.7432984000000004e-21,2.8112304e-21
1,18,2.4227956e-21,2.5584857000000003e-21,2.6677705999999996e-21,2.7540628000000003e-21,2.8194827000000002e-21
1,19,2.4388672000000003e-21,2.5717874e-21,2.6786745000000003e-21,2.7628600000000002e-21,2.8263377999999997e-21
1,20,2.4418433e-21,2.5745545999999998e-21,2.6812503000000004e-21,2.7652708e-21,2.8286319e-21
1,21,2.4397503000000002e-21,2.5733162999999998e-21,2.6807326e-21,2.76539e-21,2.8293948e-21
1,22,2.4327418e-21,2.5682252e-21,2.6772649999999998e-21,2.7633492e-21,2.8287471999999996e-21
1,23,2.4253074999999997e-21,2.5629552e-21,2.6738096e-21,2.7614796000000002e-21,2.82843e-21
1,24,2.4196621e-21,2.5593577e-21,2.6718951e-21,2.7610221000000003e-21,2.8294166e-21
1,25,2.4167597999999995e-21,2.5582863e-21,2.672275e-21,2.7626345e-21,2.8322675000000002e-21
1,26,2.4191545e-21,2.5619206e-21,2.6767896e-21,2.7678506e-21,2.8381071999999997e-21
1,27,2.4298137999999997e-21,2.5728107e-21,2.6876069000000005e-21,2.7784921e-21,2.8485792000000004e-21
1,28,2.4506242e-21,2.5926805e-21,2.7062709e-21,2.7959245e-21,2.864881e-21
1,29,2.4858814e-21,2.6252438000000004e-21,2.7359498e-21,2.8228157999999997e-21,2.8892248e-21
1,30,2.5356274e-21,2.6708827999999998e-21,2.7772182e-21,2.8598526000000002e-21,2.9223687e-21
1,31,2.6024186e-21,2.7321182e-21,2.8324346999999997e-21,2.9091765999999997e-21,2.966221e-21
1,32,2.6888139999999998e-21,2.8116176999999997e-21,2.9041741e-21,2.9731696e-21,3.0229301e-21
1,33,2.7974272e-21,2.9122617e-21,2.9952937e-21,3.0545118e-21,3.0949291e-21
1,34,2.9307460999999995e-21,3.0369869e-21,3.1087990999999998e-21,3.1560632e-21,3.1848250999999998e-21
1,35,3.0915403e-21,3.1888728999999997e-21,3.2477429e-21,3.2806464e-21,3.2951068000000003e-21
1,36,3.2791062999999996e-21,3.3684038000000003e-21,3.4132317e-21,3.4296192e-21,3.4271694e-21
1,37,3.4897721999999996e-21,3.5739777e-21,3.6049011e-21,3.6032759999999996e-21,3.5816199e-21
1,38,3.7154048e-21,3.8009612e-21,3.8203669e-21,3.8005428000000005e-21,3.7581105e-21
1,39,3.9430973e-21,4.0403369999999995e-21,4.0534714999999995e-21,4.0170967000000004e-21,3.9534395e-21
1,40,4.1556812e-21,4.276215e-21,4.290368900000001e-21,4.2409597999999995e-21,4.157131500000001e-21
1,41,4.3332153999999996e-21,4.4846756999999995e-21,4.5067821000000005e-21,4.4491576e-21,4.3480985e-21
1,42,4.4748719e-21,4.642725e-21,4.6673374999999994e-21,4.6013148e-21,4.4853561e-21
1,43,4.5475051e-21,4.7148953e-21,4.7363533e-21,4.6636535e-21,4.5382995e-21
1,44,4.5046747e-21,4.665259200000001e-21,4.6861225000000004e-21,4.614772700000001e-21,4.4904176e-21
1,45,4.3370635000000004e-21,4.4831624e-21,4.5044029e-21,4.4413186e-21,4.3279513999999994e-21
1,46,4.0643056e-21,4.185239099999999e-21,4.2029763e-21,4.1498271e-21,4.0528335e-21
1,47,3.72836e-21,3.8087677e-21,3.8124629e-21,3.7633906e-21,3.6809043e-21
1,48,3.3340180000000003e-21,3.3824973e-21,3.3766376000000004e-21,3.3332259e-21,3.2648438000000002e-21
1,49,2.9166459e-21,2.9432809e-21,2.9323904999999997e-21,2.8953649999999997e-21,2.8394627999999997e-21
1,50,2.5046814e-21,2.5194721e-21,2.5080308e-21,2.4779998e-21,2.4336289000000004e-21
1,51,2.1204594000000002e-21,2.1298641e-21,2.1203150999999996e-21,2.0967555000000002e-21,2.0629214e-21
1,52,1.7786169000000003e-21,1.7838214999999998e-21,1.7753580000000002e-21,1.7563307e-21,1.7302738e-21
2,1,1.4533368999999998e-22,1.6426441e-22,1.8014871000000002e-22,1.9347104e-22,2.0478025999999997e-22
2,2,1.4631531999999998e-22,1.6509438e-22,1.8084423999999997e-22,1.9405856999999998e-22,2.0528388999999997e-22
2,3,1.4730181000000002e-22,1.6592803e-22,1.8154324e-22,1.9464963999999996e-22,2.0579112000000003e-22
2,4,1.4828594e-22,1.667594e-22,1.8224080000000002e-22,1.9524019999999997e-22,2.0629849999999998e-22
2,5,1.4926897000000001e-22,1.6758973e-22,1.8293808e-22,1.958313e-22,2.0680699999999997e-22
2,6,1.5026038000000001e-22,1.6842716000000002e-22,1.8364206e-22,1.9642895e-22,2.0732181999999998e-22
2,7,1.5121492e-22,1.6923388e-22,1.8432126999999998e-22,1.9700663000000001e-22,2.0782030000000001e-22
2,8,1.5239262e-22,1.7022857e-22,1.8515898e-22,1.9771965999999998e-22,2.0843602e-22
2,9,1.5380558e-22,1.7142126000000002e-22,1.8616401000000002e-22,1.9857599999999999e-22,2.0917626000000003e-22
2,10,1.5576687e-22,1.7307423e-22,1.8755673000000002e-22,1.9976331000000005e-22,2.1020323e-22
2,11,1.5789848999999999e-22,1.7487041000000002e-22,1.8907238999999998e-22,2.0105815000000001e-22,2.1132533999999997e-22
2,12,1.6011646e-22,1.7674006e-22,1.9065334e-22,2.024122e-22,2.1250137e-22
2,13,1.6237275e-22,1.7864393000000003e-22,1.9226743000000001e-22,2.0379863999999996e-22,2.137085e-22
2,14,1.6467395e-22,1.8058873e-22,1.9392111e-22,2.0522351e-22,2.1494757999999996e-22
2,15,1.6700846000000002e-22,1.8256610000000002e-22,1.9560831999999997e-22,2.0668218000000002e-22,2.1621796e-22
2,16,1.6939585e-22,1.8459398000000002e-22,1.9734518999999999e-22,2.0818915999999998e-22,2.1753414e-22
2,17,1.7183896999999997e-22,1.8667655e-22,1.9913648999999997e-22,2.0974929999999998e-22,2.1890093e-22
2,18,1.7409892999999999e-22,1.8861619999999997e-22,2.0081636000000003e-22,2.1122090999999998e-22,2.2019637999999997e-22
2,19,1.7597e-22,1.902433e-22,2.0224222e-22,2.1248192999999997e-22,2.2131548e-22
2,20,1.7650072e-22,1.9076625000000003e-22,2.0274584999999998e-22,2.1295872999999997e-22,2.2176299000000003e-22
2,21,1.7654691e-22,1.9090686e-22,2.0294337999999999e-22,2.1318488e-22,2.2200354e-22
2,22,1.7613494e-22,1.9069621e-22,2.02869e-22,2.1319556e-22,2.2207184999999998e-22
2,23,1.7575327e-22,1.9055226000000002e-22,2.0288496e-22,2.1330861000000004e-22,2.2224771000000003e-22
2,24,1.7565057999999998e-22,1.9069453999999997e-22,2.0318683000000001e-22,2.136994e-22,2.2268852999999996e-22
2,25,1.7594303e-22,1.9123580000000001e-22,2.0388315000000003e-22,2.1447097e-22,2.2349034e-22
2,26,1.7691971e-22,1.9243644000000003e-22,2.0520907999999998e-22,2.1583631e-22,2.2483766e-22
2,27,1.7891953e-22,1.9460321e-22,2.0744159e-22,2.1804587000000005e-22,2.2696587999999997e-22
2,28,1.8217186999999998e-22,1.9796051e-22,2.1079511e-22,2.2130151e-22,2.3006304e-22
2,29,1.871827e-22,2.0296794e-22,2.1568282999999997e-22,2.2597452999999998e-22,2.3446386e-22
