hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10
0.0,0.367281,0.367281,0.36728103,1.729163,1.729163,1.7291632,7.092437,7.092437,7.0924373,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209734,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0006,0.367281,0.367281,0.36728081,1.729163,1.729163,1.7291631,7.092437,7.092437,7.0924372,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209734,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0009,0.367281,0.367281,0.36728072,1.729163,1.729163,1.7291631,7.092437,7.092437,7.0924372,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209734,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0012,0.367281,0.367281,0.36728059,1.729163,1.729163,1.729163,7.092437,7.092437,7.0924372,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209734,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0017,0.36728,0.36728,0.36728041,1.729163,1.729163,1.729163,7.092437,7.092437,7.0924372,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0024,0.36728,0.36728,0.36728017,1.729163,1.729163,1.7291629,7.092437,7.092437,7.0924371,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0034,0.36728,0.36728,0.36727982,1.729163,1.729163,1.7291627,7.092437,7.092437,7.0924371,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0048,0.367279,0.367279,0.36727933,1.729162,1.729163,1.7291626,7.092437,7.092437,7.092437,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0067,0.367279,0.367279,0.36727865,1.729162,1.729162,1.7291623,7.092437,7.092437,7.0924369,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0094,0.367278,0.367278,0.36727769,1.729162,1.729162,1.729162,7.092437,7.092437,7.0924368,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0131,0.367276,0.367276,0.36727635,1.729161,1.729161,1.7291615,7.092436,7.092437,7.0924366,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0184,0.367274,0.367274,0.36727447,1.729161,1.729161,1.7291608,7.092436,7.092437,7.0924363,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0258,0.367271,0.367272,0.36727183,1.72916,1.72916,1.7291599,7.092435,7.092436,7.092436,20.399773,20.399773,20.399772,16.044249,16.044249,16.044249,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0362,0.367268,0.367268,0.36726814,1.729158,1.729159,1.7291586,7.092435,7.092436,7.0924355,20.399772,20.399773,20.399772,16.044249,16.044249,16.044249,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0508,0.367262,0.367263,0.36726297,1.729156,1.729157,1.7291567,7.092433,7.092435,7.0924347,20.399772,20.399772,20.399772,16.044249,16.044249,16.044248,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.0713,0.367255,0.367256,0.36725575,1.729153,1.729154,1.729154,7.092432,7.092434,7.0924337,20.399771,20.399772,20.399772,16.044249,16.044249,16.044248,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.1,0.367244,0.367246,0.36724571,1.729149,1.72915,1.7291503,7.092429,7.092432,7.0924322,20.399771,20.399772,20.399771,16.044249,16.044249,16.044248,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.1403,0.36723,0.367232,0.3672318,1.729143,1.729145,1.7291449,7.092426,7.09243,7.0924302,20.39977,20.399771,20.399771,16.044249,16.044249,16.044248,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.1968,0.36721,0.367213,0.36721253,1.729135,1.729137,1.7291373,7.092421,7.092427,7.0924272,20.399768,20.39977,20.39977,16.044248,16.044249,16.044248,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.276,0.367182,0.367186,0.36718583,1.729124,1.729127,1.7291265,7.092415,7.092423,7.092423,20.399766,20.399769,20.399769,16.044248,16.044248,16.044248,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.3871,0.367144,0.367149,0.36714889,1.729107,1.729111,1.7291112,7.092405,7.092417,7.092417,20.399763,20.399767,20.399767,16.044248,16.044248,16.044247,21.209733,21.209733,21.209733,25.282369,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.5431,0.367091,0.367098,0.36709772,1.729083,1.729089,1.7290893,7.092392,7.092409,7.0924084,20.399759,20.399764,20.399764,16.044247,16.044248,16.044247,21.209732,21.209733,21.209733,25.282369,25.282369,25.282369,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.7617,0.367018,0.367027,0.36702694,1.72905,1.729058,1.7290583,7.092372,7.092396,7.0923961,20.399753,20.39976,20.39976,16.044246,16.044247,16.044246,21.209732,21.209732,21.209732,25.282369,25.282369,25.282369,29.884205,29.884205,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
1.0685,0.366916,0.366928,0.36692808,1.729003,1.729015,1.7290147,7.092345,7.092379,7.0923789,20.399744,20.399754,20.399754,16.044244,16.044246,16.044245,21.209731,21.209732,21.209732,25.282368,25.282369,25.282369,29.884205,29.884205,29.884205,32.41936,32.41936,32.419359,287.991176,287.991176,287.99117
1.4988,0.366773,0.36679,0.36678898,1.728937,1.728954,1.7289536,7.092307,7.092355,7.0923547,20.399731,20.399747,20.399746,16.044242,16.044244,16.044244,21.20973,21.209731,21.209731,25.282368,25.282368,25.282368,29.884205,29.884205,29.884205,32.41936,32.41936,32.419359,287.991175,287.991175,287.99117
2.1024,0.36657,0.366593,0.3665927,1.728845,1.728868,1.7288685,7.092254,7.092321,7.092321,20.399714,20.399736,20.399735,16.04424,16.044242,16.044242,21.209728,21.209729,21.209729,25.282367,25.282368,25.282368,29.884204,29.884205,29.884205,32.41936,32.41936,32.419359,287.991175,287.991175,287.99117
2.949,0.366284,0.366316,0.36631519,1.728717,1.72875,1.7287499,7.092181,7.092274,7.092274,20.39969,20.39972,20.39972,16.044236,16.04424,16.044239,21.209726,21.209728,21.209728,25.282366,25.282367,25.282367,29.884204,29.884204,29.884204,32.41936,32.41936,32.419359,287.991175,287.991175,287.99117
4.1366,0.365881,0.365924,0.36592294,1.728539,1.728585,1.7285848,7.092078,7.092209,7.0922085,20.399658,20.399699,20.399699,16.044231,16.044236,16.044235,21.209723,21.209726,21.209726,25.282364,25.282366,25.282365,29.884203,29.884203,29.884203,32.419359,32.419359,32.419358,287.991175,287.991175,287.99117
5.8025,0.365313,0.365371,0.36536925,1.728292,1.728355,1.7283548,7.091936,7.092117,7.0921168,20.399613,20.39967,20.39967,16.044223,16.04423,16.04423,21.209718,21.209722,21.209722,25.282362,25.282364,25.282364,29.884202,29.884202,29.884202,32.419359,32.419359,32.419358,287.991174,287.991174,287.99117
8.1392,0.364514,0.364592,0.36458929,1.727947,1.728034,1.7280339,7.091738,7.091989,7.0919881,20.399551,20.399629,20.399629,16.044213,16.044223,16.044222,21.209713,21.209718,21.209718,25.282359,25.282361,25.282361,29.8842,29.884201,29.884201,32.419358,32.419358,32.419357,287.991173,287.991174,287.99117
11.417,0.363397,0.363497,0.36349317,1.727466,1.727585,1.7275852,7.091462,7.091807,7.0918062,20.399465,20.399572,20.399571,16.044199,16.044212,16.044212,21.209705,21.209712,21.209712,25.282354,25.282358,25.282358,29.884198,29.884199,29.884199,32.419357,32.419357,32.419356,287.991173,287.991173,287.99117
16.0147,0.361842,0.361963,0.36195835,1.726794,1.726956,1.7269559,7.091075,7.091549,7.0915476,20.399344,20.399489,20.399488,16.04418,16.044197,16.044196,21.209694,21.209703,21.209703,25.282348,25.282353,25.282353,29.884195,29.884196,29.884196,32.419356,32.419356,32.419355,287.991171,287.991171,287.99117
22.464,0.359692,0.359826,0.35981905,1.725852,1.726071,1.7260698,7.090531,7.091178,7.0911764,20.399173,20.399368,20.399367,16.044152,16.044175,16.044174,21.209678,21.20969,21.20969,25.28234,25.282346,25.282346,29.88419,29.884192,29.884192,32.419353,32.419354,32.419353,287.991169,287.99117,287.99116
