hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_g7,LBLg_g7,LBLk_g7,LBL_g8,LBLg_g8,LBLk_g8,LBL_g9,LBLg_g9,LBLk_g9,LBL_g10,LBLg_g10,LBLk_g10,LBL_tot,LBLg_tot,LBLk_tot
0.0003,0.00314532,0.00302943,0.00302927,0.00114989,0.00106267,0.00106186,0.00066217,0.00041302,0.00041312,0.00018433,0.00011666,0.00011681,2.823e-05,2.017e-05,2.023e-05,1.524e-05,1.112e-05,1.116e-05,7.86e-06,5.83e-06,5.86e-06,3.97e-06,3.38e-06,3.4e-06,1.8e-06,1.66e-06,1.68e-06,1.43e-06,1.37e-06,1.39e-06,0.00520024,0.00466532,0.00466478
0.0008,0.00314371,0.00302794,0.00302779,0.0011507,0.00106343,0.00106261,0.00066254,0.0004133,0.0004134,0.00018458,0.00011683,0.00011698,2.827e-05,2.021e-05,2.026e-05,1.527e-05,1.114e-05,1.119e-05,7.88e-06,5.84e-06,5.88e-06,3.97e-06,3.38e-06,3.41e-06,1.8e-06,1.67e-06,1.68e-06,1.43e-06,1.38e-06,1.39e-06,0.00520015,0.00466514,0.00466459
0.0011,0.00314048,0.00302494,0.00302478,0.00115234,0.00106497,0.00106414,0.0006633,0.00041388,0.00041397,0.00018512,0.00011718,0.00011733,2.836e-05,2.028e-05,2.033e-05,1.534e-05,1.119e-05,1.124e-05,7.92e-06,5.87e-06,5.91e-06,4e-06,3.4e-06,3.43e-06,1.81e-06,1.68e-06,1.69e-06,1.46e-06,1.38e-06,1.4e-06,0.00520011,0.00466477,0.00466422
0.0015,0.00313718,0.00302187,0.00302173,0.001154,0.00106653,0.0010657,0.00066407,0.00041446,0.00041455,0.00018566,0.00011754,0.00011768,2.845e-05,2.035e-05,2.04e-05,1.54e-05,1.124e-05,1.128e-05,7.95e-06,5.9e-06,5.94e-06,4.02e-06,3.42e-06,3.44e-06,1.81e-06,1.69e-06,1.7e-06,1.46e-06,1.39e-06,1.41e-06,0.0052,0.00466439,0.00466384
0.0021,0.00313387,0.0030188,0.00301866,0.00115567,0.00106809,0.00106725,0.00066485,0.00041504,0.00041513,0.0001862,0.00011789,0.00011803,2.855e-05,2.042e-05,2.048e-05,1.546e-05,1.129e-05,1.133e-05,7.99e-06,5.93e-06,5.97e-06,4.04e-06,3.44e-06,3.46e-06,1.83e-06,1.7e-06,1.71e-06,1.47e-06,1.4e-06,1.42e-06,0.00519993,0.00466401,0.00466345
0.0029,0.00313054,0.00301572,0.00301559,0.00115733,0.00106965,0.00106881,0.00066563,0.00041563,0.00041572,0.00018676,0.00011825,0.00011839,2.865e-05,2.049e-05,2.055e-05,1.553e-05,1.134e-05,1.138e-05,8.03e-06,5.96e-06,6e-06,4.06e-06,3.45e-06,3.48e-06,1.84e-06,1.71e-06,1.72e-06,1.48e-06,1.41e-06,1.43e-06,0.00519984,0.00466362,0.00466306
0.0041,0.00312719,0.00301263,0.0030125,0.00115899,0.00107121,0.00107038,0.00066641,0.00041622,0.0004163,0.00018731,0.00011861,0.00011875,2.874e-05,2.057e-05,2.062e-05,1.56e-05,1.139e-05,1.143e-05,8.07e-06,5.99e-06,6.03e-06,4.08e-06,3.47e-06,3.5e-06,1.85e-06,1.72e-06,1.73e-06,1.47e-06,1.42e-06,1.44e-06,0.00519973,0.00466322,0.00466267
0.0057,0.00312382,0.00300952,0.00300941,0.00116066,0.00107277,0.00107194,0.0006672,0.00041681,0.00041688,0.00018787,0.00011897,0.0001191,2.884e-05,2.064e-05,2.069e-05,1.567e-05,1.144e-05,1.148e-05,8.12e-06,6.02e-06,6.06e-06,4.1e-06,3.49e-06,3.51e-06,1.86e-06,1.73e-06,1.74e-06,1.49e-06,1.43e-06,1.45e-06,0.00519962,0.00466282,0.00466227
0.008,0.00312041,0.00300639,0.0030063,0.00116232,0.00107433,0.00107351,0.000668,0.00041741,0.00041747,0.00018843,0.00011934,0.00011946,2.894e-05,2.071e-05,2.076e-05,1.574e-05,1.149e-05,1.153e-05,8.16e-06,6.06e-06,6.09e-06,4.12e-06,3.51e-06,3.53e-06,1.87e-06,1.74e-06,1.75e-06,1.51e-06,1.44e-06,1.46e-06,0.00519948,0.00466241,0.00466186
0.0112,0.00311696,0.00300324,0.00300317,0.00116398,0.00107589,0.00107507,0.00066879,0.00041801,0.00041806,0.00018899,0.0001197,0.00011982,2.904e-05,2.079e-05,2.084e-05,1.581e-05,1.154e-05,1.158e-05,8.2e-06,6.09e-06,6.12e-06,4.14e-06,3.53e-06,3.55e-06,1.88e-06,1.75e-06,1.76e-06,1.51e-06,1.45e-06,1.47e-06,0.00519931,0.00466199,0.00466144
0.0158,0.00311344,0.00300007,0.00300001,0.00116565,0.00107746,0.00107659,0.0006696,0.00041861,0.00041867,0.00018956,0.00012007,0.0001202,2.914e-05,2.087e-05,2.092e-05,1.588e-05,1.159e-05,1.163e-05,8.24e-06,6.12e-06,6.15e-06,4.17e-06,3.55e-06,3.57e-06,1.89e-06,1.76e-06,1.77e-06,1.54e-06,1.46e-06,1.48e-06,0.0051991,0.00466155,0.00466098
0.0221,0.00310985,0.00299686,0.00299681,0.00116731,0.00107903,0.00107813,0.00067041,0.00041922,0.00041928,0.00019013,0.00012045,0.00012057,2.924e-05,2.094e-05,2.099e-05,1.595e-05,1.165e-05,1.169e-05,8.29e-06,6.15e-06,6.18e-06,4.19e-06,3.56e-06,3.59e-06,1.9e-06,1.77e-06,1.78e-06,1.54e-06,1.47e-06,1.49e-06,0.00519881,0.0046611,0.00466052
0.031,0.00310613,0.00299358,0.00299355,0.00116899,0.00108061,0.0010797,0.00067123,0.00041985,0.0004199,0.00019072,0.00012083,0.00012096,2.935e-05,2.102e-05,2.107e-05,1.602e-05,1.17e-05,1.174e-05,8.33e-06,6.18e-06,6.22e-06,4.21e-06,3.58e-06,3.61e-06,1.91e-06,1.78e-06,1.79e-06,1.55e-06,1.48e-06,1.5e-06,0.00519844,0.00466063,0.00466005
