hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_g7,LBLg_g7,LBLk_g7,LBL_g8,LBLg_g8,LBLk_g8,LBL_g9,LBLg_g9,LBLk_g9,LBL_g10,LBLg_g10,LBLk_g10,LBL_tot,LBLg_tot,LBLk_tot
0.0,0.183641,0.183641,0.183641,0.864582,0.864582,0.864582,3.546219,3.546219,3.546219,10.199887,10.199887,10.199887,8.022125,8.022125,8.022125,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.995588,221.20987,221.20987,221.20988
0.0006,0.18364,0.18364,0.183641,0.864581,0.864581,0.864582,3.546219,3.546219,3.546219,10.199887,10.199887,10.199887,8.022125,8.022125,8.022125,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.995588,221.20987,221.20987,221.20988
0.0009,0.18364,0.18364,0.183641,0.864581,0.864581,0.864582,3.546219,3.546219,3.546219,10.199887,10.199887,10.199887,8.022125,8.022125,8.022125,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.995588,221.20987,221.20987,221.20988
0.0012,0.18364,0.18364,0.18364,0.864581,0.864581,0.864582,3.546219,3.546219,3.546219,10.199887,10.199887,10.199887,8.022125,8.022125,8.022125,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.995588,221.20987,221.20987,221.20988
0.0017,0.18364,0.18364,0.18364,0.864581,0.864581,0.864582,3.546219,3.546219,3.546219,10.199887,10.199887,10.199887,8.022125,8.022125,8.022125,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.995588,221.20987,221.20987,221.20988
0.0024,0.183639,0.183639,0.18364,0.864581,0.864581,0.864582,3.546218,3.546219,3.546219,10.199886,10.199887,10.199887,8.022125,8.022125,8.022125,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.995588,221.20987,221.20987,221.20988
0.0034,0.183639,0.183639,0.18364,0.864581,0.864581,0.864581,3.546218,3.546219,3.546219,10.199886,10.199886,10.199887,8.022125,8.022125,8.022125,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.995588,221.20987,221.20987,221.20987
0.0048,0.183638,0.183638,0.183639,0.864581,0.864581,0.864581,3.546218,3.546218,3.546219,10.199886,10.199886,10.199887,8.022125,8.022125,8.022125,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.995588,221.20987,221.20987,221.20987
0.0067,0.183637,0.183638,0.183638,0.86458,0.864581,0.864581,3.546218,3.546218,3.546219,10.199886,10.199886,10.199887,8.022125,8.022125,8.022125,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.995588,221.20987,221.20987,221.20987
0.0094,0.183636,0.183636,0.183637,0.86458,0.86458,0.864581,3.546218,3.546218,3.546218,10.199886,10.199886,10.199887,8.022125,8.022125,8.022125,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.995588,221.20987,221.20987,221.20987
