hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0,0.095052,0.095052,0.09505233,0.447507,0.447507,0.44750743,1.835523,1.835523,1.8355228,5.279461,5.279461,5.2794612,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0006,0.095052,0.095052,0.09505211,0.447507,0.447507,0.44750735,1.835523,1.835523,1.8355227,5.279461,5.279461,5.2794612,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0009,0.095052,0.095052,0.09505202,0.447507,0.447507,0.44750732,1.835523,1.835523,1.8355227,5.279461,5.279461,5.2794612,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0012,0.095052,0.095052,0.09505189,0.447507,0.447507,0.44750727,1.835523,1.835523,1.8355227,5.279461,5.279461,5.2794612,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0017,0.095052,0.095052,0.09505171,0.447507,0.447507,0.44750721,1.835523,1.835523,1.8355227,5.279461,5.279461,5.2794612,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0024,0.095051,0.095051,0.09505147,0.447507,0.447507,0.44750712,1.835523,1.835523,1.8355226,5.279461,5.279461,5.2794612,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0034,0.095051,0.095051,0.09505112,0.447507,0.447507,0.447507,1.835523,1.835523,1.8355226,5.279461,5.279461,5.2794612,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0048,0.095051,0.095051,0.09505063,0.447507,0.447507,0.44750683,1.835522,1.835523,1.8355225,5.279461,5.279461,5.2794611,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0067,0.09505,0.09505,0.09504994,0.447507,0.447507,0.44750658,1.835522,1.835522,1.8355224,5.279461,5.279461,5.2794611,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0094,0.095049,0.095049,0.09504899,0.447506,0.447506,0.44750624,1.835522,1.835522,1.8355223,5.279461,5.279461,5.2794611,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49822,0.0,-1e-05
0.0131,0.095047,0.095048,0.09504765,0.447506,0.447506,0.44750576,1.835522,1.835522,1.8355221,5.279461,5.279461,5.279461,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49822,114.49822,114.49822,0.0,0.0
0.0184,0.095046,0.095046,0.09504577,0.447505,0.447505,0.44750509,1.835521,1.835522,1.8355218,5.279461,5.279461,5.279461,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49822,114.49822,114.49822,0.0,0.0
