hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0003,0.00314532,0.00302943,0.00303177,0.00114989,0.00106267,0.00106273,0.00066217,0.00041302,0.00041346,0.00018433,0.00011666,0.0001169,2.823e-05,2.017e-05,2.024e-05,1.524e-05,1.112e-05,1.117e-05,7.86e-06,5.83e-06,5.87e-06,3.97e-06,3.38e-06,3.4e-06,1.8e-06,1.66e-06,1.68e-06,1.43e-06,1.37e-06,1.39e-06,0.00520024,0.00466532,0.00466862,-0.00053492,-0.00053162
0.0008,0.00314371,0.00302794,0.00303028,0.0011507,0.00106343,0.00106349,0.00066254,0.0004133,0.00041374,0.00018458,0.00011683,0.00011707,2.827e-05,2.021e-05,2.028e-05,1.527e-05,1.114e-05,1.12e-05,7.88e-06,5.84e-06,5.88e-06,3.97e-06,3.38e-06,3.41e-06,1.8e-06,1.67e-06,1.68e-06,1.43e-06,1.38e-06,1.4e-06,0.00520015,0.00466514,0.00466843,-0.00053501,-0.00053172
0.0011,0.00314048,0.00302494,0.00302727,0.00115234,0.00106497,0.00106502,0.0006633,0.00041388,0.00041431,0.00018512,0.00011718,0.00011742,2.836e-05,2.028e-05,2.035e-05,1.534e-05,1.119e-05,1.124e-05,7.92e-06,5.87e-06,5.91e-06,4e-06,3.4e-06,3.43e-06,1.81e-06,1.68e-06,1.69e-06,1.46e-06,1.38e-06,1.4e-06,0.00520011,0.00466477,0.00466805,-0.00053534,-0.00053206
0.0015,0.00313718,0.00302187,0.00302421,0.001154,0.00106653,0.00106657,0.00066407,0.00041446,0.00041489,0.00018566,0.00011754,0.00011778,2.845e-05,2.035e-05,2.042e-05,1.54e-05,1.124e-05,1.129e-05,7.95e-06,5.9e-06,5.94e-06,4.02e-06,3.42e-06,3.45e-06,1.81e-06,1.69e-06,1.7e-06,1.46e-06,1.39e-06,1.41e-06,0.0052,0.00466439,0.00466767,-0.00053561,-0.00053233
0.0021,0.00313387,0.0030188,0.00302115,0.00115567,0.00106809,0.00106813,0.00066485,0.00041504,0.00041547,0.0001862,0.00011789,0.00011813,2.855e-05,2.042e-05,2.049e-05,1.546e-05,1.129e-05,1.134e-05,7.99e-06,5.93e-06,5.97e-06,4.04e-06,3.44e-06,3.46e-06,1.83e-06,1.7e-06,1.71e-06,1.47e-06,1.4e-06,1.42e-06,0.00519993,0.00466401,0.00466729,-0.00053592,-0.00053264
0.0029,0.00313054,0.00301572,0.00301807,0.00115733,0.00106965,0.00106969,0.00066563,0.00041563,0.00041606,0.00018676,0.00011825,0.00011849,2.865e-05,2.049e-05,2.056e-05,1.553e-05,1.134e-05,1.139e-05,8.03e-06,5.96e-06,6e-06,4.06e-06,3.45e-06,3.48e-06,1.84e-06,1.71e-06,1.72e-06,1.48e-06,1.41e-06,1.43e-06,0.00519984,0.00466362,0.0046669,-0.00053622,-0.00053294
0.0041,0.00312719,0.00301263,0.00301498,0.00115899,0.00107121,0.00107126,0.00066641,0.00041622,0.00041664,0.00018731,0.00011861,0.00011884,2.874e-05,2.057e-05,2.064e-05,1.56e-05,1.139e-05,1.144e-05,8.07e-06,5.99e-06,6.03e-06,4.08e-06,3.47e-06,3.5e-06,1.85e-06,1.72e-06,1.73e-06,1.47e-06,1.42e-06,1.44e-06,0.00519973,0.00466322,0.00466651,-0.00053651,-0.00053322
0.0057,0.00312382,0.00300952,0.00301189,0.00116066,0.00107277,0.00107282,0.0006672,0.00041681,0.00041723,0.00018787,0.00011897,0.0001192,2.884e-05,2.064e-05,2.071e-05,1.567e-05,1.144e-05,1.149e-05,8.12e-06,6.02e-06,6.06e-06,4.1e-06,3.49e-06,3.52e-06,1.86e-06,1.73e-06,1.74e-06,1.49e-06,1.43e-06,1.45e-06,0.00519962,0.00466282,0.00466611,-0.0005368,-0.00053351
0.008,0.00312041,0.00300639,0.00300877,0.00116232,0.00107433,0.0010744,0.000668,0.00041741,0.00041781,0.00018843,0.00011934,0.00011956,2.894e-05,2.071e-05,2.078e-05,1.574e-05,1.149e-05,1.154e-05,8.16e-06,6.06e-06,6.09e-06,4.12e-06,3.51e-06,3.53e-06,1.87e-06,1.74e-06,1.75e-06,1.51e-06,1.44e-06,1.46e-06,0.00519948,0.00466241,0.0046657,-0.00053707,-0.00053378
0.0112,0.00311696,0.00300324,0.00300564,0.00116398,0.00107589,0.00107595,0.00066879,0.00041801,0.00041841,0.00018899,0.0001197,0.00011992,2.904e-05,2.079e-05,2.086e-05,1.581e-05,1.154e-05,1.159e-05,8.2e-06,6.09e-06,6.12e-06,4.14e-06,3.53e-06,3.55e-06,1.88e-06,1.75e-06,1.76e-06,1.51e-06,1.45e-06,1.47e-06,0.00519931,0.00466199,0.00466527,-0.00053732,-0.00053404
