hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0003,0.00387304,0.00373027,0.00373315,0.00141429,0.00130701,0.00130709,0.00081455,0.000508,0.00050854,0.00022652,0.00014338,0.00014368,3.466e-05,2.479e-05,2.487e-05,1.87e-05,1.366e-05,1.372e-05,9.62e-06,7.16e-06,7.2e-06,4.84e-06,4.15e-06,4.18e-06,2.18e-06,2.04e-06,2.06e-06,1.64e-06,1.68e-06,1.71e-06,0.00640004,0.00574215,0.00574621,-0.00065789,-0.00065383
0.0008,0.00387137,0.00372873,0.0037316,0.00141513,0.0013078,0.00130788,0.00081493,0.0005083,0.00050883,0.00022681,0.00014356,0.00014386,3.472e-05,2.482e-05,2.491e-05,1.874e-05,1.368e-05,1.375e-05,9.67e-06,7.17e-06,7.22e-06,4.89e-06,4.15e-06,4.19e-06,2.21e-06,2.05e-06,2.07e-06,1.63e-06,1.69e-06,1.71e-06,0.00640011,0.00574196,0.00574601,-0.00065815,-0.0006541
0.0011,0.00386785,0.00372545,0.00372833,0.00141693,0.00130948,0.00130954,0.00081575,0.00050892,0.00050946,0.0002274,0.00014394,0.00014424,3.483e-05,2.49e-05,2.499e-05,1.882e-05,1.374e-05,1.38e-05,9.7e-06,7.2e-06,7.25e-06,4.9e-06,4.17e-06,4.21e-06,2.21e-06,2.06e-06,2.08e-06,1.64e-06,1.7e-06,1.72e-06,0.00640002,0.00574156,0.0057456,-0.00065846,-0.00065442
0.0015,0.0038641,0.00372197,0.00372485,0.00141882,0.00131125,0.00131131,0.00081663,0.00050958,0.00051012,0.00022801,0.00014434,0.00014464,3.494e-05,2.498e-05,2.507e-05,1.889e-05,1.379e-05,1.386e-05,9.75e-06,7.24e-06,7.28e-06,4.92e-06,4.19e-06,4.23e-06,2.23e-06,2.07e-06,2.09e-06,1.67e-06,1.71e-06,1.73e-06,0.00639996,0.00574113,0.00574517,-0.00065883,-0.00065479
0.0021,0.00386034,0.00371848,0.00372136,0.00142072,0.00131303,0.00131308,0.00081751,0.00051025,0.00051078,0.00022863,0.00014475,0.00014504,3.505e-05,2.506e-05,2.515e-05,1.897e-05,1.385e-05,1.391e-05,9.8e-06,7.27e-06,7.32e-06,4.95e-06,4.21e-06,4.25e-06,2.23e-06,2.08e-06,2.1e-06,1.73e-06,1.72e-06,1.74e-06,0.00639993,0.0057407,0.00574474,-0.00065923,-0.00065519
0.0029,0.00385657,0.00371498,0.00371787,0.00142262,0.00131481,0.00131486,0.0008184,0.00051091,0.00051144,0.00022926,0.00014516,0.00014545,3.515e-05,2.515e-05,2.523e-05,1.904e-05,1.39e-05,1.397e-05,9.84e-06,7.31e-06,7.35e-06,4.97e-06,4.23e-06,4.27e-06,2.25e-06,2.09e-06,2.11e-06,1.79e-06,1.73e-06,1.75e-06,0.00639989,0.00574026,0.0057443,-0.00065963,-0.00065559
0.0041,0.00385278,0.00371147,0.00371436,0.00142451,0.00131659,0.00131664,0.00081929,0.00051158,0.0005121,0.00022989,0.00014556,0.00014585,3.526e-05,2.523e-05,2.531e-05,1.912e-05,1.396e-05,1.402e-05,9.89e-06,7.34e-06,7.39e-06,5e-06,4.25e-06,4.29e-06,2.26e-06,2.1e-06,2.12e-06,1.81e-06,1.74e-06,1.76e-06,0.0063998,0.00573982,0.00574386,-0.00065998,-0.00065594
0.0057,0.00384896,0.00370794,0.00371085,0.00142641,0.00131837,0.00131842,0.00082018,0.00051226,0.00051277,0.00023052,0.00014598,0.00014626,3.537e-05,2.531e-05,2.54e-05,1.92e-05,1.402e-05,1.408e-05,9.94e-06,7.38e-06,7.42e-06,5.02e-06,4.27e-06,4.31e-06,2.27e-06,2.11e-06,2.13e-06,1.83e-06,1.75e-06,1.77e-06,0.00639969,0.00573938,0.00574341,-0.00066031,-0.00065628
0.008,0.00384511,0.00370439,0.00370732,0.00142831,0.00132015,0.00132021,0.00082108,0.00051293,0.00051344,0.00023116,0.00014639,0.00014666,3.549e-05,2.54e-05,2.548e-05,1.927e-05,1.407e-05,1.414e-05,9.98e-06,7.41e-06,7.46e-06,5.04e-06,4.29e-06,4.33e-06,2.28e-06,2.12e-06,2.14e-06,1.83e-06,1.76e-06,1.79e-06,0.00639955,0.00573892,0.00574296,-0.00066063,-0.00065659
0.0112,0.00384122,0.00370083,0.00370377,0.00143021,0.00132193,0.00132198,0.00082199,0.00051362,0.00051411,0.0002318,0.00014681,0.00014708,3.56e-05,2.548e-05,2.556e-05,1.935e-05,1.413e-05,1.419e-05,1.003e-05,7.45e-06,7.49e-06,5.07e-06,4.31e-06,4.35e-06,2.3e-06,2.13e-06,2.15e-06,1.85e-06,1.77e-06,1.8e-06,0.00639941,0.00573846,0.00574249,-0.00066095,-0.00065692
