hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0,0.183641,0.183641,0.18364052,0.864582,0.864582,0.86458159,3.546219,3.546219,3.5462186,10.199887,10.199887,10.199886,8.022125,8.022125,8.0221243,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.99558,221.20987,221.20987,221.20987,0.0,0.0
0.0006,0.18364,0.18364,0.18364024,0.864581,0.864581,0.86458149,3.546219,3.546219,3.5462186,10.199887,10.199887,10.199886,8.022125,8.022125,8.0221243,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.99558,221.20987,221.20987,221.20987,0.0,0.0
0.0009,0.18364,0.18364,0.18364013,0.864581,0.864581,0.86458145,3.546219,3.546219,3.5462186,10.199887,10.199887,10.199886,8.022125,8.022125,8.0221243,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.99558,221.20987,221.20987,221.20987,0.0,0.0
0.0012,0.18364,0.18364,0.18363998,0.864581,0.864581,0.8645814,3.546219,3.546219,3.5462186,10.199887,10.199887,10.199886,8.022125,8.022125,8.0221243,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.99558,221.20987,221.20987,221.20987,0.0,0.0
0.0017,0.18364,0.18364,0.18363976,0.864581,0.864581,0.86458132,3.546219,3.546219,3.5462185,10.199887,10.199887,10.199886,8.022125,8.022125,8.0221243,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.99558,221.20987,221.20987,221.20987,0.0,0.0
0.0024,0.183639,0.183639,0.18363946,0.864581,0.864581,0.86458121,3.546218,3.546219,3.5462185,10.199886,10.199887,10.199886,8.022125,8.022125,8.0221243,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.99558,221.20987,221.20987,221.20987,0.0,0.0
0.0034,0.183639,0.183639,0.18363904,0.864581,0.864581,0.86458105,3.546218,3.546219,3.5462184,10.199886,10.199886,10.199886,8.022125,8.022125,8.0221243,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.99558,221.20987,221.20987,221.20987,0.0,0.0
0.0048,0.183638,0.183638,0.18363845,0.864581,0.864581,0.86458083,3.546218,3.546218,3.5462183,10.199886,10.199886,10.199886,8.022125,8.022125,8.0221243,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.99558,221.20987,221.20987,221.20987,0.0,0.0
0.0067,0.183638,0.183638,0.18363763,0.86458,0.864581,0.86458052,3.546218,3.546218,3.5462182,10.199886,10.199886,10.199886,8.022125,8.022125,8.0221243,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.99558,221.20987,221.20987,221.20987,0.0,0.0
0.0094,0.183636,0.183636,0.18363649,0.86458,0.86458,0.86458008,3.546218,3.546218,3.546218,10.199886,10.199886,10.199886,8.022125,8.022125,8.0221243,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.99558,221.20987,221.20987,221.20986,0.0,-1e-05
0.0131,0.183635,0.183635,0.18363489,0.864579,0.864579,0.86457947,3.546217,3.546218,3.5462178,10.199886,10.199886,10.199886,8.022125,8.022125,8.0221243,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.99558,221.20987,221.20987,221.20986,0.0,-1e-05
0.0184,0.183632,0.183633,0.18363266,0.864578,0.864579,0.8645786,3.546217,3.546218,3.5462175,10.199886,10.199886,10.199886,8.022124,8.022125,8.0221242,10.604867,10.604867,10.604867,12.641185,12.641185,12.641185,14.942103,14.942103,14.942103,16.20968,16.20968,16.20968,143.995588,143.995588,143.99558,221.20986,221.20986,221.20986,0.0,0.0
