hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0,0.367281,0.367281,0.36728103,1.729163,1.729163,1.7291632,7.092437,7.092437,7.0924373,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209734,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41975,442.41975,442.41974,0.0,-1e-05
0.0006,0.367281,0.367281,0.36728076,1.729163,1.729163,1.7291631,7.092437,7.092437,7.0924372,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209734,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41975,442.41975,442.41974,0.0,-1e-05
0.0009,0.367281,0.367281,0.36728065,1.729163,1.729163,1.729163,7.092437,7.092437,7.0924372,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209734,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41975,442.41975,442.41974,0.0,-1e-05
0.0012,0.36728,0.36728,0.36728049,1.729163,1.729163,1.729163,7.092437,7.092437,7.0924372,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209734,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41975,442.41975,442.41974,0.0,-1e-05
0.0017,0.36728,0.36728,0.36728027,1.729163,1.729163,1.7291629,7.092437,7.092437,7.0924371,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209734,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41975,442.41975,442.41974,0.0,-1e-05
0.0024,0.36728,0.36728,0.36727997,1.729163,1.729163,1.7291628,7.092437,7.092437,7.0924371,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41975,442.41975,442.41974,0.0,-1e-05
0.0034,0.367279,0.36728,0.36727954,1.729163,1.729163,1.7291626,7.092437,7.092437,7.092437,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41975,442.41975,442.41974,0.0,-1e-05
0.0048,0.367279,0.367279,0.36727894,1.729162,1.729162,1.7291624,7.092437,7.092437,7.092437,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41975,442.41975,442.41974,0.0,-1e-05
0.0067,0.367278,0.367278,0.36727809,1.729162,1.729162,1.7291621,7.092437,7.092437,7.0924368,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41974,442.41975,442.41974,1e-05,0.0
0.0094,0.367277,0.367277,0.36727691,1.729162,1.729162,1.7291617,7.092437,7.092437,7.0924367,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41974,442.41974,442.41974,0.0,0.0
0.0131,0.367275,0.367275,0.36727526,1.729161,1.729161,1.7291611,7.092436,7.092437,7.0924365,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209734,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41974,442.41974,442.41973,0.0,-1e-05
0.0184,0.367273,0.367273,0.36727294,1.72916,1.72916,1.7291603,7.092436,7.092436,7.0924361,20.399773,20.399773,20.399773,16.044249,16.044249,16.044249,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41974,442.41974,442.41973,0.0,-1e-05
0.0258,0.367269,0.36727,0.36726969,1.729159,1.729159,1.7291591,7.092435,7.092436,7.0924357,20.399772,20.399773,20.399772,16.044249,16.044249,16.044249,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41973,442.41973,442.41972,0.0,-1e-05
0.0362,0.367265,0.367265,0.36726514,1.729157,1.729157,1.7291575,7.092434,7.092435,7.092435,20.399772,20.399772,20.399772,16.044249,16.044249,16.044248,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41972,442.41973,442.41972,1e-05,0.0
0.0508,0.367258,0.367259,0.36725877,1.729155,1.729155,1.7291552,7.092432,7.092434,7.0924342,20.399772,20.399772,20.399772,16.044249,16.044249,16.044248,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41971,442.41972,442.41971,1e-05,0.0
0.0713,0.367249,0.36725,0.36724985,1.729151,1.729152,1.729152,7.09243,7.092433,7.0924329,20.399771,20.399772,20.399772,16.044249,16.044249,16.044248,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.4197,442.4197,442.41969,0.0,-1e-05
0.1,0.367236,0.367237,0.36723744,1.729146,1.729147,1.7291474,7.092428,7.092431,7.0924311,20.39977,20.399771,20.399771,16.044249,16.044249,16.044248,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41967,442.41968,442.41967,1e-05,0.0
0.1403,0.367218,0.36722,0.36722025,1.729139,1.729141,1.7291408,7.092424,7.092429,7.0924286,20.399769,20.399771,20.39977,16.044249,16.044249,16.044248,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.41964,442.41965,442.41965,1e-05,1e-05
0.1968,0.367193,0.367197,0.36719644,1.729129,1.729131,1.7291315,7.092418,7.092425,7.0924249,20.399767,20.399769,20.399769,16.044248,16.044249,16.044248,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117,442.4196,442.41962,442.41961,2e-05,1e-05
