,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.00386,0.00372,0.00373,0.0014199999999999998,0.00131,0.00131,0.00082,0.0005099999999999999,0.0005099999999999999,0.00022999999999999998,0.00014,0.00014,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0057399999999999994,0.00575,-0.00066,-0.00065
1,0.0008,0.00386,0.00371,0.00372,0.0014199999999999998,0.00131,0.00132,0.00082,0.0005099999999999999,0.0005099999999999999,0.00022999999999999998,0.00015,0.00015,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0057399999999999994,0.0057399999999999994,-0.00066,-0.00066
2,0.0011,0.0038399999999999997,0.0037,0.0037,0.00143,0.00132,0.00132,0.00082,0.0005099999999999999,0.0005099999999999999,0.00022999999999999998,0.00015,0.00015,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0057399999999999994,0.0057399999999999994,-0.00066,-0.00066
3,0.0015,0.0038200000000000005,0.0036799999999999997,0.0036799999999999997,0.00144,0.00133,0.00133,0.0008300000000000001,0.0005200000000000001,0.0005200000000000001,0.00023999999999999998,0.00015,0.00015,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0057399999999999994,0.0057399999999999994,-0.00066,-0.00066
4,0.0021,0.0038,0.00366,0.00367,0.00145,0.00134,0.00134,0.0008300000000000001,0.0005200000000000001,0.0005200000000000001,0.00023999999999999998,0.00015,0.00015,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.00573,0.0057399999999999994,-0.00067,-0.00066
5,0.0029,0.0037799999999999995,0.00365,0.00365,0.00146,0.00135,0.00135,0.00084,0.0005200000000000001,0.0005200000000000001,0.00023999999999999998,0.00015,0.00015,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.00573,0.0057399999999999994,-0.00067,-0.00066
6,0.0041,0.0037600000000000003,0.0036299999999999995,0.0036299999999999995,0.00147,0.0013599999999999999,0.0013599999999999999,0.00084,0.00053,0.00053,0.00025,0.00016,0.00016,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.00573,0.00573,-0.00067,-0.00067
7,0.0057,0.00374,0.00361,0.00361,0.00148,0.00137,0.00137,0.00085,0.00053,0.00053,0.00025,0.00016,0.00016,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.00573,0.00573,-0.00067,-0.00067
8,0.008,0.00372,0.00359,0.00359,0.00149,0.00137,0.00137,0.00085,0.00053,0.00053,0.00025,0.00016,0.00016,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.00572,0.00573,-0.0006799999999999999,-0.00067
9,0.0112,0.0037,0.0035700000000000003,0.00358,0.0015,0.0013800000000000002,0.0013800000000000002,0.00086,0.00054,0.00054,0.00026000000000000003,0.00016,0.00016,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.00572,0.00572,-0.0006799999999999999,-0.00067
10,0.0158,0.0036799999999999997,0.0035600000000000002,0.0035600000000000002,0.0015,0.00139,0.00139,0.00086,0.00054,0.00054,0.00026000000000000003,0.00016,0.00016,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.00572,0.00572,-0.0006799999999999999,-0.0006799999999999999
11,0.0221,0.00366,0.0035399999999999997,0.0035399999999999997,0.00151,0.0014,0.0014,0.0008699999999999999,0.00055,0.00055,0.00026000000000000003,0.00016999999999999999,0.00016999999999999999,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.00571,0.00572,-0.0006799999999999999,-0.0006799999999999999
12,0.031,0.00364,0.00352,0.00352,0.0015199999999999999,0.00141,0.00141,0.0008699999999999999,0.00055,0.00055,0.00027,0.00016999999999999999,0.00016999999999999999,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.00571,0.00572,-0.0006900000000000001,-0.0006799999999999999
13,0.0435,0.0036299999999999995,0.0035,0.0035,0.0015300000000000001,0.00141,0.0014199999999999998,0.00088,0.00055,0.00055,0.00027,0.00016999999999999999,0.00016999999999999999,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.00571,0.00571,-0.0006900000000000001,-0.0006799999999999999
14,0.0611,0.00361,0.00349,0.00349,0.0015400000000000001,0.0014199999999999998,0.0014199999999999998,0.00088,0.00055,0.00056,0.00027,0.00016999999999999999,0.00016999999999999999,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.00571,0.00571,-0.0006900000000000001,-0.0006900000000000001
15,0.0856,0.0036,0.0034799999999999996,0.0034799999999999996,0.0015400000000000001,0.0014199999999999998,0.00143,0.00088,0.00056,0.00056,0.00028,0.00016999999999999999,0.00016999999999999999,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0057,0.00571,-0.0006900000000000001,-0.0006900000000000001
16,0.1201,0.00359,0.00346,0.0034700000000000004,0.00155,0.00143,0.00143,0.0008900000000000001,0.00056,0.00056,0.00028,0.00018,0.00018,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0057,0.00571,-0.0006900000000000001,-0.0006900000000000001
17,0.1685,0.0035700000000000003,0.00345,0.00346,0.00155,0.00143,0.00144,0.0008900000000000001,0.00056,0.00056,0.00028,0.00018,0.00018,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0057,0.0057,-0.0007,-0.0006900000000000001
18,0.2364,0.0035600000000000002,0.00344,0.00344,0.00156,0.00144,0.00144,0.0008900000000000001,0.00056,0.00056,0.00028,0.00018,0.00018,5e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0057,0.0057,-0.0007,-0.0006900000000000001
