ig,ip,t1,t2,t3,t4,t5
1,1,4.8431739999999996e-20,5.2159217000000006e-20,5.527612400000001e-20,5.7897586e-20,6.0099671e-20
1,2,4.8629055e-20,5.2323613e-20,5.541427099999999e-20,5.8013934e-20,6.019718599999998e-20
1,3,4.8827581e-20,5.2489135999999997e-20,5.555342600000001e-20,5.8131145e-20,6.029541099999999e-20
1,4,4.902603299999999e-20,5.265472099999999e-20,5.569269899999999e-20,5.8248476e-20,6.039373e-20
1,5,4.9224839999999995e-20,5.282073500000001e-20,5.583240500000001e-20,5.836619799999999e-20,6.0492378e-20
1,6,4.9426089999999994e-20,5.2988932e-20,5.597402500000001e-20,5.8485567e-20,6.059241400000001e-20
1,7,4.9621129e-20,5.3152100999999995e-20,5.6111509e-20,5.8601504e-20,6.068961200000001e-20
1,8,4.9861456e-20,5.3353265999999994e-20,5.6281048e-20,5.8744457e-20,6.0809405e-20
1,9,5.014961099999999e-20,5.3594633e-20,5.648453500000001e-20,5.891601799999999e-20,6.0953102e-20
1,10,5.054710099999999e-20,5.3927755e-20,5.6765383e-20,5.9152662e-20,6.1151056e-20
1,11,5.0979941000000003e-20,5.4290935e-20,5.707174400000001e-20,5.9410783e-20,6.136684e-20
1,12,5.143221700000001e-20,5.467093599999999e-20,5.7392506e-20,5.9681047e-20,6.159267099999999e-20
1,13,5.1895275999999996e-20,5.506056400000001e-20,5.7721643e-20,5.9958415e-20,6.182437999999999e-20
1,14,5.2371278e-20,5.5461683e-20,5.8060762e-20,6.024427400000001e-20,6.2061775e-20
1,15,5.2859002000000003e-20,5.587333499999999e-20,5.840910900000001e-20,6.053804900000001e-20,6.230532900000001e-20
1,16,5.3363450999999996e-20,5.6299806e-20,5.8770365e-20,6.0842906e-20,6.255820300000001e-20
1,17,5.3886605000000004e-20,5.6742871e-20,5.9146125e-20,6.1160295e-20,6.282174299999999e-20
1,18,5.4384578e-20,5.716575400000001e-20,5.9505629e-20,6.146476199999999e-20,6.3075578e-20
1,19,5.482135500000001e-20,5.7538318e-20,5.982382900000001e-20,6.173583399999999e-20,6.330373200000001e-20
1,20,5.5023155e-20,5.771461e-20,5.9978548e-20,6.187244500000001e-20,6.3425504e-20
1,21,5.5162419e-20,5.784017599999999e-20,6.009248000000001e-20,6.1977224e-20,6.3524626e-20
1,22,5.525690499999999e-20,5.793067099999998e-20,6.017928500000001e-20,6.206204200000001e-20,6.3611447e-20
1,23,5.5412285e-20,5.8076001e-20,6.0315224e-20,6.2191087e-20,6.373883799999999e-20
1,24,5.569117900000001e-20,5.8330261e-20,6.054683000000001e-20,6.2404172e-20,6.3940453e-20
1,25,5.6135804e-20,5.8731082e-20,6.090728e-20,6.273039199999999e-20,6.4241595e-20
1,26,5.6821912e-20,5.9345183e-20,6.1454853e-20,6.3220342e-20,6.468343900000001e-20
1,27,5.7834458e-20,6.0248209e-20,6.225618700000001e-20,6.3932294e-20,6.5319085e-20
1,28,5.924173999999999e-20,6.150372400000001e-20,6.336898300000001e-20,6.4917964e-20,6.619456800000001e-20
1,29,6.1151238e-20,6.320954599999999e-20,6.4880855e-20,6.6254951e-20,6.7377965e-20
1,30,6.3604785e-20,6.541282e-20,6.6839388e-20,6.798909200000001e-20,6.8912555e-20
1,31,6.668613700000001e-20,6.819919199999999e-20,6.932688400000001e-20,7.019692500000001e-20,7.08682e-20
1,32,7.0477023e-20,7.1657235e-20,7.243117900000001e-20,7.296172200000002e-20,7.3321884e-20
1,33,7.505342e-20,7.5875692e-20,7.6243554e-20,7.637183999999999e-20,7.6356329e-20
1,34,8.0474896e-20,8.093389299999999e-20,8.085020900000001e-20,8.051310799999999e-20,8.0053161e-20
1,35,8.6771299e-20,8.688194500000001e-20,8.6310431e-20,8.544699199999999e-20,8.4471889e-20
1,36,9.390047900000001e-20,9.371828699999999e-20,9.2644311e-20,9.120366800000001e-20,8.9646297e-20
1,37,1.0173148e-19,1.0138167000000001e-19,9.9829771e-20,9.778113400000001e-20,9.5583909e-20
1,38,1.0997761e-19,1.0970793e-19,1.0777585e-19,1.0512826999999999e-19,1.0225453999999999e-19
1,39,1.1810044e-19,1.1831128e-19,1.1620638000000001e-19,1.1303809999999999e-19,1.0949394e-19
1,40,1.2528527000000001e-19,1.264486e-19,1.2448374e-19,1.2096603e-19,1.1683096999999999e-19
1,41,1.3059333000000001e-19,1.3303854e-19,1.3154917999999999e-19,1.2793831000000001e-19,1.2338989e-19
1,42,1.3367252e-19,1.3694374e-19,1.3588160000000002e-19,1.3232549e-19,1.2757796999999998e-19
1,43,1.3368768e-19,1.3719636e-19,1.3642844e-19,1.3307238e-19,1.2839625e-19
1,44,1.2967616e-19,1.3313192000000003e-19,1.3267884e-19,1.2975043e-19,1.2547253999999998e-19
1,45,1.2187286999999999e-19,1.2495622e-19,1.2473143999999998e-19,1.2233575e-19,1.186826e-19
1,46,1.1132517999999998e-19,1.1370195e-19,1.1349409e-19,1.1155489e-19,1.0856587e-19
1,47,9.9421145e-20,1.0073414999999999e-19,1.002347e-19,9.852082400000001e-20,9.6053909e-20
1,48,8.660317e-20,8.7134287e-20,8.645250099999998e-20,8.495825300000002e-20,8.2935641e-20
1,49,7.387366099999999e-20,7.392083199999999e-20,7.317580199999999e-20,7.1899855e-20,7.024575200000001e-20
1,50,6.197785000000001e-20,6.1805171e-20,6.1106232e-20,6.0050723e-20,5.8721973e-20
