,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.062479999999999994,0.059989999999999995,0.060039999999999996,0.027880000000000002,0.02563,0.02565,0.01042,0.00594,0.00594,0.00323,0.00187,0.00187,0.001,0.0006,0.0006,0.00027,0.00016,0.00016,5.9999999999999995e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.10535,0.09423,0.09431,-0.01112,-0.011040000000000001
1,0.0008,0.06245,0.05996,0.06001,0.027889999999999998,0.025639999999999996,0.025660000000000002,0.01043,0.00594,0.00595,0.00324,0.00187,0.0018800000000000002,0.001,0.0006,0.0006,0.00027,0.00016,0.00016,5.9999999999999995e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.10535,0.09423,0.0943,-0.01112,-0.011040000000000001
2,0.0011,0.06238,0.0599,0.05995,0.02792,0.025660000000000002,0.02568,0.01045,0.00595,0.00596,0.00325,0.0018800000000000002,0.0018800000000000002,0.001,0.0006,0.0006,0.00027,0.00016999999999999999,0.00016999999999999999,5.9999999999999995e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.10534,0.09421,0.09429,-0.01113,-0.01105
3,0.0015,0.0623,0.059829999999999994,0.059879999999999996,0.02795,0.025689999999999998,0.025710000000000004,0.01047,0.00596,0.0059700000000000005,0.0032600000000000003,0.0018899999999999998,0.0018899999999999998,0.00101,0.0006,0.0006,0.00027,0.00016999999999999999,0.00016999999999999999,5.9999999999999995e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.10533,0.09419,0.09427,-0.01114,-0.011059999999999999
4,0.0021,0.062229999999999994,0.059770000000000004,0.059820000000000005,0.02797,0.025710000000000004,0.025730000000000003,0.010490000000000001,0.00598,0.00598,0.0032700000000000003,0.0018899999999999998,0.0018899999999999998,0.00101,0.0006,0.0006,0.00027,0.00016999999999999999,0.00016999999999999999,5.9999999999999995e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.10532000000000001,0.09417,0.09425,-0.01115,-0.01107
5,0.0029,0.06215,0.0597,0.05975,0.028,0.02574,0.02576,0.01051,0.00599,0.00599,0.00328,0.0019,0.0019,0.0010199999999999999,0.00061,0.00061,0.00027,0.00016999999999999999,0.00016999999999999999,5.9999999999999995e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.1053,0.09415,0.09423,-0.01116,-0.01108
6,0.0041,0.06207000000000001,0.059629999999999996,0.05968,0.028030000000000003,0.02576,0.025789999999999997,0.01053,0.006,0.00601,0.00329,0.0019,0.0019100000000000002,0.0010199999999999999,0.00061,0.00061,0.00027,0.00016999999999999999,0.00016999999999999999,5.9999999999999995e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.10529000000000001,0.09412999999999999,0.0942,-0.01116,-0.01108
7,0.0057,0.061989999999999996,0.05956,0.05961,0.02805,0.025789999999999997,0.025810000000000003,0.01055,0.00601,0.00602,0.0033,0.0019100000000000002,0.0019100000000000002,0.0010199999999999999,0.00061,0.00061,0.00027,0.00016999999999999999,0.00016999999999999999,5.9999999999999995e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.10527,0.0941,0.09418,-0.01116,-0.01108
8,0.008,0.0619,0.059489999999999994,0.059539999999999996,0.02808,0.02582,0.02584,0.01057,0.00602,0.00603,0.00331,0.0019199999999999998,0.0019199999999999998,0.00103,0.00061,0.00061,0.00027,0.00016999999999999999,0.00016999999999999999,5.9999999999999995e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.10524000000000001,0.09408,0.09416000000000001,-0.01116,-0.01108
9,0.0112,0.061810000000000004,0.05942000000000001,0.05947,0.028110000000000003,0.02584,0.02586,0.01059,0.00604,0.00604,0.0033200000000000005,0.0019199999999999998,0.0019199999999999998,0.00103,0.00062,0.00062,0.00028,0.00016999999999999999,0.00016999999999999999,5.9999999999999995e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.10520999999999998,0.09405,0.09412999999999999,-0.01115,-0.01108
