ig,ip,t1,t2,t3,t4,t5
1,1,1.4268163999999998e-17,1.3381007999999999e-17,1.2522610000000001e-17,1.1705866e-17,1.0937896e-17
1,2,1.4225273e-17,1.333916e-17,1.2482554999999999e-17,1.1668048999999999e-17,1.0902529e-17
1,3,1.4181893000000002e-17,1.3296894e-17,1.244214e-17,1.1629920000000001e-17,1.0866888e-17
1,4,1.4138345e-17,1.3254526e-17,1.2401671999999999e-17,1.1591767999999999e-17,1.0831247e-17
1,5,1.4094582e-17,1.3212014999999999e-17,1.2361112e-17,1.1553562e-17,1.0795574e-17
1,6,1.405019e-17,1.3168962000000001e-17,1.2320084000000001e-17,1.1514946e-17,1.0759541e-17
1,7,1.4007232999999998e-17,1.3127382000000001e-17,1.2280513e-17,1.147774e-17,1.0724849000000001e-17
1,8,1.3953867e-17,1.3075778e-17,1.2231441e-17,1.1431624e-17,1.0681863e-17
1,9,1.3889309e-17,1.3013437e-17,1.2172214e-17,1.1376003e-17,1.0630043e-17
1,10,1.3798598000000001e-17,1.2925934e-17,1.2089147e-17,1.1298033e-17,1.0557423e-17
1,11,1.3698738e-17,1.2829831999999999e-17,1.1998069e-17,1.1212645e-17,1.047796e-17
1,12,1.3593499e-17,1.2728819e-17,1.1902519999999999e-17,1.1123186e-17,1.0394788000000001e-17
1,13,1.3485157e-17,1.2625123999999998e-17,1.1804633e-17,1.1031672e-17,1.0309792e-17
1,14,1.3373455000000001e-17,1.2518524e-17,1.1704215e-17,1.0937933e-17,1.0222045000000001e-17
1,15,1.3259104999999998e-17,1.2409729e-17,1.1601958e-17,1.084263e-17,1.0132695999999999e-17
1,16,1.314133e-17,1.2298029e-17,1.1497208e-17,1.0745164999999999e-17,1.0041457e-17
1,17,1.3020282999999999e-17,1.2183602000000001e-17,1.139016e-17,1.0645736999999999e-17,9.948533499999999e-18
1,18,1.2909201e-17,1.2079112e-17,1.1292767e-17,1.0555527000000001e-17,9.8644541e-18
1,19,1.2820388e-17,1.1996283e-17,1.1216068e-17,1.0484847e-17,9.7989251e-18
1,20,1.2806799e-17,1.1985606e-17,1.1207623e-17,1.0478124e-17,9.7937354e-18
1,21,1.2822818e-17,1.2003808e-17,1.1226836e-17,1.0497561e-17,9.813453800000001e-18
1,22,1.2866705e-17,1.2049575999999999e-17,1.1272709e-17,1.0542394e-17,9.8575096e-18
1,23,1.2912296e-17,1.2098319e-17,1.1322329e-17,1.0591401e-17,9.9061049e-18
1,24,1.2947031000000001e-17,1.2138422e-17,1.1365014e-17,1.0634789e-17,9.9501999e-18
