,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_g11,LBLk_g11,PAR_g11,LBL_g12,LBLk_g12,PAR_g12,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.19155,0.18537,0.1855,0.07918,0.07472000000000001,0.07478,0.014480000000000002,0.013680000000000001,0.01369,0.0023,0.00202,0.00202,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00016999999999999999,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28786,0.27607,0.27628,-0.01179,-0.01158
1,0.0008,0.19064,0.18481,0.18494000000000002,0.07923999999999999,0.0748,0.07486,0.014509999999999999,0.01371,0.01372,0.0023,0.00203,0.00203,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00016999999999999999,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28704,0.27562,0.27583,-0.01142,-0.01121
2,0.0011,0.18982000000000002,0.18425,0.18438,0.07941000000000001,0.07497999999999999,0.07504,0.01457,0.01377,0.01378,0.00232,0.0020399999999999997,0.0020399999999999997,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00016999999999999999,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28647,0.27531,0.27552,-0.01116,-0.01095
3,0.0015,0.1888,0.18357,0.1837,0.07957,0.07515,0.07522000000000001,0.01464,0.01383,0.01384,0.00233,0.00205,0.00205,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00016999999999999999,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28569,0.27488,0.27509,-0.01081,-0.0106
4,0.0021,0.18749000000000002,0.18273,0.18286,0.07972,0.07532,0.07539,0.0147,0.013880000000000002,0.0139,0.00234,0.00206,0.00206,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00016999999999999999,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28461,0.27428,0.27449,-0.010329999999999999,-0.01013
5,0.0029,0.18581,0.18166,0.18178,0.07985,0.07549,0.07555,0.014759999999999999,0.013940000000000001,0.01395,0.00236,0.00207,0.0020800000000000003,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00016999999999999999,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28314,0.27344,0.27365,-0.00969,-0.00949
6,0.0041,0.1836,0.18027,0.18039000000000002,0.07994,0.07564,0.0757,0.014819999999999998,0.014,0.01401,0.00237,0.00209,0.00209,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00018,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28110999999999997,0.27228,0.27248,-0.00883,-0.00863
7,0.0057,0.18069000000000002,0.17844000000000002,0.17856,0.08,0.07577,0.07583,0.01489,0.01406,0.01407,0.0023899999999999998,0.0021,0.0021,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00018,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27834000000000003,0.27066,0.27086,-0.007679999999999999,-0.00748
8,0.008,0.17685,0.17601,0.17613,0.08001,0.07587999999999999,0.07594,0.01495,0.014119999999999999,0.014130000000000002,0.0024,0.0021100000000000003,0.0021100000000000003,1e-05,1e-05,1e-05,5.9999999999999995e-05,5e-05,5e-05,0.00018,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27459,0.26841,0.26861,-0.00617,-0.00598
9,0.0112,0.1718,0.17277,0.17288,0.07993,0.07595,0.07602,0.015019999999999999,0.014180000000000002,0.014190000000000001,0.00242,0.00212,0.00212,1e-05,1e-05,1e-05,5.9999999999999995e-05,5e-05,5e-05,0.00018,0.00013000000000000002,0.00014,0.0001,7e-05,7e-05,2e-05,2e-05,2e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26955,0.26532,0.26550999999999997,-0.004229999999999999,-0.00404
