,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_g11,LBLk_g11,PAR_g11,LBL_g12,LBLk_g12,PAR_g12,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.23639000000000002,0.22853,0.22871999999999998,0.09736,0.09186,0.09194,0.01779,0.01681,0.016819999999999998,0.00282,0.00248,0.00248,1e-05,1e-05,1e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00021,0.00016,0.00016,0.00011999999999999999,8e-05,8e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.35478000000000004,0.34002,0.34031,-0.014759999999999999,-0.014469999999999998
1,0.0008,0.23593000000000003,0.22823000000000002,0.22841999999999998,0.09744,0.09195,0.09203,0.01782,0.01684,0.01685,0.00282,0.00249,0.00249,1e-05,1e-05,1e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00021,0.00016,0.00016,0.00011999999999999999,8e-05,8e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.35445,0.33984000000000003,0.34013000000000004,-0.01461,-0.01432
2,0.0011,0.2354,0.22783,0.22801999999999997,0.09765,0.09216,0.09222999999999999,0.01789,0.0169,0.016909999999999998,0.0028399999999999996,0.0025,0.0025,1e-05,1e-05,1e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00021,0.00016,0.00016,0.00011999999999999999,8e-05,8e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.35420999999999997,0.33971999999999997,0.34001,-0.014490000000000001,-0.0142
3,0.0015,0.23478000000000002,0.22737,0.22755999999999998,0.09786,0.09237000000000001,0.09244,0.01796,0.01696,0.016980000000000002,0.00286,0.00251,0.00251,1e-05,1e-05,1e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00021,0.00016,0.00016,0.00011999999999999999,8e-05,8e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.35389,0.33956,0.33984000000000003,-0.01433,-0.01405
4,0.0021,0.23403000000000002,0.22684,0.22703,0.09807,0.09258,0.09266,0.01803,0.01703,0.01705,0.0028699999999999997,0.00253,0.00253,1e-05,1e-05,1e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00021,0.00016,0.00016,0.00011999999999999999,8e-05,8e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.35344000000000003,0.33931999999999995,0.3396,-0.014119999999999999,-0.01384
5,0.0029,0.23313000000000003,0.22621999999999998,0.22641,0.09827000000000001,0.09278,0.09286,0.0181,0.0171,0.01711,0.0028899999999999998,0.0025399999999999997,0.0025399999999999997,1e-05,1e-05,1e-05,7e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00021,0.00016,0.00016,0.00011999999999999999,8e-05,8e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.35283000000000003,0.33899,0.33926999999999996,-0.01384,-0.01356
6,0.0041,0.23201,0.22546999999999998,0.22566,0.09845,0.09299,0.09307,0.01817,0.017169999999999998,0.01718,0.0029,0.00255,0.00256,1e-05,1e-05,1e-05,7e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00022,0.00016,0.00016,0.00011999999999999999,9e-05,9e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.35199,0.33853,0.33881,-0.01346,-0.01318
7,0.0057,0.23058,0.22454000000000002,0.22473,0.09863,0.09318,0.09326,0.01825,0.017230000000000002,0.01725,0.00292,0.00257,0.00257,1e-05,1e-05,1e-05,7e-05,7e-05,7e-05,0.00022,0.00016,0.00016,0.00011999999999999999,9e-05,9e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.35083000000000003,0.33788,0.33816,-0.01295,-0.01267
8,0.008,0.22874,0.22336999999999999,0.22355,0.09877999999999999,0.09337000000000001,0.09345,0.01832,0.0173,0.01731,0.00294,0.0025800000000000003,0.0025800000000000003,1e-05,1e-05,1e-05,7e-05,7e-05,7e-05,0.00022,0.00016,0.00016,0.00011999999999999999,9e-05,9e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.34924,0.33698,0.33725,-0.01226,-0.01198
9,0.0112,0.22633000000000003,0.22185,0.22203,0.0989,0.09354,0.09362000000000001,0.0184,0.01737,0.01738,0.00296,0.0026,0.0026,1e-05,1e-05,1e-05,7e-05,7e-05,7e-05,0.00022,0.00016,0.00016,0.00011999999999999999,9e-05,9e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.34705,0.33571999999999996,0.33599,-0.01133,-0.01105
10,0.0158,0.22316,0.21985,0.22003000000000003,0.09898,0.0937,0.09378,0.01848,0.01744,0.01746,0.00298,0.0026100000000000003,0.00262,2e-05,2e-05,2e-05,7e-05,7e-05,7e-05,0.00022,0.00016999999999999999,0.00016999999999999999,0.00011999999999999999,9e-05,9e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.34405,0.33397,0.33424,-0.01008,-0.00981
11,0.0221,0.21895,0.21719000000000002,0.21736999999999998,0.099,0.09383,0.09391000000000001,0.01855,0.017519999999999997,0.01754,0.003,0.00263,0.00263,2e-05,2e-05,2e-05,7e-05,7e-05,7e-05,0.00022,0.00016999999999999999,0.00016999999999999999,0.00013000000000000002,9e-05,9e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.33997,0.33154,0.33181,-0.00843,-0.008159999999999999
